pca-1,pca-2,CIHigh,CILow,MOS
-156359.61151131245,-27291.713320726725,3.636244181,3.018928233,3.327586207
-53392.24618411106,-18012.32084837702,1.868626477,1.476201109,1.672413793
-178608.7109796472,11062.66345578486,3.430356437,3.002976896,3.216666667
-178650.871979568,11062.867833753988,3.348464581,2.85843197,3.103448276
36943.09035456146,3017.010044151181,2.646890722,2.056812981,2.351851852
-199001.3953729739,7083.478348273326,1.362669765,1.137330235,1.25
-111800.11377080974,-4246.227563052409,3.91045444,3.503338664,3.706896552
-163813.6276533675,21749.166463269514,3.551922047,3.103250367,3.327586207
-182427.4743251622,17999.632582844508,3.014959093,2.449326621,2.732142857
10851.304938334322,-32573.86198143435,4.452997027,3.975574401,4.214285714
176344.484468376,-1831.1631625814914,1.965763382,1.498522332,1.732142857
-76506.38212192195,-51165.011452663006,3.849214939,3.150785061,3.5
185503.72194779868,66690.7337763529,1.26447695,1.068856384,1.166666667
-26576.707464700845,-36651.4509216058,4.225768921,3.636300045,3.931034483
-155985.79360999214,-27251.663447120634,3.653463529,3.070674402,3.362068966
-155979.93954931025,-27251.677865099668,3.462234023,3.020524597,3.24137931
-191915.69020242433,27885.889161593816,2.518109498,1.948557169,2.233333333
10855.216251975808,-32573.6709334834,4.371789143,3.869590168,4.120689655
-196930.49038238905,7262.109974575332,3.107115012,2.596588692,2.851851852
-140977.37820977552,32090.968421830767,1.552327478,1.206293212,1.379310345
11221.217982545984,-23418.306746472168,4.549695967,4.021732605,4.285714286
-177014.21774425736,11238.411006795239,3.373239619,2.937105209,3.155172414
-154254.64509202196,25077.723181467838,1.765816215,1.400850451,1.583333333
-96939.31772145306,20225.548858060993,3.809449298,3.362964496,3.586206897
-133621.51855550057,-15741.948813768557,3.574117983,3.046571672,3.310344828
-180571.34847091264,45568.32806151504,1.592996662,1.240336671,1.416666667
-191340.0318144106,559.1394542236012,3.46412956,2.93587044,3.2
39461.2815559765,-2386.850800715887,3.09915415,2.442512516,2.770833333
-186353.74250343916,17582.125847963485,1.529546306,1.23712036,1.383333333
-88033.83864729258,7413.186502286838,4.041123384,3.392209949,3.716666667
26676.551301628813,71718.91671086676,1.56564417,1.167689163,1.366666667
-54213.74295760128,53834.44607606884,1.387269538,1.079397128,1.233333333
194960.65869782015,76837.82761683427,1.543937516,1.222729151,1.383333333
-182389.0150235474,45316.29406605454,1.868626477,1.476201109,1.672413793
-49001.25318178599,-48167.3897114583,3.453428328,2.925882017,3.189655172
-209904.49442154283,-10536.71768997794,3.16710629,2.73289371,2.95
344064.3178804672,22136.996948820397,3.075559963,2.385978499,2.730769231
-192550.92346794272,23579.674079202636,1.770033908,1.363299425,1.566666667
-172152.59757377705,37771.62475971997,2.137035504,1.690550702,1.913793103
9555.796908238688,-23600.7248026874,3.431346944,2.747224484,3.089285714
-162126.5982593339,-27921.84120033733,3.380332715,2.964494871,3.172413793
-161757.64749986146,21975.321307286824,3.312221095,2.887778905,3.1
102995.09709901223,-4346.599785654564,3.658971212,3.055314503,3.357142857
-169722.03455831655,-13433.490739747675,3.12457995,2.57542005,2.85
-208656.10983661877,-10399.087565069098,3.109396031,2.640603969,2.875
309437.3201853756,89263.16899558672,1.377270849,1.056062484,1.216666667
246964.03748858158,-52400.0088706577,4.518530885,4.014802449,4.266666667
519840.3157679632,-13560.844450099083,4.581469014,3.989959557,4.285714286
104026.95410753018,-45195.952669479004,3.576319397,2.84034727,3.208333333
-56563.32933247321,26534.509733067673,1.400678788,1.15104535,1.275862069
7075.798715895006,-32986.1221086892,4.23399043,3.535240339,3.884615385
-190387.45954142045,665.1960614797048,3.249159055,2.784174278,3.016666667
11216.352421594494,-23418.28607615334,4.364099225,3.778757918,4.071428571
-101098.87213979202,6926.486666838994,1.424230754,1.075769246,1.25
-102740.13104542744,-3260.8968369153995,3.720526178,3.246140488,3.483333333
417683.2830620288,16487.851371332254,3.0643401,2.528252492,2.796296296
