pca-1,pca-2,pca-3,pca-4,pca-5,CIHigh,CILow,MOS
-196314.9490813164,9595.508776278764,3161.7653853105694,17493.760749667264,-4146.381794016042,3.319639376,2.7838089,3.051724138
-77623.80415645451,8546.810450910185,-33746.92790297067,-6352.8893270754115,1261.9460299495156,4.24461591,3.686418572,3.965517241
99227.65415197512,-4755.5258272431365,-33862.494215331964,-6835.916160387942,1189.5456986251734,4.386792309,3.909503987,4.148148148
-154773.63207690258,11063.610520818927,9864.415822993107,25113.803782766707,15831.143868568197,2.303374142,1.770699932,2.037037037
-126571.56289184795,21905.741775529077,1497.075184791679,-18507.148546627683,7891.283239722176,3.665622055,3.092998635,3.379310345
-77373.06945264217,-51259.120322478535,11640.217338242564,4125.327942557421,-974.0574356793627,2.728559181,2.057155105,2.392857143
634664.4833016027,8022.255790935339,-22450.53590118068,-6087.790261845603,3929.7544717277838,2.694792401,1.945207599,2.32
477412.6598567944,17033.314928325384,-5594.913974668192,54905.21795046503,-16895.965544373954,2.686788331,2.05395241,2.37037037
389190.72284239845,48615.378784341716,-2411.5975295226044,16896.897913123554,-55914.66786103384,3.95457961,3.30467965,3.62962963
-14347.637429979073,13297.01285794575,2132.1441083389723,-37660.141532212256,-24478.089149886444,3.907056989,3.437770597,3.672413793
386217.6863059458,-37229.05160606479,2618.1994183551296,603.051745183689,1103.7924264184583,2.692561138,1.950296004,2.321428571
216089.48208071644,-23656.942361438814,20048.952872207203,-33869.24849749142,-38890.5436187486,2.986568337,2.293431663,2.64
43566.18165511425,3740.3625775695527,-14774.153173958775,35625.04043198835,-12291.00825522729,4.625796982,4.159917303,4.392857143
446900.39699384663,-12433.825912071243,-30047.306096160264,-6979.597634437049,1941.6121556192786,4.751477668,4.284236618,4.517857143
-120360.2144303604,10134.504422074378,-15464.959965841648,22522.003356326073,-7584.0766909103195,3.531309226,3.020414912,3.275862069
-163367.9424092974,21797.332188098386,-32191.98993111578,-5952.286664872515,1586.649146947167,3.369995498,2.880004502,3.125
-208889.81068729376,-10423.582690034857,18617.65368208767,5631.350897984875,811.4602819872457,3.24043084,2.828534677,3.034482759
-162708.44575793878,-27985.137869965205,15460.28610180655,5042.935985792683,66.87064208760432,2.558665314,1.941334686,2.25
-111409.41792087018,7566.273027124966,-13194.476860766184,-10196.169546694855,1645.6606475438548,3.388944946,2.921399882,3.155172414
97204.7485108948,-4979.347650116641,-33942.18420779371,-6844.768339546283,1163.1774161851674,3.002162168,2.354980689,2.678571429
-191644.61798483308,527.3264533827014,1790.402047303977,1786.1402923820353,1091.358878248327,3.094947531,2.491259366,2.793103448
632550.9162240347,39636.769784009295,-1546.293268020476,-8841.07195127228,59048.29020220583,4.756993215,4.311972302,4.534482759
-26717.79814592116,-36667.71102989085,-3831.7859878524077,438.99882701376873,-340.0749133596906,4.373132173,3.780713981,4.076923077
52139.93679653556,-9887.385123787437,-35769.55001414476,-7059.3168983879605,690.7202763207719,4.655644914,4.137458535,4.396551724
50030.00805463143,-10113.997947690532,-35856.49758971007,-7070.235058568278,668.2179192101155,3.599130983,2.900869017,3.25
-190106.43981239223,695.2418077847224,1854.476688790625,1793.5134807800216,1108.153867418206,3.448905722,2.930404623,3.189655172
-125345.11971585712,-14842.065660352768,-550.0972767849364,1293.4060038198718,560.8143237261975,3.954853907,3.366574665,3.660714286
-133024.9353194911,-15677.979266955972,-864.3225552550682,1256.435279244469,479.0073234347019,3.454788469,2.978544864,3.216666667
127680.37018159013,-74465.5778586486,9678.06529616661,3301.2615358672624,-1731.4262025128257,4.257197985,3.639353739,3.948275862
-199394.11838568607,8425.603062348118,8112.180355939729,-7412.285751959226,-9386.859531617429,1.621677784,1.278322216,1.45
-77647.13002551925,8549.655974165571,-33757.39842326613,-6355.234525823645,1261.7264214190957,3.923636291,3.335622968,3.62962963
347922.23145223485,-32285.95898476439,-16536.08615006542,-3524.2664239158303,796.0985257862231,4.785550297,4.325560814,4.555555556
-209627.37297721847,-10505.760635605482,18585.64541700593,5628.075747261104,803.2589349862524,3.060916712,2.639083288,2.85
-210408.38766419832,-10589.186562057414,18558.332244465535,5624.459426951331,794.6837346564323,3.051922047,2.603250367,2.827586207
-131948.61699090264,36620.90727116647,3822.089588954174,6616.6755206246535,-474.7058591809482,1.74043084,1.328534677,1.534482759
317597.83088975446,-3485.164519698004,6551.012843514104,-37332.04498525967,-37717.59782069889,2.746840825,2.218676416,2.482758621
292511.2337699373,96535.42824215528,24718.941829645104,-3529.760690759017,74.62619586262619,1.471686809,0.994979857,1.233333333
-88873.0527672783,-30960.805138691212,27498.598653675497,-18527.619896110704,-26734.772618702267,2.535804889,2.019750667,2.277777778
-181960.25102534876,-4327.7074058726585,29675.37096695829,-17322.89758345562,-15928.722161634976,1.91045444,1.503338664,1.706896552
-226955.4181620552,13200.058313847892,27993.982409483062,15770.414877283485,10973.793713671397,1.945329132,1.488004202,1.716666667
-156881.11424114957,-27348.84334294111,15694.266962925374,5070.044630971289,129.14398535983824,3.432505962,2.867494038,3.15
51809.71371273875,-9921.899265425916,-35785.163221922376,-7061.455555444088,687.2164349693575,4.672867535,4.18920143,4.431034483
-42560.937268668175,-17115.224246642065,9567.332444191377,-1471.200548772525,36337.38242754144,2.55951845,1.976195836,2.267857143
99683.4376010912,-42300.4237268211,14245.533031397641,60981.89587161516,-21091.36779595786,2.241733096,1.758266904,2.0
389387.71817667887,-36882.769699181525,2743.703403529563,617.6026820572341,1137.4002894430223,4.766305092,4.305123479,4.535714286
-13707.4970433806,58250.55172447375,20111.226174822707,-697.5644623934511,-443.36535287904246,1.467294188,1.153395467,1.310344828
-78041.96969912779,8500.943727850516,-33760.376838680146,-6354.4320480041,1257.3884957060163,3.991799552,3.401057591,3.696428571
-163371.80213962466,21798.278434606258,-32194.503462540375,-5952.868097631023,1586.6057813299817,3.421011653,2.986395754,3.203703704
55361.81448633424,-18609.865335226867,-18114.74105412218,-3116.6409263816645,627.5918344014683,4.442228583,3.928141788,4.185185185
114604.64662449258,58966.83185320678,52643.44926337233,3496.8320399752415,-2004.5538497801135,1.294254321,1.050573265,1.172413793
-213707.64668739543,-2212.9749811134834,25044.849854822154,-3553.0286881064876,-9634.63454250089,2.576073139,2.123926861,2.35
650895.8927554617,9791.13917385722,-21798.10038505516,-6011.289906150198,4101.7122846674265,4.804087,4.368326794,4.586206897
-190899.24390901672,610.2798563106379,1825.2229904365513,1789.7435154975813,1099.5449269985438,3.257015236,2.742984764,3.0
99947.85623601121,13076.836433398914,63898.76644908671,-50461.5509286674,16799.14782965933,1.284138137,1.015861863,1.15
-112286.88048184245,-10143.051270091468,28099.82568646006,40923.78622585466,22708.151623864494,1.786571514,1.313428486,1.55
-5312.977245128211,36831.28296211334,65310.31231060727,6853.463406549948,-3371.6306180582483,1.442300703,1.057699297,1.25
-48589.14047019041,-48122.91316287426,12805.278004868334,4261.9731455244455,-668.799203079516,3.799760206,3.165757036,3.482758621
-170157.8720019976,-15009.352833637211,24267.122355163043,3818.473246655815,23867.429968743334,2.790403103,2.276263564,2.533333333
-102559.46708534393,-3239.4872116972742,-17240.127911683252,-2545.701576044524,900.2663419016164,3.857237033,3.384142278,3.620689655
-51096.59293513658,-48395.26188262504,12707.192109726991,4250.24513772012,-695.5568690291789,2.501572021,1.9811866,2.24137931
-166880.5504235905,30994.275163915012,-30775.68262241431,9759.988005768895,-3638.3243674528753,3.523768328,2.976231672,3.25
356237.2765391953,-8646.435842461933,22395.155366063253,-2283.4749004130044,55927.04339150623,2.486585659,1.977700056,2.232142857
232965.87574050628,-62995.375019954474,13937.367352880068,3801.292839920892,-616.2979909428163,4.400800178,3.806096374,4.103448276
-168440.55533593748,30823.2641282372,-30836.41821706161,9753.126734752177,-3655.483619829039,3.231543121,2.732742593,2.982142857
-102390.91582858283,-3222.1749644417955,-17231.886545485493,-2544.516566664332,902.0519087972226,3.909399125,3.469911219,3.689655172
-127985.57156894442,-15127.138577142414,-656.6106217214652,1280.329422398712,532.6657443545429,3.653463529,3.070674402,3.362068966
-141838.9461810083,-2659.54925588909,9373.372055569012,-13444.599378968389,-16246.947087981296,2.637035504,2.190550702,2.413793103
-161907.17682255668,21920.515098350665,-32060.32146225433,-5929.498555177313,1602.2108530741289,3.460340236,2.987935627,3.224137931
-156359.61151131245,-27291.713320726725,15718.158086639165,5072.757504564683,134.52922290994425,3.636244181,3.018928233,3.327586207
-53392.24618411106,-18012.32084837702,11421.450224731829,-22287.368028364377,-26262.639508329175,1.868626477,1.476201109,1.672413793
-178608.7109796472,11062.66345578486,-15284.68160668845,-2097.13589001942,1327.5456114845153,3.430356437,3.002976896,3.216666667
-178650.871979568,11062.867833753988,-15292.766710480037,-2099.0966993446914,1327.0400452686035,3.348464581,2.85843197,3.103448276
36943.09035456146,3017.010044151181,-15034.83373770226,35594.7939008437,-12361.328100781167,2.646890722,2.056812981,2.351851852
-199001.3953729739,7083.478348273326,4253.352899395646,-3001.6457299086396,1536.1411062194688,1.362669765,1.137330235,1.25
-111800.11377080974,-4246.227563052409,-17617.12971499684,-2589.8765208455397,801.9620125546454,3.91045444,3.503338664,3.706896552
-163813.6276533675,21749.166463269514,-32209.156319098987,-5954.380185908394,1581.8663141067107,3.551922047,3.103250367,3.327586207
-182427.4743251622,17999.632582844508,-12689.932056567754,-6868.314591549706,1810.6077569309953,3.014959093,2.449326621,2.732142857
10851.304938334322,-32573.86198143435,-2312.847091990501,617.0863973911645,58.21477679550676,4.452997027,3.975574401,4.214285714
176344.484468376,-1831.1631625814914,41623.89831047294,27684.468121692655,-58461.08654787961,1.965763382,1.498522332,1.732142857
-76506.38212192195,-51165.011452663006,11674.953404730377,4129.478498068236,-964.848168937259,3.849214939,3.150785061,3.5
185503.72194779868,66690.7337763529,55513.50537891801,3833.9116736573856,-1253.4162644200733,1.26447695,1.068856384,1.166666667
