pca-1,pca-2,pca-3,pca-4,pca-5,pca-6,pca-7,pca-8,pca-9,pca-10,pca-11,pca-12,pca-13,pca-14,pca-15,pca-16,pca-17,pca-18,pca-19,pca-20,pca-21,CIHigh,CILow,MOS
-196314.9490813164,9595.508776278764,3161.7653853105694,17493.760749667264,-4146.381794016042,-833.4866999157143,10676.259158492712,607.6863165547278,-228.03863891684333,23.856263091519583,23.092905943945137,-14.759624440284618,1.5224821569599067,-8.520771368326294,-9.268633425213851,-18.457040348304997,-20.851065642471237,8.267816866669378,16.42157548453658,5.151106690448996,-21.377881727930472,3.319639376,2.7838089,3.051724138
-77623.80415645451,8546.810450910185,-33746.92790297067,-6352.8893270754115,1261.9460299495156,-3683.5859688268924,-4941.795449210747,-626.3483863374257,-129.85301687181538,16.036685767161966,10.65538924039866,-0.47773421453367176,8.084660187212716,-8.079761748503286,10.607114825064496,-2.6670628413165387,6.907496368058906,-0.43553075594085167,-2.166797587429656,2.5091494263518466,-2.426054447789664,4.24461591,3.686418572,3.965517241
99227.65415197512,-4755.5258272431365,-33862.494215331964,-6835.916160387942,1189.5456986251734,-935.8738712853628,-7030.3016892682635,-609.4672945359227,138.35032380034284,-64.3471589174413,7.553299233989741,-12.157826386947784,11.222043532657327,0.750904096795305,4.788981420556925,-4.0245391737316725,6.100150924603098,-3.5143099996461786,-0.04638809098247875,6.296157633089102,0.8298560013905583,4.386792309,3.909503987,4.148148148
-154773.63207690258,11063.610520818927,9864.415822993107,25113.803782766707,15831.143868568197,-10034.5466253241,-1975.7628768217771,422.87561400229396,731.2311603859479,-28.11083564176401,-52.56112379746854,31.833444763827497,35.308691643893,-51.51308220552658,-28.137520250311372,-37.960093304284335,35.22915267715935,-43.695798532379364,23.30525506968583,34.946873098532315,-10.63851359681071,2.303374142,1.770699932,2.037037037
-126571.56289184795,21905.741775529077,1497.075184791679,-18507.148546627683,7891.283239722176,-23158.03715155363,-2067.5690766944863,362.5843055862775,-287.55221199329776,58.0655692586205,-18.71508384476758,-13.325620855985655,-8.60140284232843,3.197722677459381,-13.09692096861006,23.81151475769258,13.073191288160015,-1.6531879456993466,-6.809505828833122,4.890192597775171,36.67326291192695,3.665622055,3.092998635,3.379310345
-77373.06945264217,-51259.120322478535,11640.217338242564,4125.327942557421,-974.0574356793627,-303.70657813813045,-6896.1167612095105,321.69489427135534,-32.27103273692484,-41.91985227921523,-13.835733353128187,13.627663988190415,-7.200706839143849,19.15877604858518,-4.956267201482868,-0.81389870583476,-5.982680442952725,1.253726090084406,0.1006479552504978,4.619365038471969,-0.6222540532821135,2.728559181,2.057155105,2.392857143
634664.4833016027,8022.255790935339,-22450.53590118068,-6087.790261845603,3929.7544717277838,11695.964244109262,24425.389754910502,82.45090960059791,240.03245792817043,-0.5927045882435893,16.80620804000781,-3.8843649977838886,5.85525930866816,-8.481168968389367,17.043743357763823,3.436237837309968,-1.9110688416399646,-2.187943515388627,6.110648626226047,-3.045391848608338,1.2839532777899902,2.694792401,1.945207599,2.32
477412.6598567944,17033.314928325384,-5594.913974668192,54905.21795046503,-16895.965544373954,9911.09848935394,11542.630826374843,-170.93054861085304,-45.54395820587965,48.27641643011601,2.8755767158767074,-29.27427130948168,6.049134244221045,-1.203636313357645,8.696875944124036,4.512064627818029,2.8969212693826183,12.599775595759127,-11.982792607480919,-3.991922998212919,20.795239923305456,2.686788331,2.05395241,2.37037037
389190.72284239845,48615.378784341716,-2411.5975295226044,16896.897913123554,-55914.66786103384,-21263.71193275531,1180.8719319166216,540.5816910920396,-381.11892068083284,-52.30876705103625,-26.99961598747467,-30.268814899361164,29.856966934454395,2.788542654373342,-2.138641896036692,2.7312908774412197,-12.19365765407117,-9.48803844005062,-12.722716286501695,22.053809817186234,10.619847657768597,3.95457961,3.30467965,3.62962963
-14347.637429979073,13297.01285794575,2132.1441083389723,-37660.141532212256,-24478.089149886444,20627.028754354335,-7234.001214949823,487.60371421028617,-467.1140196224344,-45.14031427393996,27.38520364906537,-53.18605995967627,-7.813554256114884,0.06378178411205347,-23.224103958811572,19.56570175008177,7.56014659438004,-5.018823667226373,-5.606599979265873,4.331322889110894,11.191225427052258,3.907056989,3.437770597,3.672413793
386217.6863059458,-37229.05160606479,2618.1994183551296,603.051745183689,1103.7924264184583,8133.750324522751,9036.468176121336,-266.73895311148925,164.072285194884,48.076836097934354,-14.827340232162022,6.001363753152974,-7.306804766484953,-4.872009242981832,3.7346287306763113,-0.8335884251383261,0.09023075520235957,4.298371355221237,8.091123758509703,-7.776383564045752,4.570120245668725,2.692561138,1.950296004,2.321428571
