pca-1,pca-2,pca-3,pca-4,pca-5,pca-6,pca-7,pca-8,pca-9,pca-10,pca-11,pca-12,pca-13,pca-14,CIHigh,CILow,MOS
593669.3936262801,38771.48423229945,-18411.513963217356,51530.724333778184,-15567.617637467429,11453.930146872046,18307.42834463825,-13.285176302030182,67.04207557751701,15.922491054356481,-9.820094807913964,34.65133320512457,-0.21289112419775189,12.955532791301007,2.156586714,1.73996501,1.948275862
-213707.64668739526,-2212.974981113305,25044.84985482215,-3553.0286881062984,-9634.634542500953,-6831.152886313794,17898.340631330775,-303.19466752363064,-99.33587148516528,-6.24537776604986,-15.154132795154476,-8.535534701915157,-6.667799492655848,-6.899456872607341,2.576073139,2.123926861,2.35
234048.4047354381,-62878.92683894074,13983.42387355136,3807.0111722439838,-604.8325400255546,5495.357314085517,-1986.8032729219146,-506.81492620522573,128.04540715331166,75.83231659771923,8.696984146334389,8.356910579195848,-17.279994253467414,2.5594298080928737,4.392735837,3.814160715,4.103448276
127653.84283879558,-74467.57207966631,9674.147833917388,3300.630437586919,-1731.6418719081448,2243.5334195603027,-14619.475286374349,243.35125047669496,110.4500181496322,104.5966640000719,-9.54183967109814,25.23549898058482,-19.51393973006742,12.139053322423205,4.095679394,3.504320606,3.8
114604.64662449247,58966.83185320684,52643.44926337235,3496.832039975181,-2004.5538497801424,15343.315015131824,-18164.491412938944,424.23679734434216,-269.18089815020943,-24.508511647557302,-10.130986180019795,-36.61945106111742,-15.810474563664593,-34.21179679740052,1.294254321,1.050573265,1.172413793
-191915.69020242433,27885.889161593816,-8528.711275312311,12819.66857144782,11036.567994415704,-8036.713640642407,3312.8013466276793,511.2055008336127,784.4122641414745,-74.77838268625516,-26.132624928348147,-33.04750221950538,4.929514189126361,-3.91734091645331,2.518109498,1.948557169,2.233333333
-102390.91582858276,-3222.1749644418255,-17231.88654548551,-2544.51656666428,902.0519087972259,-2434.293194897322,-862.1220952382155,-568.4231990693213,-138.60156649997276,11.345060907807698,-13.347221984747117,7.657745941233904,2.291107592778483,-4.5141479365869746,3.909399125,3.469911219,3.689655172
50030.00805463143,-10113.99794769057,-35856.497589710074,-7070.235058568274,668.2179192100891,-2441.9449831020675,-12881.309331454451,274.72895610646367,139.77415770767362,-50.994560258614065,-18.22368369507071,-0.6449472924128832,13.212484417787802,7.152107219208415,3.599130983,2.900869017,3.25
-42560.93726866815,-17115.224246642054,9567.33244419139,-1471.2005487726537,36337.38242754143,-14297.313313972376,-11842.383212629766,246.01546255339431,-131.6201883831571,-41.15683597626073,-59.86589579120052,7.933219685072494,-6.131089843125836,6.9149322938453075,2.55951845,1.976195836,2.267857143
-190106.4398123922,695.2418077847489,1854.4766887906378,1793.5134807800127,1108.1538674182234,-915.4386237070225,11788.662119720564,-377.9786296165857,-230.92866899053462,-0.32218545621231276,12.695290996483415,7.739151894579182,-2.111435524895871,-8.515440111666615,3.448905722,2.930404623,3.189655172
-208889.81068729365,-10423.582690034851,18617.653682087694,5631.350897984849,811.4602819872817,517.5143993555934,16578.644108299653,-303.2331228724056,-126.75817805670236,-17.649713914379337,-2.2127738736554545,8.285908765203882,-5.6593398193178475,-7.532160347353869,3.24043084,2.828534677,3.034482759
386217.6863059458,-37229.05160606471,2618.199418355185,603.0517451836777,1103.7924264184423,8133.750324522778,9036.468176121321,-266.7389531114877,164.07228519487862,48.07683609793589,-14.827340232154658,6.001363753169859,-7.306804766474866,-4.872009242987541,2.692561138,1.950296004,2.321428571
194960.65869782006,76837.82761683431,38291.312805877125,-67.05957369884577,-1055.8447228232858,15781.142624203396,-15690.021481197959,498.6349596521516,-111.4058966662133,-52.810360171576946,-3.332138256106872,-5.508299310603265,-44.3985336353408,-11.719498233784282,1.543937516,1.222729151,1.383333333
-166880.55042359044,30994.275163915,-30775.682622414344,9759.988005768922,-3638.3243674528358,-3951.880762573999,112.2610429643814,-554.1667178054743,-183.4411616432591,39.91476273594497,13.680846266967459,-22.0433960364958,11.934381577801268,-16.674210434816537,3.523768328,2.976231672,3.25
