pca-1,pca-2,pca-3,CIHigh,CILow,MOS
292511.23376993724,96535.42824215534,24718.94182964507,1.471686809,0.994979857,1.233333333
-56563.32933247334,26534.509733067738,29185.67639247684,1.400678788,1.15104535,1.275862069
-192550.9234679427,23579.674079202658,40949.44837221021,1.770033908,1.363299425,1.566666667
-26583.557794877353,-36651.065434218224,-3830.566155433884,4.329362543,3.770637457,4.05
-178608.7109796471,11062.663455784836,-15284.681606688468,3.430356437,3.002976896,3.216666667
-163367.94240929725,21797.33218809837,-32191.98993111581,3.369995498,2.880004502,3.125
-168440.5553359374,30823.26412823723,-30836.418217061615,3.231543121,2.732742593,2.982142857
35595.50249867748,11943.183511005305,-32611.768948476285,2.405101776,1.828231558,2.116666667
-162708.4457579387,-27985.137869965187,15460.286101806589,2.558665314,1.941334686,2.25
10851.304938334357,-32573.861981434362,-2312.847091990487,4.452997027,3.975574401,4.214285714
-184052.13990181396,19156.95157361667,-9777.272752285104,3.28166657,2.785000097,3.033333333
-190387.45954142034,665.1960614796973,1843.7495985844607,3.249159055,2.784174278,3.016666667
-53392.24618411112,-18012.32084837704,11421.450224731843,1.868626477,1.476201109,1.672413793
-78041.96969912775,8500.94372785049,-33760.376838680175,3.991799552,3.401057591,3.696428571
-77647.13002551919,8549.655974165558,-33757.39842326617,3.923636291,3.335622968,3.62962963
-133309.22184593434,-391.21379098383585,1612.3835811256297,3.669138913,3.145675902,3.407407407
-140977.37820977558,32090.968421830767,5377.403919443703,1.552327478,1.206293212,1.379310345
-133621.51855550052,-15741.948813768568,-886.0939702986526,3.574117983,3.046571672,3.310344828
185503.72194779853,66690.73377635301,55513.505378918046,1.26447695,1.068856384,1.166666667
97204.74851089474,-4979.347650116674,-33942.18420779374,3.002162168,2.354980689,2.678571429
-101098.87213979209,6926.4866668390405,47846.55527696739,1.424230754,1.075769246,1.25
-169722.0345583165,-13433.490739747653,17659.610353133317,3.12457995,2.57542005,2.85
-155979.93954931016,-27251.677865099635,15730.910987405225,3.462234023,3.020524597,3.24137931
-88041.57726270006,7414.188617750994,-34175.46558775514,3.94604759,3.313211669,3.62962963
-177783.06979999706,11158.49126056278,-15258.612051585458,2.653067263,2.154625045,2.403846154
-26717.798145921108,-36667.71102989086,-3831.785987852391,4.373132173,3.780713981,4.076923077
43566.181655114284,3740.3625775695514,-14774.15317395877,4.625796982,4.159917303,4.392857143
102995.09709901223,-4346.599785654582,-33710.42896957835,3.658971212,3.055314503,3.357142857
51809.71371273875,-9921.899265425955,-35785.1632219224,4.672867535,4.18920143,4.431034483
-199001.39537297396,7083.478348273345,4253.352899395663,1.362669765,1.137330235,1.25
-110981.1005496839,32011.896479448184,-28211.923480805413,1.513780279,1.186219721,1.35
10855.216251975848,-32573.6709334834,-2311.6733309189076,4.371789143,3.869590168,4.120689655
634664.4833016024,8022.25579093521,-22450.53590118075,2.694792401,1.945207599,2.32
-182427.47432516215,17999.632582844497,-12689.93205656778,3.014959093,2.449326621,2.732142857
-48589.140470190345,-48122.91316287427,12805.278004868369,3.799760206,3.165757036,3.482758621
-154773.63207690264,11063.610520818958,9864.415822993122,2.303374142,1.770699932,2.037037037
