fe-1,fe-2,fe-3,fe-4,fe-5,fe-6,fe-7,fe-8,fe-9,fe-10,fe-11,fe-12,fe-13,CIHigh,CILow,MOS
-0.08487501964748903,-0.11742105356639305,0.07751223191619726,0.09017571048586814,-0.08502046541052487,0.13150243518667,0.10403231343115966,-0.0395677610543723,0.008979675562876124,0.2075471069304401,-0.008175824291211864,0.08734676361032576,-0.09881554510969738,1.424230754,1.075769246,1.25
0.07248691747387044,-0.029732330943200293,-0.0053485283552813885,-0.015371096825139105,-0.014922746853521851,-0.035479895133360764,-0.10191148430666642,-0.02318500049992911,0.009801576077525916,-0.03612958069483589,-0.01658938166103458,-0.11734211726485881,-0.000625956277204531,3.369995498,2.880004502,3.125
-0.026260461931769372,-0.003941596201615561,0.02310677150933432,0.04180193719414523,0.34534586361866654,0.036522317439585006,-0.02075810017190366,0.014609438258059089,-0.011250725335072993,-0.02524621020226326,-0.017264499307150568,-0.015514194936850755,-0.0432858854639884,4.804087,4.368326794,4.586206897
0.06652468005106339,-0.008648192100630808,-0.018930306373858032,-0.007310417143942617,-0.03410420916392814,-0.012907086755477895,0.07393754406232281,0.02025964101992007,0.008363853454705215,-0.07941899000312108,-0.027992554393241803,-0.054405323510488025,-0.01233799040294013,3.431346944,2.747224484,3.089285714
0.07400513998662506,0.0068432699770769045,0.023154311572465353,-0.20460118627183627,-0.006196281618964177,0.16810685644018555,0.12375696304359399,0.028769686231402965,0.10627420290300418,0.12607045267523115,0.08626609033595209,-0.07334668478903539,-0.07128994394218781,1.384178612,1.098580009,1.24137931
-0.09845004037756075,-0.049393301331035006,0.1185679517169487,-0.04036192260560687,-0.05765943992025101,0.0019974719677978733,-0.001778928863347809,0.00440480841713073,0.0241437042123269,-0.0019359395539341412,-0.017530483461464658,-0.1275063310091189,0.04543250628538262,3.165961789,2.619752497,2.892857143
-0.09373742417019461,0.004750389005529398,-0.00039903040873769704,0.003701498229357334,-0.04502933589180839,0.0051183956874018876,0.0825170693233874,-0.05265852619270806,0.011433139769919859,-0.06880990952795529,-0.015930443434031633,0.02661481499343926,-0.00015763894106040092,4.371789143,3.869590168,4.120689655
-0.09215306139364994,-0.02231809587690493,-0.0037807927617951394,-0.011299387075691903,-0.033094628093536436,-0.038375558784668175,-0.07174095537242053,-0.032073168295438416,0.009795156034296242,-0.021757127050594613,-0.025676856448026513,-0.124763678921197,0.008150317463365243,3.312221095,2.887778905,3.1
-0.04179301895521352,-0.0051722898247008806,-0.01859831919390548,0.3720668158919425,0.24512642278651614,0.06888379893923618,-0.06641210132299881,-0.014127304415297361,-0.03029840800868319,-0.02884650670581094,0.0308516822310696,-0.05519299113568984,-0.022989940361715273,4.756993215,4.311972302,4.534482759
0.06404172288826969,-0.005870757102859118,-0.007922975510973975,-0.0031615254144992653,-0.02570671647158777,-0.013887803113645963,0.0776740162171701,-0.02855046464860595,0.0058330818158491655,-0.07929815793784976,-0.02920044730290386,-0.12661503766679255,-0.0061028311811220474,4.655644914,4.137458535,4.396551724
-0.07608789717422816,4.844242569993895e-05,-0.0672922178501403,-0.021740766649216686,-0.018637650762462876,-0.024697509086623763,0.04586222425640783,0.009421426217826101,0.0015576126825892756,-0.0002794838403484565,0.014388544424860364,0.08847964586274618,-0.3031262349258396,2.970983131,2.251239091,2.611111111
-0.04664403079589159,0.2744334443922653,-0.06054997308817712,-0.05114825463617702,0.21104096296437108,-0.018056272876412705,-0.013938199337509751,-0.01921688129047024,0.06344007186202807,0.04715646109310352,0.009034325504538795,0.04070792961747381,0.031393390450331876,2.686788331,2.05395241,2.37037037
-0.04069273104766366,-0.03549723094327228,0.0025852336438666875,0.0032970203060655578,0.2406637250912625,0.015581765781060722,0.058372844553109024,-0.015283443118250953,0.0010466065190485143,-0.011738304989122659,-0.00907587148123175,0.04104683172824066,0.013441282220814376,3.044920759,2.339694626,2.692307692
0.07855846343089036,0.29085433335503724,0.24733544123664913,-0.08650887301154944,0.06462573304470441,0.042737084037770816,-0.03770605610320212,-0.009583719977027992,-0.007708926622209933,-0.061054564794643044,0.06882010258654134,-0.09619713536823345,0.04874019299273158,3.95457961,3.30467965,3.62962963
-0.08202770996742757,-0.008415579837513067,0.08845241404001143,-0.00976369351125824,-0.022257265340802405,0.05410447314484599,-0.12032642843674166,-0.01705468862233089,0.0007505299365753945,0.00014220342448198974,-0.021493835233223037,0.10922808625388065,0.007445169732112938,2.576073139,2.123926861,2.35
0.08163209857402244,-0.02532941370359939,-0.07570599455552647,-0.046163449265118034,-0.02848559468269451,0.017894958210470813,0.067026091882011,-0.03787851490347389,-0.005041245841957087,-0.012573851089963149,0.028904568100949487,0.09679843411515024,-0.2639017634897936,2.728516741,2.054091954,2.391304348
