fe-1,fe-2,fe-3,fe-4,fe-5,fe-6,fe-7,fe-8,fe-9,fe-10,fe-11,fe-12,fe-13,fe-14,fe-15,fe-16,fe-17,fe-18,fe-19,fe-20,fe-21,fe-22,CIHigh,CILow,MOS
0.02180401548832,-0.14815417872784944,0.064924347762772,0.08305941397555373,0.0003093525174864793,-0.08690598591620421,-0.0314992655106576,-0.461530605491004,-0.007774623960709981,-0.024063814477111783,-0.008387486407936734,-0.1485907852512282,0.0035681394238745354,-0.0847206064862511,-0.004097062352122483,0.0400774763170865,-0.08228113046413167,0.058009918215737456,-0.1886418192648552,-0.019985109628381872,-0.14649620780377273,-0.04627622266585521,1.424230754,1.075769246,1.25
0.020953660837960485,-0.014930449483182388,0.016362567272735766,-0.019990265830244384,0.03162747965994108,-0.051785017806914115,0.028061567287089147,0.013457970817644558,-0.028582151350715918,0.009704835350239804,-0.09140662806626852,-0.013817028625070402,-0.09812578318855,0.1023932156172366,0.0008153987070483028,0.015401238161787487,0.027977432240044547,0.07170024131432381,0.008917667260290793,0.005490993015283069,0.017049773701824644,0.0072393560914017115,3.369995498,2.880004502,3.125
-0.022804644266237753,-0.026258147213557518,0.013123891941881852,0.041862918684091595,-0.03937735477612351,0.0067346485393271595,-0.00455440890709942,0.014215267650535568,-0.011229383700947579,0.005733472077159774,-0.035335705035495726,0.033733562123388725,-0.02370034172776003,-0.027201032316288006,-0.3559102634335911,-0.012161659494422297,-0.01280365180326663,-0.002329956826714496,0.004215495966919678,-0.02637482717640319,-0.002769414580913957,-0.022626787573010277,4.804087,4.368326794,4.586206897
-0.02447087501897302,0.02147672699122095,0.011011256370833325,0.02875673051193455,0.006174782061884592,0.006232050063521,0.000474240055908596,0.007974198132702792,-0.01911291718198783,0.012019391545597925,0.07844443304984872,0.06664968532159368,-0.05429473348239608,0.07812836596420494,0.04082843582976576,0.005392599459351879,0.020246189510396903,0.013395494276783299,0.004662179105682137,-0.014369419776921518,0.00780271895498383,-0.015504200832451362,3.431346944,2.747224484,3.089285714
-0.036345581639043376,0.13090471307953075,0.02252088970826954,0.05307876173134862,0.24146707718070679,0.022267588321008724,0.018902375875394718,-0.10707195880631099,-0.18672785118281401,0.06440206699991298,0.06911101618385551,-0.2181247082735268,-0.06637251885158417,0.0303226943234115,-0.010177443987695637,-0.050397248846420065,-0.028063801679509906,-0.13639472169634473,-0.006042779107714947,-0.02265323518247791,-0.11038402200567583,0.014048512552212065,1.384178612,1.098580009,1.24137931
-0.013081569785060542,-0.03869226237069185,0.015274214889766661,-0.0433775210512275,0.05836570923071495,0.02183759108975097,0.01691518140884865,0.056494501598905185,-0.022401193068045066,0.005700441207382894,-0.021893891900160237,0.014463894259685407,-0.1500846660705966,-0.07901480374005403,0.04079420171866346,-0.0878996439952466,-0.05773245111224423,0.07187744784592309,-0.12673653577021532,-0.02586922345386065,-0.0398266375320381,0.0028851898973834356,3.165961789,2.619752497,2.892857143
0.051506005624810274,0.03234464322339783,0.0034854764332271164,0.021564774817624876,-0.001708801383799064,0.021077106088919495,0.0036422113008240404,0.0024822030561729097,-0.013459565793131671,0.013152530439822572,0.06552523487839265,0.08431959780723461,0.0036292054299140813,-0.09644648689032298,0.050865971157999894,-0.012377868675739218,-0.0027897275827082654,0.008124209252912538,-0.007961618300317367,-0.013433199448685072,-0.004922509364761546,-0.010524617432513018,4.371789143,3.869590168,4.120689655
0.03134530933232417,-0.013978712098718305,0.015207414890226463,-0.034406632244053555,0.03539034772832438,-0.047001063155163246,0.030197680624571843,0.013970730206975535,-0.03006586106589718,0.01496185177016199,-0.07894600335814721,-0.015622926742581499,-0.12006944791982571,-0.06928713757200945,0.0175894687892868,0.02885584553096929,0.029062242993694722,0.09071996566800905,0.0005590345163812679,0.0020513637865872945,0.023540873040372248,0.008823913230028811,3.312221095,2.887778905,3.1
0.01615207924016093,0.004531522808659045,0.025497926230426585,0.03451607370965889,-0.4006749131179293,-0.015856120411162036,-0.021714467350346264,-0.005537360754043942,-0.005417772087359477,0.015223642825691575,-0.10327686992399736,0.012636206669901522,-0.0698152453845007,-0.04043904963618188,-0.2457963161745015,-0.030076851905117268,0.0015212010748101798,-0.009966746588344653,-0.025271898138354495,-0.029453049114994717,-0.013924847470547105,-0.015061455304657873,4.756993215,4.311972302,4.534482759
0.02277926754582409,0.012184748689631385,0.004667631351517148,0.02270613346902302,0.0004865917108516437,0.00611990856761827,0.00796382599390047,0.007738447126062718,-0.02404231817261715,0.00871858677090249,0.07231744796592648,0.06541363757088195,-0.1346712300845248,0.08519566791504435,0.027231630896525996,-0.002444662520492484,0.011158007400682415,0.025139078908219877,0.004009728373317051,-0.008598008224812236,0.0038615730808721875,-0.011103414355322177,4.655644914,4.137458535,4.396551724
