fe-1,CIHigh,CILow,MOS
-0.03694023695970423,1.424230754,1.075769246,1.25
-0.05969256012939687,3.369995498,2.880004502,3.125
0.23782904799608823,4.804087,4.368326794,4.586206897
0.0034915661733698955,3.431346944,2.747224484,3.089285714
-0.0016762462348792126,1.384178612,1.098580009,1.24137931
-0.03210529791701651,3.165961789,2.619752497,2.892857143
0.00396635740943137,4.371789143,3.869590168,4.120689655
-0.0591041789311644,3.312221095,2.887778905,3.1
0.23112602781645555,4.756993215,4.311972302,4.534482759
0.019051267136440543,4.655644914,4.137458535,4.396551724
-0.02313394289728709,2.970983131,2.251239091,2.611111111
0.17444048988288677,2.686788331,2.05395241,2.37037037
0.18535564685141198,3.044920759,2.339694626,2.692307692
0.14220532059385982,3.95457961,3.30467965,3.62962963
-0.07808604529056792,2.576073139,2.123926861,2.35
-0.033783420601921674,2.728516741,2.054091954,2.391304348
0.002585406500706688,4.23399043,3.535240339,3.884615385
-0.059451588474029426,2.558665314,1.941334686,2.25
-0.06290236095621987,2.137035504,1.690550702,1.913793103
-0.0565523088737261,2.303374142,1.770699932,2.037037037
0.10687986977635096,1.471686809,0.994979857,1.233333333
0.015918526485084402,4.625796982,4.159917303,4.392857143
-0.06725030177896127,3.28166657,2.785000097,3.033333333
-0.04102819234946391,1.786571514,1.313428486,1.55
0.08512275628040467,4.400800178,3.806096374,4.103448276
-0.06946246565960909,3.448905722,2.930404623,3.189655172
-0.08210101286569306,1.659640274,1.271394209,1.465517241
0.08551829855246124,4.392735837,3.814160715,4.103448276
0.0644340229017721,1.965763382,1.498522332,1.732142857
-0.07012354265001117,2.518109498,1.948557169,2.233333333
-0.057131805507865625,3.636244181,3.018928233,3.327586207
-0.04085033400872217,3.91045444,3.503338664,3.706896552
-0.08292661182809834,1.945329132,1.488004202,1.716666667
0.16238851946135033,4.119839898,3.472752695,3.796296296
-0.06597846503594589,1.592996662,1.240336671,1.416666667
0.1257167084347812,3.075559963,2.385978499,2.730769231
-0.018670042611826282,2.501572021,1.9811866,2.24137931
0.036519670445655884,1.284138137,1.015861863,1.15
-0.06809127798068933,1.529546306,1.23712036,1.383333333
0.0902375058421918,4.518530885,4.014802449,4.266666667
0.020228500104497595,4.442228583,3.928141788,4.185185185
-0.04055107703561091,1.513780279,1.186219721,1.35
0.041875074502691984,1.294254321,1.050573265,1.172413793
0.08774849022320937,3.469450144,2.923406999,3.196428571
-0.05151133387349842,1.552327478,1.206293212,1.379310345
-0.048823596681974384,3.574117983,3.046571672,3.310344828
-0.028271131609936995,2.728559181,2.057155105,2.392857143
-0.046247632902570085,3.665622055,3.092998635,3.379310345
-0.07624027822780237,3.109396031,2.640603969,2.875
0.013006142098031854,2.405101776,1.828231558,2.116666667
-0.04074483854044008,3.884859971,3.329425744,3.607142857
-0.060976022245721274,3.523768328,2.976231672,3.25
-0.020667518287268268,1.400678788,1.15104535,1.275862069
-0.04586686773678149,3.772468808,3.193048433,3.482758621
-0.005008544390156696,1.467294188,1.153395467,1.310344828
0.1422773001735945,4.766305092,4.305123479,4.535714286
-0.07669642201465067,3.16710629,2.73289371,2.95
-0.015551223022129976,2.55951845,1.976195836,2.267857143
-0.0569952172199621,3.653463529,3.070674402,3.362068966
