fe-1,fe-2,fe-3,fe-4,fe-5,fe-6,fe-7,fe-8,fe-9,fe-10,CIHigh,CILow,MOS
0.11698166506593846,0.07746796022407752,0.001065855695567928,-0.0017279904669716228,0.0028588845195016066,0.05406584976400827,-0.20440771975025346,-0.049088525874725605,0.0856668326287022,-0.07033874877737403,1.424230754,1.075769246,1.25
-0.04687046303543464,-0.07310446906687541,0.002070882198486158,-0.004242230013140448,-0.039137160901618985,-0.08135471900392309,-0.009761380907573555,-0.02194898317777239,-0.12481970296227576,0.010413878918896731,3.369995498,2.880004502,3.125
-0.014536007041515364,0.03397118720464561,0.010017054077116517,-0.01919634769247036,0.011801061083573403,-0.033822872794370316,-0.00804926597469785,0.33796328178183593,-0.015626468175856213,0.027008455586144134,4.804087,4.368326794,4.586206897
-0.03872486897022403,-0.07147084213610451,-0.004622695430482727,0.009646613742921792,0.009927984927663287,0.08130268902310825,-0.0025326518245207697,-0.033787505645392416,-0.04258843822325994,0.0717587393296215,3.431346944,2.747224484,3.089285714
0.12811692965663984,-0.07563637097912258,-0.2565168706037099,0.009544581538237866,0.0890496666207241,0.08259515188665345,0.012443358947701249,0.0060165043526625465,-0.09140963430541738,-0.024644992095099398,1.384178612,1.098580009,1.24137931
-0.05507445556703642,0.09110952658155597,-0.03465907908975204,-0.11581317530122098,0.020858944655529062,0.017795191761587423,-0.043223413017387816,-0.060870560895321606,-0.12773153420862673,-0.030408923869011915,3.165961789,2.619752497,2.892857143
-0.03843605669394938,0.08692004527554006,0.004917153356656119,0.00868047910980792,0.006285905868967148,0.07070762001811377,0.005370645782574169,-0.034044958118381874,0.028913606363783907,0.06943345539704611,4.371789143,3.869590168,4.120689655
-0.0569899091405824,0.0880857854256647,0.004963457577912322,-0.001154360708857337,-0.042980166857484715,-0.044639721109443795,-0.009409228978552783,-0.04122150393858433,-0.1299497400580098,-0.00445558634620817,3.312221095,2.887778905,3.1
0.03845695577330148,0.04890730256058207,0.3215361000447653,0.044593701738968955,0.07307081728603444,-0.08607479166180866,-0.07230835872202417,0.2549106062426205,-0.0539370703913251,0.04299338838482576,4.756993215,4.311972302,4.534482759
-0.04062096455352088,-0.07158513195684667,0.001208140953042203,0.0019544623488476167,-0.004982744555799327,0.085649779849703,-0.0030933318065004263,-0.022028976098630745,-0.11414002454274996,0.07137881026483812,4.655644914,4.137458535,4.396551724
