fe-1,fe-2,CIHigh,CILow,MOS
-0.01598020560401579,-0.03766401138760349,1.424230754,1.075769246,1.25
-0.00796214702171436,-0.08101562767821364,3.369995498,2.880004502,3.125
0.19448096952619376,0.13913296181258428,4.804087,4.368326794,4.586206897
-0.037135814350982135,0.047167484050812905,3.431346944,2.747224484,3.089285714
0.07801290117414342,-0.09055520929531992,1.384178612,1.098580009,1.24137931
0.0120329777483609,-0.06198366245337536,3.165961789,2.619752497,2.892857143
-0.051892927337211035,0.06453491173396812,4.371789143,3.869590168,4.120689655
-0.007222030973350031,-0.08096364029267208,3.312221095,2.887778905,3.1
0.23973115796827357,0.07796742481057387,4.756993215,4.311972302,4.534482759
-0.0023946568867536343,0.03142613214409221,4.655644914,4.137458535,4.396551724
-0.07082777256817599,0.045040756735234784,2.970983131,2.251239091,2.611111111
0.1592386152651305,0.08332712160342533,2.686788331,2.05395241,2.37037037
0.11357924772678517,0.15130510754198565,3.044920759,2.339694626,2.692307692
0.18830516576098716,0.0019273727747880882,3.95457961,3.30467965,3.62962963
-0.06216649249038676,-0.047585045188144943,2.576073139,2.123926861,2.35
-0.08414203898271402,0.044007780149354046,2.728516741,2.054091954,2.391304348
-0.053621086506162395,0.06440283195875193,4.23399043,3.535240339,3.884615385
-0.09162660224999139,0.013752661688008795,2.558665314,1.941334686,2.25
0.016539924508376765,-0.11350267398844993,2.137035504,1.690550702,1.913793103
-0.023689977434302466,-0.058534086798532635,2.303374142,1.770699932,2.037037037
0.24257577593787003,-0.112571326854888,1.471686809,0.994979857,1.233333333
0.018212980611392388,0.0034496575645504776,4.625796982,4.159917303,4.392857143
-0.01806532751741838,-0.08101043121843217,3.28166657,2.785000097,3.033333333
-0.04778853251773583,-0.007935765671627158,1.786571514,1.313428486,1.55
-0.04239267992804939,0.17617653515149267,4.400800178,3.806096374,4.103448276
-0.05081454629878297,-0.047392329162452645,3.448905722,2.930404623,3.189655172
-0.04021929389001728,-0.07840320346042673,1.659640274,1.271394209,1.465517241
-0.04190053260383264,0.17621757657877257,4.392735837,3.814160715,4.103448276
0.04513813045258227,0.04621595567627526,1.965763382,1.498522332,1.732142857
-0.0055141715048192905,-0.09950491062391294,2.518109498,1.948557169,2.233333333
-0.08872260223729107,0.013973450689023087,3.636244181,3.018928233,3.327586207
-0.0377238558217288,-0.019024344826738215,3.91045444,3.503338664,3.706896552
-0.0398301668105717,-0.08008706077644762,1.945329132,1.488004202,1.716666667
0.10013744118926328,0.13184442432071225,4.119839898,3.472752695,3.796296296
0.027369167602957815,-0.1303600498258568,1.592996662,1.240336671,1.416666667
0.13136963225880147,0.04131178585953095,3.075559963,2.385978499,2.730769231
-0.09548102989116189,0.07958923371840984,2.501572021,1.9811866,2.24137931
0.0493555184646479,-0.0006299918701957821,1.284138137,1.015861863,1.15
-0.021347069669580526,-0.07857535211551035,1.529546306,1.23712036,1.383333333
-0.020719854702898822,0.1594330696959132,4.518530885,4.014802449,4.266666667
-0.016204224165313356,0.04878346038511273,4.442228583,3.928141788,4.185185185
0.02356688567295632,-0.08773215482116514,1.513780279,1.186219721,1.35
0.1306524868998146,-0.08428907405093673,1.294254321,1.050573265,1.172413793
-0.02382520803919282,0.15918432678558933,3.469450144,2.923406999,3.196428571
0.015497439061925378,-0.09515182990362449,1.552327478,1.206293212,1.379310345
-0.06305238225429861,-0.0024657232561422836,3.574117983,3.046571672,3.310344828
-0.10748983162331473,0.07866388314164521,2.728559181,2.057155105,2.392857143
0.0022825797872200785,-0.07230428880662769,3.665622055,3.092998635,3.379310345
-0.07457236810157915,-0.03080364395099215,3.109396031,2.640603969,2.875
0.029848743795385272,-0.014070932094277918,2.405101776,1.828231558,2.116666667
-0.03759623664634972,-0.019009289170359215,3.884859971,3.329425744,3.607142857
0.006567019957974749,-0.09934509928278239,3.523768328,2.976231672,3.25
0.02922253535230372,-0.06413492979733118,1.400678788,1.15104535,1.275862069
-0.059356983946910295,-0.0021775902294169616,3.772468808,3.193048433,3.482758621
0.09435855965841096,-0.11402344637546145,1.467294188,1.153395467,1.310344828
0.044361058438886464,0.16445898658704083,4.766305092,4.305123479,4.535714286
-0.07514554453121966,-0.03084462445043898,3.16710629,2.73289371,2.95
-0.04046434596557874,0.022212043346044714,2.55951845,1.976195836,2.267857143
-0.08855292706464357,0.013987930763781522,3.653463529,3.070674402,3.362068966
-0.03342613366957765,-0.018690234373353282,3.909399125,3.469911219,3.689655172
