fe-1,fe-2,fe-3,fe-4,fe-5,fe-6,fe-7,fe-8,fe-9,fe-10,fe-11,fe-12,fe-13,fe-14,fe-15,fe-16,fe-17,fe-18,fe-19,fe-20,fe-21,fe-22,fe-23,fe-24,CIHigh,CILow,MOS
0.14500837015996526,0.0009713227245571731,0.4893103603660339,0.08984452225536745,-0.041559216127249554,0.11984766851011552,-0.020783710968773152,0.024411920621315357,-0.01911275034874274,0.031799003260828275,0.045500514691585926,0.03274063026836782,0.11759813790600243,-0.0887735610464424,-0.037905220836369935,0.14452761620172153,-0.0052574907084763515,0.07389510834817363,-0.157887736795504,0.018297046842502142,0.15296185743757373,0.004098251186831894,0.00032791658971717704,0.01765576777549395,1.424230754,1.075769246,1.25
0.02904218638422869,0.0021624375806571644,-0.023170633653240052,0.011614029154742897,-0.020817623627347664,-0.008023635932580995,-0.02063463789640852,-0.026058473064709785,-0.016252726337361766,0.02533378372827196,-0.013998521514440922,0.14750745406867732,-0.03761384361029441,0.09498841853889965,-0.0185688859602065,0.010571759142100075,-0.007169572729603601,-0.040311595227497554,0.0010342853435282868,0.005466653262616195,0.0030809904013655866,0.06707525752428574,-0.013621873856263388,-0.003892022354744426,3.369995498,2.880004502,3.125
-0.0011679115213728156,0.01494843855778605,0.00011174560127124385,0.017713890185516612,-0.004078629545108495,-0.009038385780609125,0.007822551580716907,-0.0017623574062729788,0.020120522758776984,-0.02518661488668856,-0.003068994869373332,0.0372019193580853,0.05158432339417157,-0.03335759747807277,-0.02037277962715399,0.00564722044214587,-0.01679921538227959,0.01338752801038792,0.003936406550619784,-0.016107007735170403,-0.0357261931379675,-0.019235302174791694,-0.015245566259756723,0.36202212981078785,4.804087,4.368326794,4.586206897
-0.01341383369148975,0.01457761887699472,-0.014532220944294447,0.014137604935824766,-0.011629479898167382,-0.007325081389972839,0.006529717371485504,-0.004786350910296957,-0.005676919102998787,0.007256053033336052,-0.014408154350764094,-0.00818139591004369,0.02586064692143826,0.07885657593821083,0.0029924097978286583,-0.021499766602076715,0.09548959413222513,-0.018109879613857717,-0.020388494490766317,-0.03280678370619709,-0.06002349278142586,0.010304024766419336,-0.02125707430235403,-0.03912874572083109,3.431346944,2.747224484,3.089285714
-0.0410807865350679,0.05060024925437005,0.046052175989656184,0.04262216086576801,-0.2020262891169373,0.140047108448476,0.04342708910175423,-0.012201967476501105,0.02213525320225848,0.23722517383624248,-0.061960727062792334,-0.013654024019347785,0.024643189657660387,0.06156626480036338,0.11916356116589275,-0.15816750472486893,0.07938639865931316,0.012549856091837622,-0.03150797274160269,-0.018251599310312068,0.2688427373284079,-0.0074471222505690955,0.02067997745796987,0.003000609007409733,1.384178612,1.098580009,1.24137931
0.030794855954021105,0.0092316642627713,-0.01950924052103448,-0.04928118663104214,-0.004451130705038601,0.03935922088511635,-0.044729471053032654,0.014595140007808026,0.08402427188889923,0.03579041175157095,-0.013894276164891676,0.11264421196838889,-0.04279802589969422,-0.10204376539479763,-0.07281929886832975,0.023331713070158813,0.08062150144583186,0.05111218021034745,-0.010493484055019556,-0.06460079639170527,-0.0657613275292804,0.09281299507989227,0.18652538497134036,-0.03157489232613676,3.165961789,2.619752497,2.892857143
-0.01341618641274363,0.008470822885808534,0.0027799495058535434,0.012652624934507124,-0.00666461463925381,-0.000599531262493932,-0.030903154068180977,-0.009337025699704807,0.017092496763346263,0.007224519844085586,-0.011942611307915789,-0.05473135183245072,0.027574070276423952,-0.09579399082642688,0.002880936563379093,-0.0299192780157189,0.051693823669022754,0.01056755078720017,-0.025872805018995356,0.038010206944222476,-0.08015387084502341,-0.004329191312202432,-0.014990294561186588,-0.04851292693930697,4.371789143,3.869590168,4.120689655
0.029875585089520092,0.002706408507255521,-0.017986165424312518,0.014192764451729248,-0.025177092891043303,-0.01578440671019149,-0.022149195209025592,-0.029729920365872332,-0.02571345366564706,0.031855186692352606,-0.017234324057515443,0.14786514884648658,-0.04716525544148554,-0.07907087964253838,-0.01819340686267147,0.013335271791251178,0.017003817751861636,-0.03879764885778106,-0.00010846448594442963,0.01604656832715231,0.0018935533623058458,0.07744350246142194,-0.013187514498581842,-0.020080018998424525,3.312221095,2.887778905,3.1
-0.00031652666457195885,0.026337074567372654,0.01009724387599299,0.02819027088331361,0.0018435392281948135,0.012822936581091383,-0.010823939536451936,0.017069923267784823,0.03382310732298548,-0.3923750975613272,-0.016274413030799743,0.1262163932743708,0.04208323307919608,-0.05076789899915176,-0.00403445069501109,-0.021383920322492093,-0.030476162383627426,0.010051876817572435,-0.030366654094880107,0.024564560001605028,-0.01985587372398394,-0.039015704970407954,-0.005360264660012984,0.25018684295235016,4.756993215,4.311972302,4.534482759
-0.010261959464772926,0.004853747358992563,-0.008477551132526275,0.0076515362569835425,-0.013518215470181004,-0.006799743109031951,-0.023786770351118477,-0.011283329784227298,0.0051558218668521965,0.006359799068492061,-0.009906393427947401,0.05574595259831615,0.023836385228699068,0.08039804532693128,-0.0037162610672383115,-0.020159495103296343,0.14585100998523912,-0.00848500393814967,-0.013069749270899012,0.004449450243055863,-0.06437323659345574,0.021617707116205066,-0.015833889762384173,-0.021946184885951042,4.655644914,4.137458535,4.396551724
