fe-1,fe-2,fe-3,fe-4,CIHigh,CILow,MOS
0.1920074131173919,-0.08710297919477386,-0.04539666097311599,-0.09314310721029784,1.424230754,1.075769246,1.25
0.011133220900464202,0.03756874487829652,-0.045154625020571444,0.12926332744659103,3.369995498,2.880004502,3.125
-0.012611546185343592,-0.038937771121294415,0.23931583625743125,0.07060459937914389,4.804087,4.368326794,4.586206897
0.0031673885454844932,0.08610989021924936,0.029206548296428922,0.022749385660482294,3.431346944,2.747224484,3.089285714
0.0026002560531484765,-0.07050585525738266,-0.016945290893886054,0.10361394852893234,1.384178612,1.098580009,1.24137931
0.08724671720964804,0.01889741269817848,-0.013496161556237332,0.11667370320274759,3.165961789,2.619752497,2.892857143
-0.002963468062212098,0.06803966265534948,0.021157508936301344,-0.04297810343309405,4.371789143,3.869590168,4.120689655
0.011069950356490253,0.03693091914157451,-0.04472336257293563,0.12932523774234608,3.312221095,2.887778905,3.1
0.014147877913107206,-0.13518242927991192,0.20786449072967877,0.06182835180485442,4.756993215,4.311972302,4.534482759
0.00747950899972839,0.08674168205688283,0.04895767739686411,0.08959264077320804,4.655644914,4.137458535,4.396551724
0.05372548226519876,0.03475800100193155,-0.01224495744327456,-0.0926608104526859,2.970983131,2.251239091,2.611111111
-0.289107463938073,-0.08751484979914984,0.12460277823697727,-0.013261543872113184,2.686788331,2.05395241,2.37037037
-0.012802670570339049,0.00040524556200979047,0.19254171629685535,0.0005388206490955143,3.044920759,2.339694626,2.692307692
-0.10177669418905307,-0.13567551332806999,0.10152774489695275,0.05910009043824655,3.95457961,3.30467965,3.62962963
0.043377921808354675,-0.022409412338211372,-0.08587400341093072,-0.0664772240043564,2.576073139,2.123926861,2.35
0.05491710913504264,0.04628872857734939,-0.020041003799682242,-0.09358544155204451,2.728516741,2.054091954,2.391304348
-0.00280907594364909,0.06952753411265875,0.020143857319260154,-0.04311295251656765,4.23399043,3.535240339,3.884615385
-0.005271232333299716,0.03981397021130742,-0.05520878649940437,-0.08659395905522924,2.558665314,1.941334686,2.25
-0.039579419211260396,-0.004570856560120519,-0.06594450576917019,0.13293188080854546,2.137035504,1.690550702,1.913793103
-0.10897754771710912,-0.03413130272656976,-0.08232175875451977,-0.030095893526921543,2.303374142,1.770699932,2.037037037
0.0167783156943876,-0.2679653860076522,0.041379304186730054,0.07456784325647639,1.471686809,0.994979857,1.233333333
-0.18447113042884652,0.005728119616369039,-0.001923499999185064,0.015246087789951486,4.625796982,4.159917303,4.392857143
0.013025612619757617,3.9113941379074495e-05,-0.06628766133302862,0.06089092048435735,3.28166657,2.785000097,3.033333333
-0.17283539757170663,-0.03686185052182907,-0.0781227546041222,-0.12651704515903422,1.786571514,1.313428486,1.55
-0.013721599374840576,0.07390773720916109,0.10240925538355107,-0.13946018920932313,4.400800178,3.806096374,4.103448276
9.580836384450716e-05,0.013112269017069031,-0.06906363800582736,-0.002843031432113737,3.448905722,2.930404623,3.189655172
0.07542155185529326,-0.06486313218848018,-0.0982112597823047,-0.06184921485254521,1.659640274,1.271394209,1.465517241
-0.01376689686505459,0.07347778135689942,0.10269785970663872,-0.13943452292776412,4.392735837,3.814160715,4.103448276
-0.11126228008685655,-0.10397313395561329,0.019478896965007545,-0.14441405014587128,1.965763382,1.498522332,1.732142857
-0.06214757211244017,-0.024026514393908426,-0.08471290883540575,0.057107499201426375,2.518109498,1.948557169,2.233333333
-0.005528234936638312,0.03729664676372761,-0.053511769341076224,-0.08639067190390187,3.636244181,3.018928233,3.327586207
0.004781671265437596,0.05471801711703824,-0.0248299482554753,0.04631731419755162,3.91045444,3.503338664,3.706896552
-0.04835674029037103,-0.0637303096235236,-0.11298954547917302,-0.06802233250878129,1.945329132,1.488004202,1.716666667
-0.004181133616760192,0.04274558917811613,0.18408484880942005,0.0639869187964475,4.119839898,3.472752695,3.796296296
