fe-1,fe-2,fe-3,fe-4,fe-5,fe-6,fe-7,fe-8,fe-9,fe-10,fe-11,fe-12,fe-13,fe-14,fe-15,fe-16,fe-17,fe-18,fe-19,fe-20,fe-21,fe-22,fe-23,fe-24,fe-25,fe-26,fe-27,fe-28,fe-29,fe-30,fe-31,fe-32,fe-33,fe-34,fe-35,fe-36,fe-37,fe-38,fe-39,fe-40,fe-41,fe-42,fe-43,fe-44,fe-45,fe-46,fe-47,fe-48,fe-49,fe-50,fe-51,fe-52,fe-53,fe-54,fe-55,fe-56,fe-57,fe-58,fe-59,fe-60,fe-61,fe-62,fe-63,fe-64,fe-65,fe-66,fe-67,fe-68,fe-69,fe-70,fe-71,CIHigh,CILow,MOS
-0.0020463495985276977,0.001983353559267058,0.0026144638021067972,-0.002625209720628042,0.003290751555471977,-0.0008663973602726523,-2.5317549604968864e-05,-0.005804908256360302,0.0011137599474055967,0.003693528815122956,-0.001555495205455983,0.002117859290217819,0.003888985614800246,0.002956288401418651,0.004207184571091877,0.004327548418722164,-0.0037380532433750322,-0.007461874975162415,0.00013281532451910188,-0.005548486268120727,0.0036808607835848877,0.004713891609694701,0.002123194049497612,-0.003713209616617449,-0.003837219704166479,-0.002829855911376747,-0.0015029255296078305,0.002250485097487843,0.001868919219669277,0.0060034349834774915,-0.0034488648471382288,0.0031540848224337575,0.004316211398368806,-0.00275711336259797,-0.0022672925356030647,0.0018668496315652726,-0.00334684342217765,-0.00485540105987971,0.004764442272339741,0.0018114882031764876,-0.007659168073011702,0.0022560665845521846,0.003392798942328238,0.0028277765161167623,-0.0005674990432869267,0.0050589704000893465,0.004535655085002499,-0.0024816629727290344,-0.005465705497055904,-0.00338500027807971,-0.006397741603234927,0.003967518104511473,0.004362558960961355,0.0035389695156511723,0.002499649129409506,0.002064821432253387,0.005914488508337869,-0.0035404895473487275,0.0027747386968979375,0.003638286940204759,-0.0031949360098160284,0.0012169509947205196,0.001635988275276091,0.9926517770813963,-0.0055991310777564005,0.0032046620974120537,0.0036809359397665374,-0.0052025358628634884,0.005427619666564672,-0.003205222477233571,0.004071566896014583,1.424230754,1.075769246,1.25
-0.019530032950889783,-0.06841933613392386,0.027176426995024105,-0.10952792313312518,0.008393018843624245,0.024095856045412468,0.03150652780344336,0.023071163931517646,0.023604691526828998,0.00732243335831898,-0.012333708004547353,-0.009412663105725768,0.004039800029270102,0.015073618744820355,-0.01302708801897589,0.025961106458295264,-0.011476790388670194,0.019398799957513597,-0.07565476164983266,0.006956365418198352,0.013992180792482342,0.026147874310520416,0.0053030781681172945,-0.011916074801916912,-0.031922628578824074,-0.015624448005499798,-0.0027284052541111958,0.007232709092606851,0.03749782349501066,-0.002836249519597549,-0.011253361223490476,0.011505262217132443,-0.0025366173885719803,-0.029659689223978915,-0.020503706073619156,0.032037008330477026,-0.010286008620359577,-0.0005471082172091111,0.07216039034074029,0.0012073104671792353,-0.013743098801664458,0.031238014493906834,0.010964802822529573,-0.013381971216476494,0.0750996170136108,0.023428430971529125,-0.007442876291842182,-0.050792679142361054,-0.04986078706116094,0.006978255855813068,-0.032583976420325615,-0.009996301378368213,-0.009660365333461842,-0.02964357602246797,0.050565124078361924,0.014289628216850148,-0.040141802936436245,-0.004496700073024036,0.04677291376488668,-0.003547050467625755,-0.005928218045493329,0.1683948575590382,0.07011487423357549,-0.009631080471016901,0.007880523993115767,0.01334176495148756,0.0052471595739020825,-0.005449490723625923,-0.00041027268170224125,-0.012777921838714837,0.03158716776175665,3.369995498,2.880004502,3.125
-0.014804217292775515,0.059049870034859515,0.0005114107182090643,0.049175028773919265,0.003249032137149407,0.023960289652954454,0.023174664840617528,-0.02368846604987015,0.0008691684095829087,0.005872936168042145,-0.004352794217090197,0.028862693515463365,0.005757915368871831,-0.0007143547090087565,0.03903493540456467,-0.023898604824117514,-0.0024188853637015124,0.01776570621843071,0.05139552188007796,0.0018216627119456146,0.008599010115003023,-0.018755054491206295,0.00935091184429014,0.4413884775743721,-0.011967212053186491,-0.0017642520741527564,-0.004390816623174996,0.024655458904486807,0.01986130772961268,0.0007574763985274703,-0.00011855778994932748,0.0031255313940884064,-7.642791354532721e-05,0.00641047187577167,0.008985398553697357,-0.01234099302517232,-0.004997431255680242,-0.007887000058181179,0.10477166256620069,0.006813954712471525,0.038069509658898,-0.016601731540730507,0.0011322287379702002,-0.007484133196653999,-0.017123503587931955,-0.015638235105459412,0.03483137750250508,0.025287455055242082,0.03978079426784966,0.0013766126435614007,0.009222959025227752,-0.03769087275278852,0.0019047622960963705,0.042259377448785586,-0.06980776824584602,0.030413646685007303,0.04158814688370525,-0.018083209448781862,0.02965880129086745,0.0018273616885036098,-0.008121971156364611,-0.0499501024452106,0.014971146276198735,0.005629311010570777,0.12001786169075752,0.010052915864984639,0.0024962522565630638,-0.007882747590582865,0.03400570544826863,0.005990084232920007,-0.05662536140274304,4.804087,4.368326794,4.586206897
-0.0894073840435224,0.0510615020662362,-0.07260658799640819,0.06506380192585584,0.014470660729782822,0.036634615886803536,-0.06863103014098826,-0.06958646243412052,-0.004647034578719345,0.014318903963690982,-0.005676583254714481,-0.002771181443250742,0.010613425242367027,-0.08580418995645361,0.05192330579336914,-0.007554201192965213,-0.005150937880103857,-0.008802302268911634,0.06678487519752664,-0.05087222905341067,-0.006336124772250001,0.04413082018199757,0.01214994727964288,-0.07116384730787877,0.032407876019606874,-0.013950127434377612,-0.024162674473008967,0.017235145648318,-0.007897530862829906,0.05898234910338851,-0.01140495051420761,-0.0003773465747587757,0.025926822232636672,-0.07991517953727001,0.011508438364344639,0.024655348164642054,0.012739597913897347,-0.012138378490025812,0.008765203181378937,0.03748776586225944,0.057112197914526056,0.10248636969953738,0.009447189024926283,-0.01760923992848636,-0.005854329878968613,-0.07380407338671988,-0.015328546321486482,0.022953437498301026,0.0010174543228124028,-0.0661180354665968,0.0415058464643477,0.06569993493778455,-0.059733672725654295,0.045575844664908216,0.05868242255772895,0.024174846155371642,-0.022726838643762032,-0.08166047057788,-0.010785499349769252,0.04266086860041483,-0.006507848690034781,0.14246021032084652,0.033428322839505774,-0.013583650915300526,-0.13079716562542015,0.002731228960530431,-3.4413310258035105e-06,-0.03368333154342199,-0.024325117101142386,-0.017074941094899553,0.023843510698922023,3.431346944,2.747224484,3.089285714
-0.010576312188477734,-0.005636390672508056,0.00021767505764663206,0.0051702916391016965,0.006022273462984526,0.003477538806010881,-0.0042126260919736315,-0.006070892685426298,0.002847110031437041,0.002980206720761814,-0.0018902964377130716,-0.0015774820760277699,0.004249008899866192,0.0035487906684722043,-0.007348594903270688,0.006159001541215988,-0.004675349993863487,0.0008150919524215792,-0.0020028801273195367,-0.0038565260045093346,0.0034438638159679747,0.00581757392408376,0.003041779334877128,-0.004468765786616839,-0.0048674275365852,-0.004230104231882895,-0.0036109995559724865,-0.0010847804669398534,0.0020281228796447375,0.00025627905060121337,-0.003107491040800485,-3.2663238740765935e-05,0.0011625271100954473,-0.011007872030637033,0.0006110209463404308,0.011418680069129456,-0.0008618370008589304,-0.0036703086905167724,0.008514175268313924,0.004888870650757817,-0.010461016985598202,0.012461000908442245,0.003127355724693785,0.005542829624597893,0.00031913358502553917,0.0008133304844693898,-0.004852402857426967,0.000595281310923798,-0.012133692778521447,-0.008728971303742308,-0.00436577158152907,-0.0015761121396106617,0.0028447552800507526,0.00016415521333379014,0.0016341823735444736,0.005002478689121277,0.0007620892785085746,0.0008537494068072742,0.004224947399989462,0.0004648582445237763,-0.00268151003296297,-0.006780493273608471,0.003057322985766111,-0.003313797284222513,-0.005104263069363759,0.002849242271131317,0.0024871716914088896,-0.0011069860806239497,0.007958321613161913,0.9853784798521563,0.005263499711678087,1.384178612,1.098580009,1.24137931
-0.0002770685767276049,-0.024829410047352493,0.007184443676262681,0.017070057978531734,0.01694990284005456,0.004826013517287799,-0.04995791790614583,0.8637735808259153,-0.04338241596033146,-0.002546159766019783,-0.011655703786771748,0.0025995021811256345,-0.0028074329843235752,-0.01574896139909295,-0.008691662471597488,0.005302492441667418,-0.0014296807717845397,0.022043553935480284,-0.032126985654403244,0.003132062700566349,0.00025672369048272844,0.007621913222935895,0.004088073115241924,-0.012893942182539241,-0.06715047968398637,-0.017155044306138626,0.009169134211089744,-0.01815191621775968,0.013961730340786103,-0.05335593436381176,-0.01409333098579926,-0.0014504872680240896,0.008664991765624892,-0.019397165357859056,0.03903000065546981,0.05344967442317581,0.007133799103911044,0.005766668266078277,-0.01937120709909726,0.0013178196132310582,0.010525667768256615,0.05278389681686335,0.005023232190394314,-0.04181094795607157,-0.001086347671845426,-0.0014025977573246706,-0.039197603560593715,-0.029803048685513745,0.001819234684009344,-0.04865276264200866,-0.012437112006740707,0.005547851801774862,-0.02828280385465991,0.0030184409048480514,-5.03215529978834e-05,0.012619690463867387,0.006904815293916972,-0.03136757263119938,-0.057897020332962124,-0.010058891141654747,-0.0006908885096112432,0.027425731516032583,-0.024202963653489652,-0.0015673885851177948,0.029272519439635377,-0.0006342540168925058,-0.0029110366298276424,0.0023932085110155324,0.007902841993748815,-0.00444124128196492,-0.04401839406613002,3.165961789,2.619752497,2.892857143
-0.008958601237678875,0.03353898712633507,0.032331662982354126,0.03029418376427,0.012090545786792013,0.005348772729768168,-0.03846318435387125,-0.0315974254419363,0.018208234001143006,0.006939177669236029,-0.03673230691398146,0.015047348662405003,0.010084887496763348,0.012298293432321191,0.019367908368193517,0.023510815481217154,-0.009883402688789981,-0.001553819629471034,-0.011083846687366344,-0.0011002329330245897,0.010041930350287352,0.009284021043265436,0.011656328273003305,-0.059995872311894835,-0.008785931589764323,-0.016964330059977502,-0.0007549705282045681,0.013670791183404325,0.01948538060377378,0.07573809924012921,-0.009738750993084543,0.0023233889443617464,0.0022398362727816487,0.012706932251701221,-0.01841745192375352,-0.012698058920070707,-0.013297044132694455,-0.011280742891820619,0.05072601497417791,0.005615152858542132,-0.015890901404539304,-0.002126471869877757,0.01828173799994423,0.004462578687209315,-0.12721447913400732,0.03638598930268953,0.0160318790926734,0.00012497315279350003,0.010266678089538782,-0.04821415930153449,-0.0016181453097093978,0.03169791391262698,0.03472586462611575,0.039326711963449064,-0.037731676966835596,0.007865305229519854,0.05144175103137805,-0.02266218959031304,-0.00986468763974369,-0.010568050278823387,-0.008777103370160393,-0.04131769176241881,-0.012118598628434216,-0.014746179171446447,-0.12341144311216984,0.01144127977199456,0.014675902389012998,0.014005014720781278,0.04911086978240435,0.0009931644275688687,-0.019369355715160116,4.371789143,3.869590168,4.120689655
-0.02687919517425107,-0.003684699901289763,0.030625644885625056,-0.11111620730900129,0.00596149629438757,0.0326869297776492,0.01773160789653704,0.026197200489070607,0.04582388648672937,0.006091459697123557,-0.024233090318431464,-0.007104683700502131,0.007990686662304512,0.018921457126488204,-0.014706870478856889,0.02929340991976221,-0.00832849567155589,0.01659685205127275,-0.10491591820860567,0.006997184323031425,0.010087724904999975,0.02453506117342663,0.006721478028947957,-0.053142818208247136,-0.046929723897076094,-0.017327050721517065,-0.010911683494851715,0.011819695382588874,0.032606322693627864,-0.0065663301660786304,-0.012696374858047418,0.011757916699963032,-0.0055295110578489,-0.020261871251505914,-0.014468957616404035,0.02342632017383403,-0.01074379030856481,0.00022821799491237616,0.08305967994800768,0.015375920770236973,0.017664276936802288,0.024089886779329942,0.007038143500873685,-0.011160446314057592,-0.07686417837795417,0.03540109091032629,-0.013199780364901341,-0.054500105440802436,-0.035461087319600695,-0.011363063314779551,-0.011942063955574187,-0.06120809343393419,-0.02246619851324815,-0.026787596733018497,0.07055887960991733,0.016496688466424204,-0.054384760491252904,0.025981016936168718,0.044372467439863686,-0.01928701946971739,-0.009431587469009881,0.06021469103858479,0.04015140605467085,-0.0066981492201586956,0.04922946339377181,0.01011989219286644,0.00743343472685129,-0.008107525314420128,0.0033439214396818063,-0.00967212100427871,0.06089975677900664,3.312221095,2.887778905,3.1
-0.03457303487868102,-0.009954800965950647,0.04532031431272968,-0.07310209188385342,0.01001666386649364,0.029149902032021054,-0.04170188036845269,0.008647447467632767,-0.02864562500055168,0.0004810462109817474,-0.006832182476292854,0.01590354328871382,0.005715666451117782,0.011464530532686916,-0.07307162250340293,0.009334683830477699,-0.009558585443744553,0.009822377118700529,0.023906213621431673,-0.007104311619184935,-0.00260738824024423,-0.016959296064424367,0.006751722827586818,0.21898470031022582,0.04170812333446434,-0.018016156660443042,-0.03629293409455399,0.007180001628937144,0.01703698760403072,0.010146400194511832,-0.0021837094671746412,0.001457473193420026,-0.0017776423484159173,0.005894719954761587,-0.0114330669631498,0.010261236031652835,-0.0033288193077478105,-0.012683275743481147,0.21347699578977908,-0.02314903331638002,-0.03740325264502724,0.013914639153518232,0.00616090879220987,0.027295505874229773,-0.006093400994559196,-0.0016868341235069255,0.0026306038608143,0.006419987046664696,0.5609293045410102,-0.04088921619672154,-0.0022623418793153885,0.013266812556825812,0.018218558023663668,0.009249225648088485,0.019114194006570977,0.0037726688327528583,-0.0616133490800209,-0.048350748749835984,0.004176193837868947,0.014002169800706172,-0.004814905667546286,-0.042581080030975396,0.008935342553160874,-0.0013103901005443387,-0.04582671875968728,-0.0036267678179135805,0.003651740991099195,0.00697536663399844,0.0166564071602254,-0.012693490277675109,-0.03392911207040495,4.756993215,4.311972302,4.534482759
-0.007438591628234147,-0.044383042951761,0.013310798394857486,-0.02752117026739619,0.009717597659941839,0.0013823754992093515,-0.00456305952921184,-0.014178065837059115,0.011822341911948756,0.008570294389594724,-0.0134628406754687,0.009419279643082737,0.003438905604672299,-0.0017724259304933417,0.018710872545498438,0.009472694112214766,-0.007658908651553744,-0.0035038208904421197,-0.0065428760719935825,-0.0027782562361372827,0.011888412441242438,0.0058368955828470865,0.009665129832971176,-0.002289763925922566,-0.0017165452083005668,-0.0104982046948384,-0.01296969091509511,0.0066657453838436815,0.021588309235090423,0.02930654464464553,-0.011560251779934801,0.013415306567451126,0.007060420450269878,-0.010040065246419573,0.010902276641984766,0.002627030375487587,-0.011954832663925075,-0.011689370800520184,0.02923266352931343,0.001166543027603855,-0.019166850006138256,0.030928346864565227,0.009697827622824274,-0.007660813013787021,-0.06698161574355316,0.0056016205706996254,0.004650283558426498,0.0034138044469358125,-0.0512799924751543,-0.020856988381597066,0.002108535266321851,0.04312072731624794,0.019342364273692396,0.029454439506616432,0.009002287682171694,0.007206363927234092,-0.010666464437168535,0.0028787553095567567,0.005459462537116362,-0.006031643249177808,-0.009038776554627011,0.23103974817988554,0.03947820273496207,-0.008408740451640596,-0.04966765541056954,0.007340289794221886,0.006529235148317267,-0.004326541860283311,-0.00011737476946906998,-0.003103961686230819,-0.028119153421931685,4.655644914,4.137458535,4.396551724
