fe-1,fe-2,fe-3,fe-4,fe-5,fe-6,fe-7,fe-8,fe-9,fe-10,fe-11,fe-12,fe-13,fe-14,fe-15,fe-16,fe-17,fe-18,fe-19,fe-20,fe-21,fe-22,fe-23,fe-24,fe-25,fe-26,fe-27,fe-28,fe-29,fe-30,fe-31,fe-32,CIHigh,CILow,MOS
-0.049061983077260084,0.06641264578446168,-0.08002313187423374,-0.03990635642768877,-0.05305706960910396,0.2473044817277324,0.16955046799623585,-0.06252261537172493,0.044453347161262605,0.03443794273789944,0.011879996553524152,0.3521498552066847,-0.08447833602824391,0.03730496160659984,-0.036534855786725724,0.034487831698390634,0.15908883848866098,0.16600770748433097,0.09499002629929419,0.09375389363155533,0.07233099929545847,-0.08144458626719646,0.12716224990381536,0.049532900863366626,0.034447718854125696,0.4472764750419194,0.015769246995855773,0.08524078491818049,-0.04545826202487783,-0.027317201457477857,0.014492284615202671,-0.2354223406461858,1.424230754,1.075769246,1.25
-0.009235529925643186,0.002275020587885027,-0.0026111514536287022,-0.003749438747801288,-0.14485779263717155,0.04272479769343925,-0.0022969304593975946,-0.021421445700575838,0.02231975458807416,-0.02293242055984773,-0.0036343845409074734,-0.0365922167922328,0.00043594397012459247,-0.028363070299235748,0.01691445309286427,0.08030378722196321,0.005082032208434547,-0.010417831598221723,0.007110368741050778,0.013577917444841943,-0.05166822496546338,0.08009651026459798,0.015584228028682201,-0.02155952451390223,0.00894729768695441,-0.014075457270583725,0.01068137727287489,0.030260751842042397,-0.010956014715785067,0.00431748029004584,-0.011035837454579072,0.023695348271131237,3.369995498,2.880004502,3.125
-0.013640862942279735,0.010346859545495652,0.0146824936772727,-0.017049595845399654,-0.036963273337805774,-0.01709365079591054,0.00041182594641491545,0.006434971048781597,0.013832671561788815,-0.024273600905507745,0.03223345722434767,0.036906921536379415,-0.007158586613384134,0.017183797159390144,0.0227002260757895,-0.02013784116789445,-0.009273378721563667,-0.022043779658570403,-0.0027719430280342718,-0.009530399354746085,-0.023662432451494304,-0.0402909827211731,-0.014579532752800469,-0.007247961961523425,-0.3652531734818521,-0.00385309243190343,-0.01625255757032629,-0.008486780234887184,-0.006981170970701716,0.005402793287713871,-0.009874675096772988,-0.009855351606979857,4.804087,4.368326794,4.586206897
-0.00947739761824967,0.04000845727486575,0.014623319415745573,-0.03072291491929648,0.059064298888044625,0.003287706433302389,0.004449615753978409,-0.002640966475231242,0.014784901564033536,-0.005421532881702668,0.0489525254144854,0.0044152521951521485,-0.0026426257170067413,-0.0007660358640320164,0.005459054235138769,0.027456535999752004,-0.040630875388633005,-0.009694159489760273,-0.002909013362300308,0.009521758151181744,-0.07193569519032852,0.08484329992503988,0.023274510990769725,-0.005493416234978281,0.040225480049383026,-0.012917441533518339,0.03249329648230433,-0.004908463719338073,-0.029142686716380223,0.005823034238623769,0.0035978113684399966,0.016554656170327624,3.431346944,2.747224484,3.089285714
-0.027860035687761794,0.0364326391881474,0.0027657697852636305,-0.04228196792382829,0.01669596047464452,0.0026301290464338712,-0.09611050368474072,0.018020904870194077,-0.18631361538882368,0.5782311965389495,0.15371976084954406,0.06258645898698315,-0.027967147135989304,-0.1432144491469405,-0.0026888766700827226,0.15928226227430803,0.029257678908348426,0.06885702037827053,-0.07511721844841887,-0.02344607268304128,-0.033702378337893794,0.05243534280028453,-0.005897133081152253,-0.11165135798121473,-0.02515388530562555,0.06013064600441948,0.09431154635200016,-0.00019361044821120747,-0.056056120833508714,-0.07534822940616129,-0.12895693734350339,-0.029347773019659403,1.384178612,1.098580009,1.24137931
0.003055331305430322,-0.1309749693103918,0.013989237508546514,-0.037319208819166914,-0.0034637783690305065,-0.036769094616218086,0.048613910128741035,0.031141489544047565,0.05807285019814419,0.009783481105089076,0.04345809199056729,-0.0611946199167763,-0.005086118366956366,-0.04580494752239638,0.09189171280189222,0.06380455946384472,-0.05926291358511156,0.11847905448624099,-0.02685874135569269,0.03691395930143183,-0.13044316349082147,-0.06904600176557815,0.05247959678615462,-0.02388723965573545,0.031978864034270145,-0.0289187971748066,-0.19492361544959794,0.019504956788847047,0.11346826965522722,-0.008730866002556894,-0.014419044586122955,-0.07658143338176451,3.165961789,2.619752497,2.892857143
-0.0020661830567528993,0.03835024803912737,0.01133928332735268,0.04736666910614759,0.10411888463291034,-0.012473112801782402,0.01402286940673038,-0.0088783249333746,-0.008170538682154399,-0.02159332218810813,0.029408081335529218,0.006869950754336979,0.006342475107253067,-0.01154592737395179,-0.012269838982679047,-0.023549556889081134,-0.020455147552751768,-0.01399716468595305,-0.013057284922301352,0.002701551710890413,-0.04088543654432074,-0.07835165628890672,0.009220397329662438,-0.008376240761011284,0.044623673275416914,-0.008270207997689837,-0.04344107699210094,0.021365882963793534,-0.030957480782193812,0.0039741907115876576,-0.00890960353475741,-0.005257381886389512,4.371789143,3.869590168,4.120689655
-0.014240745677630139,7.01254818157929e-05,-0.002248853270181141,0.005275081074370919,-0.10564232424384162,0.0568018121558823,-0.004420728133411081,-0.02883470906493107,0.035849735497815075,-0.02252547881873762,-0.015708896114221046,-0.0441248418044449,0.008717669592673206,-0.03575488278882101,0.019511351820101837,0.08644082897974091,0.021724389975356348,-0.012761703198538006,0.01131547426552878,0.02280910852228106,-0.08085412458614658,-0.09059766776162761,0.016401354908704327,-0.01997974377438411,0.02644638726473124,-0.012850501205176494,0.004776154056506083,0.03575173155756809,-0.00889791093075872,0.006041508616668188,-0.010972917304656094,0.02072449550385461,3.312221095,2.887778905,3.1
0.002631908633707853,0.03333191613121582,0.001247642442353598,0.016934007689536127,-0.12883362087200023,-0.027644181867493105,0.03226208070758428,-0.005364848223427332,-0.022479207200766422,-0.0023814612701788876,0.016299633522655985,0.033672270462480565,-0.006314788295033309,0.39527433033888854,0.013724601280073061,-0.04616715816016181,-0.04149677558272483,0.004750333951335343,0.005274625699592084,-0.007169003288997509,-0.06515557067830559,-0.06680941513539962,-0.0011463511669556658,-0.06643315676643845,-0.2592819145754339,-0.00041625557201151805,-0.06434534662912197,0.019473264796761747,0.01030167342364738,0.0006483004305807589,-0.008066116443495273,-0.03357222167119018,4.756993215,4.311972302,4.534482759
-0.002525827647937796,0.021796704965528442,0.0048903104429502756,0.006296100447961366,0.0349516628103803,0.016050476083783898,0.005721914144836162,-0.009322097558270067,0.01176383476877037,-0.021101133407628325,0.024830892446016776,-0.0011108723647506823,0.0005988842564017926,-0.005782875623045768,0.0009376325551781066,0.03305715616392067,-0.01876215945356677,-0.010898583555050126,0.0012099749388276378,0.0052748035760999306,-0.15041364808808774,0.09945764646420789,0.016529518297838813,-0.008812079983196244,0.01987003394529814,-0.01126699689553642,-0.0021234502939223043,0.022776069365197344,-0.025582937022921918,0.010821835416033595,-0.007132352707227809,0.011139426658924614,4.655644914,4.137458535,4.396551724
