fe-1,fe-2,fe-3,fe-4,fe-5,fe-6,fe-7,fe-8,fe-9,fe-10,fe-11,fe-12,fe-13,fe-14,fe-15,fe-16,fe-17,fe-18,fe-19,fe-20,fe-21,CIHigh,CILow,MOS
-0.01810856297137208,-0.04883550238427009,0.007262048274679822,-0.15233501453067358,-0.07932535257219288,0.04370596606425364,0.028054952826933537,0.005291833487863347,0.08467502290313232,0.002404239298299495,0.04056384226241087,0.026524088979067554,0.016408097929796677,0.15596830571950693,0.10391717108038291,0.46349472479080006,0.10210489864525164,0.1187412055778081,0.1650193067953559,0.00846540058306099,-0.059379495244842075,1.424230754,1.075769246,1.25
0.004977263673504115,-0.012829920585271702,-0.006229372220377984,0.025224455405049414,0.07540102502896875,0.010572744457029245,-0.025410639403180914,0.1551700849744891,0.034415556801253584,-0.007119493292707894,0.03937934523539988,-0.021125639603601882,-0.035017440047353285,-0.003665060000879348,-0.026212090697117968,-0.011933608754442151,0.062254166891100846,-0.021185268861173678,-0.008388262056688259,-0.010694421284531897,-0.011311709611000297,3.369995498,2.880004502,3.125
-0.023093472030796317,-0.025722665350831002,0.00453457287927077,0.029584859776823742,-0.03466576705544626,0.014628753823276807,0.030958691837772476,0.04076933789810805,-0.007659855756344955,0.35549685864437386,0.021789034479617983,0.0068405037227196475,0.02986095569351001,-0.001608311398997882,0.012580320635809838,-0.01117504145345675,0.0036744732380720757,0.0400155397755864,-0.0028882280363495337,-0.0004914845115213089,0.0007078774091279165,4.804087,4.368326794,4.586206897
-0.01094094004236553,-0.011303549357940283,-0.01765327457982223,0.062199362653111157,0.07989756274251887,0.018000682784765576,0.02953528790877282,0.003725839769551376,0.012947617511380105,-0.03771198347711528,-0.09807291551697724,-0.004543186897516714,-0.010845467503955044,-0.0102199705518569,-0.0210717566481501,-0.010268474203262315,0.020535403217605056,0.014626888063876659,-0.003862565744137563,-0.006069383271489321,0.009699257242041704,3.431346944,2.747224484,3.089285714
-0.04445713622341806,-0.046994815217814005,0.14578826154630908,-0.1263751892249652,0.07824794594465079,0.01336000297412188,-0.00770199615980955,0.039808266956810806,-0.026465955305821343,0.008429406071288299,-0.13230356908121443,-0.025185020745856095,-0.18483527758955975,0.17349688727891852,0.030437131540017436,0.07743526162389351,-0.1712341118590628,0.07101897418126349,-0.020336947385210108,-0.10131466252136458,0.05719602576551023,1.384178612,1.098580009,1.24137931
-0.018707429226522476,-0.04559102893816669,0.07895735187615388,-0.0004111642716636452,-0.09740992532976799,0.01739226628506057,0.01005294134723678,0.11692164878785809,-0.009069968152767945,-0.04108900298552279,-0.06952330123836341,-0.0152615072642615,-0.06474090901948741,0.031667757452819655,0.058759338482374336,-0.050930847899062104,0.07109325020631774,-0.054138335286888675,0.1322959808661488,-0.00374206064183524,0.008729399495778743,3.165961789,2.619752497,2.892857143
-0.014996003070848831,-0.019889831887508685,0.0034586430720334282,0.06914859842387472,-0.08859285393283117,0.010075741703192555,-0.02486909827119773,-0.06814185916523464,-0.0062575958804790685,-0.04681016266898364,-0.07743291743313956,-0.005498192291384911,0.002320376014955315,-0.0022600904070305718,0.0001588202235990119,-0.00703876025517239,-0.0020986881752125676,0.007297868249851091,0.009040362523267842,-0.00742225340469932,-0.04018081619242413,4.371789143,3.869590168,4.120689655
-0.00012429509344535187,-0.02391939257413312,-0.011069248459702847,0.008820230892376178,-0.09225111665415864,0.006247240653662298,-0.03420540352417862,0.14137565351467404,0.0322134559089032,-0.02197160686725296,0.0036189979226563486,-0.02562552172805924,-0.03363120806546201,-0.01108995531268762,-0.02457501538420483,-0.01453710859581359,0.07394069242600897,-0.03327268145933946,-0.0027716605313084504,-0.019880367454738864,-0.014769190097013654,3.312221095,2.887778905,3.1
-0.023406933467772714,-0.011723444660485036,0.00557152283927919,0.036125387961920455,-0.06091053665541035,0.027330465237143102,-0.00562559094562077,0.1196806399187054,-0.0034680753700251058,0.2462939496264113,0.04591149114674564,0.029823870187000796,0.3845619636739538,0.0008487829122087792,-0.027377400411465056,0.015180193723341253,-0.012974739684981293,0.026793018952399685,0.03791465259907972,-0.0056630060890028285,-0.020980420802052212,4.756993215,4.311972302,4.534482759
-0.0018283847922570785,-0.019079300903934986,-0.013232576788124839,0.06156661583735683,0.07813636915907798,0.011745000662230774,-0.0006692790273140755,0.0733638586427926,0.016229022185665617,-0.024827606369830144,-0.13531857336846675,-0.013684057298715451,-0.009143891342326826,-0.008049281930053496,-0.01338313157753768,-0.008003640041298938,0.033433732643488076,0.004425308531723032,-0.0003687863187053018,-0.0029114068362373654,-0.028286419601423144,4.655644914,4.137458535,4.396551724
