fe-1,fe-2,fe-3,fe-4,fe-5,fe-6,fe-7,fe-8,fe-9,fe-10,fe-11,fe-12,fe-13,fe-14,fe-15,fe-16,fe-17,fe-18,fe-19,fe-20,fe-21,fe-22,fe-23,fe-24,fe-25,fe-26,fe-27,fe-28,fe-29,fe-30,fe-31,fe-32,fe-33,fe-34,fe-35,fe-36,fe-37,fe-38,fe-39,fe-40,fe-41,fe-42,fe-43,fe-44,fe-45,fe-46,fe-47,fe-48,fe-49,fe-50,fe-51,fe-52,fe-53,fe-54,fe-55,fe-56,fe-57,fe-58,fe-59,fe-60,fe-61,fe-62,fe-63,fe-64,fe-65,fe-66,fe-67,fe-68,fe-69,fe-70,fe-71,fe-72,fe-73,fe-74,fe-75,fe-76,fe-77,fe-78,fe-79,fe-80,fe-81,fe-82,fe-83,fe-84,fe-85,fe-86,fe-87,fe-88,fe-89,fe-90,fe-91,fe-92,fe-93,fe-94,fe-95,fe-96,fe-97,fe-98,fe-99,fe-100,fe-101,fe-102,fe-103,fe-104,CIHigh,CILow,MOS
-0.0035932517641146613,0.0016649903044652643,0.004701520151461831,-0.0037429515852110905,-0.003174483170963994,0.0005928356258640218,-0.003451203612568065,-0.00440729645463331,0.004021018699979609,-0.0002228967089137496,0.0013780822483771135,0.004130369083620418,-0.0032280218945260563,0.001037275068782879,0.004443589637199735,0.0055072945105861925,0.0004908611765127596,0.0040180040612163535,0.002226398773212078,0.004582338746649113,0.005613257149642089,-0.003602346233678,0.003530388931651232,0.0070307733299030395,0.0016167989296774117,0.0037267172937220875,0.005536415580133628,-0.0037095389352083934,-0.003946939687907475,-0.0004261141751778403,0.0028537603360321473,-0.004381100956661247,-0.002792268988746248,0.003936708892456719,-0.002888120982623617,-0.0011174220668608945,-0.004016103005067988,-0.005234472331955918,-0.003972403547734335,0.002522187398140206,-0.004562938327567003,0.0037103401770322082,-0.003165170521342026,0.0014476870956924314,0.0028952590569655853,-0.003541874020256685,-0.0030791805881054657,0.001286081048683321,0.004554437947449722,0.002355824631614354,-0.004092825931706718,0.0018672585615601436,0.003761141130080543,0.00402478881886074,0.0006712311175910708,-0.004412513671993951,-0.0008518993336018834,-0.004235435021289903,-0.005504351403553646,0.0036443838991467668,-0.002860914953846431,0.0029010645291370676,-0.005221697449186139,-0.0043951194342594846,-0.001945408326166396,0.006006894106442008,0.0003911913143169807,-0.00024086798722366224,0.0026834787482509256,0.0031177806755829374,-0.004095298146755475,-0.005452285853684305,0.003161872427564091,0.0024653686655749644,-0.004677753393227569,-0.000708989208375597,0.004643689447270113,0.001300067699349062,0.002556143355831616,-0.0034117974399788587,-0.003504848278258125,-0.0036359161588473046,0.0010339412644991503,0.002157196313465857,-0.00010486647932734882,-0.00365268968898784,-0.002426811545217083,0.0037900406549804173,0.002950721402147318,0.9947369186509744,-0.002043104290356833,0.0027569655605525615,0.0030428004491555166,-0.004514214747913004,0.0032047380518690997,-0.004728268805326621,0.0031096197459100847,0.00065307625736926,-0.004116702954101177,0.003089936276867426,-0.0006155071481650249,-0.0015082340276749648,-0.003807634714976692,0.0012032328513113314,1.424230754,1.075769246,1.25
-0.014856747749681192,-0.09323150663820604,0.006699208519692476,-0.08551697198234906,-0.019620091148227325,0.00847641619438519,-0.015831430741561056,-0.006183433073806982,0.01623628602212966,-0.004996393485478729,0.06262894429977786,0.03015924216336776,-0.013029853113535848,0.029905378908222244,0.012308549442541117,0.009325274655650776,0.04240033036001648,0.009611681534074386,-0.0019015539326266385,0.04428623314979057,0.1368470992644084,-0.00782034417711238,0.010590838061454135,0.10457233905005901,0.026128152255871676,0.011037817920857328,-0.0063657749655666685,-0.01040103884295805,-0.014220469400666215,0.03714998106444149,-0.00702835585960186,-0.017200633100270972,-0.010105417269651034,0.007014486095106334,-0.013990428677374945,-0.024972138677100877,0.032913268921439254,-0.013427788533700493,-0.010474386427677179,-0.027395396453609114,0.00697655833755405,0.009824566292500003,0.025569773288904273,0.0038530153277921476,0.1246267641432102,-0.012373691929112574,-0.08688989704944881,0.007906189759838962,0.021195400782242326,0.04897462871800763,-0.005891451371842814,-0.006825731959027283,-0.011910500199460357,0.010356484843200673,0.239515822817447,-0.02125434799912965,-0.018803029553805434,-0.014473662319847059,-0.007700284956146536,0.01322767797586775,0.027375258613737574,0.03296735201620218,0.035055462227963304,-0.020478295463910317,-0.029768072612412388,0.008829647803411115,-0.07968570917338381,-0.17698224531640291,0.008410934385680063,0.01692535099388317,-0.009487366567256364,-0.0073514464982736005,0.06381525357137574,0.02466922206280528,0.03208399164146412,0.013328349585614309,0.059820900900543275,0.009550099237233461,0.038474725159533596,-0.015945352346947106,-0.01361198718804491,-0.013328957769699426,-0.01424614621317863,0.018019935001845542,-0.06147536683227898,-0.017089543832513685,-0.0006719754908877816,0.01434126017916742,0.01479643935402966,-0.009141383042985014,-0.0279867336300576,0.014651407376928398,0.011268686531821438,-0.04172302187192024,0.019075893205238025,-0.04697154317957786,0.03619065448141139,-0.03444885243058739,-0.0013241704527047712,0.003604788257924618,0.02793727624007314,-0.002678896061759922,-0.007551263514222354,-0.04003402662105884,3.369995498,2.880004502,3.125
-0.007437332753875477,-0.017830335258204575,0.008537226759795883,-0.021383856879644836,0.0026090529403005147,-0.01524695555470393,-0.008196734542067484,-0.010669558840716069,0.012711776354400193,0.0032179371701352498,0.009322529470563317,0.020622712887239783,-0.001133987314467487,0.022819724551242856,0.017093319088697767,0.0009446333244115657,0.011300010158251468,0.00027009203604914993,-0.07397273034629871,0.014201820606616828,-0.6301340894710491,-0.016057211586248225,0.0011676138471954035,0.037853448285363876,0.0018341290184610067,0.007559558902395632,0.007248245543475243,-0.00445941873217722,-0.006344083751679624,-0.02032538742415993,-0.000574539114615628,-0.0073191630363731615,-0.0007885388906604267,0.008503669873898913,-0.0074204448050868245,-0.014748908271354264,-0.00384830442702472,-0.015771024941006975,-1.6734158120022066e-05,0.007406809951911563,-0.04551981021380677,0.006848216122206347,0.013578413188952563,-0.0035593321172476106,0.009487984226740648,-0.007420386087646826,-0.027957660397776328,0.002050525537329869,0.011263859263038996,0.038980083870038984,-0.020209851034057594,0.005490293090209765,-0.004522777422777225,-0.0049141480878167635,-0.052265860670352604,0.010125025194838783,0.05505506758844228,-0.007368720188744722,0.007736781569439755,0.006969778326390187,0.00487074485936658,0.0032293434607647345,0.00526958939743347,0.0017558167426081769,-0.03752229673088728,-0.020865638037851117,-0.003563209625810551,-0.1011883232920043,0.0168661736195046,0.0017384648162273799,-0.002244886369107996,0.0058724745891274854,0.028222240110480423,0.002390317672116817,-0.01993663333631059,0.00537193048697539,-0.02818934416390468,0.0037271671231994077,0.014863990018823006,-0.0008969647722545834,-0.003814822379031881,-0.008273185580066561,0.030322546443246126,0.013331585875708422,-0.03360306938374199,-0.003644456554037481,-0.004219145770282769,0.004212482019617945,0.005148583751094724,-0.004782066404456452,-0.0005586162287038475,-0.004578500587481442,0.0023259930169980273,-0.009262980587809609,0.020573879451171673,-0.05073975336910492,-0.00769298240458302,-0.03485115429883413,0.008281724182504441,0.03025877973748476,-0.03738698427242104,-0.02243947295885891,-0.004306673385120333,0.023636199872229233,4.804087,4.368326794,4.586206897
-0.006576536666741618,-0.020343765128599287,0.007573715977571744,0.8703842009754222,-0.024911003162177914,0.044752921566694526,-0.006326647230611091,-0.0006802651067214126,0.006182153499801165,0.002754078132664137,-0.015891345134287985,0.02369603769834624,-0.006586914101072932,-0.0002139749784530704,0.02403648624949728,0.018496185772643798,0.019715311866554914,0.011943467359767115,-0.006740630071076202,0.007252194819981605,0.01954892540717224,0.023406949631377374,0.003588071359992973,0.043358331445337954,-0.019602528356178525,0.00711200420506027,0.007943904331936681,-0.004680016526648446,-0.006446653098341491,0.016378342474641084,-0.014659008720730898,0.011694886891390246,-0.0009531686527093924,-0.012394191054218398,0.003449662590975691,-0.0032962886437464963,0.010083047922571938,-0.002779808787421408,0.010522147071060311,0.0005485437695113793,0.014112265451887242,0.0040702400735638765,-0.00036274642982524473,-0.008906136675259762,0.01706008498239691,-0.00455450561334101,0.007887040018296158,0.042103414301883156,-0.008545485321543362,-0.015128362853865089,-0.02054108211739675,0.009242808257006543,0.05952912103332186,0.00647228047745428,0.009200911434768023,-0.00993255426392509,0.011645225188046135,0.006465144407730087,-0.02437342099909495,0.02391773352221287,0.02185999493256391,0.03357290627597638,0.007061164949107495,-0.024847831305796174,0.0015429529028126452,0.012311585712082473,0.015843377034305436,0.010827412700316202,-0.021568771076153754,0.01517725849284122,-0.003067342680054206,-0.003007741086706598,0.031816222677236175,0.01211607631352076,0.04122115466510341,0.014110622671733486,0.023182046222028185,-0.025734625485589302,0.02512960853060155,-0.017342560733413885,-0.0007426445584788444,-0.010078930985251639,-0.011220100984428142,-0.004445014187564729,-0.036887315644520025,-0.004988235933766632,-0.010266250416569981,0.006286761178941089,0.0019826311998172087,-0.009313816232877838,-0.016153565727045238,-0.01068621478034045,-0.0032347804069302833,-0.05995859113692248,0.008253196026868432,-0.02438737331578892,0.033246356616090225,0.040962648966598056,-0.027751763012620084,0.034408555848110096,0.0033695020723105845,-0.027006478909167766,0.005141240228359474,-0.04268501139448566,3.431346944,2.747224484,3.089285714
-0.0036326781671124618,-0.002803647270029249,0.003702939321011347,-0.008435541961302612,-0.006211026432443588,0.004695225065975356,-0.00245045233883657,-0.004092285098567433,0.004682080874621616,-0.006965814899417206,0.0053211183514412985,0.006494638676144068,-0.002843131896957702,0.00849655837967807,-0.0004786319816913604,-0.001351296222354019,0.004407998387653106,0.004924782522739936,0.003504864529260357,-0.0021970035716687444,0.004764505220656393,0.004187371857216963,0.00355072846283409,0.008801074693525637,0.006544404759150095,0.003881416385268978,0.0011866247337471902,-0.003319841427172191,-0.003952046641743873,-0.0008314843912309236,0.0036079744438548187,-0.0015283382790337507,-0.0031674689982151907,0.0008271179184679922,-0.0029022158311603394,-0.004665638297027119,-0.0007904260571844291,-0.0026247260839880084,-0.0011923493767448175,-0.0022057625903551654,0.00420426929030547,0.003185297809712017,0.008249757298741103,-0.0023044254935669223,0.005885014805683188,-0.0036113602690039997,-0.003729389982607292,0.0023293464587187066,0.0020922983796323592,0.003994708682826609,-0.005549253273251698,0.005493929527730677,0.0025717389207657033,0.0017521967100832053,0.00019022170024489692,-0.004881173095540608,-0.0009253721066496363,-0.004540982200202933,-0.0020484991347864867,0.008436673143684315,-0.0017447944021986976,0.003962693268242688,0.0010322095169859945,-0.004903436921493963,-0.0070628446662778345,0.004515402818244422,0.00018491527510818064,0.00012755938366611162,-0.0005114720494014144,-0.9905190158247493,-0.0018887196454787515,-0.0024014451239393955,0.004196458358259236,0.004641441979195329,0.002429443712718035,0.008812140550398882,0.004621808895702525,3.692355487173567e-06,0.00553026217490981,-0.005895218771657932,-0.004154672251691411,-0.005045865088417052,-0.001700097586243463,0.0029588950051795287,-0.007968123311933828,-0.0038313950116216472,-0.001137204594730893,0.0036565738015437352,0.0035650487271928245,-0.0031913404811502394,-0.004876815840227197,0.0038209418455759678,0.003651059494047787,-0.009211233748670947,0.0012439437529105151,-5.038512334265258e-05,0.007562786765855314,-0.002130723084631743,-0.003926226427041479,0.00066540774286615,0.0006276331898356583,-0.005401287779141977,-0.002103440861774424,-0.003083185855510501,1.384178612,1.098580009,1.24137931
-0.00535119697680329,0.005083435048835309,0.004690690131390112,0.010495320533054468,-0.004480125869836134,-0.013593383308966958,-0.009277297922772525,-0.009412836941927332,-0.006954519481774483,-0.021732354157088893,-0.002817396453281655,0.013547916043015737,-0.005211980164224515,0.017296433330129854,-0.008569021344786994,-0.014653320613663529,-0.003685990714088856,0.00768946169940927,0.012834396938797626,0.01672916199335262,0.006311791222120023,0.017833664692918257,0.005734328533391487,0.0016926827332923169,0.022278755646590796,0.0013824473195184035,0.0006698379755444391,-0.003627933024830771,-0.0038143535040267434,-0.0005952739007803175,-0.9523560544383057,0.0027046981561927126,0.0001825268983051226,-0.006042838371113429,-0.003474055070579376,0.0021210672903019963,-0.007659131779154061,-0.0006675113331002497,-0.0018479295087490105,0.007679920578610693,-0.0007492936173535806,0.0025378805307825244,0.003978856966775571,-0.015650332928072396,-0.016232565397487107,-0.004134921515182727,0.003870380334362473,0.008935665533691696,0.008633756381627776,-0.0004442762008180118,-0.011833771319276208,0.01525688216601065,-0.006795864800971191,-0.0013597458569101382,-0.005771467610547459,0.013697829397726225,-0.00551304660952894,-0.006444774471978653,-0.00749914030656747,-0.011137341659491701,-0.014641383440491158,-0.04005362856750765,-0.011109022069498273,-0.004899647220527289,-0.005832489312968678,0.002346582308108564,0.004153849520699303,-0.01163627484955207,0.012052175697166944,0.004134168147103613,-0.004562061772745493,0.005334328012531198,0.008664781894072035,0.000140734612522942,-0.010088458548510416,0.03158433960722518,-0.008593103251043486,-0.0031641289952435716,0.0008648503957565872,-0.006980785876859358,-0.0035667295320431273,-0.007928285160770382,0.003475153007231009,-0.005003321975889538,0.00020457947640312705,-0.0064183762705621004,-0.017914426329311835,0.006493707221204971,0.0034504374516908165,-0.0036308628054778085,-0.006574587719270157,0.0024376257900990688,-0.0008958547046625252,0.001748085598894265,-0.003121591610800541,-0.0033952804042254067,0.009656256100786714,-0.0019285522289710381,0.002533784036383913,-0.004120806941388836,-0.0041656849912957376,-0.0006739099056695078,-0.004684520921153872,0.023559646079906852,3.165961789,2.619752497,2.892857143
-0.012362060729746946,0.03611236404143354,0.016380878112717955,-0.02338361720961988,0.005593190715140491,0.14925788413789248,-0.030785642603198396,-0.0016824477469376817,0.004473640120432728,-0.02769750534647126,-0.08843499385410823,-0.012031210731201806,-0.00723031737142184,0.020172189922828217,0.04105922505020687,0.01748566944172029,-0.0319557052258146,0.01640074133814341,0.035882034822428875,-0.02372942707912529,0.05911954016609106,0.05822568759187833,0.012835315675803618,0.06416195587902523,0.08012107281407573,0.006166000709260007,-0.02183327099935738,-0.007892465746562749,-0.006969168916615828,-0.03084334422515704,0.03992131293437546,0.00919677970346422,-0.03285918386594827,-0.03499947408575474,-0.0016174685218762897,0.2668520169632487,-0.0010559753918622417,0.01853875901416576,-0.011925246318017706,0.05551676072041243,-0.0020176359006165096,0.010872453924262136,-0.011940916037251162,-0.04114428921576872,-0.06254054215981127,-0.0032584201280235698,0.035365982403024535,0.0013049269604744982,0.009805296315656227,-0.049823694626779456,0.16122210050783478,0.01066786379227517,0.06080956840877617,0.0022634980214851475,0.053369387073725065,0.15343304363679894,-0.0758228828220112,0.010231567463274544,-0.027545186577632882,0.0244645518534126,-0.04548161645238215,-0.054617656107085834,0.02807374158767654,0.010615628972879291,-0.09315755630299237,-0.05222368969169921,-0.0015247071506790117,0.07605276069059567,0.06351597746040304,0.007356576093911295,-0.01096973121576627,0.011045105765472081,-0.016100008817508428,0.015276782121041641,-0.04221481064002078,0.04856375652329199,0.010822988633467033,0.05482778133222566,0.0014216436698309505,-0.02520268363547384,-0.009345693664463531,-0.00799657594844134,0.03618030264257367,-0.0199564549767272,-0.05842857988561151,-0.008065408502790182,-0.034574774101406996,0.012274253556624051,0.011701950852464572,-0.0006178431095440677,-0.02168988964416464,0.023051400143003754,0.0048607119641119936,0.04700464956316117,-0.00324976104884697,-0.051504410459311374,0.013010326578631212,-0.10861751530007245,-0.03170302176424897,-0.034083280666015216,0.07560645659205875,-0.060044658588115696,0.007442431179850517,0.0016530067217275996,4.371789143,3.869590168,4.120689655
-0.010739837404963454,0.049635588280533306,0.014225500869184962,-0.056134312020635006,-0.01656839848422595,0.018778898306428066,-0.023287493312257948,0.010669254909696932,0.0004625532110071969,0.010726078815670424,0.035538032451026116,-0.02297490720443146,-0.003090373885766319,-0.031238389284093254,0.01425123148226312,0.004259589436519924,-0.029052994768656273,0.013248171677187115,-0.015712188750500036,0.03775592112447181,0.04977689754208844,-0.0369606034460521,0.017292331714917925,0.0840807764102483,-0.009156882434673955,0.013215252449857443,-0.008110527049696902,-0.007711078983627371,-0.011284439265230642,0.014638668018470745,-0.011740871645284399,0.005782772757389631,-0.022245505513298895,0.004899967576025545,-0.008778915254899747,-0.06973689963392841,0.022677367583221503,-0.017447525771793634,-0.02838417909609572,-0.03070641690895404,-0.05380465732206524,0.011158304406024715,-0.0366837637189679,-0.00031872455028454476,0.056146791955486774,-0.011560805838826838,-0.03117012085508255,-0.02044351767062928,0.0053516402532936,0.011443677516341372,0.006208120143778499,0.0057392864341007845,-0.043226467254382214,-0.01847126866960807,0.2157947160093701,-0.12282497842830949,-0.18652022242769026,0.009371981625552231,-0.06821486659286637,0.04854898883059271,-0.0294347521837546,0.023982846852600957,0.01764178035770359,-0.013181523804594307,-0.03455164784867601,-0.01002719203250943,-0.00785169627898073,-0.11744507607644702,0.03799362285508383,0.01084941255740718,-0.008956485956523496,-0.06331298238058423,0.011092989135397795,0.015497974044139842,0.006918584732882113,-0.020069401836479216,0.08172591908907155,0.014039965227463544,0.01927078835191979,-0.016830858479040412,-0.019699687559337844,-0.011862776416055728,0.02560454227215643,0.02462789892580492,0.0036941313108216963,-0.020186215080370235,0.000532041605758258,0.008978537136769887,0.012560840314501066,-0.009922581442699679,-0.011627159073413707,0.011679980097191563,0.013134155014741241,-0.049243984628259865,0.02224538041618901,0.05805334781875349,0.02920547057344065,-0.05150355285201995,0.002193414070678911,0.03388798255379769,0.0693158639585929,-0.0033045663952643604,-0.0102456845433146,0.0008969092178315983,3.312221095,2.887778905,3.1
0.0043482220898155965,-0.08550473453238228,0.012760803545009882,-0.018921334652082435,-0.026618076580022743,0.00292355114735454,0.013537508483506683,-0.019776497945373988,-0.0042109632000366295,0.0007250259015202995,-0.017302811797219955,0.04443212874584654,0.0007461500936566917,-0.004623738080095169,0.02690949457177675,0.02114382230148619,-0.012698868323376812,0.0054974858471106645,0.05540853735808259,0.002340070275428575,-0.2760539662901516,0.013474564320755696,-0.0021202536713992226,0.10937156804359155,-0.055921386287420126,0.004805258703094952,-0.008045427806804336,-0.0018900998453303668,-0.005634696385123215,0.043343451352180755,-0.014516180423138628,-0.013929447623856948,0.008742300823320658,0.002247007507128411,-0.014572632493373925,-0.02344825987335449,-0.10511120916323143,0.013477248843079988,0.013304972221263296,-0.030695991476936583,0.04786537518739541,1.8723687881792343e-05,0.01571685101482615,-0.011542874576558915,0.06623986831477348,-0.001624149617391548,-0.06929137664708505,-0.015806291379837724,0.0051047699715224,0.04274848467480162,0.049860421088686366,-0.0009655310786816285,0.040443219418002524,-0.019515236163036652,0.013778156620858358,-0.000486469977706222,-0.03536727002524855,-0.009669211710598749,-0.026825382452560755,-0.00687617156874658,0.027335197270131537,0.059656379315448906,0.03336380123127214,0.006009856160899748,-0.0028344531646954827,-0.029289964930976835,0.03127667576048362,0.03379005027765132,0.008673064940938783,0.014689845672509173,0.0011115217895061626,0.010400840732645758,-0.02914434919426802,0.008922619843151968,0.05442682183467718,-0.09953028873589459,0.034580657647170936,0.012367806631516551,-0.006893681741079768,-0.007718298626335628,-0.015602227244239935,0.009526932717275349,-0.11145568552595257,0.004079685999028457,0.0077236122957316,-0.014957943891027763,0.01631356870495941,0.0005934452700429781,0.003397868775017527,-0.008491639489513243,-0.01951434526835815,0.023427790680888745,0.008725650728467647,0.6270088347143185,0.0015885955927922024,0.09658594735641834,0.021532661039239846,0.0037005702061613187,-0.03640099864319619,-0.03312651973874506,-0.04355356845020796,-0.022425566663390656,-0.001926266184628433,0.00052416845391241,4.756993215,4.311972302,4.534482759
-0.009209338706606757,0.08674972204962597,0.009156867916507973,-0.027000598352581638,-0.008614314388686924,-0.015723728036203977,-0.022091983902606426,-0.0027967710710007413,-0.008358629503353648,0.012235619060952043,0.018333428148073684,-0.03170641571786904,-0.012652163283595731,-0.026132447568221404,0.00994354954338714,0.019710913907859392,0.14159286979255623,0.010413032246156704,0.019328677452330505,0.10315465757577381,0.008799489964124068,-0.03138584808914262,0.016889707966014682,0.05489413527621626,0.04033479354644365,0.008127656975468427,-0.004623636375019874,-0.011099555837192939,-0.010977799389732331,0.007830157193061337,0.006552173513511617,0.0008224090608892058,-0.007057777911764323,0.01601092764560252,-0.011767827845612849,0.012647552841458267,0.015447727890474834,-0.01434265404136292,-0.014591681088053343,0.008249399436716957,-0.0034782563254679424,0.0091430556363096,-0.017255909482097542,-0.011323963593610145,0.029320122549490398,-0.009790338909311913,-0.0801802270546058,-0.05027193164796537,0.026356969214876017,0.004431278958691193,0.010753632102976295,0.012621902940269386,0.054398982015353384,-0.013089016220229113,0.004017563240738847,-0.02835026129447227,-0.09858146275583918,0.0017568905858904222,-0.04669580468971345,-0.013488899051526218,-0.0038216110695443264,-0.006789057549086235,0.020821420160748255,-0.007032033279638089,0.004146231474312951,-0.019505940115652487,-0.14438576668122846,-0.0030984452237063993,0.04080422643685096,0.005757775105371035,-0.014842637498268483,-0.013738792148098956,0.02205995506426897,0.011720846523618909,0.018081307787426743,-0.029124034508859396,0.028426771309641087,0.026454549132532226,0.004661812885097397,-0.013040667013580944,-0.017576557828589974,-0.015386319959203929,0.0008556038756969644,-0.017510830459359212,-0.02200908723649912,-0.014710245947861352,-0.0017780055013300892,0.011425542943246022,0.01284263887102768,-0.009753754305535243,-0.014506147563325397,0.015357438667014058,-0.008157478821992956,-0.032001366127660205,0.014868254853494484,-0.005371155082039007,0.03804799696976149,-0.025537678669347325,-0.013890045364133843,-0.001269301886560344,-0.08229200222376992,-0.02265600245132244,-0.01326140165007685,-0.025949615246367283,4.655644914,4.137458535,4.396551724
