fe-1,fe-2,fe-3,fe-4,fe-5,fe-6,fe-7,fe-8,CIHigh,CILow,MOS
0.13180016111809237,-0.18479840801791042,0.07042747620202211,-0.07856485804423952,0.0228127821817695,0.01185980462017363,-0.017252807905413888,0.0860143146448329,1.424230754,1.075769246,1.25
-0.05455005476382263,-0.02740366854249744,0.005184608946638268,0.11477367119979856,-0.05695049316892195,0.01641048303829148,0.019343747470299318,-0.07754851392296487,3.369995498,2.880004502,3.125
-0.016967407238807748,-0.007530813427326452,-0.3393853986472423,0.0011847732639243675,-0.016933131717039085,-0.003853991653330436,-0.00440709921202811,0.030752261555884938,4.804087,4.368326794,4.586206897
-0.040596328124423764,0.0007036324202676362,0.02964043023869552,0.043681201807756934,0.09190105799436386,0.016559285417954414,0.00109593903625198,-0.07576482447178863,3.431346944,2.747224484,3.089285714
0.14633469540816837,0.05230823794499534,0.01574372321898934,0.10744067753081173,0.02766497851714793,0.008960936945755848,0.20741527218937644,-0.0744126479612356,1.384178612,1.098580009,1.24137931
-0.04864725054196349,-0.06510648193674266,0.05196143024180532,0.1292951225701158,0.016669300333475207,-0.10573224740943088,0.06135473365057314,0.09059493392151954,3.165961789,2.619752497,2.892857143
-0.04417010527271225,0.007066199763250479,0.02987203458002616,-0.02790466649011622,0.08229596738876142,0.014956384898746728,-0.0038383911712617674,0.08246490569420381,4.371789143,3.869590168,4.120689655
-0.061952605243225836,-0.025437742387722447,0.027273562798071152,0.12457638604504706,-0.029375639329185105,0.015731643409656073,0.014551073267643868,0.08556221188935942,3.312221095,2.887778905,3.1
0.024212344080974783,-0.09604827067639415,-0.2787163406735327,0.03447500462475084,-0.07458591928432344,-0.0040055282684815586,-0.3052264001816514,0.04270317615210957,4.756993215,4.311972302,4.534482759
-0.04216817680598427,-0.005836785801916464,0.013171639332214616,0.11272077689204633,0.10120798007379347,0.01558634798149921,0.0022300776741816055,-0.0761927607631168,4.655644914,4.137458535,4.396551724
0.09015340704844473,-0.050824522350549364,-0.006278380497524563,-0.11034610707296745,0.08705741150294327,0.1972987130012114,0.09956792926388752,0.0733544804821733,2.970983131,2.251239091,2.611111111
0.04004952620253675,0.3000748804797976,-0.1743965964165723,-0.03219724567678817,-0.03086316945091229,-0.000960237753328616,0.015683149174781617,0.060785482595140064,2.686788331,2.05395241,2.37037037
-0.02080943605183417,0.004198216371112913,-0.23144291254527305,-0.03916293018091875,0.04010524152816579,0.0016150811233121964,-0.007951733582793158,0.0445784962171734,3.044920759,2.339694626,2.692307692
0.060063724011720804,0.18447170972342142,-0.07803677443595022,0.06676707934216088,-0.029023310764906586,-0.27333753122339893,0.14492142169755265,-0.07777310429240845,3.95457961,3.30467965,3.62962963
-0.04723415091481701,-0.04059655482269026,0.01305670304001772,-0.10352304134773037,-0.12462925538459395,-0.06035302136548719,0.04732343340948884,0.07859356301003768,2.576073139,2.123926861,2.35
