fe-1,fe-2,fe-3,fe-4,fe-5,fe-6,fe-7,CIHigh,CILow,MOS
-8572.136847605547,16777.303415438604,-3720.247692908872,11071.459571657038,-1125.2699902375389,-40598.87201190656,4146.316027630335,2.147725643,1.552274357,1.85
-111409.41792087017,-7566.273027124872,13194.476860766204,10196.169546694815,-1645.6606475438134,-24020.30615679042,853.0334106833001,3.388944946,2.921399882,3.155172414
-26576.707464700845,36651.45092160586,3828.945062518337,-439.16115583097246,338.517539643484,759.5435675295734,7892.070411736413,4.225768921,3.636300045,3.931034483
-88873.05276727819,30960.80513869131,-27498.59865367547,18527.61989611082,26734.772618702078,18422.181059832186,3548.784821623562,2.535804889,2.019750667,2.277777778
35595.50249867747,-11943.18351100532,32611.76894847628,-31661.354451914565,12278.410294391608,2204.9338803408664,15436.47801836633,2.405101776,1.828231558,2.116666667
317597.83088975464,3485.1645196977524,-6551.012843514174,37332.04498525984,37717.59782069854,22447.373143636338,-849.4283033957348,2.746840825,2.218676416,2.482758621
417683.28306202864,-16487.851371332432,6916.163849700293,40782.2417246079,36560.34741933009,21398.048467172466,-5700.18010722138,3.0643401,2.528252492,2.796296296
-127985.57156894449,15127.138577142568,656.6106217215189,-1280.3294223987086,-532.6657443545249,1198.8855344215167,-3154.100321116873,3.653463529,3.070674402,3.362068966
-156881.11424114942,27348.843342941123,-15694.26696292539,-5070.044630971279,-129.1439853597924,75.6596416209733,-6747.042246044475,3.432505962,2.867494038,3.15
-224695.90033519323,-12602.154994222696,-33152.34357549737,9109.307895661852,-5791.288493951765,-4210.665215127742,-16215.87840034467,1.659640274,1.271394209,1.465517241
-155985.79360999196,27251.663447120645,-15728.837560404783,-5074.202109515566,-138.71971717689445,48.819936614961556,-6853.808260112942,3.653463529,3.070674402,3.362068966
-102740.13104542742,3260.8968369155477,17240.38838310513,2545.4157845415552,-898.155150364004,2443.7711388592197,903.6443111182201,3.720526178,3.246140488,3.483333333
-112286.8804818424,10143.05127009154,-28099.825686460037,-40923.78622585471,-22708.15162386433,13738.455208474876,13930.23784837967,1.786571514,1.313428486,1.55
-191644.61798483285,-527.3264533825958,-1790.4020473039775,-1786.1402923820287,-1091.3588782482836,966.8832707170295,-11589.16983336659,3.094947531,2.491259366,2.793103448
-170157.87200199757,15009.352833637366,-24267.122355163,-3818.473246655882,-23867.429968743276,8942.576401372446,-3805.3939225301788,2.790403103,2.276263564,2.533333333
-169722.03455831634,13433.49073974772,-17659.61035313329,-30159.948972786056,8302.286396112719,32.459196882791616,-4641.716924840803,3.12457995,2.57542005,2.85
7075.798715895015,32986.1221086892,2460.141568730076,-599.9524138599389,-18.062285349962984,-273.0539800755017,3884.9330358177726,4.23399043,3.535240339,3.884615385
-125345.11971585719,14842.065660352922,550.097276784989,-1293.4060038198677,-560.8143237261806,1119.0146444198983,-3469.9147711175606,3.954853907,3.366574665,3.660714286
507285.5071790906,14926.957384404306,10085.791488242661,2765.4290243396354,-2483.251782052383,-9808.876096505819,-16337.718551410586,3.044920759,2.339694626,2.692307692
-178537.71721144038,-11070.300380615261,15281.92815922891,2096.7924674015158,-1328.3044122459712,2581.847779639388,-6092.918508220895,3.394160216,2.89155407,3.142857143
-156359.61151131228,27291.71332072676,-15718.15808663917,-5072.757504564675,-134.52922290989943,58.97966704036338,-6808.1250649650265,3.636244181,3.018928233,3.327586207
389190.72284239833,-48615.378784341985,2411.5975295225353,-16896.897913123346,55914.66786103375,21263.71193275545,-1180.8719319166362,3.95457961,3.30467965,3.62962963
-163367.94240929693,-21797.332188098557,32191.98993111566,5952.286664872521,-1586.649146947171,4124.7776600661355,-872.6567483242274,3.369995498,2.880004502,3.125
-120360.21443036046,-10134.504422074211,15464.959965841705,-22522.003356326037,7584.076690910423,2545.4479626831853,3576.8105060886787,3.531309226,3.020414912,3.275862069
477412.65985679434,-17033.314928325814,5594.913974668073,-54905.217950465,16895.965544374198,-9911.098489353859,-11542.630826374849,2.686788331,2.05395241,2.37037037
51809.713712738725,9921.899265425915,35785.163221922376,7061.4555554440885,-687.2164349694107,2388.2254225581605,12668.329366012744,4.672867535,4.18920143,4.431034483
103837.30728488123,4252.593833247863,33681.60574339118,6814.793960919493,-1238.5424890812649,796.3321981619052,6483.766524191375,4.592530589,4.157469411,4.375
-133024.93531949102,15677.97926695605,864.3225552550829,-1256.4352792444647,-479.00732343468326,1358.0337240597562,-2541.42493834525,3.454788469,2.978544864,3.216666667
305227.315778517,-30128.480711949447,-8409.690202033016,-51344.898111677336,-36427.10278389856,14881.995171313083,11829.07041924566,3.764962853,3.028140595,3.396551724
-177088.9826474201,-11232.900392403233,15229.401396701673,2091.6888881739105,-1344.180145391716,2533.949006171062,-6278.294552055466,3.324814232,2.847599561,3.086206897
-177783.06979999674,-11158.491260562807,15258.612051585376,2095.3777759846544,-1336.792999008145,2555.1103224806293,-6194.89800542679,2.653067263,2.154625045,2.403846154
-184052.13990181385,-19156.951573616676,9777.272752285042,2871.865430038055,-16308.653475034922,8076.325763279652,-4610.203023849359,3.28166657,2.785000097,3.033333333
-154773.6320769024,-11063.610520818778,-9864.415822993058,-25113.80378276671,-15831.143868568002,10034.546625324092,1975.7628768217487,2.303374142,1.770699932,2.037037037
246964.03748858173,52400.00887065737,3015.7410641498614,58.34523461649213,370.8824600002878,-3879.5232772081176,7489.697329854227,4.518530885,4.014802449,4.266666667
-63313.49573131715,31773.935259829046,-18946.931147272906,7422.139190755386,-448.59675586759823,-40924.31740470898,3649.00026441661,2.970983131,2.251239091,2.611111111
-178650.8719795677,-11062.867833754002,15292.766710479978,2099.0966993446964,-1327.040045268571,2585.5816109624525,-6075.260097747336,3.348464581,2.85843197,3.103448276
-111511.391398216,4217.331928558763,17600.554249793135,2587.409710164414,-804.9756272799808,2716.9501721213287,1959.559366245106,3.884859971,3.329425744,3.607142857
593669.3936262799,-38771.484232300005,18411.513963217218,-51530.7243337781,15567.617637467769,-11453.930146871964,-18307.42834463823,2.156586714,1.73996501,1.948275862
-54213.74295760127,-53834.44607606879,-18474.847840286544,889.0566471085475,872.7520085997286,-7050.514577257619,15123.36331939824,1.387269538,1.079397128,1.233333333
