fe-1,fe-2,fe-3,CIHigh,CILow,MOS
-26583.5577948774,36651.06543421825,3830.566155433919,4.329362543,3.770637457,4.05
-163371.8021396242,-21798.278434606404,32194.503462540277,3.421011653,2.986395754,3.203703704
-196930.49038238896,-7262.109974575311,-4406.180802818728,3.107115012,2.596588692,2.851851852
-196314.9490813162,-9595.50877627866,-3161.7653853105076,3.319639376,2.7838089,3.051724138
194960.65869782024,-76837.82761683453,-38291.312805877285,1.543937516,1.222729151,1.383333333
-14347.637429979091,-13297.012857945734,-2132.1441083389727,3.907056989,3.437770597,3.672413793
-78041.96969912775,-8500.943727850483,33760.376838680146,3.991799552,3.401057591,3.696428571
26676.551301628864,-71718.91671086679,-4229.979698130441,1.56564417,1.167689163,1.366666667
-199001.3953729737,-7083.478348273242,-4253.352899395666,1.362669765,1.137330235,1.25
-213707.6466873954,2212.97498111361,-25044.849854822132,2.576073139,2.123926861,2.35
-51096.59293513658,48395.261882625105,-12707.192109726977,2.501572021,1.9811866,2.24137931
517257.1429616262,13840.12274000761,9681.205460205956,4.659037443,4.269533986,4.464285714
11221.217982545977,23418.30674647216,19902.25112688585,4.549695967,4.021732605,4.285714286
176344.48446837606,1831.163162581231,-41623.89831047304,1.965763382,1.498522332,1.732142857
-191915.69020242398,-27885.88916159393,8528.711275312216,2.518109498,1.948557169,2.233333333
-48589.14047019039,48122.913162874305,-12805.278004868305,3.799760206,3.165757036,3.482758621
-49001.253181786,48167.389711458345,-12787.790589645287,3.453428328,2.925882017,3.189655172
-163813.6276533671,-21749.166463269707,32209.156319098856,3.551922047,3.103250367,3.327586207
-96939.3177214531,-20225.548858060884,25415.291051915072,3.809449298,3.362964496,3.586206897
-4587.588432627595,-47064.65999952641,11133.2507480884,1.384178612,1.098580009,1.24137931
99227.65415197503,4755.525827243124,33862.49421533198,4.386792309,3.909503987,4.148148148
-166880.5504235901,-30994.275163915143,30775.68262241422,3.523768328,2.976231672,3.25
36943.09035456148,-3017.0100441512054,15034.833737702265,2.646890722,2.056812981,2.351851852
-96471.00174229148,-20285.01670098855,25410.00676565096,3.824198457,3.329647696,3.576923077
-182389.01502354728,-45316.29406605447,22849.537328776547,1.868626477,1.476201109,1.672413793
240152.04350781915,53137.7862928366,3295.7383288434085,3.469450144,2.923406999,3.196428571
-131948.61699090252,-36620.90727116634,-3822.0895889541457,1.74043084,1.328534677,1.534482759
-190106.4398123923,-695.2418077846924,-1854.476688790647,3.448905722,2.930404623,3.189655172
-186353.74250343905,-17582.125847963423,12842.859811632707,1.529546306,1.23712036,1.383333333
-56563.329332473215,-26534.50973306762,-29185.676392476813,1.400678788,1.15104535,1.275862069
246964.0287694965,52399.617251183765,3015.3419901195907,4.586922149,4.190855629,4.388888889
309437.32018537517,-89263.16899558663,-43007.21173215094,1.377270849,1.056062484,1.216666667
435792.43342672405,-85548.54065771852,-20471.53843848951,1.363997599,1.102669068,1.233333333
55361.814486334195,18609.865335226856,18114.74105412219,4.442228583,3.928141788,4.185185185
-172152.59757377676,-37771.62475972008,28242.299657276988,2.137035504,1.690550702,1.913793103
347922.2314522347,32285.958984764242,16536.086150065417,4.785550297,4.325560814,4.555555556
-42560.93726866817,17115.224246642098,-9567.332444191357,2.55951845,1.976195836,2.267857143
386217.6863059454,37229.05160606467,-2618.1994183550573,2.692561138,1.950296004,2.321428571
-209627.37297721833,10505.760635605484,-18585.645417006002,3.060916712,2.639083288,2.85
-133309.22184593452,391.21379098407414,-1612.3835811255296,3.669138913,3.145675902,3.407407407
99683.4376010912,42300.423726821085,-14245.533031397634,2.241733096,1.758266904,2.0
-101098.87213979207,-6926.486666838949,-47846.555276967345,1.424230754,1.075769246,1.25
-181960.25102534852,4327.707405872788,-29675.37096695828,1.91045444,1.503338664,1.706896552
-53392.246184111056,18012.320848377116,-11421.450224731823,1.868626477,1.476201109,1.672413793
-208652.2272985819,10399.324023760077,-18628.07884687433,3.228121605,2.771878395,3.0
-180571.3484709124,-45568.32806151499,21891.498100982662,1.592996662,1.240336671,1.416666667
-76506.38212192188,51165.01145266307,-11674.953404730362,3.849214939,3.150785061,3.5
-77623.80415645488,-8546.810450909818,33746.927902970834,4.24461591,3.686418572,3.965517241
52139.93679653552,9887.385123787439,35769.55001414477,4.655644914,4.137458535,4.396551724
102995.09709901216,4346.5997856545055,33710.42896957834,3.658971212,3.055314503,3.357142857
-88033.83864729258,-7413.186502286753,34170.77181432814,4.041123384,3.392209949,3.716666667
-133621.51855550046,15741.948813768673,886.0939702986938,3.574117983,3.046571672,3.310344828
-162708.4457579387,27985.137869965216,-15460.28610180657,2.558665314,1.941334686,2.25
-87866.5021197085,-21410.74765730573,23566.794347725907,3.165961789,2.619752497,2.892857143
-132848.5250876096,15660.234905785774,854.9481043546165,3.846189416,3.296667727,3.571428571
-226955.4181620551,-13200.05831384772,-27993.982409483044,1.945329132,1.488004202,1.716666667
-208656.10983661868,10399.087565069038,-18626.088821366684,3.109396031,2.640603969,2.875
-154254.64509202202,-25077.72318146763,-20528.219157761087,1.765816215,1.400850451,1.583333333
43566.18165511426,-3740.362577569601,14774.153173958774,4.625796982,4.159917303,4.392857143
-190114.2177099819,-696.2940500280641,-1851.0884203254489,3.444807906,3.003467956,3.224137931
-178608.71097964686,-11062.663455784821,15284.681606688417,3.430356437,3.002976896,3.216666667
9555.79690823869,23600.724802687386,19966.81886802307,3.431346944,2.747224484,3.089285714
-177014.217744257,-11238.411006795295,15221.578181771758,3.373239619,2.937105209,3.155172414
-161757.64749986122,-21975.32130728687,32128.942917747067,3.312221095,2.887778905,3.1
632550.9162240349,-39636.76978400999,1546.2932680202978,4.756993215,4.311972302,4.534482759
-110981.10054968388,-32011.89647944809,28211.923480805428,1.513780279,1.186219721,1.35
