fe-1,fe-2,fe-3,fe-4,fe-5,fe-6,fe-7,fe-8,fe-9,fe-10,fe-11,fe-12,fe-13,fe-14,fe-15,fe-16,fe-17,fe-18,CIHigh,CILow,MOS
-162126.59825933375,27921.841200337334,-15479.956809282034,-5045.304908306039,-73.20762136641673,240.60131910048236,-6109.35365085868,522.7156068744127,180.75007203461954,-1.92076083819129,-4.035116311425682,-19.612854483337312,-7.874316817605662,4.631629875840282,2.5877480334126677,-2.4532328252462685,4.795232119932567,-3.484279365063232,3.380332715,2.964494871,3.172413793
185503.72194779906,-66690.73377635339,-55513.50537891821,-3833.9116736574183,1253.4162644201215,-17511.583522158307,9740.315514383621,-411.29255613590664,248.724649445948,50.76560280513853,12.5778575701656,-110.28323369637957,0.2714974416137097,-66.17603085441674,-0.2643115169876741,94.24955261113878,17.27328207061621,-49.965887441974395,1.26447695,1.068856384,1.166666667
-126571.56289184802,-21905.74177552888,-1497.0751847916051,18507.14854662773,-7891.283239722314,23158.03715155363,2067.5690766944945,362.5843055862785,287.55221199327934,-58.06556925863769,18.715083844761857,13.325620855991785,-8.601402842336073,3.197722677440513,-13.09692096861904,23.811514757674935,-13.073191288157028,1.6531879457065364,3.665622055,3.092998635,3.379310345
-140977.37820977555,-32090.96842183057,-5377.403919443678,26187.681426882984,-8561.5911529263,-3142.0630952812203,2875.586031818445,498.46870836153437,-447.09854445762124,-80.43222086298735,1.796876159089217,-9.899178666117827,-35.996199572558645,4.599570856344604,-20.025310514229304,33.65127049202155,-21.00460503178951,14.40075580239676,1.552327478,1.206293212,1.379310345
10851.304938334324,32573.86198143435,2312.8470919905053,-617.0863973911671,-58.214776795513224,-387.23977422174744,3437.510308411577,-587.5409548578466,37.54386663358797,46.80982885313052,56.85039718249422,-8.351547933013562,-0.9042240576660197,8.367664515874651,-4.412911821520693,1.326777592516929,-1.6531957999271312,-1.5393029788643624,4.452997027,3.975574401,4.214285714
-102559.46708534406,3239.487211697401,17240.12791168328,2545.701576044527,-900.2663419016222,2439.497711488367,882.9946881074288,-568.3023886753112,115.8165409637394,-11.456193428609488,53.2841066510184,-15.250999293432555,1.8531806892428437,-1.8224290270833072,7.047653317648197,1.4162836727501615,-5.861716837949036,-2.8745495223929387,3.857237033,3.384142278,3.620689655
234048.40473543815,62878.92683894051,-13983.423873551395,-3807.011172244001,604.8325400255675,-5495.357314085535,1986.8032729219408,-506.81492620522886,-128.04540715325322,-75.83231659772096,-8.696984146334186,-8.356910579213748,-17.279994253456707,2.5594298081179923,0.2884963549004872,-14.010271881687574,2.064853010360151,-5.288403746124465,4.392735837,3.814160715,4.103448276
519840.3157679627,13560.844450098666,9573.809645648886,2705.991167456267,-2616.5488342048748,-10197.113459985576,-17831.151732469203,-72.02086521728215,-131.79221851245876,-27.667315809834935,-32.721287222131544,16.276635909412835,1.4223700831022925,-10.428743149041717,8.633628110428639,-2.1027417638569785,-1.834147705407426,2.127078059807455,4.581469014,3.989959557,4.285714286
216089.48208071655,23656.942361438727,-20048.952872207177,33869.24849749156,38890.543618748256,23529.52356083859,4136.746243538377,372.5111937519501,-26.86307507569514,-57.65785888347614,38.7709691331589,-7.745288772827737,8.539321972240177,5.786163522945312,-9.033472742052794,-9.763317219546112,32.2803081201997,-1.4166467030600742,2.986568337,2.293431663,2.64
-13707.49704338061,-58250.55172447373,-20111.226174822707,697.5644623934422,443.3653528790681,-8291.012199421604,10305.11179628354,-537.8525022173276,-54.362018762750516,-149.38401359018314,3.4646592305271313,20.04424249163883,-40.72775998385013,34.030747232170704,-42.101040287580325,-0.4390072878722283,-15.44027972542875,-29.7886629501792,1.467294188,1.153395467,1.310344828
