fe-1,CIHigh,CILow,MOS
317597.8308897544,2.746840825,2.218676416,2.482758621
417683.28306202835,3.0643401,2.528252492,2.796296296
-127985.57156894446,3.653463529,3.070674402,3.362068966
-156881.11424114942,3.432505962,2.867494038,3.15
-224695.90033519326,1.659640274,1.271394209,1.465517241
-155985.79360999196,3.653463529,3.070674402,3.362068966
-102740.1310454274,3.720526178,3.246140488,3.483333333
-112286.88048184241,1.786571514,1.313428486,1.55
-191644.61798483293,3.094947531,2.491259366,2.793103448
-170157.8720019976,2.790403103,2.276263564,2.533333333
-169722.03455831643,3.12457995,2.57542005,2.85
7075.798715895013,4.23399043,3.535240339,3.884615385
-125345.11971585717,3.954853907,3.366574665,3.660714286
507285.5071790905,3.044920759,2.339694626,2.692307692
-178537.71721144044,3.394160216,2.89155407,3.142857143
-156359.61151131228,3.636244181,3.018928233,3.327586207
389190.72284239845,3.95457961,3.30467965,3.62962963
-163367.94240929693,3.369995498,2.880004502,3.125
-120360.21443036047,3.531309226,3.020414912,3.275862069
477412.6598567943,2.686788331,2.05395241,2.37037037
51809.71371273871,4.672867535,4.18920143,4.431034483
103837.30728488124,4.592530589,4.157469411,4.375
-133024.935319491,3.454788469,2.978544864,3.216666667
305227.315778517,3.764962853,3.028140595,3.396551724
-177088.98264742026,3.324814232,2.847599561,3.086206897
-177783.06979999685,2.653067263,2.154625045,2.403846154
-184052.13990181382,3.28166657,2.785000097,3.033333333
-154773.6320769026,2.303374142,1.770699932,2.037037037
246964.03748858167,4.518530885,4.014802449,4.266666667
-63313.49573131714,2.970983131,2.251239091,2.611111111
-178650.87197956778,3.348464581,2.85843197,3.103448276
-111511.391398216,3.884859971,3.329425744,3.607142857
593669.3936262799,2.156586714,1.73996501,1.948275862
-54213.74295760129,1.387269538,1.079397128,1.233333333
209985.06856173137,3.210241176,2.419388454,2.814814815
232965.87574050628,4.400800178,3.806096374,4.103448276
-190899.24390901666,3.257015236,2.742984764,3.0
104026.9541075302,3.576319397,2.84034727,3.208333333
-208889.81068729353,3.24043084,2.828534677,3.034482759
-161907.17682255644,3.460340236,2.987935627,3.224137931
11216.352421594493,4.364099225,3.778757918,4.071428571
-192550.92346794266,1.770033908,1.363299425,1.566666667
-26717.79814592113,4.373132173,3.780713981,4.076923077
10855.216251975815,4.371789143,3.869590168,4.120689655
97204.74851089464,3.002162168,2.354980689,2.678571429
-77373.06945264213,2.728559181,2.057155105,2.392857143
634664.4833016025,2.694792401,1.945207599,2.32
-77647.13002551923,3.923636291,3.335622968,3.62962963
-190387.45954142028,3.249159055,2.784174278,3.016666667
-26583.557794877393,4.329362543,3.770637457,4.05
-163371.8021396242,3.421011653,2.986395754,3.203703704
-196930.49038238887,3.107115012,2.596588692,2.851851852
-196314.9490813162,3.319639376,2.7838089,3.051724138
194960.6586978203,1.543937516,1.222729151,1.383333333
-14347.637429979079,3.907056989,3.437770597,3.672413793
-78041.96969912772,3.991799552,3.401057591,3.696428571
26676.551301628868,1.56564417,1.167689163,1.366666667
-199001.3953729737,1.362669765,1.137330235,1.25
-213707.64668739543,2.576073139,2.123926861,2.35
-51096.592935136556,2.501572021,1.9811866,2.24137931
517257.14296162635,4.659037443,4.269533986,4.464285714
11221.217982545984,4.549695967,4.021732605,4.285714286
176344.48446837594,1.965763382,1.498522332,1.732142857
-191915.69020242395,2.518109498,1.948557169,2.233333333
-48589.140470190396,3.799760206,3.165757036,3.482758621
-49001.253181785985,3.453428328,2.925882017,3.189655172
-163813.6276533671,3.551922047,3.103250367,3.327586207
-96939.31772145319,3.809449298,3.362964496,3.586206897
-4587.5884326275955,1.384178612,1.098580009,1.24137931
99227.6541519751,4.386792309,3.909503987,4.148148148
-166880.55042359018,3.523768328,2.976231672,3.25
36943.090354561464,2.646890722,2.056812981,2.351851852
-96471.00174229156,3.824198457,3.329647696,3.576923077
-182389.0150235472,1.868626477,1.476201109,1.672413793
240152.04350781915,3.469450144,2.923406999,3.196428571
-131948.6169909026,1.74043084,1.328534677,1.534482759
-190106.43981239214,3.448905722,2.930404623,3.189655172
-186353.74250343913,1.529546306,1.23712036,1.383333333
-56563.32933247322,1.400678788,1.15104535,1.275862069
246964.0287694964,4.586922149,4.190855629,4.388888889
309437.32018537517,1.377270849,1.056062484,1.216666667
435792.43342672405,1.363997599,1.102669068,1.233333333
55361.81448633422,4.442228583,3.928141788,4.185185185
-172152.59757377693,2.137035504,1.690550702,1.913793103
347922.2314522347,4.785550297,4.325560814,4.555555556
-42560.937268668175,2.55951845,1.976195836,2.267857143
386217.6863059455,2.692561138,1.950296004,2.321428571
-209627.37297721833,3.060916712,2.639083288,2.85
-133309.2218459345,3.669138913,3.145675902,3.407407407
99683.43760109117,2.241733096,1.758266904,2.0
-101098.87213979205,1.424230754,1.075769246,1.25
-181960.25102534867,1.91045444,1.503338664,1.706896552
-53392.246184111056,1.868626477,1.476201109,1.672413793
-208652.22729858186,3.228121605,2.771878395,3.0
-180571.3484709124,1.592996662,1.240336671,1.416666667
-76506.3821219219,3.849214939,3.150785061,3.5
-77623.80415645485,4.24461591,3.686418572,3.965517241
52139.936796535534,4.655644914,4.137458535,4.396551724
102995.0970990122,3.658971212,3.055314503,3.357142857
-88033.8386472926,4.041123384,3.392209949,3.716666667
-133621.5185555005,3.574117983,3.046571672,3.310344828
-162708.4457579387,2.558665314,1.941334686,2.25
-87866.50211970841,3.165961789,2.619752497,2.892857143
-132848.52508760957,3.846189416,3.296667727,3.571428571
-226955.4181620552,1.945329132,1.488004202,1.716666667
-208656.10983661862,3.109396031,2.640603969,2.875
-154254.64509202208,1.765816215,1.400850451,1.583333333
43566.18165511428,4.625796982,4.159917303,4.392857143
-190114.21770998184,3.444807906,3.003467956,3.224137931
-178608.71097964694,3.430356437,3.002976896,3.216666667
9555.796908238694,3.431346944,2.747224484,3.089285714
-177014.21774425704,3.373239619,2.937105209,3.155172414
-161757.64749986122,3.312221095,2.887778905,3.1
632550.9162240351,4.756993215,4.311972302,4.534482759
-110981.1005496839,1.513780279,1.186219721,1.35
