fe-1,fe-2,fe-3,fe-4,fe-5,fe-6,fe-7,fe-8,CIHigh,CILow,MOS
-156881.11424114942,27348.843342941116,-15694.266962925381,-5070.044630971281,-129.1439853597924,75.6596416209733,-6747.042246044471,-461.20325726760126,3.432505962,2.867494038,3.15
-224695.9003351933,-12602.154994222681,-33152.34357549739,9109.307895661863,-5791.288493951765,-4210.665215127742,-16215.878400344667,-238.8516141083835,1.659640274,1.271394209,1.465517241
-155985.79360999193,27251.663447120634,-15728.837560404772,-5074.202109515568,-138.71971717689445,48.819936614961556,-6853.808260112928,-461.3674304203528,3.653463529,3.070674402,3.362068966
-102740.13104542746,3260.8968369155446,17240.388383105124,2545.415784541557,-898.155150364004,2443.7711388592197,903.6443111182209,-564.9472035595198,3.720526178,3.246140488,3.483333333
-112286.88048184241,10143.051270091557,-28099.82568646003,-40923.78622585472,-22708.15162386433,13738.455208474876,13930.237848379686,223.13532450423907,1.786571514,1.313428486,1.55
-191644.61798483293,-527.3264533826039,-1790.402047303982,-1786.1402923820258,-1091.3588782482836,966.8832707170295,-11589.169833366572,617.1341954720767,3.094947531,2.491259366,2.793103448
-170157.8720019976,15009.352833637362,-24267.122355163003,-3818.473246655882,-23867.429968743276,8942.576401372446,-3805.393922530166,479.75997759256575,2.790403103,2.276263564,2.533333333
-169722.03455831634,13433.490739747731,-17659.610353133292,-30159.94897278605,8302.286396112719,32.459196882791616,-4641.7169248407945,504.70555039468815,3.12457995,2.57542005,2.85
7075.798715895018,32986.12210868921,2460.1415687300755,-599.9524138599401,-18.062285349962984,-273.0539800755017,3884.9330358177726,-592.9240671301026,4.23399043,3.535240339,3.884615385
-125345.1197158572,14842.065660352922,550.0972767849881,-1293.4060038198681,-560.8143237261806,1119.0146444198983,-3469.914771117552,-505.6260928227342,3.954853907,3.366574665,3.660714286
507285.50717909046,14926.957384404313,10085.791488242667,2765.429024339623,-2483.251782052383,-9808.876096505819,-16337.718551410531,-97.62140785013933,3.044920759,2.339694626,2.692307692
-178537.71721144038,-11070.300380615268,15281.928159228908,2096.7924674015144,-1328.3044122459712,2581.847779639388,-6092.918508220873,531.1698491738814,3.394160216,2.89155407,3.142857143
-156359.61151131228,27291.71332072676,-15718.158086639165,-5072.757504564675,-134.52922290989943,58.97966704036338,-6808.125064965015,-456.5535438204542,3.636244181,3.018928233,3.327586207
389190.7228423983,-48615.378784341985,2411.5975295225476,-16896.89791312335,55914.66786103375,21263.71193275545,-1180.8719319166332,540.5816910920357,3.95457961,3.30467965,3.62962963
-163367.9424092969,-21797.332188098568,32191.989931115673,5952.286664872521,-1586.649146947171,4124.7776600661355,-872.6567483242143,450.76757160999625,3.369995498,2.880004502,3.125
-120360.21443036046,-10134.504422074204,15464.959965841706,-22522.00335632603,7584.076690910423,2545.4479626831853,3576.810506088685,394.2799169813321,3.531309226,3.020414912,3.275862069
477412.6598567943,-17033.31492832581,5594.913974668061,-54905.21795046502,16895.965544374198,-9911.098489353859,-11542.630826374856,-170.93054861085204,2.686788331,2.05395241,2.37037037
51809.71371273872,9921.899265425911,35785.16322192235,7061.455555444086,-687.2164349694107,2388.2254225581605,12668.329366012747,274.9564062879659,4.672867535,4.18920143,4.431034483
