fe-1,fe-2,CIHigh,CILow,MOS
317597.83088975464,3485.1645196977524,2.746840825,2.218676416,2.482758621
417683.28306202864,-16487.851371332432,3.0643401,2.528252492,2.796296296
-127985.57156894449,15127.138577142568,3.653463529,3.070674402,3.362068966
-156881.11424114942,27348.843342941123,3.432505962,2.867494038,3.15
-224695.90033519323,-12602.154994222696,1.659640274,1.271394209,1.465517241
-155985.79360999196,27251.663447120645,3.653463529,3.070674402,3.362068966
-102740.13104542742,3260.8968369155477,3.720526178,3.246140488,3.483333333
-112286.8804818424,10143.05127009154,1.786571514,1.313428486,1.55
-191644.61798483285,-527.3264533825958,3.094947531,2.491259366,2.793103448
-170157.87200199757,15009.352833637366,2.790403103,2.276263564,2.533333333
-169722.03455831634,13433.49073974772,3.12457995,2.57542005,2.85
7075.798715895015,32986.1221086892,4.23399043,3.535240339,3.884615385
-125345.11971585719,14842.065660352922,3.954853907,3.366574665,3.660714286
507285.5071790906,14926.957384404306,3.044920759,2.339694626,2.692307692
-178537.71721144038,-11070.300380615261,3.394160216,2.89155407,3.142857143
-156359.61151131228,27291.71332072676,3.636244181,3.018928233,3.327586207
389190.72284239833,-48615.378784341985,3.95457961,3.30467965,3.62962963
-163367.94240929693,-21797.332188098557,3.369995498,2.880004502,3.125
-120360.21443036046,-10134.504422074211,3.531309226,3.020414912,3.275862069
477412.65985679434,-17033.314928325814,2.686788331,2.05395241,2.37037037
51809.713712738725,9921.899265425915,4.672867535,4.18920143,4.431034483
103837.30728488123,4252.593833247863,4.592530589,4.157469411,4.375
-133024.93531949102,15677.97926695605,3.454788469,2.978544864,3.216666667
305227.315778517,-30128.480711949447,3.764962853,3.028140595,3.396551724
-177088.9826474201,-11232.900392403233,3.324814232,2.847599561,3.086206897
-177783.06979999674,-11158.491260562807,2.653067263,2.154625045,2.403846154
-184052.13990181385,-19156.951573616676,3.28166657,2.785000097,3.033333333
-154773.6320769024,-11063.610520818778,2.303374142,1.770699932,2.037037037
246964.03748858173,52400.00887065737,4.518530885,4.014802449,4.266666667
-63313.49573131715,31773.935259829046,2.970983131,2.251239091,2.611111111
-178650.8719795677,-11062.867833754002,3.348464581,2.85843197,3.103448276
-111511.391398216,4217.331928558763,3.884859971,3.329425744,3.607142857
593669.3936262799,-38771.484232300005,2.156586714,1.73996501,1.948275862
-54213.74295760127,-53834.44607606879,1.387269538,1.079397128,1.233333333
209985.06856173146,33395.45212893732,3.210241176,2.419388454,2.814814815
232965.8757405063,62995.37501995426,4.400800178,3.806096374,4.103448276
-190899.24390901666,-610.2798563104908,3.257015236,2.742984764,3.0
104026.9541075302,45195.95266947892,3.576319397,2.84034727,3.208333333
-208889.81068729356,10423.582690034757,3.24043084,2.828534677,3.034482759
-161907.17682255636,-21920.5150983507,3.460340236,2.987935627,3.224137931
11216.352421594487,23418.28607615334,4.364099225,3.778757918,4.071428571
-192550.92346794257,-23579.674079202654,1.770033908,1.363299425,1.566666667
-26717.798145921126,36667.71102989089,4.373132173,3.780713981,4.076923077
10855.216251975813,32573.670933483398,4.371789143,3.869590168,4.120689655
97204.7485108946,4979.347650116585,3.002162168,2.354980689,2.678571429
-77373.0694526421,51259.12032247858,2.728559181,2.057155105,2.392857143
634664.4833016021,-8022.255790935805,2.694792401,1.945207599,2.32
-77647.13002551923,-8549.655974165584,3.923636291,3.335622968,3.62962963
-190387.4595414203,-665.1960614797218,3.249159055,2.784174278,3.016666667
-26583.557794877397,36651.06543421827,4.329362543,3.770637457,4.05
-163371.8021396242,-21798.278434606385,3.421011653,2.986395754,3.203703704
-196930.49038238887,-7262.109974575298,3.107115012,2.596588692,2.851851852
-196314.94908131615,-9595.508776278672,3.319639376,2.7838089,3.051724138
194960.65869782024,-76837.82761683458,1.543937516,1.222729151,1.383333333
-14347.637429979079,-13297.012857945736,3.907056989,3.437770597,3.672413793
-78041.96969912775,-8500.94372785049,3.991799552,3.401057591,3.696428571
26676.55130162887,-71718.91671086682,1.56564417,1.167689163,1.366666667
-199001.39537297367,-7083.478348273239,1.362669765,1.137330235,1.25
-213707.64668739538,2212.9749811136144,2.576073139,2.123926861,2.35
-51096.59293513656,48395.26188262512,2.501572021,1.9811866,2.24137931
517257.14296162635,13840.122740007626,4.659037443,4.269533986,4.464285714
11221.21798254598,23418.30674647216,4.549695967,4.021732605,4.285714286
176344.48446837603,1831.1631625812258,1.965763382,1.498522332,1.732142857
-191915.690202424,-27885.889161593932,2.518109498,1.948557169,2.233333333
-48589.140470190374,48122.91316287431,3.799760206,3.165757036,3.482758621
-49001.253181785985,48167.38971145836,3.453428328,2.925882017,3.189655172
-163813.62765336715,-21749.166463269685,3.551922047,3.103250367,3.327586207
-96939.3177214531,-20225.548858060876,3.809449298,3.362964496,3.586206897
-4587.5884326275955,-47064.6599995264,1.384178612,1.098580009,1.24137931
99227.6541519751,4755.52582724313,4.386792309,3.909503987,4.148148148
-166880.55042359006,-30994.275163915132,3.523768328,2.976231672,3.25
36943.090354561486,-3017.0100441512104,2.646890722,2.056812981,2.351851852
-96471.0017422915,-20285.016700988548,3.824198457,3.329647696,3.576923077
-182389.01502354722,-45316.29406605446,1.868626477,1.476201109,1.672413793
240152.04350781915,53137.786292836594,3.469450144,2.923406999,3.196428571
-131948.61699090258,-36620.90727116634,1.74043084,1.328534677,1.534482759
-190106.4398123922,-695.2418077846825,3.448905722,2.930404623,3.189655172
-186353.74250343905,-17582.125847963416,1.529546306,1.23712036,1.383333333
-56563.32933247319,-26534.50973306762,1.400678788,1.15104535,1.275862069
246964.02876949645,52399.61725118377,4.586922149,4.190855629,4.388888889
309437.32018537517,-89263.16899558663,1.377270849,1.056062484,1.216666667
435792.4334267241,-85548.54065771855,1.363997599,1.102669068,1.233333333
55361.81448633422,18609.865335226856,4.442228583,3.928141788,4.185185185
-172152.59757377676,-37771.624759720085,2.137035504,1.690550702,1.913793103
347922.23145223473,32285.95898476424,4.785550297,4.325560814,4.555555556
-42560.93726866818,17115.224246642098,2.55951845,1.976195836,2.267857143
386217.68630594556,37229.051606064706,2.692561138,1.950296004,2.321428571
