fe-1,fe-2,fe-3,fe-4,fe-5,fe-6,fe-7,fe-8,fe-9,fe-10,CIHigh,CILow,MOS
-169722.03455831655,-13433.490739747562,17659.610353133332,30159.948972786195,-8302.286396112188,-32.45919688273459,4641.7169248408345,504.70555039468786,-264.18882992617347,36.9380424725305,3.12457995,2.57542005,2.85
-162126.59825933404,-27921.841200337156,15479.956809282177,5045.304908305998,73.20762136643839,-240.60131910058456,6109.353650858744,522.7156068744122,-180.7500720346862,1.9207608381795618,3.380332715,2.964494871,3.172413793
-42560.937268668196,-17115.224246642054,9567.332444191372,-1471.200548772929,36337.382427541444,-14297.31331397242,-11842.383212629804,246.0154625533947,-131.62018838311505,-41.15683597626754,2.55951845,1.976195836,2.267857143
-96939.3177214531,20225.54885806101,-25415.291051915112,-7637.818170149845,24937.639681802975,-12734.03897805972,-8601.381425464568,303.92520055932346,-71.65183880459634,28.30150160789539,3.809449298,3.362964496,3.586206897
386217.6863059461,-37229.05160606474,2618.1994183551164,603.0517451836788,1103.7924264184278,8133.750324522805,9036.468176121376,-266.73895311148664,164.0722851949095,48.07683609793011,2.692561138,1.950296004,2.321428571
389387.7181766789,-36882.76969918154,2743.7034035295446,617.6026820572357,1137.4002894429882,8230.064661039229,9411.703603527221,-260.16611749855105,129.5778006154571,50.38787827240693,4.766305092,4.305123479,4.535714286
-190387.45954142042,665.196061479691,1843.7495985844607,1792.123337780269,1105.1113494012654,-923.7206345793403,11754.647097312227,-376.9484135977841,-162.77129206200294,-6.9870171528066,3.249159055,2.784174278,3.016666667
43566.18165511426,3740.3625775695755,-14774.153173958772,35625.04043198846,-12291.008255226865,46.98797273322799,-7457.201436953144,-628.9251309026116,-216.3071670689349,-21.93910616107514,4.625796982,4.159917303,4.392857143
330019.0874088998,-2390.321083034776,3730.5014304131473,-6352.709710336894,55747.33795461167,-15132.127615675203,-7696.058785710148,419.2541507732194,-204.7322715345915,8.418966584863965,4.717505416,4.282494584,4.5
-208656.10983661882,-10399.087565069087,18626.088821366615,5632.565155429712,814.0445660096212,524.1586296294871,16607.519646497287,-305.51084867788387,-240.42475408897857,-7.818744286625986,3.109396031,2.640603969,2.875
-125345.11971585716,-14842.065660352757,-550.0972767849399,1293.4060038198663,560.8143237262113,-1119.0146444198824,3469.914771117565,-505.6260928227328,-147.99195632065434,3.592748215517444,3.954853907,3.366574665,3.660714286
317597.83088975446,-3485.1645196980357,6551.0128435140805,-37332.044985259236,-37717.59782069926,-22447.373143636316,849.4283033957416,489.06312039304174,-129.08718312863948,57.508657139466074,2.746840825,2.218676416,2.482758621
309437.3201853756,89263.1689955866,43007.211732151016,496.28682142519835,156.3431935617704,19288.12717601554,-2063.1333151755,-239.13091335138407,-297.39340154766523,-72.48412374696193,1.377270849,1.056062484,1.216666667
-54213.74295760131,53834.446076068794,18474.847840286562,-889.0566471085343,-872.7520085996982,7050.514577257591,-15123.363319398242,365.1106000010543,-40.32068948104972,170.48956019544968,1.387269538,1.079397128,1.233333333
-166880.5504235905,30994.275163915005,-30775.682622414333,9759.988005768944,-3638.324367452762,-3951.8807625740023,112.26104296437667,-554.166717805476,-183.44116164327923,39.914762735946304,3.523768328,2.976231672,3.25
-190114.2177099819,696.294050028047,1851.0884203254068,1792.7224307362915,1108.0768412818713,-915.9344445931858,11786.19133196743,-377.4673450351413,-207.98275539885375,-0.7218834208210645,3.444807906,3.003467956,3.224137931
-111800.11377080974,-4246.2275630524155,-17617.129714996852,-2589.876520845544,801.9620125546174,-2726.287268740185,-1995.7596943553174,408.0176108533181,-161.89575627198383,15.662825153636529,3.91045444,3.503338664,3.706896552
-177088.98264742058,11232.900392403239,-15229.401396701727,-2091.6888881739224,1344.1801453917121,-2533.949006171068,6278.2945520554595,-463.684085878586,-209.2512984891566,7.879651784730868,3.324814232,2.847599561,3.086206897
36943.09035456148,3017.010044151185,-15034.833737702269,35594.79390084387,-12361.328100780765,-153.87096373427278,-8241.562767209765,-641.1976359232598,-76.31618241298408,-39.304173775888636,2.646890722,2.056812981,2.351851852
