pca-1,pca-2,pca-3,pca-4,pca-5,pca-6,pca-7,pca-8,CIHigh,CILow,MOS
593669.3936262801,38771.48423229945,-18411.513963217356,51530.724333778184,-15567.617637467429,11453.930146872046,18307.42834463825,-13.285176302030182,2.156586714,1.73996501,1.948275862
-213707.64668739526,-2212.974981113305,25044.84985482215,-3553.0286881062984,-9634.634542500953,-6831.152886313794,17898.340631330775,-303.19466752363064,2.576073139,2.123926861,2.35
234048.4047354381,-62878.92683894074,13983.42387355136,3807.0111722439838,-604.8325400255546,5495.357314085517,-1986.8032729219146,-506.81492620522573,4.392735837,3.814160715,4.103448276
127653.84283879558,-74467.57207966631,9674.147833917388,3300.630437586919,-1731.6418719081448,2243.5334195603027,-14619.475286374349,243.35125047669496,4.095679394,3.504320606,3.8
114604.64662449247,58966.83185320684,52643.44926337235,3496.832039975181,-2004.5538497801424,15343.315015131824,-18164.491412938944,424.23679734434216,1.294254321,1.050573265,1.172413793
-191915.69020242433,27885.889161593816,-8528.711275312311,12819.66857144782,11036.567994415704,-8036.713640642407,3312.8013466276793,511.2055008336127,2.518109498,1.948557169,2.233333333
-102390.91582858276,-3222.1749644418255,-17231.88654548551,-2544.51656666428,902.0519087972259,-2434.293194897322,-862.1220952382155,-568.4231990693213,3.909399125,3.469911219,3.689655172
50030.00805463143,-10113.99794769057,-35856.497589710074,-7070.235058568274,668.2179192100891,-2441.9449831020675,-12881.309331454451,274.72895610646367,3.599130983,2.900869017,3.25
-42560.93726866815,-17115.224246642054,9567.33244419139,-1471.2005487726537,36337.38242754143,-14297.313313972376,-11842.383212629766,246.01546255339431,2.55951845,1.976195836,2.267857143
-190106.4398123922,695.2418077847489,1854.4766887906378,1793.5134807800127,1108.1538674182234,-915.4386237070225,11788.662119720564,-377.9786296165857,3.448905722,2.930404623,3.189655172
-208889.81068729365,-10423.582690034851,18617.653682087694,5631.350897984849,811.4602819872817,517.5143993555934,16578.644108299653,-303.2331228724056,3.24043084,2.828534677,3.034482759
386217.6863059458,-37229.05160606471,2618.199418355185,603.0517451836777,1103.7924264184423,8133.750324522778,9036.468176121321,-266.7389531114877,2.692561138,1.950296004,2.321428571
194960.65869782006,76837.82761683431,38291.312805877125,-67.05957369884577,-1055.8447228232858,15781.142624203396,-15690.021481197959,498.6349596521516,1.543937516,1.222729151,1.383333333
-166880.55042359044,30994.275163915,-30775.682622414344,9759.988005768922,-3638.3243674528358,-3951.880762573999,112.2610429643814,-554.1667178054743,3.523768328,2.976231672,3.25
-131948.6169909027,36620.90727116649,3822.089588954164,6616.675520624662,-474.70585918086687,-22873.59436313406,-3411.761659003841,-632.2004239997558,1.74043084,1.328534677,1.534482759
-141838.94618100824,-2659.549255889113,9373.372055568996,-13444.59937896831,-16246.947087981292,-13151.170178825718,4536.232884230112,472.73327160443733,2.637035504,2.190550702,2.413793103
-63313.4957313171,-31773.935259828955,18946.931147272982,-7422.1391907554935,448.59675586755907,40924.31740470893,-3649.000264416626,-417.6062426412824,2.970983131,2.251239091,2.611111111
-120360.21443036034,10134.504422074393,-15464.959965841643,22522.003356326095,-7584.076690910238,-2545.4479626831185,-3576.810506088664,394.27991698133195,3.531309226,3.020414912,3.275862069
-161907.1768225566,21920.515098350672,-32060.321462254356,-5929.498555177289,1602.2108530741227,-4067.512188209159,1090.9575456870473,-543.5168021585167,3.460340236,2.987935627,3.224137931
-127985.57156894438,-15127.138577142408,-656.6106217214497,1280.3294223987157,532.6657443545472,-1198.8855344214937,3154.1003211168745,-506.7110239315719,3.653463529,3.070674402,3.362068966
-133024.93531949102,-15677.979266955945,-864.3225552550396,1256.4352792444752,479.00732343470594,-1358.033724059738,2541.4249383452525,475.41304394902113,3.454788469,2.978544864,3.216666667
-112286.88048184253,-10143.051270091439,28099.825686460106,40923.78622585454,22708.151623864644,-13738.455208474803,-13930.237848379691,223.13532450423864,1.786571514,1.313428486,1.55
-92459.22606301129,-34947.04835289045,17766.17558644039,-7561.171859071233,139.37994520565118,40030.93432125675,-7124.0251557293,517.2724884839207,2.728516741,2.054091954,2.391304348
-162126.5982593338,-27921.841200337298,15479.956809282054,5045.30490830604,73.20762136648638,-240.60131910045982,6109.3536508586885,522.7156068744131,3.380332715,2.964494871,3.172413793
-96939.31772145304,20225.54885806098,-25415.291051915094,-7637.818170149621,24937.639681803015,-12734.038978059685,-8601.381425464493,303.9252005593182,3.809449298,3.362964496,3.586206897
9555.796908238714,-23600.724802687422,-19966.81886802308,-3333.9196351856554,142.07985765943354,-1671.2436655713857,-10658.285895662586,293.31063174184465,3.431346944,2.747224484,3.089285714
292511.23376993724,96535.42824215534,24718.94182964507,-3529.760690759084,74.62619586259736,16752.657640065903,-11140.146262756847,608.2121212751949,1.471686809,0.994979857,1.233333333
-56563.32933247334,26534.509733067738,29185.67639247684,14663.104679990465,-2252.0243166521477,-31809.27753513123,-9714.003747102746,-747.8210618165506,1.400678788,1.15104535,1.275862069
-192550.9234679427,23579.674079202658,40949.44837221021,6588.300698339173,-487.98546442772937,6038.490379119917,4384.146681623343,-394.05102022231307,1.770033908,1.363299425,1.566666667
-26583.557794877353,-36651.065434218224,-3830.566155433884,438.72540407948185,-338.6251101858501,-759.8184225003932,-7893.891358899549,324.42463003270086,4.329362543,3.770637457,4.05
-178608.7109796471,11062.663455784836,-15284.681606688468,-2097.1358900194123,1327.5456114845158,-2583.953693296456,6084.385032159502,531.2696258469116,3.430356437,3.002976896,3.216666667
-163367.94240929725,21797.33218809837,-32191.98993111581,-5952.286664872493,1586.6491469471448,-4124.777660066151,872.6567483242331,450.76757160999654,3.369995498,2.880004502,3.125
-168440.5553359374,30823.26412823723,-30836.418217061615,9753.12673475221,-3655.483619828996,-4003.1542676488953,-89.68643996010805,443.74161935345745,3.231543121,2.732742593,2.982142857
