fe-1,fe-2,fe-3,fe-4,fe-5,fe-6,fe-7,fe-8,fe-9,fe-10,fe-11,fe-12,fe-13,fe-14,fe-15,fe-16,fe-17,fe-18,fe-19,fe-20,fe-21,fe-22,fe-23,fe-24,fe-25,fe-26,fe-27,fe-28,fe-29,fe-30,fe-31,fe-32,fe-33,fe-34,fe-35,fe-36,fe-37,fe-38,CIHigh,CILow,MOS
-169722.03455831655,-13433.490739747562,17659.610353133332,30159.948972786195,-8302.286396112188,-32.45919688273459,4641.7169248408345,504.70555039468786,-264.18882992617347,36.9380424725305,7.428357412510082,-15.064522444981392,-1.965719705091091,-0.6039283976563903,-11.874598351672702,-15.247482877455857,-19.37192283082422,11.372567597695543,9.06549539144227,5.1101277188800305,-11.802956348211227,16.29805447729352,-5.015626406257077,6.556501264220152,-10.046416944213673,-2.8257149451577535,-2.070318092746482,-0.8470460942020234,-3.2131541715220875,-5.1664891130679305,5.313713936771807,1.2800164021297704,-4.529317897560633,-2.2038787777673137,-1.4323017100329518,-2.591500227462388,0.5066325580294264,-4.14970348855615,3.12457995,2.57542005,2.85
-162126.59825933404,-27921.841200337156,15479.956809282177,5045.304908305998,73.20762136643839,-240.60131910058456,6109.353650858744,522.7156068744122,-180.7500720346862,1.9207608381795618,4.035116311409042,19.61285448333483,-7.8743168175773794,4.6316298758614645,2.587748033421778,-2.4532328253137807,-4.79523211994669,3.484279365065343,0.019989469172369042,0.9880220135354931,-0.7296899991976893,-2.306304191066568,2.957102754107584,-1.6097463249146498,-2.6276685378589795,-2.770720785543467,-0.46855701770671554,0.46907122767560705,-0.32924983971704047,-0.20874236336709998,1.4081525946223388,-0.26751152990023036,-0.5385737634514132,-0.5997228167293523,-0.009244796576354202,-1.7135207481631884,0.06553420217628604,-1.089903587929516,3.380332715,2.964494871,3.172413793
-42560.937268668196,-17115.224246642054,9567.332444191372,-1471.200548772929,36337.382427541444,-14297.31331397242,-11842.383212629804,246.0154625533947,-131.62018838311505,-41.15683597626754,-59.865895791190546,7.93321968507226,-6.1310898431382475,6.914932293831712,-18.874504887825307,11.833752781930025,-3.876590287945486,-2.3982302788092973,2.96180460563219,0.6779390106189941,11.343411140650456,4.5111267753145246,-6.175549045694416,-5.989157704554134,-5.032292479626626,-5.659094458427416,1.6744689633865577,4.166841974726808,1.1511750342000893,-1.3557233071993624,3.4360700004705147,4.987117219817604,-3.8958738831998767,1.0481890798361713,-0.4900727574333115,2.7694743332588216,2.4411518090821023,-3.45695037442587,2.55951845,1.976195836,2.267857143
-96939.3177214531,20225.54885806101,-25415.291051915112,-7637.818170149845,24937.639681802975,-12734.03897805972,-8601.381425464568,303.92520055932346,-71.65183880459634,28.30150160789539,37.521075105793926,9.212141825958618,20.61413097878597,-2.1921194638539885,-8.179324405015535,-13.10014982871528,-15.626023879378636,-5.7917540616352206,-13.158175295557205,-0.9712754894273568,40.36423564210957,-11.729368763065615,-17.459608323663886,-5.867718544808237,18.359118679518502,11.031545411280508,1.802259388067529,-13.59972157031582,-7.521587965154132,3.533299777583706,-19.905276829095424,-8.928285606630478,3.275422808868866,2.1421121426918694,-6.9408656480039275,-3.775899410571681,-8.626634196004211,-7.308462013033126,3.809449298,3.362964496,3.586206897
386217.6863059461,-37229.05160606474,2618.1994183551164,603.0517451836788,1103.7924264184278,8133.750324522805,9036.468176121376,-266.73895311148664,164.0722851949095,48.07683609793011,-14.827340232161356,6.001363753173134,-7.306804766488918,-4.872009242995107,3.7346287306797534,-0.8335884251049411,0.09023075520662426,4.298371355221329,8.091123758541164,-7.7763835640482615,4.570120245668901,-2.611446904554019,-3.919958591187544,1.5343333028448525,1.071096989626985,-2.161067962228059,1.1502234221759289,-3.1490671591112425,0.5793777760278437,1.869585524624552,-0.004683785518033188,2.5575472457053827,-1.9053923144685199,-2.254111574404547,-2.3974811822303854,-2.5097523161792674,-2.0965587633103473,-4.7947945772045495,2.692561138,1.950296004,2.321428571
389387.7181766789,-36882.76969918154,2743.7034035295446,617.6026820572357,1137.4002894429882,8230.064661039229,9411.703603527221,-260.16611749855105,129.5778006154571,50.38787827240693,-11.283432210380255,1.7831590855201065,-8.229960988155906,-2.830786599757802,4.612609007287334,-4.315444433776128,0.6213586472768129,2.822871164582858,4.633077308129232,-3.0770597414953715,2.4315340981475573,-1.2655972580237596,-3.555001547907239,4.481777882918649,0.5284627079311857,-1.8563788681177285,0.6507086712128298,-1.6703589985412377,4.057752110003726,2.288427154411804,0.8488744017245274,2.185439262143647,0.5257163133268081,1.7706436591239016,-1.1974901899028827,-0.8060978834641634,-0.15878822594723005,-3.246141994245897,4.766305092,4.305123479,4.535714286
-190387.45954142042,665.196061479691,1843.7495985844607,1792.123337780269,1105.1113494012654,-923.7206345793403,11754.647097312227,-376.9484135977841,-162.77129206200294,-6.9870171528066,9.247606013835123,6.751634170343391,-2.7864463420440044,-8.480479052147865,11.374730135696066,-6.3549249210493315,2.637872548217955,-1.9301324590893179,0.20741610453308243,-2.880269114396446,-0.40092257436112494,-9.643660688169337,1.2529517278848066,0.26447076604768527,2.0307525032193583,1.7812277556035414,-1.086606378933737,-0.24978844870777447,-0.44474812903777167,-1.303131709176016,-0.3970477840764765,1.0390022886623094,2.3645345768072565,-0.2412496156985542,2.8476924776753667,0.6446088237987158,-0.4677381962575819,1.862975316978732,3.249159055,2.784174278,3.016666667
43566.18165511426,3740.3625775695755,-14774.153173958772,35625.04043198846,-12291.008255226865,46.98797273322799,-7457.201436953144,-628.9251309026116,-216.3071670689349,-21.93910616107514,-56.21511261221701,-38.912779802930615,16.14420965499312,4.773396054847626,-10.855508906761926,-0.3362830508352387,-1.41771479465901,9.101925851432982,0.3812326846263757,-0.9169274025354505,3.871967229460697,12.583609967781555,-3.465493474448194,-1.0866206471935187,-1.5330906906959905,-3.8163324728743584,4.532183287317017,-3.8691796975206496,5.163282115602989,-3.6506401888926643,-5.161529062388612,4.6538877973880375,-4.6644769576908764,-6.996136215230609,-1.2508295600053863,1.8046553820003441,3.1160081881428017,-6.2158793485446076,4.625796982,4.159917303,4.392857143
330019.0874088998,-2390.321083034776,3730.5014304131473,-6352.709710336894,55747.33795461167,-15132.127615675203,-7696.058785710148,419.2541507732194,-204.7322715345915,8.418966584863965,23.1384176692989,-28.97605776511746,-0.4600989715366094,-4.137727232825558,-21.560822980555027,5.0185649566653945,7.132313880116453,5.022991607593368,-10.359532065461595,1.7304451891542678,-12.434965802333446,8.528684854979055,14.976031462170148,-2.9119911874075024,-4.97303662950774,4.295702538247658,-10.16819595946178,4.788204386008746,-2.515397883904731,0.6955507785374139,5.2578303568242495,-0.902908673934728,0.7147812251691299,-3.3793585335053486,-1.70776657189464,-3.9797281200966155,-2.6291767829436736,-3.1392937168901365,4.717505416,4.282494584,4.5
-208656.10983661882,-10399.087565069087,18626.088821366615,5632.565155429712,814.0445660096212,524.1586296294871,16607.519646497287,-305.51084867788387,-240.42475408897857,-7.818744286625986,9.84042145197628,12.025058668388644,-6.193976967220757,-6.581828864197218,4.925534514575011,-7.393495662078613,-0.4773295542442035,-0.013569179102213575,1.8263037888912943,-1.766751366518279,1.8166830218023728,-7.054497323223862,1.390124876111444,-0.6835922344165034,0.12457561343171653,0.7149636408152447,-1.2770050296315787,-0.03428442933610202,-2.768374462027603,0.8881633355629386,-0.7250524321396157,0.8935096049551596,-3.0960465259534744,1.6340626070334987,0.2483640838135375,0.6504545999140049,0.8194210883687978,-1.2722362048749676,3.109396031,2.640603969,2.875
