fe-1,fe-2,fe-3,fe-4,fe-5,fe-6,fe-7,fe-8,fe-9,fe-10,fe-11,fe-12,fe-13,fe-14,fe-15,fe-16,fe-17,fe-18,fe-19,fe-20,fe-21,fe-22,fe-23,fe-24,fe-25,fe-26,fe-27,fe-28,fe-29,fe-30,fe-31,fe-32,fe-33,fe-34,fe-35,fe-36,fe-37,fe-38,fe-39,fe-40,fe-41,CIHigh,CILow,MOS
-96471.00174229167,20285.016700989618,-25410.006765649996,-7633.307763182777,-24941.318047789642,12721.709091305709,8548.169920031927,-301.50125284104405,-210.28209548981357,42.33793566048311,-2.3703887170151403,5.4308596417384685,-0.3644762186936978,-0.8000090436916453,3.6880729071981166,7.728801888218565,1.4801301834734222,15.028038651460395,-0.9939014359290124,9.482739327246472,-23.996270270166793,4.901344329032504,-16.451108793628546,-7.032567760963418,-4.145897779618354,5.969337410910416,5.313060731168935,1.4083178599070458,-3.0342247482769915,2.4075344556301244,8.099097500809542,0.14695674985432033,0.46942544234366324,-4.656155409702741,5.794130703655985,5.084001411866896,4.361626873576021,-2.0042352251706,1.439553621439858,-3.3008634772705046,0.7446060828832447,3.824198457,3.329647696,3.576923077
-190899.2439090163,610.2798563107746,1825.222990436346,1789.7435154970824,-1099.544926998737,938.6065054827181,-11692.763481911285,374.4202958915726,-13.665976904053187,-20.577049616084462,3.5485003059241245,5.2212996200489386,-2.2508080352955617,8.796475244014143,-10.588666993378407,-9.526729473916443,10.43298478890648,4.43245726301531,-6.258055106481259,-4.426203792437983,1.1904635087590458,14.891150526287786,3.233719900622279,-2.8620124969886622,1.992286318235416,2.3918539228433184,-1.689207114778819,0.08909541807648501,0.6726207211934812,-4.593137583321023,2.9570533840698867,-0.6480123088891319,-1.2260176903675681,4.615032904608138,2.1997665498207843,2.3313953845096416,-1.2718238012307357,-1.850116405192867,-1.6453249596766142,0.7790553353985701,-0.7113398448713971,3.257015236,2.742984764,3.0
519840.3157679629,-13560.844450099414,-9573.80964564943,-2705.991167456906,-2616.5488342041763,-10197.1134599863,-17831.151732467988,72.02086521510651,131.79221857804814,27.667315992939425,-32.72128731659239,-16.276635597968685,1.4223694251322732,10.428742954651865,-8.633628438117379,-2.102741089910058,1.8341471626167443,2.1270773300581793,-2.3154080574821796,1.6888534202535024,-3.6088014440475935,-1.630688703432935,-5.1394816262672265,5.134421451450286,-0.5070598071802576,1.3906893326209344,0.017945616046991016,2.381978447110348,0.05441764349573534,2.460128626390088,0.4510759356165544,0.16329326863887095,1.2188917647262896,-2.320272690209201,-0.8881172530060761,-0.13470816053846116,-2.408287570336441,0.21625814680351638,0.4487454326506668,-1.1732740127953978,1.2947887052731144,4.581469014,3.989959557,4.285714286
51809.71371273872,-9921.899265424952,-35785.163221921175,-7061.45555544413,-687.216434968776,2388.2254225573674,12668.329366015188,-274.9564062898769,-20.814828108846815,-35.92463622455175,14.692371868332119,1.2317877678072449,13.320668177110912,-6.321199397404861,-3.185742955907761,7.218843690482958,1.8191010838666568,-1.1274670936507594,1.397706575287481,3.8490419037705297,0.7257649094177694,-4.656814532078794,-1.9173054982842221,-1.1916863844702912,1.9510901021710023,-2.6483694284313053,0.28162960870341286,1.181704018985645,-2.292576063022981,-1.9099505608553444,-1.1614643650405425,-2.1956508886078225,2.176166506921374,1.7605651913335192,1.4919128472559804,0.16996256241615967,-0.30744468853632784,3.282022217567498,-0.09636601423626522,-0.8619394700522915,-0.019423094048090908,4.672867535,4.18920143,4.431034483
650895.8927554617,9791.139173858164,-21798.10038505511,-6011.2899061500775,-4101.712284666183,-12190.475770455369,-26349.654996957357,-117.94943480173404,134.23409770112283,7.278243134488668,-27.485834086187136,-24.1576932200762,10.229552510899499,16.653094514136423,-12.681794643860488,4.563911363072721,4.153199466860966,4.572745437970203,-3.0627865351576693,-0.6490324668946857,-3.728604379563673,-5.61516649987928,-8.345625635123232,5.425034539611013,1.7129635035591018,2.399378505586351,-0.6832480959274351,4.392605867955824,0.22621691242753675,3.648409758366261,-0.4666273848140434,0.804015651441622,0.8742266556227719,-1.1514054061764964,-2.364919040428283,1.648113194957602,-4.725104160597355,2.2083940431030564,-0.9110886074489144,-2.5956703900238396,4.113164714775098,4.804087,4.368326794,4.586206897
-155985.79360999184,-27251.66344712055,15728.837560403224,5074.202109515474,-138.7197171767254,48.81993661477791,-6853.808260113001,461.3674304114136,-156.27617829484032,-1.6974391862263691,-19.257780573759376,8.57307628406123,-8.890034876619922,1.8454905503635883,-0.7011063531003889,-10.293317312804502,-1.017665048330029,-0.3312344176132457,-0.10173532335709785,1.3818761259731929,-2.176789056791684,6.883968026407629,2.0886409726657846,0.6703744908361691,-2.5999041277181774,-0.7886036425268551,-1.1115741561083499,-1.0278024951285771,2.2019622046437046,-0.2783431614677437,2.416477120084,-0.4107924784546208,-1.5062274589785203,-2.142129001855884,0.6911415717482955,-1.043878621088715,0.3276807088125825,-1.5116721531782416,0.548761101074381,0.07449677000903082,0.629647289763006,3.653463529,3.070674402,3.362068966
-8572.136847605523,-16777.30341543759,3720.2476929080294,-11071.459571656384,-1125.269990235547,-40598.87201190776,4146.316027632601,402.2112499402026,-224.27676463097475,-71.2558911186601,-35.79793448943014,-22.76980199804672,-17.923988456415316,-7.452555343405748,12.188556014440607,4.556204590004667,-2.0714573769829348,3.702320485274676,0.18014173002869507,2.8533886521244365,-10.462605924847267,-3.2450359526017913,-18.030814152201607,11.160711379041432,5.975418552345049,2.619150706538327,1.544040488517159,4.943118523617307,-3.0710103388062167,-3.7565521321908744,1.3152888639378275,1.805647351970682,-0.11025352716676294,0.6747099597621321,4.587791313837066,0.9550931128652185,-0.11116181410992451,14.301263910054338,1.5016315628198451,-1.2378355298883932,-0.9260087309433738,2.147725643,1.552274357,1.85
-178537.71721144035,11070.300380615545,-15281.928159228582,-2096.7924674019,-1328.3044122466356,2581.8477796394486,-6092.918508220908,-531.1698491692998,-245.0479898879583,9.499050756056347,-25.109619045565925,10.451269750164673,4.4413648667964845,5.4686614643999265,-12.537192534274393,2.088051223817759,0.8830053199785026,-1.0913346190308866,3.4659406390089784,3.222911570134826,3.5861482162778007,3.939938898202608,3.87322707993288,-3.0566509528943,0.8017529165730501,4.232157648323103,0.7009818135434956,-0.44424875758288423,1.6785208955380357,-1.5030491182989798,0.04865841372466969,-2.7616224053652307,1.577371008079584,0.385303816616973,1.5644765634675533,-1.2462170436027324,-0.21029857409203134,2.7192280295822036,-0.15493202712889959,1.0647625442382815,-0.7718960860003717,3.394160216,2.89155407,3.142857143
-4587.588432627546,47064.65999952696,-11133.250748088736,-2744.8423203437683,37080.50173401881,-19604.60689361932,14047.280940940598,-419.82023410299604,535.5186392793553,-43.30457823356538,13.78165081546469,-18.946614004730773,-43.86425143545032,12.738761242848016,-5.522392020189995,22.936551535855845,-7.37752204078032,-29.94187862616916,-22.86902311403826,-7.159438805795343,1.660799221361609,31.740474660121414,-1.0483562104146487,-27.014539611654726,35.14982007268295,-7.409813662167339,-28.314108135688745,12.421433457742422,33.19158338108911,18.267465323614005,15.210660389518758,-14.819539628762977,-24.999525684183435,9.096357055954075,3.5356217499559284,-10.083973637159536,4.270442396064006,-18.070092866913548,13.787820620550756,-7.845512604541531,19.916190316770187,1.384178612,1.098580009,1.24137931
-177088.98264742014,11232.900392403393,-15229.4013967009,-2091.6888881736704,-1344.1801453921523,2533.9490061722577,-6278.294552055537,463.68408586794305,-209.2512984586715,7.87965185071553,-8.589135921648657,6.817128596187493,3.7535077510147277,9.861613791647203,-11.49588276124732,-3.0441356904756898,5.1390001276614425,1.2109762423185475,1.6227210116149005,-0.506286443881905,0.95257175018482,7.380027041006295,2.8564650374301985,-2.0037526473868934,-2.685418515131635,5.694409239501805,0.07764487518178285,-1.1631807050990908,1.7722949609446896,-0.44114022663090285,0.9198180711317832,-1.9777287653759266,0.05938796173542972,-1.1625866230337554,1.8679475056822188,1.1406029739940462,0.6460455612590653,0.5577313985976562,-0.07979122084707761,-1.5615760493892465,-1.2617989721276919,3.324814232,2.847599561,3.086206897
