fe-1,fe-2,fe-3,fe-4,fe-5,fe-6,fe-7,fe-8,fe-9,fe-10,fe-11,fe-12,fe-13,fe-14,fe-15,fe-16,fe-17,fe-18,fe-19,fe-20,fe-21,fe-22,fe-23,fe-24,fe-25,fe-26,fe-27,fe-28,fe-29,fe-30,fe-31,fe-32,fe-33,fe-34,fe-35,fe-36,fe-37,fe-38,fe-39,fe-40,fe-41,fe-42,fe-43,fe-44,fe-45,fe-46,fe-47,fe-48,fe-49,fe-50,fe-51,fe-52,fe-53,fe-54,fe-55,fe-56,fe-57,fe-58,fe-59,fe-60,fe-61,fe-62,fe-63,fe-64,fe-65,fe-66,fe-67,fe-68,fe-69,fe-70,fe-71,fe-72,fe-73,fe-74,fe-75,fe-76,fe-77,fe-78,fe-79,fe-80,fe-81,fe-82,CIHigh,CILow,MOS
-96471.00174229167,20285.01670098966,-25410.00676565002,-7633.307763182704,-24941.318047789737,12721.709091305758,8548.169920032076,-301.50125284401526,-210.28209548267967,42.33793566508003,-2.3703887167868958,5.43085964035047,-0.36447621849952533,-0.8000090431285835,3.688072917500941,7.728801973973221,1.4801301749265954,15.02803863228115,-0.9939014405344588,9.482739312960984,-23.99627005794751,4.90134427968864,-16.451108612431028,-7.032567811515985,-4.14589772491838,5.969337664762786,5.313060781521263,1.408317853875718,-3.0342247846403745,2.407534443113911,8.099097457997374,0.1469567490105659,0.46942543930760866,-4.6561553766340715,5.794130656657404,5.084001365148118,4.361626829058134,-2.004235203034409,1.439553601750793,-3.300863423347273,0.7446060699706363,3.361998415918075,6.574766869955742,1.030971068070335,-1.104415428438764,2.575577610610157,-4.278948240882166,0.8454141449544615,3.714151717366769,-0.779803665439835,3.9378245664577816,-0.6163290141035824,-2.1383432185608284,5.618446789290985,2.588996545074605,-3.9784853848477586,1.6894737218281861,-2.410020846811135,2.012457690563911,1.6582111785386227,2.831135145641852,0.39024787755937457,-0.0510343265651368,-1.77616023253005,0.35666107997535335,-1.6525833657640276,-1.1289645098952046,-0.2601791704866148,1.046077650604278,-0.7195737586052697,0.9607236348537677,-1.6013211382441683,-0.30537729629154686,-0.42687152412972945,-2.4267674516373265,1.4801204324294035,-0.2235399094235153,-0.25361116754343843,1.4707308540975654,-0.40783247241765813,0.4139138283659746,0.03566591420316078,3.824198457,3.329647696,3.576923077
-190899.2439090157,610.2798563107689,1825.2229904363296,1789.7435154970624,-1099.544926998738,938.6065054827193,-11692.763481911461,374.42029589536946,-13.665976903591144,-20.577049618326342,3.548500305584479,5.221299618700594,-2.250808034141654,8.796475237920827,-10.58866702286204,-9.526729579712198,10.432984728840104,4.432457257449053,-6.258055135509935,-4.426203785671149,1.1904634980955222,14.891150375865104,3.233719864879236,-2.862012517574152,1.9922862919080202,2.3918540245394646,-1.6892071308449934,0.08909541770955808,0.6726207292496439,-4.593137559972673,2.9570533682709526,-0.6480123051024241,-1.2260176822575493,4.615032871875994,2.199766531559046,2.331395363300686,-1.2718237881000065,-1.8501163849348274,-1.6453249373887293,0.7790553226348433,-0.7113398319212075,-2.771171638258054,-3.3535180274420053,2.7458290391685147,2.1422271446916423,-0.9669163743158482,0.29892565596718723,4.3916333814812525,-2.788712247256858,-1.9130428543366258,1.478650581560705,5.901466830568676,-0.47360238793224596,-0.5396143307231424,7.714247271889426,3.8228236285301596,3.4244197215364953,2.2088940498831473,-3.0664786371521724,2.7403871690319317,-0.680278608590964,-1.3067329245767916,-0.75071045795377,1.9801728552266007,0.5591435463338008,-0.9521933927245009,-0.04656755493313875,-1.5428064075034458,-0.7280109544369036,-3.50384587168782,-0.23625126587591516,-1.496160355665972,-0.26352042233199474,-0.2929822267592863,1.5031641469795185,-0.817996590474687,0.19372135905109494,0.7703241349511769,0.8895450277572385,-1.4819320984092934,0.847602472394858,-1.2157457577439434,3.257015236,2.742984764,3.0
519840.3157679627,-13560.844450099397,-9573.8096456495,-2705.9911674568853,-2616.5488342041845,-10197.113459986344,-17831.151732468257,72.02086521583868,131.79221857358363,27.667315995960386,-32.7212873134689,-16.276635593747002,1.4223694244029814,10.428742947428633,-8.633628462159129,-2.1027411132608584,1.8341471520574373,2.127077327391588,-2.3154080682245124,1.6888534176988634,-3.608801412067837,-1.6306886869442596,-5.139481569582836,5.13442148831846,-0.5070598004917781,1.390689391740509,0.017945616222403423,2.3819784369029193,0.05441764414304805,2.460128613899903,0.45107593321430667,0.16329326768512115,1.2188917566715098,-2.320272673806007,-0.8881172455487967,-0.13470815930136845,-2.4082875455220187,0.21625814443732821,0.44874542657384947,-1.1732739937822176,1.2947886817098977,-0.2574344326379327,0.28821992700417687,1.0021661878384782,0.6321933391857082,1.1515381350971248,0.23365228836959787,-0.27676927793388867,0.8832362998877485,1.1261645351305876,-0.5528863912694414,0.1354907136503042,0.352917335884448,-1.738160415252735,0.5793503314647575,-0.15650823233664105,1.3588305229683049,0.819727085018197,-1.852144709739286,0.3485498925248138,-0.3816345241733541,-0.04318627524502834,-1.4260477224004253,-0.23170888568408332,-0.06784835236642794,-0.5352088212666731,0.18691209880155848,0.6710978545872783,-0.05712627336749986,-0.22237316826108974,-0.38416923159063604,0.26834864789599083,-0.13057056577565876,-0.012661606463889842,-0.4355241175647867,0.6472893069120818,0.31594795100815765,-0.05739388245341139,-0.34510119652347865,0.07370837296699807,-0.18519682131643958,-0.19322720503474936,4.581469014,3.989959557,4.285714286
51809.713712738696,-9921.899265424972,-35785.16322192118,-7061.455555444069,-687.2164349687564,2388.2254225573797,12668.329366015376,-274.95640629266717,-20.814828108142652,-35.924636228470796,14.692371866929207,1.23178776748715,13.32066817028033,-6.321199393027208,-3.185742964777544,7.218843770660175,1.8191010733946673,-1.1274670922164673,1.3977065817693668,3.8490418979042054,0.7257649029941248,-4.656814485030733,-1.9173054771202154,-1.1916863930287185,1.951090076408871,-2.648369540996847,0.2816296113987293,1.1817040139146326,-2.2925760905616475,-1.9099505511457349,-1.161464358798916,-2.1956508757796884,2.176166492534431,1.7605651788592773,1.491912834773715,0.16996256089542408,-0.30744468535946173,3.2820221815771964,-0.0963660129183117,-0.8619394560443606,-0.019423093704437473,1.7436283451068246,0.6264438014089758,1.7051576409776998,1.8054707012809084,0.06884620996088946,2.077282808922662,-0.6699526552726439,-0.11831310265100502,-1.9856999330069545,-0.7436937417350465,-0.8284986981737078,0.24899592870864268,-0.4293465062634412,-1.1408904129940642,0.9441074920108684,0.5738620332829313,-1.1422484577113432,-0.6156352766272654,-0.03837572115822874,0.08634233542076872,-0.2540811139082779,0.9845056483140402,-0.209746467335984,0.7869114961083327,-0.10842653489431389,0.04651875037496609,0.4531083044101289,-0.7482341614208027,-0.5326649819084582,0.23470326681315792,-0.9369310419487987,0.10107719383419422,-0.528851127266612,-0.20061282148036708,-0.8522952740314486,-0.05481380548771563,0.08957205984814517,0.11987972926484936,-0.409653681184647,0.3069232654805569,-0.0631637662032477,4.672867535,4.18920143,4.431034483
650895.8927554616,9791.13917385814,-21798.10038505516,-6011.289906150022,-4101.712284666218,-12190.47577045544,-26349.654996957768,-117.94943480293186,134.23409769657349,7.278243135287027,-27.485834083563656,-24.15769321381699,10.229552505653842,16.65309450260192,-12.681794679166137,4.5639114137693015,4.1531994429503944,4.572745432215654,-3.062786549365221,-0.6490324658762726,-3.728604346495567,-5.615166443130613,-8.34562554299171,5.425034578570193,1.7129634809347032,2.3993786075715606,-0.6832481024197283,4.3926058491203674,0.2262169151195166,3.648409739844441,-0.4666273823061215,0.8040156467454269,0.8742266498410347,-1.1514053979846144,-2.3649190207135615,1.6481131799430457,-4.725104111916318,2.2083940188836766,-0.9110885950835672,-2.5956703478492544,4.1131646398853805,1.599137500899573,0.050273707125708195,1.5466153017840045,1.7410245420443067,2.4353855252025616,-1.1914751800742778,-2.363799006811784,1.6876340927906273,-1.154929516775524,-1.0056440790152994,0.4489229651681234,-2.0329139534639613,3.0273895006082507,-0.028366622210827912,-1.5585723054947442,0.24173013496220366,-0.21419741294129196,-0.9804720359847146,-0.3346017534901713,-0.637552966011303,-1.8779789576308048,-1.7429912790144018,-1.5451990593049894,-0.4448083104852312,-1.4632607365163357,0.8334853636790849,0.692820489438863,-0.5481062778871216,-0.0946656156786787,-0.22866028469803398,-0.09141773202227915,-0.1478688369596772,-0.5507189972473163,-0.13989155358746938,0.24698546015667364,0.4155681588720087,0.5344283749614936,0.011669036499606834,0.6633976659685911,-0.18518405787195222,-0.1780068895610882,4.804087,4.368326794,4.586206897
-155985.79360999182,-27251.6634471206,15728.837560403237,5074.2021095154305,-138.71971717668248,48.819936614795836,-6853.8082601131155,461.3674304160887,-156.27617828954774,-1.6974391864099403,-19.257780571921128,8.573076281837777,-8.890034872061712,1.8454905490851021,-0.7011063550463932,-10.293317427115392,-1.0176650424706275,-0.3312344171943702,-0.10173532382936765,1.381876123878504,-2.1767890374683354,6.883967956860617,2.088640949660528,0.6703744956451142,-2.5999040933909905,-0.7886036760424787,-1.1115741666901084,-1.027802490718181,2.2019622310733222,-0.2783431600453015,2.416477107120867,-0.41079247605402935,-1.506227449021999,-2.1421289866822724,0.6911415659455293,-1.0438786115542233,0.3276807054493593,-1.511672136618593,0.548761093666744,0.07449676880828188,0.629647278303918,-0.7583021102693354,0.23563941696592053,0.6123382733550957,-2.360973980019497,-0.12763616797834154,-1.6623803134767863,-0.6082688583487058,1.8068535341129919,1.0611833571437792,0.2155400685719671,0.13460169598589986,-1.7078413436844393,0.7135682867508552,-0.12677178200931905,-1.2765515010129165,-0.2035769864920715,-1.534102895017141,-0.40827787514672265,-1.4815914243875288,-0.9276386288662797,-0.674121099045279,-0.0837588316630423,-0.7640080566020511,0.5745151689638299,-0.9139540375889675,-0.029926195568434524,0.3350664659805383,-0.5997152832209233,-0.26175089056772455,-0.39611455881484725,-0.03631712917897399,-0.20795045991082525,-0.4302029771073864,0.3217227669873064,0.9473801686188208,0.23195232196738375,0.018805220336834426,-0.07184351546874437,0.423058885121969,-0.018949991519161425,0.07220798181792928,3.653463529,3.070674402,3.362068966
-8572.136847605525,-16777.30341543762,3720.2476929080276,-11071.459571656265,-1125.2699902355641,-40598.872011907966,4146.316027632663,402.2112499442798,-224.27676462337845,-71.25589112643442,-35.797934486013204,-22.769801992142327,-17.923988447224882,-7.452555338244941,12.188556048386758,4.5562046406181285,-2.071457365053242,3.7023204806495342,0.18014173085838422,2.853388647825464,-10.462605832060248,-3.2450359197829366,-18.03081395321699,11.160711459199808,5.9754184734371485,2.619150817868344,1.5440405032498226,4.943118502424401,-3.071010375706596,-3.7565521130922592,1.3152888569147416,1.8056473414220953,-0.11025352643466146,0.6747099549290406,4.587791275552149,0.9550931042144915,-0.11116181289764178,14.30126375326705,1.5016315424990616,-1.2378355098493952,-0.9260087140794966,-5.911058736143487,2.610357543946069,-1.5066304908827282,-1.3075320658787377,9.491635577976256,3.2327862437096293,-4.21425183924989,5.399554999233237,-3.905785067444691,0.7652775790251308,-1.355250809768108,-2.8214841124618766,-3.763174130549153,-1.850393996944677,3.9475326307528738,-0.7486317574682957,3.067694824200537,4.6925208476526175,-1.0081383415398135,3.039041435897924,-0.31639051607290786,-0.19180652518282754,-1.2858078977138085,0.7959603564441771,1.0950326508818256,-2.034847802152924,-2.3720314258770743,-0.34973299899423776,1.0368551788330973,-1.0121178648232838,0.7699346722932945,-0.7486728796491351,0.5806390764618379,-1.0660028808873137,-1.571790846527269,-1.0978068292060335,1.179641316468933,0.9253711457532539,-0.568055157387512,-0.8864821098163446,0.1087017569658375,2.147725643,1.552274357,1.85
-178537.71721144032,11070.300380615563,-15281.928159228597,-2096.7924674018595,-1328.3044122466397,2581.847779639462,-6092.918508220998,-531.169849174685,-245.04798987965665,9.499050757091696,-25.10961904316849,10.451269747455449,4.441364864519229,5.468661460612558,-12.537192569191175,2.0880512470020673,0.8830053148938951,-1.0913346176628806,3.465940655085811,3.222911565203392,3.5861481844750593,3.93993885839022,3.873227037188748,-3.0566509748459936,0.8017529059868087,4.2321578282006485,0.7009818202213782,-0.44424875567465455,1.678520915696027,-1.5030491106661938,0.048658413453650386,-2.7616223892312646,1.577370997651743,0.38530381387821533,1.5644765503882998,-1.246217032244022,-0.21029857194158558,2.7192279997856894,-0.15493202504702908,1.06476252696123,-0.7718960719439294,0.9702898111196263,0.2016076837608293,0.40305733462029236,0.5192168094481328,0.47369322881464976,0.5152738110813121,0.1336319362705317,0.6044708624884828,0.005028045392432964,-0.7926144318087387,1.1921968879183367,0.4465801503400198,-0.5525168602135107,0.010980930071136522,-0.033178595695107595,0.1976235757552094,0.05177075501973778,-0.5189508901271016,-0.39866157439117583,-0.31539618618795573,0.71349227931542,-0.14318599913155214,0.6628056438074283,0.07968790779862572,-0.35713106905270703,-0.4054428369437956,0.07352948561303586,-0.1494656701228716,0.25126660670572964,-0.39710588664125146,0.6725876718565774,0.38526475249437264,0.28349227657032,0.12884413964098962,0.78752759933288,-0.04452730724993021,-0.5606081946292937,0.07190997244015482,-0.23212258838032582,-0.22604483271832815,-0.256311499428438,3.394160216,2.89155407,3.142857143
-4587.588432627545,47064.65999952704,-11133.250748088754,-2744.842320343757,37080.501734018915,-19604.606893619417,14047.280940940804,-419.82023410725236,535.5186392612127,-43.3045782382871,13.781650814148106,-18.946613999818382,-43.864251412958986,12.738761234024288,-5.5223920355601415,22.936551790602483,-7.3775219982993585,-29.941878588360506,-22.86902322011366,-7.159438794847666,1.6607992064532897,31.740474339501286,-1.0483561988605308,-27.014539805687527,35.149819608535594,-7.409813977044855,-28.31410840540121,12.42143340457589,33.19158377957092,18.26746523088754,15.210660307847748,-14.819539542181774,-24.999525518917938,9.096356991537979,3.5356217205808296,-10.083973545145307,4.270442352133997,-18.07009266885511,13.787820433979606,-7.84551247722134,19.91618995412561,-0.6296693328859252,10.103845748196145,-1.409211540638841,-0.04826860281899121,0.03114603272111158,-1.8288544498937311,0.8169974824782041,-1.8734615555579772,-4.309876193813951,3.3415647155497417,3.583532689576835,-0.41612971800646953,-0.9192047303443103,0.7941861718911694,-1.1517819638166336,0.52468275277747,1.040693716817262,-0.5818396546647795,-0.2599732815220855,0.8314966502625654,0.021422375965325913,-0.053699259863192086,-0.7736943160065634,0.10996690397084054,0.5370330142947031,-0.6332364924153837,0.9269937367426045,0.21732892873195617,0.7092930786595044,-0.13881428750999625,-0.0053020447274213945,0.04855016768309225,0.4114622136042938,0.28598911823567147,0.0374488152892917,-0.046203171499276684,0.04740237825255462,-0.06644648518221073,-0.19221166913823304,-0.026416276882953355,0.013997383771911847,1.384178612,1.098580009,1.24137931
-177088.98264742008,11232.900392403413,-15229.401396700912,-2091.688888173653,-1344.1801453921587,2533.949006172268,-6278.294552055629,463.6840858726407,-209.25129845158324,7.8796518515755025,-8.589135920828566,6.817128594418669,3.7535077490899806,9.861613784817022,-11.495882793259828,-3.044135724284105,5.139000098073326,1.2109762407859654,1.6227210191424937,-0.5062864431162699,0.9525717417561501,7.380026966442033,2.8564650059456445,-2.0037526617777845,-2.6854184796727743,5.694409481525589,0.07764487593051872,-1.1631807001112466,1.7722949822229335,-0.4411402243834794,0.9198180661743699,-1.977728753821491,0.05938796134075879,-1.1625866148014081,1.8679474900125679,1.140602963594736,0.646045554585573,0.5577313924780565,-0.07979121975950024,-1.5615760239904812,-1.261798949181962,-1.1848984915316156,-0.8154916264047678,0.6075377958691625,-0.6692426305871447,-0.9666323859120312,-0.8992959236297415,0.8400478214406757,2.6839699132957926,-1.676012836448811,-0.6305928147910358,1.4583799059404754,-1.8060040216392674,2.0186691285982006,0.7615855810755602,-1.3488428823748377,-2.2525338316871997,-0.38053858341494967,0.3534180553801398,-0.12563557657152818,0.021591965573212652,-0.6609592705701071,-0.5156938971072597,1.4193502349765383,-0.8571105209079831,0.16917052666901808,0.6741638812790871,0.08248574290549796,-0.48032661631235074,0.3129840412449915,-1.187102446522073,-0.4341833702412488,0.34806839871334017,0.7159234927893141,0.3018559832244965,0.22547177338568772,-1.2370581496711055,-0.2911340047732337,0.02024350674564128,-0.45823009058385655,0.4544819950966399,0.2101732731669347,3.324814232,2.847599561,3.086206897
