fe-1,fe-2,fe-3,fe-4,fe-5,fe-6,fe-7,fe-8,fe-9,fe-10,fe-11,fe-12,fe-13,fe-14,fe-15,CIHigh,CILow,MOS
-96471.00174229167,20285.016700989625,-25410.006765650072,-7633.307763182741,-24941.31804778961,12721.709091305684,8548.16992003202,-301.5012528384973,-210.28209548162076,42.33793566551847,-2.370388716451715,5.430859649741126,-0.3644762202045897,-0.8000090382560052,3.688072894014568,3.824198457,3.329647696,3.576923077
-190899.2439090163,610.2798563107843,1825.2229904363462,1789.743515497071,-1099.5449269987312,938.6065054827153,-11692.763481911401,374.42029588850636,-13.665976903519748,-20.577049618555,3.548500305090647,5.221299627794806,-2.2508080446262757,8.796475184201688,-10.588666954981584,3.257015236,2.742984764,3.0
519840.3157679629,-13560.84445009942,-9573.809645649488,-2705.991167456897,-2616.548834204171,-10197.113459986278,-17831.15173246816,72.02086521451808,131.79221857290048,27.667315996259763,-32.7212873089063,-16.276635622117738,1.4223694310286883,10.428742883740554,-8.633628406807157,4.581469014,3.989959557,4.285714286
51809.71371273872,-9921.899265424956,-35785.163221921255,-7061.4555554441,-687.2164349687745,2388.2254225573615,12668.32936601531,-274.9564062876261,-20.814828108033282,-35.92463622886358,14.692371864880876,1.231787769635776,13.32066823233165,-6.321199354423099,-3.185742944359293,4.672867535,4.18920143,4.431034483
650895.8927554617,9791.139173858135,-21798.10038505514,-6011.289906150051,-4101.712284666196,-12190.475770455338,-26349.65499695761,-117.94943480076655,134.23409769587988,7.2782431353609995,-27.485834079730736,-24.15769325591781,10.229552553306064,16.65309440090208,-12.681794597870791,4.804087,4.368326794,4.586206897
-155985.79360999184,-27251.663447120554,15728.83756040326,5074.202109515447,-138.7197171767251,48.81993661477778,-6853.808260113066,461.367430407635,-156.27617828873716,-1.6974391864304283,-19.257780569235898,8.573076296779728,-8.890034913473604,1.845490537814851,-0.7011063505561816,3.653463529,3.070674402,3.362068966
-8572.136847605523,-16777.303415437596,3720.247692908039,-11071.459571656334,-1125.2699902355557,-40598.87201190765,4146.316027632641,402.21124993690796,-224.27676462221606,-71.25589112721492,-35.79793448102156,-22.769802031828128,-17.92398853071934,-7.452555292732139,12.188555970249238,2.147725643,1.552274357,1.85
-178537.71721144035,11070.300380615545,-15281.928159228624,-2096.792467401891,-1328.3044122466329,2581.847779639442,-6092.918508220968,-531.1698491649504,-245.04798987838703,9.499050757197589,-25.109619039668026,10.451269765670903,4.441364885208189,5.468661427215507,-12.537192488816322,3.394160216,2.89155407,3.142857143
-4587.588432627546,47064.659999526964,-11133.250748088778,-2744.8423203437633,37080.50173401873,-19604.606893619275,14047.280940940735,-419.8202340995558,535.5186392584387,-43.3045782387631,13.781650812227182,-18.946614032839154,-43.86425161728953,12.738761156228765,-5.522392000156571,1.384178612,1.098580009,1.24137931
-177088.98264742014,11232.900392403395,-15229.401396700943,-2091.6888881736627,-1344.1801453921532,2533.949006172251,-6278.294552055597,463.6840858641439,-209.2512984504988,7.8796518516619285,-8.589135919631193,6.8171286063016945,3.753507766574863,9.861613724592269,-11.49588271956412,3.324814232,2.847599561,3.086206897
50030.00805463147,-10113.997947689428,-35856.49758970931,-7070.235058568764,-668.2179192098843,2441.944983101462,12881.309331455454,-274.72895611911423,139.77415770630517,-50.994560436932254,18.22368335073528,-0.6449472811088448,13.21248449739164,-7.152106637599126,-4.62259632240373,3.599130983,2.900869017,3.25
-125345.11971585719,-14842.065660352833,-550.0972767851952,1293.4060038201717,-560.8143237253944,1119.0146444204418,-3469.914771115769,505.62609281499414,-147.99195626093936,3.592748316631152,-8.184548897630117,6.667883713635955,-3.8273242177537035,3.3633932518975884,-4.182653684762401,3.954853907,3.366574665,3.660714286
-49001.25318178601,-48167.389711457705,12787.79058964534,4259.833315192708,673.157169043022,-566.32484699777,3515.6614387282325,611.4324764416556,-44.63990682752191,-46.941621857126115,9.787047707811773,6.176204639849009,-6.933410838091274,-11.012630560507612,8.031942099454584,3.453428328,2.925882017,3.189655172
347922.2314522346,-32285.958984764624,-16536.08615006627,-3524.2664239157957,-796.0985257861452,-4945.407346563546,2571.058216945081,-525.2452499695772,117.82768750227058,73.28616824388408,-6.671407009339363,5.796977985916337,-3.132657311311472,-1.8873834126734566,-8.871732129324592,4.785550297,4.325560814,4.555555556
-177783.06979999677,11158.49126056269,-15258.612051584227,-2095.3777759845652,-1336.7929990089315,2555.1103224811395,-6194.898005426909,464.26067965614993,-163.39474927231367,2.924343585134263,-9.998929135864394,11.028159132718468,3.4192172718758034,5.09544582471909,-10.76732456208619,2.653067263,2.154625045,2.403846154
246964.0374885817,-52400.00887065791,-3015.7410641501087,-58.345234615924255,370.8824600001463,-3879.5232772067784,7489.697329852746,-405.99540003327695,112.79501353183014,85.64313385072505,-19.134351625009977,10.821908378824608,-11.27735356524949,-6.254652173847488,-4.959967410107339,4.518530885,4.014802449,4.266666667
-196930.49038238882,7262.109974575493,4406.180802819035,-2973.7771147002654,-1557.880119525897,-15573.846834168577,-11654.291105016524,-703.471896417493,-172.1755026184285,-40.779197702869624,9.782613786377512,-10.421676734952094,-4.272230504852491,-15.936266340622256,21.884035490162216,3.107115012,2.596588692,2.851851852
-120360.21443036063,10134.50442207423,-15464.959965841366,22522.003356326586,7584.076690910301,2545.447962683991,3576.8105060880457,-394.2799169923014,16.634058792568446,22.819317148095344,-12.076920588502716,-19.45236401729566,8.178206412577234,5.849690678121642,6.169607978007241,3.531309226,3.020414912,3.275862069
