fe-1,fe-2,fe-3,fe-4,fe-5,fe-6,fe-7,fe-8,fe-9,fe-10,fe-11,fe-12,fe-13,fe-14,fe-15,fe-16,CIHigh,CILow,MOS
-96471.00174229169,20285.01670098965,-25410.006765650094,-7633.307763182713,-24941.31804778974,12721.709091305476,8548.169920031836,-301.50125284030025,-210.28209548095973,42.33793564772417,-2.37038871040433,5.430859662433275,-0.3644762214179687,-0.800009041508344,3.6880729105005625,7.728801991323344,3.824198457,3.329647696,3.576923077
-190899.2439090163,610.2798563107727,1825.2229904363528,1789.7435154970647,-1099.5449269987382,938.606505482698,-11692.76348191116,374.4202958908489,-13.665976903478132,-20.577049609924245,3.5485002960549834,5.221299639929454,-2.250808052168924,8.79647522008784,-10.588667002600097,-9.52672960089264,3.257015236,2.742984764,3.0
519840.3157679629,-13560.844450099434,-9573.809645649464,-2705.9911674568807,-2616.5488342041976,-10197.113459986122,-17831.151732467795,72.02086521497019,131.7922185725009,27.66731598465371,-32.72128722558566,-16.276635659941952,1.4223694357954149,10.428742926285933,-8.633628445635749,-2.102741117933695,4.581469014,3.989959557,4.285714286
51809.71371273872,-9921.899265424967,-35785.163221921306,-7061.455555444078,-687.2164349687787,2388.2254225573247,12668.329366015048,-274.95640628934785,-20.814828107970673,-35.92463621379395,14.69237182746842,1.231787772497028,13.320668276970693,-6.321199380211354,-3.1857429586840507,7.2188437866989945,4.672867535,4.18920143,4.431034483
650895.8927554617,9791.139173858135,-21798.10038505519,-6011.289906150027,-4101.7122846662,-12190.475770455168,-26349.654996957084,-117.94943480150249,134.23409769547305,7.27824313230737,-27.485834009741502,-24.157693312056956,10.229552587586753,16.653094468840333,-12.681794654904802,4.563911423905694,4.804087,4.368326794,4.586206897
-155985.79360999184,-27251.6634471206,15728.837560403283,5074.202109515431,-138.7197171767368,48.81993661475936,-6853.808260112927,461.36743041052176,-156.27617828826263,-1.6974391857190774,-19.257780520198356,8.573076316703867,-8.890034943265084,1.8454905453438848,-0.7011063537100459,-10.293317449997478,3.653463529,3.070674402,3.362068966
-8572.136847605523,-16777.303415437622,3720.247692908043,-11071.45957165629,-1125.269990235557,-40598.87201190701,4146.316027632556,402.2112499394255,-224.2767646215349,-71.25589109732721,-35.79793438986654,-22.769802084741748,-17.923988590784546,-7.452555323135074,12.188556025057618,4.556204650739662,2.147725643,1.552274357,1.85
-178537.71721144035,11070.300380615563,-15281.928159228639,-2096.7924674018823,-1328.3044122466301,2581.8477796393977,-6092.918508220844,-531.1698491682739,-245.0479898776439,9.499050753213973,-25.109618975729997,10.451269789957736,4.4413649000915445,5.468661449525133,-12.537192545194792,2.0880512516476557,3.394160216,2.89155407,3.142857143
-4587.588432627546,47064.659999527015,-11133.250748088776,-2744.8423203437437,37080.501734018966,-19604.606893618955,14047.280940940445,-419.8202341021788,535.5186392568141,-43.304578220599375,13.781650777134235,-18.94661407686801,-43.864251764283964,12.738761208197928,-5.522392024992681,22.93655184157874,1.384178612,1.098580009,1.24137931
-177088.98264742014,11232.900392403411,-15229.401396700956,-2091.6888881736545,-1344.1801453921573,2533.9490061722104,-6278.29455205547,463.6840858670433,-209.25129844986427,7.8796518483570805,-8.58913589776021,6.81712862214385,3.7535077791532903,9.8616137648236,-11.495882771261101,-3.0441357310491273,3.324814232,2.847599561,3.086206897
50030.00805463147,-10113.997947689426,-35856.497589709346,-7070.235058568736,-668.2179192098814,2441.944983101425,12881.30933145519,-274.72895612083397,139.7741577058806,-50.99456041554162,18.22368330433092,-0.6449472826087351,13.21248454166818,-7.152106666777143,-4.622596343190177,3.343655824724674,3.599130983,2.900869017,3.25
-125345.11971585719,-14842.065660352851,-550.0972767851955,1293.4060038201665,-560.8143237253996,1119.0146444204238,-3469.9147711156984,505.6260928181568,-147.99195626049018,3.592748315123995,-8.184548876789226,6.667883729131903,-3.82732423057949,3.3633932656189214,-4.182653703572135,-6.369863901346523,3.954853907,3.366574665,3.660714286
-49001.25318178601,-48167.38971145777,12787.790589645352,4259.833315192691,673.1571690430178,-566.3248469977614,3515.661438728162,611.4324764454811,-44.63990682738608,-46.941621837436955,9.787047682890613,6.176204654203278,-6.933410861325827,-11.012630605434518,8.031942135573194,-6.734829295777917,3.453428328,2.925882017,3.189655172
347922.2314522346,-32285.958984764657,-16536.086150066287,-3524.266423915781,-796.0985257861483,-4945.407346563468,2571.058216945027,-525.2452499728626,117.82768750191298,73.28616821314407,-6.671406992351643,5.796977999387781,-3.1326573218094405,-1.8873834203734428,-8.871732169220255,-0.04093927004938923,4.785550297,4.325560814,4.555555556
-177783.06979999677,11158.491260562709,-15258.612051584241,-2095.377775984556,-1336.7929990089353,2555.110322481099,-6194.898005426783,464.26067965905304,-163.39474927181797,2.9243435839079077,-9.998929110403559,11.028159158346858,3.419217283333933,5.0954458455063065,-10.767324610506519,-4.829675365229021,2.653067263,2.154625045,2.403846154
246964.0374885817,-52400.00887065797,-3015.741064150112,-58.34523461592376,370.8824600001449,-3879.5232772067175,7489.697329852593,-405.995400035816,112.7950135314879,85.64313381480156,-19.134351576286964,10.82190840397382,-11.277353603041336,-6.254652199364127,-4.959967432411485,-6.341400954698942,4.518530885,4.014802449,4.266666667
-196930.49038238882,7262.1099745754955,4406.18080281904,-2973.7771147002536,-1557.8801195259027,-15573.846834168338,-11654.291105016284,-703.4718964218928,-172.17550261790606,-40.779197685764416,9.782613761467376,-10.421676759171318,-4.272230519169251,-15.93626640563573,21.88403558857528,23.810170897967485,3.107115012,2.596588692,2.851851852
-120360.21443036063,10134.504422074242,-15464.959965841377,22522.003356326495,7584.076690910349,2545.4479626839534,3576.810506087972,-394.2799169947675,16.634058792517937,22.819317138523424,-12.076920557750443,-19.452364062502816,8.178206439983311,5.849690701985895,6.169608005755644,-18.200989152940817,3.531309226,3.020414912,3.275862069
26676.55130162889,71718.91671086637,4229.979698131636,-4431.085218514438,-81.87415521819874,-7518.307150782021,12531.620564010966,560.842622765235,-2.5689546658354057,151.09372176821984,-30.297581081740457,4.958243707870245,-55.409215063421925,0.4491037789787306,-2.443292670559729,-17.093476681114655,1.56564417,1.167689163,1.366666667
-109808.71505541114,44567.06006826475,-10893.211824471706,-29969.39000356991,-8989.838358063012,-2091.0220715746914,6185.938134344496,542.1687726194785,536.9082293647303,76.92982684240559,19.20358064934196,12.87435805973082,-48.38353318937327,0.20162757964659106,-1.2189779697693504,13.17375037941147,1.642556938,1.324109728,1.483333333
127680.37018159017,-74465.5778586494,9678.065296166205,3301.2615358673293,1731.4262025125247,-2244.7970753184027,14615.808687430768,-244.56715351908912,155.14329295681898,99.38114295535992,-11.832497344451026,17.674960535788006,-18.84419919917379,-10.442648658338962,-1.5867681322091127,-12.663394522459727,4.257197985,3.639353739,3.948275862
-78041.96969912767,8500.943727850205,-33760.37683867964,-6354.432048003875,-1257.3884957063017,3695.59432222948,4991.557092448333,624.4744194049487,-16.428704108246006,5.118838381806414,-20.285790886219218,-8.672722237101636,8.689324067080284,9.846803158881052,-11.432395436707768,-5.714401074621209,3.991799552,3.401057591,3.696428571
389387.7181766789,-36882.7696991821,2743.7034035294673,617.6026820572137,-1137.4002894425655,-8230.064661035736,-9411.703603528336,260.16611745348416,129.577800626267,50.387878110908005,11.283432640843658,1.7831588597667096,-8.229959313346907,2.830786880725783,-4.6126093976418945,-4.315443711482729,4.766305092,4.305123479,4.535714286
417683.28306202835,16487.85137133101,-6916.163849700213,-40782.241724608975,36560.34741932785,21398.048467172284,-5700.180107221056,-606.5724114762322,-136.21461304352067,43.04375295970784,13.201917301230688,-3.3764154377175357,-3.734955725754183,5.7076554070871985,-4.979619313147792,6.428610855185023,3.0643401,2.528252492,2.796296296
-208656.1098366185,-10399.087565069509,18626.08882136652,5632.565155430374,-814.0445660093495,-524.1586296290496,-16607.519646497116,305.51084868699064,-240.4247540674263,-7.8187444151640095,-9.84042143942738,12.02505911800267,-6.193976399917003,6.581828466658979,-4.925534851115463,-7.393495841726147,3.109396031,2.640603969,2.875
246964.02876949642,-52399.61725118454,-3015.341990118854,-58.390186012385,370.92783994986195,-3879.716124956424,7490.172924951519,-407.14426143295685,158.70030977371627,81.57322254484049,-17.72962801131836,7.782365324697364,-10.773471945851483,-5.4294033292047565,-5.34611647465151,-6.8534595743330975,4.586922149,4.190855629,4.388888889
102995.09709901222,-4346.599785653928,-33710.42896957728,-6817.7215363198375,-1229.558589547063,821.3302906853256,6582.007430683372,603.7399894046472,12.76923232632247,-51.511867536401304,9.856188634581809,-8.825302561514505,12.207246291704106,-0.20590690080857155,-2.66507736182975,2.7802922890307578,3.658971212,3.055314503,3.357142857
-126571.562891848,21905.741775528655,1497.0751847929525,-18507.148546626213,-7891.283239724408,23158.037151553173,2067.5690766957327,-362.58430559051226,-287.5522119869199,58.065569084541785,18.715083680334132,-13.325620184550584,-8.601402305836057,-3.197722459048086,13.096922874015794,23.811514426083434,3.665622055,3.092998635,3.379310345
-190387.4595414203,665.1960614792356,1843.7495985844077,1792.1233377805154,-1105.111349402154,923.7206345796803,-11754.64709731095,376.9484135596892,-162.77129202829386,-6.987017048598496,-9.247605915536045,6.751634235131108,-2.786446110504863,8.480478799990859,-11.374730059793286,-6.354924809272042,3.249159055,2.784174278,3.016666667
39461.28155597659,-2386.8508007154182,-12023.36778360076,-14807.112479390966,-1732.49898129326,-40039.97942464471,5534.497320894425,408.5692773840827,-286.26502529137,-62.29483907542309,-18.792488730489136,-27.42869327611099,-1.7111489853680228,2.4330048702413207,16.47660563391405,10.58455014387495,3.09915415,2.442512516,2.770833333
-186353.742503439,17582.12584796305,-12842.859811632215,-6888.575992448644,-1768.0394627314374,-13880.584254547188,-5831.029140736979,365.3723178198224,804.2978436157682,-124.97501212739148,22.298462186609317,38.11925011445046,-8.583506501567703,-34.19452632753548,-24.401561038894183,16.640800883802463,1.529546306,1.23712036,1.383333333
-208889.8106872934,-10423.582690035428,18617.65368208662,5631.350897984962,-811.4602819867029,-517.5143993569623,-16578.644108299563,303.23312288098714,-126.75817804576138,-17.649713820446337,2.2127737459197245,8.28590877606446,-5.659339723038139,7.532160120717319,-5.820898751357288,-8.289000662331967,3.24043084,2.828534677,3.034482759
-56563.329332473244,26534.50973306678,29185.676392477853,14663.104679991842,2252.0243166514597,31809.277535131652,9714.003747102332,747.8210618192275,308.43713130908753,-48.80021614688307,-296.7366704977958,8.91909583413126,-24.586415647276645,-26.35665089730986,-27.793094142052606,34.20032302630756,1.400678788,1.15104535,1.275862069
-42560.93726866816,-17115.224246641777,9567.332444192421,-1471.200548771035,-36337.382427541816,14297.313313970548,11842.383212632276,-246.01546254852383,-131.62018843793106,-41.156836121172056,59.8658959550026,7.933220460379287,-6.131089579616789,-6.914932310452769,18.874505560865323,11.833752178755311,2.55951845,1.976195836,2.267857143
-96939.31772145322,20225.548858060767,-25415.29105191465,-7637.818170149591,-24937.639681804547,12734.038978059205,8601.381425464737,-303.92520055405373,-71.65183882453962,28.301501605073632,-37.52107508357721,9.212141740440904,20.614131716857045,2.1921198577667895,8.179323645644624,-13.100150370836614,3.809449298,3.362964496,3.586206897
-172152.59757377664,37771.62475972004,-28242.29965727531,4981.912067224214,3171.1217401205595,-12579.30357730882,-147.068551354734,472.1039903018998,-259.5132596537624,12.989799035390597,-10.149301945410055,-40.55607972883349,9.355560947181434,-7.003357806743642,40.19072102758247,2.8598773199046224,2.137035504,1.690550702,1.913793103
-26583.5577948773,-36651.06543421779,-3830.566155434171,438.7254040794489,338.6251101858358,759.8184224999201,7893.891358902153,-324.4246300012982,-25.10801632814911,-41.94673968398512,11.026587402112881,6.257789017057449,-0.5154023269138809,-12.51262599047509,3.088861937661815,1.5278919211738444,4.329362543,3.770637457,4.05
-178650.8719795676,11062.867833753822,-15292.766710479267,-2099.0966993446123,-1327.0400452688737,2585.5816109635216,-6075.26009774689,-533.9472399858713,-119.9076239165393,1.0266131988309937,29.551542056743507,14.103338989873967,5.873358978992757,5.903912288020698,-14.21889659075613,4.62697431508695,3.348464581,2.85843197,3.103448276
-178608.71097964683,11062.663455784377,-15284.681606687336,-2097.135890019173,-1327.545611484781,2583.953693297219,-6084.38503215828,-531.2696258718979,-233.4102597952356,9.170634928295716,-9.635572428403151,14.66391660492872,5.614925939895553,6.107481039796807,-11.972011670430732,3.346679594531366,3.430356437,3.002976896,3.216666667
-169722.03455831646,-13433.49073974829,17659.610353131957,30159.94897278613,8302.286396112842,32.45919688320531,-4641.716924840036,-504.7055503984138,-264.18882995111227,36.93804253089967,-7.42835751136616,-15.064522205976253,-1.9657194042358959,0.6039283604579775,11.87459692049072,-15.247482932549929,3.12457995,2.57542005,2.85
-26576.707464700725,-36651.45092160536,-3828.9450625180234,439.1611558313997,338.51753964309097,759.5435675291973,7892.070411739707,-323.5797512025634,-59.151254247480324,-37.16111905218587,42.455819515114165,15.022663700929213,-1.0152222829003035,-14.308534014986913,3.147735166393027,5.03803085700947,4.225768921,3.636300045,3.931034483
