fe-1,fe-2,fe-3,fe-4,fe-5,fe-6,fe-7,fe-8,fe-9,fe-10,fe-11,fe-12,fe-13,fe-14,fe-15,fe-16,fe-17,fe-18,fe-19,fe-20,fe-21,fe-22,fe-23,fe-24,fe-25,fe-26,fe-27,fe-28,fe-29,fe-30,fe-31,fe-32,fe-33,fe-34,fe-35,fe-36,fe-37,fe-38,fe-39,fe-40,fe-41,fe-42,fe-43,fe-44,fe-45,fe-46,fe-47,fe-48,fe-49,fe-50,fe-51,fe-52,fe-53,fe-54,fe-55,fe-56,fe-57,fe-58,fe-59,fe-60,fe-61,fe-62,fe-63,fe-64,fe-65,fe-66,fe-67,fe-68,fe-69,fe-70,fe-71,fe-72,fe-73,fe-74,fe-75,fe-76,fe-77,fe-78,fe-79,fe-80,CIHigh,CILow,MOS
-96471.0017422917,20285.016700989658,-25410.006765650098,-7633.307763182724,-24941.318047789402,12721.709091305684,8548.169920031847,-301.50125283772473,-210.28209548173913,42.337935675428014,-2.3703887087699873,5.430859647313466,-0.36447621922929974,-0.800009034878085,3.68807292790154,7.728801936388832,1.4801301803568263,15.028038694264387,-0.9939014453258831,9.482739123626184,-23.99626985064755,4.901344350132563,-16.45110829137362,-7.032567729003389,-4.1458977590489665,5.9693375146101895,5.31306069839577,1.4083178033285924,-3.0342247739349175,2.4075344791584516,8.099097585104435,0.1469567515234121,0.46942544838951583,-4.656155472448266,5.794130259633934,5.084001499320199,4.361626297974386,-2.004235266368558,1.439553729532514,-3.3008635770932844,0.7446061085979984,3.361998603280402,6.574766749707067,1.0309711456772936,-1.1044155145844872,2.5755775489934676,-4.278948130081058,0.8454142290527994,3.7141521672428843,-0.7798034860107507,3.937824378666837,-0.6163291344292045,-2.1383418409805954,5.618448314390578,2.588995407949483,-3.9784866682824216,1.6894743654376427,-2.410021860530234,2.012454141865664,1.6582120461095313,2.831136723061517,0.3902481330481237,-0.05103436268607291,-1.7761617735205417,0.35666140785324196,-1.6525764524840187,-1.1289657533189754,-0.2601795067121443,1.046079100285793,-0.7195748583168721,0.9607251410472951,-1.6013239828241326,-0.30537786054141247,-0.42687239535475024,-2.4267726122561366,1.4801238017550682,-0.22354047508834346,-0.25361188427188475,1.4707351393248818,-0.4078274646990018,3.824198457,3.329647696,3.576923077
-190899.24390901605,610.2798563107633,1825.2229904363362,1789.7435154970667,-1099.5449269987319,938.6065054827117,-11692.76348191117,374.420295887516,-13.665976903529943,-20.577049623372503,3.5485002935848393,5.221299625433698,-2.250808038663873,8.796475147197858,-10.58866705263284,-9.526729533346048,10.432984767041292,4.432457275766132,-6.258055165703047,-4.42620369726165,1.190463487815012,14.891150590286824,3.233719801890089,-2.862012483995638,1.9922863083311046,2.3918539643518058,-1.6892071043630676,0.0890954145109541,0.6726207269028853,-4.5931376286947625,2.9570534148891667,-0.6480123162010996,-1.2260177059254223,4.615032967097664,2.1997663811201504,2.3313954249192954,-1.2718236332610604,-1.8501164434872246,-1.645325083044484,0.7790553589507812,-0.7113398690734991,-2.7711717924128787,-3.3535179672856703,2.7458292470699064,2.1422273124686946,-0.9669163506509012,0.29892564796438803,4.391633818767126,-2.7887125858283914,-1.9130424139981297,1.4786505117225732,5.901467980702496,-0.47360208280508515,-0.5396144815760903,7.714243880385439,3.822824859296588,3.4244210258576713,2.2088949735739134,-3.0664732264832613,2.7403885967737573,-0.6802789887362978,-1.3067337792903786,-0.750710989252153,1.9801745808118798,0.5591440608310699,-0.9521894073780941,-0.04656760465583831,-1.542808397411886,-0.7280119663833348,-3.503851256435356,-0.23625163257442106,-1.496163021532312,-0.26352090851780335,-0.2929828294103142,1.5031673365887401,-0.817998449161533,0.19372184656461722,0.7703262950170812,0.8895476221762649,-1.4819138981199558,3.257015236,2.742984764,3.0
519840.3157679629,-13560.84445009944,-9573.80964564953,-2705.991167456884,-2616.548834204172,-10197.113459986289,-17831.151732467813,72.02086521432709,131.79221857297682,27.667316002738648,-32.72128720281761,-16.27663561474699,1.4223694272612086,10.428742839871797,-8.633628486435498,-2.1027411030327126,1.8341471587720901,2.127077336157082,-2.315408079395689,1.6888533839511497,-3.6088013808517276,-1.6306887104518943,-5.139481469419743,5.13442142808447,-0.507059804662003,1.3906893567333936,0.017945615934451885,2.3819783514986943,0.05441764396057396,2.460128650694301,0.45107594028946235,0.1632932704811923,1.2188917802029073,-2.3202727216459738,-0.8881171849108034,-0.13470816290462967,-2.4082872523699024,0.21625815130984075,0.448745466314822,-1.173274048447717,1.2947887492870427,-0.2574344470110807,0.2882199215910302,1.0021662637295154,0.6321933887031375,1.1515381070185269,0.23365228239262237,-0.27676930552767603,0.8832364069150804,1.126164275942283,-0.5528863657643268,0.1354907400896592,0.35291710911869273,-1.738160888310212,0.5793500746971826,-0.15650828139534648,1.3588310405022848,0.8197274257906477,-1.852141440865129,0.3485500738525545,-0.38163473647096413,-0.04318630340631177,-1.426048731582174,-0.2317090861431044,-0.06784841484686312,-0.53520658136227,0.18691230528379166,0.6710987205945568,-0.057126352330541356,-0.22237350997031763,-0.38416983470652044,0.26834912697457436,-0.1305708079066351,-0.01266163125783849,-0.4355250392662176,0.6472907755604831,0.31594875222164,-0.057394042683484664,-0.3451022026645,0.07370746799177275,4.581469014,3.989959557,4.285714286
51809.713712738725,-9921.899265425014,-35785.16322192126,-7061.455555444074,-687.2164349687258,2388.225422557356,12668.32936601506,-274.95640628689915,-20.814828108045344,-35.92463623727652,14.692371817245283,1.231787769078128,13.320668197044608,-6.321199327833028,-3.1857429737366334,7.218843735526521,1.8191010800542993,-1.127467096870889,1.3977065885105309,3.849041821018721,0.7257648967348357,-4.656814552086777,-1.917305439800062,-1.1916863790401953,1.9510900924892114,-2.6483694743540354,0.28162960697631023,1.181703971548903,-2.2925760825303843,-1.9099505797164062,-1.1614643771113842,-2.1956509133849216,2.1761665345480723,1.7605652151796423,1.4919127328411108,0.16996256540286125,-0.3074446479184652,3.2820222854485297,-0.09636602146664619,-0.861939496258967,-0.01942309469907442,1.7436284421250197,0.6264437902466251,1.7051577702530476,1.8054708425750832,0.06884620810203279,2.0772827546969888,-0.6699527219892332,-0.1183131168790104,-1.9856994759994784,-0.7436937064762934,-0.8284988596645287,0.24899576818154784,-0.42934662116104916,-1.1408899109974977,0.9441077970320392,0.5738622521661566,-1.1422489418088784,-0.6156341858543687,-0.038375741369240025,0.08634238277119188,-0.25408128029069194,0.9845063450449612,-0.2097466500227117,0.7869122190281626,-0.10842608057689712,0.046518802840984634,0.45310888956651746,-0.748235198315111,-0.5326657993333689,0.2347036350619883,-0.936932709483903,0.10107738262025663,-0.5288522107008103,-0.20061325356049328,-0.8522972056331608,-0.05481394464438288,0.08957231067879812,0.11988007697051363,-0.40964865005245144,4.672867535,4.18920143,4.431034483
650895.8927554619,9791.13917385815,-21798.10038505526,-6011.289906150037,-4101.712284666142,-12190.475770455372,-26349.654996957113,-117.94943480045465,134.23409769595983,7.278243137070967,-27.485833990616666,-24.157693244976986,10.229552526207465,16.65309433085013,-12.681794714830389,4.56391139154552,4.153199458153188,4.5727454511046535,-3.062786564141947,-0.6490324529526883,-3.728604314239009,-5.61516652400691,-8.345625380493146,5.425034514934329,1.7129634950530108,2.3993785471631344,-0.6832480917507818,4.392605691640707,0.22621691432165292,3.648409794404568,-0.46662738957760674,0.804015660515944,0.8742266667147451,-1.1514054217524001,-2.3649188589840615,1.6481132234839702,-4.7251035366950385,2.2083940887959765,-0.9110886757963471,-2.5956704688939807,4.1131648546608215,1.5991375898251177,0.05027370644480482,1.5466154190846038,1.7410246782551853,2.435385465799276,-1.1914751485222281,-2.3637992421746135,1.6876342976483605,-1.1549292509023092,-1.005644031505136,0.4489230527228563,-2.0329126445881633,3.027390320933614,-0.02836660762713241,-1.5585728108350574,0.24173022750390946,-0.21419750428857004,-0.9804703025718904,-0.334601929624354,-0.6375533233118165,-1.8779801866722794,-1.7429925124462649,-1.545200404335291,-0.44480872030562013,-1.4632546136356555,0.8334862844213488,0.6928213837940352,-0.5481070375691239,-0.09466576199063956,-0.22866064347846632,-0.09141789532234844,-0.14786911036824454,-0.5507201247959918,-0.13989185134963647,0.24698602237162542,0.4155692118714715,0.5344298736162525,0.011669069584533993,0.6633895179558906,4.804087,4.368326794,4.586206897
-155985.7936099919,-27251.663447120598,15728.837560403277,5074.202109515431,-138.7197171767132,48.81993661480437,-6853.808260112945,461.36743040641693,-156.27617828882575,-1.6974391868286616,-19.257780506797975,8.57307629289597,-8.890034889923706,1.8454905300524647,-0.7011063570246221,-10.293317377033958,-1.0176650461994303,-0.3312344185821749,-0.10173532431977969,1.3818760962530958,-2.1767890186311956,6.883968055983952,2.08864090894906,0.6703744878065407,-2.599904114806464,-0.7886036562305836,-1.1115741493064,-1.0278024538744184,2.2019622233753204,-0.27834316424690475,2.4164771452674914,-0.41079248309049166,-1.5062274781091165,-2.1421290308424195,0.691141518737967,-1.0438786391793917,0.3276806655067688,-1.5116721844459386,0.5487611422055193,0.07449677234287211,0.6296473111737299,-0.7583021525982149,0.23563941262973712,0.6123383197370896,-2.3609741648857607,-0.12763616494865268,-1.662380269751945,-0.6082689189262581,1.8068537532826208,1.061183112984864,0.21554005841839075,0.13460172231549383,-1.7078402438541174,0.713568478928341,-0.1267717261384234,-1.2765519137735155,-0.20357706353007354,-1.5341035427322913,-0.4082771493341468,-1.481592198073673,-0.9276391456324665,-0.6741215401690921,-0.08375889091683851,-0.7640087216081339,0.5745156964676339,-0.9139502136565665,-0.02992622626881051,0.33506689873477774,-0.5997161142296232,-0.26175129317485285,-0.396115180550314,-0.03631719328846032,-0.20795084485190982,-0.430203857590721,0.32172345562703614,0.9473823165125405,0.23195291007668375,0.018805272927170037,-0.07184372517142446,0.4230536891776442,3.653463529,3.070674402,3.362068966
-8572.13684760553,-16777.303415437622,3720.247692908034,-11071.459571656293,-1125.2699902355441,-40598.87201190771,4146.3160276325725,402.2112499358443,-224.27676462234749,-71.25589114390094,-35.79793436495874,-22.769802021513513,-17.923988483238496,-7.452555261382744,12.188556082658229,4.5562046184437675,-2.0714573726386627,3.7023204959473603,0.18014173172699208,2.8533885908156367,-10.462605741673244,-3.2450359665546205,-18.030813602085818,11.160711328238781,5.975418522673884,2.6191507519625064,1.5440404790481037,4.943118325205477,-3.0710103649570275,-3.756552169293396,1.3152888777173897,1.805647372348354,-0.1102535285638538,0.6747099688508459,4.587790962034894,0.9550931295349672,-0.11116179928005447,14.30126420587251,1.5016316754831327,-1.2378355675967423,-0.926008762435053,-5.9110590651837995,2.61035749705909,-1.5066306049355045,-1.3075321683356875,9.491635346641885,3.232786159801813,-4.2142522588981395,5.399555654723882,-3.90578416844093,0.7652775436810431,-1.3552510738629855,-2.821482295719425,-3.7631751493006793,-1.850393184565166,3.947533908296566,-0.7486320451924047,3.067696131282678,4.692512548742602,-1.0081388626925787,3.0390431311100023,-0.3163907231594149,-0.19180666093275692,-1.2858090202050363,0.7959610880782375,1.0950280647361292,-2.0348500441189725,-2.372034486856378,-0.34973348102978424,1.0368567694019037,-1.0121194527984754,0.7699360391104748,-0.7486742686694277,0.5806402646588316,-1.0660051608658319,-1.571794403131227,-1.097809610927748,1.1796446241682053,0.925373847402211,-0.5680481813072032,2.147725643,1.552274357,1.85
-178537.7172114404,11070.300380615563,-15281.928159228644,-2096.7924674018623,-1328.3044122466226,2581.847779639446,-6092.918508220844,-531.1698491635467,-245.04798987853005,9.499050759421692,-25.109618958257727,10.451269760937521,4.441364873442833,5.46866140421092,-12.53719260443934,2.088051236846238,0.8830053181282986,-1.0913346221608773,3.465940671806326,3.2229115008458487,3.586148153487886,3.939938915135383,3.8732269617405417,-3.056650938990156,0.8017529125895075,4.2321577217035085,0.7009818092387163,-0.4442487397452234,1.6785209098111578,-1.5030491331466622,0.048658414211727105,-2.761622436529837,1.5773710281063105,0.3853038218303969,1.5644764434629328,-1.2462170651574564,-0.21029854631781586,2.7192280858425706,-0.15493203874917885,1.0647625766064464,-0.7718961122446171,0.9702898651655956,0.20160768015889494,0.4030573651725341,0.5192168500848108,0.47369321727785346,0.5152737975910153,0.13363194957776717,0.6044709359190907,0.005028044199418095,-0.7926143945740853,1.1921971202361,0.4465798628420028,-0.552517010017675,0.010980924749854926,-0.03317860611072857,0.19762365116634129,0.051770775109992624,-0.5189499736611342,-0.39866178210344005,-0.31539636057392434,0.713492746326123,-0.1431861004809546,0.6628062209525063,0.07968798139115521,-0.35712957545315227,-0.4054432831544237,0.07352958046910225,-0.14946587630030964,0.2512669923594595,-0.39710651000805125,0.6725888701189259,0.3852654650485816,0.28349285767114774,0.12884441831163235,0.7875293846407385,-0.044527419463938546,-0.5606097683552714,0.07191017934039971,-0.23211973764123683,3.394160216,2.89155407,3.142857143
-4587.588432627546,47064.659999527044,-11133.250748088794,-2744.842320343747,37080.50173401844,-19604.606893619293,14047.280940940456,-419.8202340984473,535.5186392587525,-43.30457824890924,13.781650767545194,-18.946614024261724,-43.864251501092184,12.73876110264366,-5.522392051094574,22.93655167896074,-7.377522025316234,-29.94187871219736,-22.869023330450872,-7.159438651898192,1.6607991922714955,31.740474796499033,-1.0483561784591469,-27.01453948863114,35.14981989828775,-7.4098137906473855,-28.31410796168379,12.421432959255933,33.19158366327844,18.267465504035847,15.21066054803233,-14.819539795998853,-24.999526001587032,9.096357179259012,3.5356214788455507,-10.08397381173206,4.270441832116703,-18.070093240743546,13.787821654692062,-7.845512842915099,19.916190993912018,-0.6296693684300063,10.103845566372824,-1.4092116470564067,-0.04826860676510027,0.031146031747415377,-1.8288544016363943,0.816997563845745,-1.873461783104118,-4.309875201640793,3.3415645586705978,3.5835333881282727,-0.41612944986854133,-0.9192049822595734,0.7941858214295244,-1.1517823358731922,0.5246829528278313,1.0406941548410964,-0.5818386290640706,-0.2599734160464873,0.8314971134418394,0.021422389822085663,-0.05369929785246934,-0.7736949908762998,0.10996700482440118,0.5370307659985329,-0.6332371898393561,0.9269949327038741,0.21732923028716997,0.709294168075067,-0.1388145061712293,-0.005302054247956068,0.048550257549280676,0.4114630556876052,0.2859897272773303,0.0374488988838444,-0.04620328863440724,0.04740251169028775,-0.06644667834350872,-0.1922093083130094,1.384178612,1.098580009,1.24137931
-177088.98264742017,11232.900392403411,-15229.401396700958,-2091.6888881736563,-1344.1801453921382,2533.9490061722527,-6278.294552055473,463.6840858629191,-209.25129845062025,7.879651853508844,-8.589135891783553,6.817128603214582,3.7535077566315618,9.861613683108652,-11.495882825583758,-3.0441357094685757,5.139000116889647,1.2109762458027669,1.622721026971852,-0.5062864330022049,0.9525717335117352,7.380027072721716,2.856464950244675,-2.0037526382693382,-2.6854185018138845,5.694409338217769,0.07764487469850331,-1.1631806584053042,1.7722949760124451,-0.4411402309932384,0.9198180807285079,-1.9777287876942384,0.0593879624855852,-1.1625866387862998,1.8679473624023615,1.1406029937653335,0.6460454759520534,0.5577314101171118,-0.07979122684151572,-1.5615760968572279,-1.2617990150376743,-1.1848985574908024,-0.8154916116380605,0.607537841898538,-0.6692426830065464,-0.9666323623400418,-0.8992959001368168,0.8400479051066199,2.683970239189382,-1.6760124506851337,-0.6305927848232934,1.458380190167703,-1.8060028589343478,2.0186696754687783,0.7615852477430597,-1.348843320301758,-2.2525346889792446,-0.3805387430356531,0.35341743271664783,-0.12563564201863017,0.021591977374862997,-0.6609597029961556,-0.515694262072216,1.4193514708318613,-0.8571113081834426,0.1691698200737225,0.6741646226812623,0.08248584935234966,-0.4803272800757487,0.31298452161739865,-1.1871043109024646,-0.4341841410146714,0.3480690436019054,0.7159249581923691,0.3018566260383784,0.2254722839163689,-1.2370612820490983,-0.29113482177576305,0.020243563962402716,-0.4582244626575675,3.324814232,2.847599561,3.086206897
