fe-1,fe-2,fe-3,fe-4,CIHigh,CILow,MOS
39461.281555976595,-2386.8508007154173,-12023.36778360079,-14807.112479390964,3.09915415,2.442512516,2.770833333
-186353.74250343902,17582.125847963067,-12842.859811632245,-6888.575992448644,1.529546306,1.23712036,1.383333333
-208889.8106872934,-10423.582690035431,18617.653682086664,5631.350897984962,3.24043084,2.828534677,3.034482759
-56563.32933247326,26534.509733066803,29185.67639247792,14663.104679991842,1.400678788,1.15104535,1.275862069
-42560.93726866816,-17115.224246641796,9567.332444192452,-1471.2005487710348,2.55951845,1.976195836,2.267857143
-96939.31772145323,20225.548858060778,-25415.291051914694,-7637.8181701495905,3.809449298,3.362964496,3.586206897
-172152.59757377667,37771.62475972007,-28242.29965727538,4981.912067224213,2.137035504,1.690550702,1.913793103
-26583.5577948773,-36651.065434217824,-3830.566155434178,438.7254040794495,4.329362543,3.770637457,4.05
-178650.8719795676,11062.867833753833,-15292.766710479302,-2099.0966993446123,3.348464581,2.85843197,3.103448276
-178608.71097964683,11062.663455784386,-15284.68160668737,-2097.135890019173,3.430356437,3.002976896,3.216666667
-169722.03455831646,-13433.490739748291,17659.610353131993,30159.948972786126,3.12457995,2.57542005,2.85
-26576.70746470073,-36651.45092160539,-3828.9450625180307,439.1611558313999,4.225768921,3.636300045,3.931034483
-133621.51855550034,-15741.948813769106,-886.0939702987973,1253.6319354801424,3.574117983,3.046571672,3.310344828
-209904.49442154248,-10536.71768997859,18576.197263963775,5627.119760526574,3.16710629,2.73289371,2.95
99683.43760109121,-42300.42372682255,14245.533031396319,60981.89587161586,2.241733096,1.758266904,2.0
593669.3936262797,38771.48423230011,-18411.513963217803,51530.72433377816,2.156586714,1.73996501,1.948275862
-163371.80213962417,21798.278434605632,-32194.50346254009,-5952.868097631344,3.421011653,2.986395754,3.203703704
386217.68630594574,-37229.05160606612,2618.1994183548372,603.0517451831017,2.692561138,1.950296004,2.321428571
-88041.57726270011,7414.188617750528,-34175.46558775636,-6403.600322374277,3.94604759,3.313211669,3.62962963
309437.3201853751,89263.16899558537,43007.21173214913,496.28682142553345,1.377270849,1.056062484,1.216666667
-180571.34847091231,45568.32806151454,-21891.498100982262,-4222.671994412101,1.592996662,1.240336671,1.416666667
240152.0435078191,-53137.786292838166,-3295.7383288445053,-92.14336902732079,3.469450144,2.923406999,3.196428571
444428.5558834333,-12702.360080300832,-30147.797834652905,-6991.559326821935,4.119839898,3.472752695,3.796296296
52139.936796535585,-9887.385123787411,-35769.550014144654,-7059.316898387991,4.655644914,4.137458535,4.396551724
330019.08740889956,-2390.3210830354255,3730.5014304141337,-6352.709710334935,4.717505416,4.282494584,4.5
11216.352421594613,-23418.286076153207,-19904.38354733476,-3326.8899592737016,4.364099225,3.778757918,4.071428571
9555.796908238915,-23600.724802687702,-19966.81886802445,-3333.919635185223,3.431346944,2.747224484,3.089285714
435792.43342672393,85548.54065771644,20471.538438490777,14374.1579358391,1.363997599,1.102669068,1.233333333
-102559.46708534397,-3239.487211698202,-17240.12791168287,-2545.7015760439763,3.857237033,3.384142278,3.620689655
216089.4820807164,-23656.942361439924,20048.95287220705,-33869.24849749343,2.986568337,2.293431663,2.64
-196314.94908131604,9595.508776277957,3161.7653853085526,17493.76074966705,3.319639376,2.7838089,3.051724138
99227.65415197524,-4755.525827243192,-33862.49421533336,-6835.9161603881375,4.386792309,3.909503987,4.148148148
344064.3178804673,22136.99694881872,46198.86596276816,-36004.348652115834,3.075559963,2.385978499,2.730769231
-48589.14047019031,-48122.91316287447,12805.278004868806,4261.973145525492,3.799760206,3.165757036,3.482758621
-166880.55042359012,30994.275163914677,-30775.68262241344,9759.988005768693,3.523768328,2.976231672,3.25
-184052.13990181388,19156.951573615894,-9777.272752282573,-2871.865430037526,3.28166657,2.785000097,3.033333333
-170157.87200199743,-15009.352833638828,24267.12235516196,3818.4732466564806,2.790403103,2.276263564,2.533333333
-182389.01502354722,45316.294066054055,-22849.537328774935,4182.857420048196,1.868626477,1.476201109,1.672413793
-102740.13104542728,-3260.8968369164663,-17240.38838310689,-2545.415784541492,3.720526178,3.246140488,3.483333333
-191915.69020242392,27885.88916159358,-8528.7112753136,12819.668571446975,2.518109498,1.948557169,2.233333333
-77647.1300255191,8549.655974164772,-33757.39842326642,-6355.234525824356,3.923636291,3.335622968,3.62962963
356237.2765391954,-8646.435842463332,22395.155366063256,-2283.4749004124,2.486585659,1.977700056,2.232142857
-156359.61151131234,-27291.713320727726,15718.1580866407,5072.757504565772,3.636244181,3.018928233,3.327586207
-155979.93954931005,-27251.677865100606,15730.910987404284,5074.575049129342,3.462234023,3.020524597,3.24137931
-13707.497043380537,58250.551724472374,20111.22617482258,-697.5644623939737,1.467294188,1.153395467,1.310344828
