fe-1,fe-2,fe-3,fe-4,fe-5,fe-6,fe-7,fe-8,fe-9,fe-10,fe-11,fe-12,fe-13,fe-14,fe-15,fe-16,fe-17,fe-18,fe-19,fe-20,fe-21,fe-22,fe-23,fe-24,fe-25,CIHigh,CILow,MOS
-96471.0017422917,20285.01670098961,-25410.00676565017,-7633.307763182742,-24941.318047789497,12721.709091305405,8548.169920031934,-301.5012528411051,-210.2820954792424,42.33793568648053,-2.3703887079335115,5.430859648278607,-0.364476219588142,-0.8000090360820935,3.688072934750396,7.728801922422054,1.4801301637419908,15.028038427230348,-0.9939014249098719,9.482739162733624,-23.99626979745736,4.90134437840057,-16.451108395547216,-7.032567846915125,-4.145897660997826,3.824198457,3.329647696,3.576923077
-190899.24390901605,610.2798563107716,1825.2229904363548,1789.7435154970758,-1099.5449269987284,938.6065054826947,-11692.763481911295,374.42029589169,-13.665976903367417,-20.57704962871726,3.5485002923356332,5.221299626264172,-2.2508080408065076,8.79647516051672,-10.588667072076447,-9.5267295161927,10.432984650037852,4.432457197014365,-6.258055037281601,-4.426203715490035,1.1904634852090135,14.891150675417897,3.2337198224620303,-2.8620125319324705,1.9922862612016916,3.257015236,2.742984764,3.0
519840.31576796295,-13560.844450099408,-9573.809645649495,-2705.9911674568893,-2616.5488342041617,-10197.113459986065,-17831.151732467995,72.02086521512972,131.7922185714325,27.66731600992547,-32.721287191291225,-16.276635617339295,1.4223694286148136,10.428742855661069,-8.63362850228497,-2.1027410992446876,1.8341471382023307,2.127077298375231,-2.3154080318809487,1.6888533908980248,-3.6088013728422084,-1.6306887197742477,-5.139481502065476,5.134421514131353,-0.5070597926655374,4.581469014,3.989959557,4.285714286
51809.713712738725,-9921.899265424949,-35785.16322192142,-7061.455555444094,-687.2164349687722,2388.2254225573124,12668.329366015196,-274.9564062899633,-20.814828107802043,-35.924636246608166,14.692371812069926,1.231787769271366,13.320668209725447,-6.321199337403255,-3.185742979589566,7.218843722519196,1.8191010596545445,-1.1274670768495094,1.3977065598289582,3.849041836851025,0.7257648951386046,-4.65681457872214,-1.917305451966707,-1.191686399012626,1.9510900463229899,4.672867535,4.18920143,4.431034483
650895.8927554619,9791.139173858139,-21798.100385055262,-6011.289906150046,-4101.712284666171,-12190.475770455098,-26349.65499695738,-117.94943480177015,134.23409769438504,7.278243138956032,-27.48583398093415,-24.157693248827144,10.229552535945695,16.65309435606334,-12.681794738117484,4.563911383319156,4.1531994115782,4.5727453698651805,-3.0627865012904225,-0.649032455617277,-3.7286043059734952,-5.615166556126163,-8.34562543344181,5.425034605843577,1.7129634545259085,4.804087,4.368326794,4.586206897
-155985.79360999187,-27251.66344712054,15728.837560403326,5074.202109515453,-138.7197171767355,48.81993661477678,-6853.8082601130045,461.36743041155773,-156.27617828699545,-1.6974391872678454,-19.25778050001492,8.573076294265917,-8.890034898386531,1.8454905328458562,-0.7011063583082766,-10.293317358480683,-1.0176650347843963,-0.33123441268058657,-0.10173532223354305,1.381876101965265,-2.1767890138855233,6.8839680953455,2.0886409221884525,0.6703744990156114,-2.5999040532968176,3.653463529,3.070674402,3.362068966
-8572.13684760553,-16777.303415437585,3720.2476929080544,-11071.459571656314,-1125.269990235541,-40598.87201190679,4146.316027632617,402.211249940328,-224.27676461971612,-71.25589116240835,-35.79793435234754,-22.769802025145523,-17.923988500300624,-7.452555272664948,12.188556105032232,4.556204610222333,-2.0714573494112134,3.7023204301474197,0.18014172803378053,2.8533886025270623,-10.462605718394892,-3.24503598514727,-18.030813716519628,11.1607115152973,5.975418381296328,2.147725643,1.552274357,1.85
-178537.7172114404,11070.300380615538,-15281.928159228686,-2096.792467401889,-1328.3044122466283,2581.8477796393845,-6092.9185082209115,-531.1698491694669,-245.0479898756569,9.49905076188867,-25.109618949412777,10.451269762602102,4.44136487767079,5.468661412490376,-12.53719262745886,2.0880512330860737,0.8830053082262095,-1.0913346027686843,3.4659406006819946,3.222911514108766,3.586148145522678,3.93993893766589,3.873226986329224,-3.056650990211806,0.801752893620745,3.394160216,2.89155407,3.142857143
-4587.588432627546,47064.659999526935,-11133.250748088816,-2744.8423203437483,37080.50173401861,-19604.60689361886,14047.280940940607,-419.82023410312735,535.5186392524723,-43.30457826014938,13.781650762689582,-18.946614027274983,-43.86425154284834,12.738761121929285,-5.522392061227324,22.93655163765192,-7.3775219425762,-29.941878180310987,-22.869022861162005,-7.159438681310444,1.6607991884409037,31.74047497799051,-1.0483561851487746,-27.01453994142984,35.14981906650419,1.384178612,1.098580009,1.24137931
-177088.98264742017,11232.90039240339,-15229.401396701005,-2091.6888881736604,-1344.1801453921457,2533.9490061721967,-6278.294552055541,463.68408586808704,-209.251298448168,7.879651855553636,-8.589135888758031,6.817128604300533,3.7535077602048292,9.861613698039108,-11.495882846691618,-3.0441357039831187,5.139000059259329,1.2109762242957784,1.622720993671513,-0.5062864350779078,0.9525717313705205,7.380027114913237,2.8564649683942,-2.003752671851253,-2.6854184382626354,3.324814232,2.847599561,3.086206897
50030.00805463148,-10113.997947689419,-35856.497589709455,-7070.235058568757,-668.2179192098785,2441.9449831014113,12881.309331455337,-274.72895612144964,139.77415770474713,-50.99456046211954,18.22368328523121,-0.6449472809217286,13.21248447496898,-7.152106618342017,-4.622596373522831,3.3436557949990307,4.010889713947297,-0.9177599106166325,0.5021269725995419,4.386049281425102,3.7249542587287956,-1.1864713682220482,-0.13967683166632733,-5.9865866218189705,1.3726891710409796,3.599130983,2.900869017,3.25
-125345.11971585722,-14842.065660352826,-550.097276785198,1293.4060038201708,-560.8143237253935,1119.0146444204183,-3469.9147711157375,505.6260928192938,-147.9919562592904,3.5927483184060947,-8.18454886821125,6.667883711679875,-3.8273242112584223,3.3633932428414,-4.182653731015689,-6.369863844712026,1.403006929948644,-0.43980537860863267,0.004608831773635487,0.9871750521736715,-0.9144742555246931,6.7394914867657745,1.7003570393038945,0.6570473665485567,-3.0380327947677057,3.954853907,3.366574665,3.660714286
-49001.253181786014,-48167.38971145768,12787.790589645392,4259.8333151927045,673.157169043014,-566.3248469977565,3515.661438728202,611.4324764468547,-44.639906827024085,-46.941621880309825,9.7870476726325,6.176204638038799,-6.93341082632472,-11.01263053085522,8.031942188276672,-6.734829235900505,-3.3424083187747136,-1.1539448447306198,-5.149720889601154,-0.7903692247534699,-5.7942909683174255,0.6074057181734867,-1.2292181368745494,5.609900957747886,1.1992160965968568,3.453428328,2.925882017,3.189655172
347922.2314522347,-32285.9589847646,-16536.086150066338,-3524.2664239157925,-796.0985257861414,-4945.407346563443,2571.058216945057,-525.2452499740439,117.8276875009576,73.28616828008039,-6.671406985359304,5.79697798421512,-3.132657305995139,-1.887383407591757,-8.871732227432377,-0.0409392696841149,-1.2227543254763282,-5.0737515147245364,0.1923630750278924,2.7103565027230108,2.6805308383204904,-0.0495998493062998,0.6440132787473011,1.275452544126122,0.45969473542642814,4.785550297,4.325560814,4.555555556
