fe-1,fe-2,fe-3,fe-4,fe-5,fe-6,fe-7,fe-8,fe-9,fe-10,fe-11,fe-12,fe-13,fe-14,fe-15,fe-16,fe-17,fe-18,fe-19,fe-20,fe-21,fe-22,fe-23,fe-24,fe-25,fe-26,fe-27,fe-28,fe-29,fe-30,fe-31,fe-32,fe-33,fe-34,fe-35,fe-36,fe-37,fe-38,fe-39,fe-40,fe-41,fe-42,fe-43,fe-44,fe-45,fe-46,fe-47,fe-48,fe-49,fe-50,fe-51,fe-52,fe-53,fe-54,fe-55,fe-56,fe-57,fe-58,fe-59,fe-60,fe-61,fe-62,fe-63,fe-64,fe-65,fe-66,fe-67,fe-68,fe-69,fe-70,fe-71,fe-72,fe-73,fe-74,fe-75,fe-76,fe-77,fe-78,fe-79,fe-80,fe-81,fe-82,fe-83,fe-84,fe-85,fe-86,fe-87,fe-88,fe-89,fe-90,fe-91,fe-92,fe-93,fe-94,CIHigh,CILow,MOS
-96471.0017422917,20285.016700989665,-25410.00676565016,-7633.307763182625,-24941.318047789573,12721.709091305556,8548.169920031805,-301.50125284261213,-210.28209548283607,42.3379356509999,-2.370388714122699,5.430859666482366,-0.3644762212298266,-0.8000090403747726,3.6880729034014434,7.728801940819735,1.4801301675578775,15.028038547344098,-0.9939014339770176,9.4827392499047,-23.99627004552477,4.901344316412261,-16.451108602005277,-7.032567738797682,-4.145897721913922,5.969337591944292,5.313060708198319,1.4083178294334155,-3.034224880339784,2.407534394078504,8.099097283385424,0.14695674558229252,0.46942547308042953,-4.656155245381289,5.794130464816757,5.084001866110724,4.361626652353613,-2.0042351167080543,1.4395538110129302,-3.300863213321269,0.7446061654200856,3.3619983992940554,6.57476738269817,1.0309709613667144,-1.1044153103190244,2.575577590421983,-4.278948726047003,0.8454142444727788,3.7141528240897643,-0.7798033595064204,3.9378236423855997,-0.616329156420577,-2.138343175642778,5.618444704229631,2.588995548496203,-3.9784852691133263,1.6894728443068014,-2.4100194538955897,2.0124565144777233,1.6582100025279713,2.8311329978869133,0.39024752958368547,-0.051034277328848666,-1.7761581210156385,0.3566606331840465,-1.652581060574537,-1.128969145274454,-0.2601804233845046,1.0460756832540474,-0.7195778790066062,0.9607292618454109,-1.601331770046393,-0.3053794055292427,-0.42687479022358843,-2.426760422190216,1.4801329488054606,-0.22353913512217827,-0.25361382368778007,1.4707250198983162,-0.4078308083862019,0.4139119727198944,0.03566639686146618,-0.1938073979587943,0.5638226145283978,-1.006041505265358,0.7722062867466816,0.0960523875693558,0.32663200008957216,0.2219382085760097,-0.8770052561874679,0.045208739211624036,0.3389932659215217,-0.3020274030579782,-0.4720984956086356,3.824198457,3.329647696,3.576923077
-190899.24390901605,610.2798563107829,1825.2229904363483,1789.7435154970433,-1099.5449269987362,938.6065054827031,-11692.763481911126,374.4202958935736,-13.665976903599015,-20.577049611481765,3.5485003015972216,5.221299643836299,-2.250808051016585,8.796475207727683,-10.588666982302694,-9.526729538890201,10.43298467678444,4.432457232407505,-6.258055094352772,-4.426203756267179,1.1904634976357162,14.89115048749146,3.2337198629603368,-2.8620124879375157,1.992286290455369,2.391853995374959,-1.6892071075488104,0.08909541614723084,0.6726207504757118,-4.593137466355217,2.9570533044982232,-0.6480122899775712,-1.226017770547553,4.615032742219083,2.199766458732921,2.331395592984211,-1.2718237366159129,-1.8501163050919502,-1.645325176454862,0.7790552732303632,-0.7113399231791806,-2.771171624558217,-3.3535182895975155,2.745828755504752,2.1422269162298893,-0.9669163668246333,0.2989256902262733,4.391633898784894,-2.7887130791786494,-1.9130421035022793,1.4786502339391951,5.901468191696253,-0.4736023771016929,-0.5396141457711489,7.7142442806948575,3.8228235165756335,3.424417943814655,2.2088927685767072,-3.0664768412705303,2.740385221592445,-0.6802780942360895,-1.3067317592766683,-0.7507097338526842,1.9801705074766391,0.5591428458788835,-0.9521920630812009,-0.04656774434310622,-1.542813830807167,-0.7280095862029692,-3.503865957374801,-0.2362526376425217,-1.4961702794651977,-0.2635222406343432,-0.29298445919168153,1.5031597936302403,-0.8180035034954775,0.19372068818182495,0.770332197141629,0.8895414967813163,-1.4819260401490475,0.8475986793104857,-1.2157622210631678,0.647122197184814,-0.09322914592092797,0.23569979438200994,-0.42973365238331823,0.061183676311782606,1.036069858505168,-0.19818949852474219,0.12271078640844346,0.11196650675438789,-0.3357656370188237,-0.19669952917418185,-0.1358577237091623,3.257015236,2.742984764,3.0
519840.3157679629,-13560.84445009936,-9573.809645649551,-2705.9911674568502,-2616.548834204168,-10197.113459986173,-17831.15173246774,72.02086521549164,131.7922185736725,27.667315986748076,-32.72128727668874,-16.276635672121483,1.4223694350677294,10.42874291163095,-8.633628429082835,-2.1027411042517934,1.8341471429060574,2.12707731537867,-2.3154080529976704,1.6888534064528544,-3.6088014102165684,-1.63068869918108,-5.139481566367766,5.134421435235737,-0.5070598001144127,1.3906893748093376,0.017945615969922266,2.38197839561949,0.0544176458653395,2.460128563739161,0.45107592348005354,0.16329326387302145,1.218891844439449,-2.3202726085440224,-0.8881172162405737,-0.13470817261880164,-2.4082874478932093,0.21625813509483652,0.4487454917663253,-1.1732739191580572,1.2947888477553826,-0.25743443136903904,0.28821994939420514,1.0021660843348612,0.6321932717419818,1.151538125829527,0.23365231487264762,-0.276769310584195,0.8832365630690705,1.126164093255601,-0.5528862621201538,0.1354907449726911,0.3529173292410401,-1.7381597719028647,0.5793501029972958,-0.15650822713261428,1.3588298179183993,0.819726606503522,-1.8521436231032833,0.3485496443646941,-0.3816342337894122,-0.04318623661288742,-1.4260463468988915,-0.23170861029852288,-0.06784826738196494,-0.535208075703301,0.1869128655586082,0.6711010840346638,-0.05712616445659839,-0.22237444407624532,-0.38417147990318407,0.26835042614125915,-0.13057146856544793,-0.012661704807506828,-0.4355228593596116,0.6472947818685806,0.31594686151001566,-0.05739448305201186,-0.3450998264397689,0.07370807229123237,-0.1851959918169707,-0.1932298215717869,0.2868078678040618,0.1233535338389516,0.24179801162507164,0.23582153895291577,0.034490184612713005,0.08035355933913019,0.011585337411148292,0.25313054718003763,0.1471213048025808,0.2637653722494823,-0.16168787064217155,-0.30266493222920776,4.581469014,3.989959557,4.285714286
51809.713712738725,-9921.89926542502,-35785.16322192136,-7061.455555443988,-687.2164349687738,2388.225422557339,12668.329366015014,-274.9564062913482,-20.814828108156572,-35.924636216508745,14.692371850414121,1.23178777342168,13.320668270154727,-6.321199371328773,-3.1857429525739533,7.218843739713348,1.8191010643196446,-1.127467085847305,1.3977065725751803,3.8490418723186797,0.7257649025874159,-4.656814519940805,-1.9173054759842356,-1.191686380716821,1.9510900749567686,-2.64836950877229,0.2816296075163249,1.181703993448159,-2.292576162815741,-1.9099505121979856,-1.161464333781524,-2.1956508245265276,2.176166649243081,1.760565129334462,1.4919127855255812,0.1699625776635632,-0.3074446728921243,3.2820220399944193,-0.09636602692066233,-0.8619394012909835,-0.019423096182086687,1.7436283363752587,0.6264438504392262,1.70515746497169,1.8054705085521887,0.06884620933496939,2.077283043921199,-0.6699527342778422,-0.1183131377163171,-1.98569915386474,-0.7436935671171935,-0.8284988892662812,0.24899592325829237,-0.4293463436542678,-1.1408899710775562,0.9441074646840749,0.5738617358935902,-1.1422478023544052,-0.615634910649693,-0.0383756937112555,0.08634226949172472,-0.2540808873901032,0.9845046987030648,-0.209746218531326,0.786910510223239,-0.10842638384565832,0.04651894180318662,0.4531104854054845,-0.7482327507207605,-0.532668034431969,0.2347046432677789,-0.9369372582065157,0.10107789300585514,-0.5288551645670764,-0.2006122333748478,-0.8523024878056369,-0.05481361694520968,0.08957299701785912,0.11987925176851191,-0.4096520063999974,0.3069218921372369,-0.06316462156851332,-0.7777840055447327,-0.9688527110801891,-0.21160883239186712,0.07317070583111487,-0.42317749535103166,0.3393003921959071,-0.3769992503851045,0.5975665179324571,-0.43838028788576616,-0.08569736185553384,-0.6636201477953355,0.27776966590546315,4.672867535,4.18920143,4.431034483
650895.8927554619,9791.139173858166,-21798.100385055273,-6011.289906149963,-4101.712284666192,-12190.47577045524,-26349.654996957015,-117.9494348023632,134.23409769666435,7.278243132866413,-27.48583405266937,-24.15769333013212,10.229552582351488,16.653094445435947,-12.681794630580937,4.563911394209783,4.15319942222753,4.572745406498284,-3.0627865292294243,-0.6490324615622802,-3.728604344727685,-5.61516648522441,-8.345625537904546,5.425034522461592,1.7129634796748276,2.3993785784504054,-0.6832480929657622,4.392605773012674,0.2262169222495626,3.648409665469862,-0.46662737214835015,0.8040156279782165,0.8742267128011375,-1.1514053657051442,-2.3649189424731296,1.6481133424644117,-4.725103920298979,2.2083939235762378,-0.9110887274208181,-2.5956701829501716,4.113165167422965,1.599137493007387,0.050273711441892764,1.546615142219264,1.7410243561045537,2.4353855059184983,-1.1914753150121145,-2.363799285133329,1.6876345964009907,-1.154929063698776,-1.005643842320343,0.4489230685411608,-2.032913912744351,3.0273883774039496,-0.02836660454508188,-1.558572262722795,0.24173001077841613,-0.2141972918847986,-0.9804714568115429,-0.33460151622546985,-0.6375524830641335,-1.8779772830189274,-1.742989597783184,-1.5451972261114377,-0.44480775372328896,-1.4632586998670216,0.8334887831115902,0.6928238237394413,-0.5481052446974917,-0.09466616038061376,-0.22866162151838498,-0.09141834058026278,-0.14786985892664578,-0.550723202576606,-0.13989115049985734,0.2469875495386671,0.4155667248014092,0.5344339673859129,0.011668994426516671,0.6633949511108311,-0.18518322775501814,-0.1780092999248386,-0.003518177373132602,-0.32841389558661416,0.5212880425431561,0.5067574609831837,-0.07670335706720463,0.32889242994234613,-0.13369529190531657,0.9894645432520766,0.14453503698258482,0.02078021644060649,-0.38552112974276215,-0.7011448400908146,4.804087,4.368326794,4.586206897
-155985.7936099919,-27251.663447120605,15728.83756040332,5074.20210951537,-138.71971717670328,48.819936614795,-6853.80826011292,461.3674304138834,-156.27617828965134,-1.697439185849105,-19.257780550274123,8.57307632311462,-8.890034938716868,1.8454905427494943,-0.7011063523631302,-10.293317382987174,-1.017665037397209,-0.33123441531818465,-0.10173532316201019,1.3818761146644705,-2.1767890363931217,6.883968008469355,2.088640948387344,0.6703744887298805,-2.5999040914419935,-0.7886036664220422,-1.1115741513602817,-1.0278024729164328,2.2019623004886126,-0.2783431543983973,2.4164770551148895,-0.4107924664658046,-1.506227557486445,-2.1421289264620587,0.6911415431034796,-1.0438787144165689,0.32768069212094497,-1.511672071376115,0.5487611733729718,0.07449676410667007,0.6296473590429995,-0.7583021064937182,0.23563943522080324,0.6123382101087852,-2.360973728125515,-0.1276361669165128,-1.6623805014246542,-0.6082689299150679,1.806854072712385,1.061182940755513,0.21554001818817106,0.13460172702200926,-1.7078413084826076,0.7135680202234065,-0.1267717312001611,-1.2765514647234584,-0.20357688015065414,-1.5341020122591957,-0.40827762896854985,-1.4815903734802571,-0.9276379251378999,-0.6741204980185503,-0.08375875084649577,-0.7640071491326534,0.5745144488887779,-0.9139527636517484,-0.02992631878718609,0.33506807901312324,-0.5997141535093027,-0.2617523924539431,-0.396116877046023,-0.03631736992655017,-0.20795189632924524,-0.4302062610695672,0.32172183202011234,0.9473881854710433,0.23195152268056113,0.01880541713806926,-0.07184322967774935,0.4230571551828259,-0.018949907602852215,0.07220895950161482,-0.39159648028180527,0.28985680743021597,-0.15177405809830194,0.4383876305704824,-0.26352995975046173,-0.5381839018918585,-0.03717667250418346,-0.30177104589792075,0.39642712755384996,-0.05594841054170188,0.08123210251759785,0.004975688297097672,3.653463529,3.070674402,3.362068966
-8572.13684760553,-16777.303415437622,3720.2476929080453,-11071.459571656156,-1125.269990235557,-40598.87201190727,4146.316027632543,402.21124994235504,-224.276764623528,-71.25589110271727,-35.79793444577382,-22.769802101787036,-17.92398858161368,-7.452555312662404,12.188556001686779,4.556204621072074,-2.071457354726449,3.702320459764418,0.18014172967557343,2.853388628783434,-10.462605826754585,-3.2450359441497465,-18.030813941953912,11.160711343857775,5.975418469083397,2.6191507860353442,1.5440404818861255,4.943118416759597,-3.0710104724567184,-3.756552036539645,1.315288828571548,1.8056472992717612,-0.11025353437919838,0.6747099360122987,4.587791123849345,0.955093198363728,-0.1111618085604369,14.30126313639308,1.501631760640888,-1.2378354310615969,-0.9260088328678477,-5.91105870661105,2.610357747364088,-1.5066303353377015,-1.3075319263235168,9.49163550170653,3.2327866099862677,-4.2142523359224295,5.399556608681893,-3.905783534776362,0.7652773994717614,-1.3552511222149508,-2.821484053328316,-3.7631727332914777,-1.8503932858560561,3.9475325200057143,-0.7486313725139079,3.06769307275209,4.692518075330642,-1.0081376230215335,3.0390391309065166,-0.31639023413876505,-0.1918063401525979,-1.2858063723660227,0.7959593592996195,1.0950311259640835,-2.034856154821512,-2.372042840600501,-0.3497323396959397,1.0368611186847738,-1.0121237936778806,0.769939778156247,-0.748678052872766,0.5806435071909599,-1.0659997843653095,-1.5718041464403636,-1.0978030414002036,1.1796536628221213,0.9253674760293932,-0.5680528361214199,-0.88647814453432,0.10870322883798834,0.26703219034518205,0.6369955805810754,-0.7128244596218455,0.4987346688271781,-0.3528758030520893,1.0071927082443308,-0.0529714218458262,-0.2289179455099281,0.21672291539434083,-0.24545665186427096,0.38833409024539584,-0.11323013167583183,2.147725643,1.552274357,1.85
-178537.7172114404,11070.300380615563,-15281.928159228677,-2096.792467401837,-1328.3044122466315,2581.847779639422,-6092.918508220824,-531.1698491721398,-245.0479898798229,9.499050753930241,-25.10961901494463,10.451269797778508,4.441364897818964,5.46866144183998,-12.537192521157124,2.088051238055419,0.8830053104889934,-1.0913346114986644,3.465940632292378,3.2229115437856284,3.586148182666685,3.939938887934468,3.87322703480257,-3.056650943235272,0.8017529054024893,4.232157776724466,0.700981810542065,-0.44424874797978586,1.6785209685932532,-1.5030490800191683,0.048658412414137396,-2.7616223247665586,1.5773711112378863,0.38530380304213907,1.564476498705171,-1.2462171550554986,-0.2102985634194224,2.71922788247733,-0.1549320475430539,1.0647624592628235,-0.7718961709375739,0.9702898063011712,0.20160769951053442,0.4030572930144032,0.5192167540279188,0.4736932250189886,0.5152738693549411,0.13363195199692157,0.6044710427276988,0.005028043391313268,-0.7926142460527917,1.1921971628526373,0.4465801413039542,-0.5525166550736278,0.010980924706414314,-0.0331785946880865,0.1976234733389618,0.051770723111428704,-0.5189505849488861,-0.3986612915554525,-0.3153959457659914,0.7134916431758821,-0.1431858610309118,0.662804857492199,0.07968780810436749,-0.35713057094017514,-0.40544450145260535,0.07352983947018381,-0.14946538746136645,0.2512680461007891,-0.39710821267796587,0.6725921334024201,0.3852674132270072,0.28349444022849707,0.1288437584466759,0.7875342652726055,-0.04452715324659377,-0.560614062750978,0.07190968677407479,-0.23212163977739628,-0.22604382070009493,-0.2563149702305897,0.7177434350615796,0.3123798966773741,0.3712022611397267,0.2103001865962726,0.07668009336649026,0.20642111227318327,0.23436096996518996,-0.3799290808898767,-0.1297378126550404,0.3473933839291915,0.4454372056830565,0.07133992582109067,3.394160216,2.89155407,3.142857143
-4587.588432627546,47064.65999952706,-11133.250748088816,-2744.8423203437214,37080.5017340187,-19604.60689361909,14047.280940940409,-419.8202341052394,535.5186392615761,-43.304578223871545,13.781650798657349,-18.946614091047277,-43.86425174183983,12.738761190296016,-5.522392014404317,22.9365516922709,-7.377521961488877,-29.94187841969412,-22.86902306972968,-7.159438747255721,1.660799205706745,31.74047457746412,-1.048356198184778,-27.014539526254026,35.14981958262187,-7.409813886962967,-28.31410801432735,12.421433189222885,33.19158482570421,18.267464858411515,15.210659980540864,-14.819539196250258,-24.999527319113014,9.096356735762956,3.535621603847506,-10.083974539067807,4.270442179086684,-18.070091889332218,13.787822436977134,-7.845511978402614,19.91619250832429,-0.6296693298387025,10.103846536764737,-1.4092113949375245,-0.04826859783634977,0.031146032438627087,-1.8288546563628134,0.8169975788876697,-1.8734621142901624,-4.309874502519511,3.3415639323224013,3.583533516049485,-0.416129708866955,-0.9192043930218875,0.7941858622189218,-1.1517819307225858,0.5246824808180559,1.0406931158883335,-0.5818393149494766,-0.2599730960559458,0.8314960192808066,0.021422356760319602,-0.053699208057549866,-0.7736933985769824,0.10996676613766498,0.5370322655967102,-0.6332390918837142,0.9269981974667115,0.21732851948060083,0.7092971437036781,-0.13881510232716657,-0.005302079262168491,0.04855050327534689,0.41146535568012194,0.28598828805072724,0.037449133727601246,-0.046203012204900556,0.047402874657545786,-0.06644622206932009,-0.19221088261367691,-0.02641615863984122,0.013997573327800088,0.11463919993455923,0.1184495570043306,0.03263653199854487,0.015908821336274016,-0.1255064623958865,-0.05995125881460457,-0.10730872592825758,-0.04716393434469342,-0.10072029804622065,0.062286099622244774,-0.08811449460274096,0.11573800808967291,1.384178612,1.098580009,1.24137931
-177088.98264742017,11232.900392403413,-15229.40139670099,-2091.6888881736304,-1344.1801453921496,2533.9490061722263,-6278.294552055451,463.6840858704212,-209.25129845172512,7.879651848955481,-8.589135911174838,6.817128627246998,3.753507777232276,9.861613750964226,-11.495882749215347,-3.0441357112236664,5.1390000724345555,1.2109762339985664,1.6227210084693917,-0.5062864397313825,0.9525717412088477,7.380027021788822,2.8564650041181614,-2.0037526410738793,-2.685418477685116,5.694409412298774,0.07764487487218119,-1.1631806799489266,1.772295038067711,-0.4411402153821407,0.9198180464407476,-1.9777287076547432,0.059387965621671625,-1.1625865821696162,1.8679474283743462,1.1406030761154156,0.6460455284374681,0.5577313684058515,-0.07979123133373928,-1.5615759248037253,-1.2617991109819107,-1.1848984855238316,-0.8154916898194704,0.6075377331704227,-0.6692425592371597,-0.96663237801965,-0.8992960255383499,0.8400479205203476,2.683970713827366,-1.676012178878512,-0.63059266625356,1.4583802421420697,-1.806003985240627,2.0186683782985777,0.7615852903898714,-1.3488428456979709,-2.252532661638015,-0.38053836332313096,0.3534178495029793,-0.1256354867269621,0.02159194933143415,-0.6609586810621417,-0.5156933997131734,1.4193485499077807,-0.8571094468795585,0.1691702904743009,0.6741666485374371,0.08248613983176051,-0.4803257079589722,0.31298583211446546,-1.187109397397146,-0.4341862518872762,0.3480708036931374,0.7159289588894869,0.3018551029195778,0.22547368493914766,-1.2370538808286442,-0.29113705212007474,0.02024342541101533,-0.4582282167658891,0.4544799613757038,0.21017611931005195,0.5675481208306568,-0.3445690631972386,-0.5615428270347524,0.523932899032558,1.1539603039262607,-0.33454896804122813,0.40959731858177495,0.4478970363801159,0.2223575877742784,0.07730762125653833,-0.26063660302088654,0.5724230360996616,3.324814232,2.847599561,3.086206897
