fe-1,fe-2,fe-3,fe-4,fe-5,fe-6,fe-7,fe-8,fe-9,fe-10,fe-11,fe-12,fe-13,fe-14,fe-15,fe-16,fe-17,fe-18,fe-19,fe-20,fe-21,fe-22,fe-23,fe-24,fe-25,fe-26,fe-27,fe-28,fe-29,fe-30,fe-31,fe-32,fe-33,fe-34,fe-35,fe-36,fe-37,fe-38,CIHigh,CILow,MOS
-96471.0017422917,20285.016700989654,-25410.006765650025,-7633.3077631826845,-24941.318047789715,12721.709091305489,8548.169920031905,-301.5012528397542,-210.28209547933645,42.33793565551076,-2.370388716675267,5.430859640770674,-0.36447621861491736,-0.8000090435085189,3.6880729195618027,7.728801886368898,1.4801301829946707,15.028038646531854,-0.9939014416771434,9.482739324005568,-23.996270260999594,4.9013443269454395,-16.45110864133029,-7.032567825659903,-4.145897777384926,5.969337475374132,5.313060795659391,1.4083178587251046,-3.034224746057455,2.4075344529971705,8.099097493439547,0.1469567497213535,0.4694254418584304,-4.65615540308951,5.794130697995678,5.084001404493907,4.361626866024819,-2.004235221165204,3.824198457,3.329647696,3.576923077
-190899.24390901666,610.2798563107838,1825.222990436342,1789.7435154970638,-1099.5449269987407,938.606505482706,-11692.763481911217,374.4202958900629,-13.66597690337184,-20.57704961365536,3.5485003053980657,5.221299619149242,-2.2508080348234705,8.796475241935836,-10.588667028626935,-9.526729471350173,10.432984785821489,4.432457261600651,-6.25805514269979,-4.426203790844619,1.190463508257198,14.89115051982219,3.233719870653481,-2.862012523224258,1.9922863171649394,2.3918539486740444,-1.6892071354984879,0.08909541801145764,0.6726207206625578,-4.593137579257808,2.9570533813656703,-0.6480123082432279,-1.2260176890013228,4.615032899146431,2.1997665468459684,2.331395381054152,-1.2718237991310952,-1.850116401956855,3.257015236,2.742984764,3.0
519840.3157679631,-13560.844450099437,-9573.80964564947,-2705.9911674568802,-2616.548834204195,-10197.113459986136,-17831.15173246788,72.02086521481728,131.7922185714749,27.66731598967444,-32.72128731174354,-16.276635595164485,1.4223694248340164,10.428742952187976,-8.63362846685746,-2.1027410893406784,1.8341471620733176,2.1270773293731753,-2.3154080708835334,1.6888534196472962,-3.6088014426111705,-1.6306887027283086,-5.139481578657026,5.134421498501591,-0.5070598069072436,1.3906893476287643,0.017945616258387396,2.3819784452812622,0.05441764346085442,2.46012862420923,0.45107593518472117,0.16329326847593947,1.2188917633716014,-2.3202726874576642,-0.8881172517796013,-0.13470816032819763,-2.408287566363931,0.21625814645005373,4.581469014,3.989959557,4.285714286
51809.71371273873,-9921.899265424969,-35785.16322192119,-7061.455555444044,-687.216434968778,2388.225422557338,12668.329366015107,-274.95640628876936,-20.81482810780844,-35.92463622031211,14.692371866154934,1.2317877675961715,13.320668174316905,-6.321199395911441,-3.1857429665130854,7.218843688539225,1.8191010833304275,-1.1274670932810074,1.397706583374881,3.8490419023884677,0.7257649091322665,-4.656814530053244,-1.917305480541441,-1.1916863953810513,1.951090101126519,-2.648369457015329,0.2816296121774002,1.1817040180885314,-2.2925760612529964,-1.9099505591511161,-1.1614643639495228,-2.195650886420905,2.1761665045099474,1.7605651892185654,1.491912845192741,0.16996256216874034,-0.30744468799863917,3.2820222118113165,4.672867535,4.18920143,4.431034483
650895.892755462,9791.139173858148,-21798.1003850551,-6011.28990615001,-4101.712284666195,-12190.475770455181,-26349.65499695721,-117.94943480125703,134.23409769442796,7.278243133629977,-27.485834082114156,-24.157693215913824,10.229552508754004,16.653094510201846,-12.681794686075758,4.563911361850244,4.153199465631925,4.5727454365018225,-3.0627865528837828,-0.6490324666627797,-3.7286043780792237,-5.615166497442835,-8.345625557825365,5.425034589329988,1.7129635026464445,2.399378531483115,-0.683248104321214,4.39260586458454,0.22621691226372567,3.648409755134123,-0.46662738439565493,0.8040156506407888,0.8742266546513967,-1.15140540478167,-2.3649190371395616,1.6481131925485326,-4.725104152786572,2.208394039283523,4.804087,4.368326794,4.586206897
-155985.79360999193,-27251.663447120594,15728.837560403232,5074.202109515415,-138.71971717672582,48.81993661477712,-6853.808260112963,461.36743040955275,-156.2761782870463,-1.6974391860259943,-19.25778057090565,8.573076282583305,-8.890034874755298,1.8454905499276353,-0.7011063554347968,-10.293317310034054,-1.0176650480299125,-0.3312344175077701,-0.10173532394649591,1.3818761254809693,-2.176789055935481,6.883968023415031,2.088640953327613,0.6703744969724128,-2.599904126330221,-0.7886036510374848,-1.1115741697591284,-1.027802494346299,2.2019622029400323,-0.278343161231374,2.4164771178403934,-0.4107924780458288,-1.5062274573095236,-2.142128999324254,0.6911415708121674,-1.0438786195478589,0.3276807082546947,-1.5116721505248707,3.653463529,3.070674402,3.362068966
-8572.13684760553,-16777.303415437622,3720.247692908032,-11071.459571656256,-1125.2699902355532,-40598.872011907086,4146.316027632578,402.21124993857967,-224.27676461978967,-71.25589111024979,-35.797934484125626,-22.769801994121664,-17.92398845265603,-7.452555341645467,12.18855605501772,4.556204588782714,-2.071457376369557,3.7023204841017323,0.18014173106883377,2.8533886511110698,-10.46260592071554,-3.2450359511936973,-18.030813985228704,11.160711481331598,5.975418549148609,2.619150734816594,1.5440405074970922,4.943118519841166,-3.0710103364367862,-3.756552128852862,1.3152888627571544,1.8056473501730577,-0.11025352704012087,0.6747099589031424,4.587791307596851,0.9550931114827825,-0.11116181381993069,14.301263885006211,2.147725643,1.552274357,1.85
-178537.71721144044,11070.300380615565,-15281.928159228595,-2096.7924674018755,-1328.3044122466288,2581.847779639407,-6092.918508220872,-531.1698491671584,-245.0479898757363,9.49905075493542,-25.109619041844777,10.451269748364272,4.441364865864895,5.468661463107962,-12.537192576010202,2.088051223255499,0.8830053197183306,-1.091334618676458,3.4659406590672805,3.222911568977778,3.586148214854848,3.939938896493205,3.8732270440541225,-3.0566509809058386,0.8017529161427857,4.232157694007662,0.7009818221651277,-0.4442487572414769,1.6785208942388445,-1.5030491169618194,0.048658413691796916,-2.7616224026148317,1.577371006331094,0.3853038161278577,1.5644765613034053,-1.246217041756761,-0.2102985737181779,2.719228024813566,3.394160216,2.89155407,3.142857143
-4587.588432627548,47064.65999952702,-11133.250748088758,-2744.842320343735,37080.50173401893,-19604.606893618995,14047.280940940516,-419.8202341013004,535.5186392526452,-43.30457822845143,13.781650813421352,-18.94661400146441,-43.86425142625044,12.738761239836945,-5.522392038565004,22.936551529708893,-7.377522038596633,-29.941878616560512,-22.86902324639536,-7.159438803202408,1.660799220610785,31.74047464634766,-1.04835620082634,-27.014539859179266,35.149820053895716,-7.4098137420935055,-28.314108483206894,12.42143344815329,33.19158335546816,18.26746530744298,15.21066037545037,-14.81953961400516,-24.99952565644289,9.096357045280627,3.535621745265896,-10.083973622267951,4.270442388811317,-18.070092835230934,1.384178612,1.098580009,1.24137931
-177088.9826474202,11232.900392403417,-15229.401396700916,-2091.688888173647,-1344.180145392156,2533.9490061722154,-6278.2945520554995,463.6840858660713,-209.25129844823505,7.879651849785409,-8.589135920375668,6.817128595013092,3.753507750227443,9.861613789317405,-11.495882799517739,-3.044135689658446,5.139000126142476,1.2109762419341326,1.6227210210066207,-0.5062864437006871,0.9525717498055409,7.380027037799458,2.856465010972512,-2.0037526657465023,-2.6854185136995232,5.694409300968617,0.0776448761577992,-1.1631807042078754,1.7722949595744986,-0.4411402262334069,0.9198180702808701,-1.9777287634065812,0.05938796166880791,-1.1625866216976946,1.8679475030926853,1.1406029722988937,0.6460455602001018,0.5577313976070603,3.324814232,2.847599561,3.086206897
50030.00805463149,-10113.997947689428,-35856.497589709244,-7070.235058568711,-668.2179192098831,2441.944983101427,12881.309331455259,-274.7289561202563,139.77415770479274,-50.99456042479291,18.223683352315422,-0.6449472800406412,13.212484439848051,-7.152106684541024,-4.622596354551125,3.3436557792593677,4.010889766148906,-0.9177599239897,0.5021269810594085,4.386049356105651,3.7249543307091066,-1.1864713558208995,-0.13967683376358767,-5.986586603589479,1.3726892095942929,-2.131461596546013,-3.2525567398524573,3.0405880191324406,-2.4910826401615047,1.3759660121889659,-0.0015345668656258783,-2.5276855500984143,3.447746453945775,8.023850390773637,0.096154254702748,1.9428983898961558,5.093133673927769,4.1847542384997505,3.599130983,2.900869017,3.25
-125345.11971585725,-14842.065660352853,-550.097276785194,1293.4060038201621,-560.8143237253988,1119.014644420427,-3469.9147711157157,505.62609281709604,-147.99195625933825,3.5927483157756206,-8.184548898339635,6.667883702594307,-3.8273242010847333,3.363393273972835,-4.1826537138539015,-6.369863814733857,1.4030069482080259,-0.4398053850212066,0.004608831852127973,0.9871750689728429,-0.914474273178351,6.73949141634634,1.7003570646595556,0.6570473645498568,-3.0380328801091325,0.7548355517621849,0.041673718523196276,-0.7121114099190635,0.3909147572719701,-0.6664519796651819,1.9439360899003926,-1.1296768651635007,0.28071070739326687,-1.7256635256333936,0.9617909037991573,-0.7472609842311817,0.8374213410869594,-0.8842802067371534,3.954853907,3.366574665,3.660714286
-49001.253181786014,-48167.38971145778,12787.790589645318,4259.833315192675,673.1571690430172,-566.3248469977599,3515.661438728178,611.4324764441975,-44.639906827038665,-46.94162184595054,9.787047708660152,6.1762046296216075,-6.933410807894528,-11.012630632786946,8.031942155314056,-6.73482920420197,-3.342408362276243,-1.1539448615425854,-5.149720976348235,-0.7903692382169843,-5.794291080314288,0.6074057118324744,-1.2292181551759123,5.6099009406654075,1.1992161302880673,-5.076926721493301,3.079454129217284,-0.8200642059506451,-0.3703457729709458,-0.6375756803812187,4.474410423403117,0.4972050414442643,-3.265251917298441,-1.1808718392601214,-0.9122439609239781,0.8439351759581117,-1.775187454779294,1.1133817861677067,3.453428328,2.925882017,3.189655172
347922.2314522348,-32285.95898476466,-16536.086150066236,-3524.2664239157702,-796.0985257861487,-4945.407346563478,2571.0582169450404,-525.2452499717606,117.82768750099574,73.28616822643721,-6.671407009917679,5.796977976316752,-3.1326572976680387,-1.8873834250611523,-8.871732191026897,-0.04093926949125732,-1.2227543413908624,-5.073751588650627,0.19236307826886087,2.7103565488642176,2.680530890143305,-0.049599848796105274,0.6440132883418563,1.275452540240145,0.4596947483424369,-0.32227334045934974,2.7969737245263957,1.2221362015040957,-3.2693591015861694,-0.32988687591751115,-1.8628770500824037,-0.1975779331303212,4.053488138927911,0.5252314765661744,1.1139662592993669,-2.8628342060356977,1.6149358142965673,-0.9413031920683214,4.785550297,4.325560814,4.555555556
