fe-1,fe-2,fe-3,fe-4,fe-5,fe-6,fe-7,fe-8,fe-9,fe-10,fe-11,fe-12,CIHigh,CILow,MOS
-96471.00174229167,20285.016700989636,-25410.006765650218,-7633.307763182759,-24941.318047789682,12721.709091305596,8548.169920031787,-301.5012528409834,-210.28209548354607,42.33793566448605,-2.370388707883354,5.430859666586693,3.824198457,3.329647696,3.576923077
-190899.2439090163,610.2798563107863,1825.222990436361,1789.743515497068,-1099.5449269987434,938.6065054827101,-11692.763481911099,374.4202958916172,-13.665976903647001,-20.577049618081627,3.5485002922829416,5.2212996439655095,3.257015236,2.742984764,3.0
519840.3157679629,-13560.84445009943,-9573.809645649513,-2705.991167456891,-2616.5488342041804,-10197.1134599862,-17831.1517324677,72.0208652151168,131.79221857412978,27.667315995621603,-32.72128719080354,-16.27663567252581,4.581469014,3.989959557,4.285714286
51809.71371273872,-9921.899265424965,-35785.16322192149,-7061.455555444107,-687.2164349687771,2388.225422557345,12668.329366014983,-274.9564062899108,-20.814828108228074,-35.92463622803533,14.692371811850771,1.2317877734501441,4.672867535,4.18920143,4.431034483
650895.8927554617,9791.139173858144,-21798.100385055302,-6011.289906150059,-4101.712284666211,-12190.475770455247,-26349.654996956935,-117.9494348017462,134.23409769713214,7.2782431351922785,-27.485833980524532,-24.157693330733437,4.804087,4.368326794,4.586206897
-155985.79360999184,-27251.663447120576,15728.837560403363,5074.202109515457,-138.71971717672562,48.819936614759776,-6853.808260112862,461.36743041146826,-156.27617829019366,-1.6974391863921119,-19.25778049972772,8.573076323330863,3.653463529,3.070674402,3.362068966
-8572.136847605523,-16777.303415437607,3720.247692908063,-11071.459571656334,-1125.2699902355464,-40598.87201190736,4146.316027632547,402.2112499402501,-224.2767646243064,-71.25589112557604,-35.79793435181398,-22.7698021023456,2.147725643,1.552274357,1.85
-178537.71721144035,11070.300380615558,-15281.928159228717,-2096.7924674018705,-1328.304412246627,2581.84777963942,-6092.918508220809,-531.169849169364,-245.047989880672,9.499050756980099,-25.10961894903896,10.451269798038128,3.394160216,2.89155407,3.142857143
-4587.588432627546,47064.659999527,-11133.250748088838,-2744.8423203437487,37080.50173401888,-19604.60689361913,14047.28094094037,-419.82023410304316,535.5186392634323,-43.30457823776768,13.781650762484762,-18.9466140915161,1.384178612,1.098580009,1.24137931
-177088.98264742014,11232.900392403406,-15229.401396701034,-2091.688888173665,-1344.1801453921548,2533.949006172233,-6278.294552055435,463.68408586799603,-209.25129845245021,7.879651851481132,-8.589135888630162,6.817128627414272,3.324814232,2.847599561,3.086206897
50030.00805463147,-10113.997947689431,-35856.49758970952,-7070.235058568771,-668.2179192098841,2441.944983101448,12881.309331455119,-274.728956121397,139.77415770760766,-50.99456043575701,18.223683284959474,-0.6449472831066133,3.599130983,2.900869017,3.25
-125345.11971585719,-14842.065660352844,-550.097276785198,1293.4060038201724,-560.8143237253988,1119.014644420434,-3469.9147711156797,505.6260928191949,-147.99195626231912,3.5927483165483514,-8.184548868089244,6.667883734286515,3.954853907,3.366574665,3.660714286
-49001.25318178601,-48167.389711457756,12787.79058964542,4259.833315192712,673.1571690430148,-566.3248469977659,3515.6614387281425,611.4324764467359,-44.63990682793775,-46.94162185604648,9.787047672487123,6.17620465897707,3.453428328,2.925882017,3.189655172
347922.2314522346,-32285.958984764646,-16536.086150066367,-3524.266423915798,-796.0985257861473,-4945.407346563511,2571.0582169450145,-525.2452499739411,117.82768750336915,73.2861682421972,-6.671406985260093,5.796978003869511,4.785550297,4.325560814,4.555555556
-177783.06979999677,11158.491260562703,-15258.61205158432,-2095.3777759845675,-1336.7929990089322,2555.1103224811222,-6194.8980054267495,464.2606796600069,-163.39474927383733,2.9243435850674966,-9.998929099774925,11.028159166872662,2.653067263,2.154625045,2.403846154
246964.0374885817,-52400.00887065795,-3015.7410641501256,-58.345234615923566,370.8824600001427,-3879.5232772067507,7489.697329852553,-405.99540003665,112.79501353288188,85.64313384875341,-19.134351555947518,10.821908412339992,4.518530885,4.014802449,4.266666667
-196930.49038238882,7262.109974575497,4406.180802819062,-2973.7771147002686,-1557.8801195258961,-15573.846834168471,-11654.29110501622,-703.4718964233379,-172.17550262003328,-40.779197701931295,9.7826137510688,-10.421676767228155,3.107115012,2.596588692,2.851851852
-120360.21443036063,10134.50442207424,-15464.959965841455,22522.0033563266,7584.076690910324,2545.447962683973,3576.810506087952,-394.27991699557737,16.63405879272349,22.819317147570306,-12.076920544913024,-19.452364077540075,3.531309226,3.020414912,3.275862069
26676.55130162889,71718.91671086634,4229.979698131656,-4431.085218514459,-81.8741552181973,-7518.307150782088,12531.620564010898,560.8426227663879,-2.5689546658675773,151.09372182811904,-30.297581049534816,4.95824371170449,1.56564417,1.167689163,1.366666667
-109808.71505541114,44567.06006826472,-10893.211824471766,-29969.39000357006,-8989.838358062983,-2091.022071574707,6185.938134344464,542.1687726205938,536.9082293713648,76.92982687290309,19.203580628928968,12.87435806968386,1.642556938,1.324109728,1.483333333
127680.37018159017,-74465.57785864937,9678.065296166256,3301.261535867346,1731.426202512518,-2244.7970753184222,14615.808687430688,-244.5671535195916,155.1432929587362,99.381142994758,-11.832497331873334,17.674960549452006,4.257197985,3.639353739,3.948275862
-78041.96969912767,8500.9437278502,-33760.37683867981,-6354.432048003908,-1257.3884957063015,3695.5943222295145,4991.557092448307,624.4744194062322,-16.42870410844947,5.118838383836236,-20.28579086465589,-8.672722243805516,3.991799552,3.401057591,3.696428571
389387.7181766789,-36882.76969918208,2743.7034035294832,617.6026820572166,-1137.4002894425598,-8230.064661035807,-9411.703603528284,260.16611745401724,129.57780062786844,50.387878130883024,11.283432628849589,1.783158861144239,4.766305092,4.305123479,4.535714286
417683.28306202835,16487.851371331006,-6916.16384970025,-40782.24172460916,36560.34741932777,21398.048467172463,-5700.1801072210255,-606.5724114774781,-136.21461304520372,43.043752976771714,13.20191728719733,-3.376415440327771,3.0643401,2.528252492,2.796296296
-208656.1098366185,-10399.0875650695,18626.088821366615,5632.5651554304,-814.0445660093466,-524.1586296290552,-16607.51964649703,305.51084868761694,-240.42475407039734,-7.818744418263783,-9.840421428967211,12.025059127298224,3.109396031,2.640603969,2.875
246964.02876949642,-52399.61725118453,-3015.3419901188686,-58.390186012384525,370.92783994985996,-3879.716124956457,7490.172924951479,-407.1442614337931,158.7003097756775,81.57322257717888,-17.729627992472118,7.782365330713762,4.586922149,4.190855629,4.388888889
102995.09709901222,-4346.599785653932,-33710.42896957746,-6817.721536319871,-1229.5585895470617,821.3302906853332,6582.007430683336,603.7399894058879,12.76923232647994,-51.511867556822175,9.856188624104858,-8.825302568336912,3.658971212,3.055314503,3.357142857
-126571.562891848,21905.74177552864,1497.0751847929603,-18507.1485466263,-7891.283239724388,23158.037151553373,2067.5690766957196,-362.58430559125435,-287.5522119904735,58.0655691075612,18.71508366044044,-13.325620194851021,3.665622055,3.092998635,3.379310345
-190387.4595414203,665.1960614792378,1843.749598584417,1792.1233377805231,-1105.11134940215,923.7206345796893,-11754.647097310886,376.9484135604628,-162.77129203030537,-6.987017051368306,-9.24760590570605,6.751634240350357,3.249159055,2.784174278,3.016666667
39461.28155597659,-2386.8508007154137,-12023.367783600821,-14807.112479391042,-1732.4989812932517,-40039.979424645055,5534.4973208944,408.56927738492095,-286.2650252949074,-62.29483910011933,-18.792488710513013,-27.42869329731608,3.09915415,2.442512516,2.770833333
-186353.742503439,17582.125847963045,-12842.859811632281,-6888.575992448677,-1768.0394627314313,-13880.584254547304,-5831.029140736946,365.37231782057245,804.2978436257075,-124.9750121769365,22.2984621629066,38.11925014391824,1.529546306,1.23712036,1.383333333
-208889.8106872934,-10423.582690035419,18617.653682086715,5631.350897984989,-811.4602819866996,-517.5143993569667,-16578.64410829947,303.23312288160867,-126.75817804732765,-17.649713827443453,2.212773743567567,8.285908782469294,3.24043084,2.828534677,3.034482759
-56563.329332473244,26534.509733066767,29185.676392478003,14663.104679991915,2252.0243166514506,31809.27753513192,9714.003747102275,747.8210618207644,308.4371313128988,-48.800216166229696,-296.7366701823701,8.919095841026483,1.400678788,1.15104535,1.275862069
-42560.93726866816,-17115.224246641777,9567.33244419247,-1471.2005487710514,-36337.382427541714,14297.313313970673,11842.38321263221,-246.01546254902655,-131.6201884395579,-41.156836137487545,59.865895891366335,7.933220466513501,2.55951845,1.976195836,2.267857143
-96939.31772145322,20225.548858060745,-25415.291051914777,-7637.818170149633,-24937.639681804485,12734.038978059318,8601.381425464691,-303.925200554675,-71.65183882542554,28.301501616294498,-37.5210750436931,9.212141747564099,3.809449298,3.362964496,3.586206897
-172152.59757377664,37771.62475972003,-28242.299657275456,4981.912067224237,3171.1217401205486,-12579.303577308927,-147.06855135473185,472.10399030286993,-259.51325965696964,12.98979904054023,-10.14930193462153,-40.55607976018528,2.137035504,1.690550702,1.913793103
-26583.5577948773,-36651.06543421777,-3830.566155434189,438.7254040794512,338.6251101858328,759.8184224999271,7893.8913589021095,-324.42463000196443,-25.108016328459307,-41.946739700614216,11.026587390391855,6.257789021895193,4.329362543,3.770637457,4.05
