fe-1,fe-2,fe-3,fe-4,fe-5,fe-6,fe-7,fe-8,fe-9,fe-10,fe-11,fe-12,fe-13,fe-14,fe-15,fe-16,fe-17,fe-18,fe-19,fe-20,fe-21,fe-22,fe-23,fe-24,fe-25,fe-26,fe-27,fe-28,fe-29,fe-30,fe-31,fe-32,fe-33,CIHigh,CILow,MOS
-96471.00174229167,20285.016700989632,-25410.00676565011,-7633.307763182688,-24941.318047789486,12721.709091305709,8548.169920031954,-301.5012528424622,-210.28209548125625,42.337935689608095,-2.3703887144519227,5.430859669213996,-0.36447621791453483,-0.8000090416141902,3.688072909905793,7.728801987691105,1.4801301780931098,15.028038591311155,-0.9939014373882942,9.4827392826554,-23.99627014240104,4.90134429968426,-16.45110868647716,-7.03256771094182,-4.1458977481475205,5.969337632768887,5.313060681115643,1.408317843412716,-3.0342249107214565,2.407534422557437,8.0990973844381,0.14695674757456656,0.4694254340526256,3.824198457,3.329647696,3.576923077
-190899.2439090163,610.2798563107831,1825.2229904363542,1789.7435154970658,-1099.544926998729,938.6065054827181,-11692.763481911323,374.42029589340757,-13.665976903495357,-20.577049630215594,3.5485003020858765,5.221299646555589,-2.2508080304879474,8.796475221227961,-10.58866700110317,-9.526729596592176,10.432984751267725,4.432457245166369,-6.258055115867184,-4.426203771662072,1.1904635024207684,14.891150437119125,3.2337198795986772,-2.8620124766522586,1.9922863029158784,2.3918540117256595,-1.6892070989408097,0.08909541703906806,0.6726207572158757,-4.593137520522978,2.957053341472426,-0.6480122987787987,-1.2260176688539055,3.257015236,2.742984764,3.0
519840.3157679629,-13560.844450099423,-9573.809645649471,-2705.991167456882,-2616.5488342041704,-10197.1134599863,-17831.151732468043,72.02086521546036,131.7922185726655,27.667316011941434,-32.72128728120002,-16.276635680602162,1.4223694220941474,10.428742927637781,-8.633628444416845,-2.1027411169890597,1.8341471559988942,2.1270773214920067,-2.315408060953346,1.6888534123241687,-3.6088014248497267,-1.6306886936715896,-5.139481592864205,5.134421414967821,-0.5070598032854347,1.3906893842948314,0.01794561587533842,2.3819784193058635,0.0544176464109161,2.46012859275524,0.4510759291077208,0.16329326609100578,1.2188917433397122,4.581469014,3.989959557,4.285714286
51809.71371273872,-9921.899265424958,-35785.163221921335,-7061.455555444061,-687.2164349687715,2388.2254225573674,12668.329366015221,-274.95640629122516,-20.814828107996068,-35.92463624922531,14.69237185244044,1.2317877740626328,13.320668148658335,-6.321199381030695,-3.185742958233106,7.218843783441271,1.8191010773049061,-1.1274670891204246,1.397706577383766,3.849041885708443,0.7257649055584583,-4.656814504194802,-1.917305485822341,-1.1916863760020502,1.951090087185962,-2.6483695268408693,0.281629606068744,1.1817040051918208,-2.2925761858223113,-1.9099505347406778,-1.1614643483027696,-2.195650854351271,2.1761664687467372,4.672867535,4.18920143,4.431034483
650895.8927554617,9791.139173858139,-21798.100385055208,-6011.289906150018,-4101.712284666179,-12190.475770455369,-26349.654996957448,-117.949434802311,134.23409769564057,7.27824313948755,-27.485834056457517,-24.157693342719572,10.229552489049532,16.653094470999072,-12.681794653113924,4.563911421840562,4.1531994518770725,4.572745419546506,-3.0627865397501175,-0.6490324638540393,-3.728604359721173,-5.615166466260905,-8.34562558087461,5.4250345010671355,1.712963490391433,2.3993785947407624,-0.6832480895271541,4.392605816682222,0.226216924543974,3.648409708483201,-0.46662737809910954,0.8040156388973421,0.8742266402838174,4.804087,4.368326794,4.586206897
-155985.79360999184,-27251.663447120565,15728.837560403295,5074.202109515424,-138.7197171767137,48.81993661477791,-6853.808260113023,461.36743041367447,-156.2761782884591,-1.697439187391391,-19.25778055292961,8.57307632758343,-8.890034857631102,1.8454905455830575,-0.7011063536113216,-10.29331744535268,-1.0176650446594,-0.3312344162688063,-0.10173532350909137,1.3818761194882507,-2.176789045223064,6.88396798518728,2.0886409590806783,0.6703744860682395,-2.599904107738971,-0.7886036718278074,-1.1115741456904884,-1.0278024831297614,2.2019623225866813,-0.2783431576611132,2.416477085261861,-0.41079247204562036,-1.506227432556863,3.653463529,3.070674402,3.362068966
-8572.136847605523,-16777.303415437604,3720.2476929080453,-11071.459571656274,-1125.2699902355562,-40598.87201190776,4146.316027632614,402.2112499421732,-224.2767646218159,-71.2558911675973,-35.79793445070995,-22.76980211364306,-17.92398841813016,-7.452555324100863,12.188556023333545,4.556204648674999,-2.0714573695096785,3.702320470352302,0.1801417303000419,2.853388638726274,-10.462605869196704,-3.2450359331824354,-18.030814035022146,11.160711299741006,5.9754185064231065,2.6191508038615576,1.5440404740538858,4.943118465919586,-3.0710105033065433,-3.756552080826703,1.3152888449919808,1.8056473237989048,-0.11025352523094037,2.147725643,1.552274357,1.85
-178537.71721144035,11070.300380615556,-15281.928159228652,-2096.792467401857,-1328.3044122466272,2581.8477796394486,-6092.918508220924,-531.1698491719034,-245.04798987795067,9.499050762579419,-25.109619018406544,10.451269803224546,4.441364857309851,5.468661450234017,-12.537192543422115,2.088051250706709,0.88300531679358,-1.0913346146393004,3.4659406442065888,3.222911555014003,3.58614819719869,3.9399388746124107,3.873227054756549,-3.056650931175502,0.8017529104130485,4.232157805583377,0.7009818069797926,-0.44424875239412354,1.6785209854405443,-1.5030490977480144,0.04865841302639162,-2.7616223622784157,1.5773709804087352,3.394160216,2.89155407,3.142857143
-4587.588432627546,47064.65999952697,-11133.250748088794,-2744.842320343758,37080.501734018566,-19604.60689361932,14047.28094094064,-419.82023410505224,535.518639257485,-43.30457826330427,13.781650800557927,-18.946614100921074,-43.86425134175753,12.738761209850392,-5.522392024222871,22.936551831204824,-7.377522014168321,-29.941878505525114,-22.86902314833182,-7.1594387722027255,1.6607992125607356,31.740474470042898,-1.0483562035537581,-27.014539419662707,35.14981980247125,-7.40981393746561,-28.314107870276118,12.4214333127913,33.19158515888454,18.267465073900308,15.210660170338231,-14.819539397549093,-24.999525245593976,1.384178612,1.098580009,1.24137931
-177088.98264742014,11232.900392403406,-15229.40139670097,-2091.6888881736495,-1344.180145392147,2533.9490061722577,-6278.294552055557,463.68408587021395,-209.2512984501257,7.879651856126888,-8.589135912358408,6.817128630797351,3.753507742997344,9.861613766101884,-11.495882769635474,-3.0441357296741463,5.139000109122244,1.21097623744185,1.622721014047577,-0.5062864415038681,0.9525717451134391,7.380026996814928,2.8564650188535956,-2.003752633155416,-2.685418494484019,5.694409451094968,0.0776448744624228,-1.1631806915191545,1.772295055872452,-0.4411402205949085,0.9198180578680215,-1.9777287345197962,0.05938796069197999,3.324814232,2.847599561,3.086206897
