fe-1,fe-2,fe-3,CIHigh,CILow,MOS
517257.1429616264,-13840.122740010114,-9681.20546020718,4.659037443,4.269533986,4.464285714
477412.6598567942,17033.314928323998,-5594.913974667575,2.686788331,2.05395241,2.37037037
-77623.80415645482,8546.810450908135,-33746.927902970216,4.24461591,3.686418572,3.965517241
-154773.63207690264,11063.610520817223,9864.415822992753,2.303374142,1.770699932,2.037037037
10851.304938334428,-32573.861981435093,-2312.847091989832,4.452997027,3.975574401,4.214285714
-168440.55533593716,30823.264128235915,-30836.41821706055,3.231543121,2.732742593,2.982142857
-191340.03181441032,559.1394542221539,1805.04596193595,3.46412956,2.93587044,3.2
-192550.9234679426,23579.67407920101,40949.44837221076,1.770033908,1.363299425,1.566666667
-54213.74295760126,53834.44607606722,18474.847840286453,1.387269538,1.079397128,1.233333333
103837.30728488129,-4252.593833248678,-33681.60574339116,4.592530589,4.157469411,4.375
114604.64662449254,58966.83185320452,52643.449263371265,1.294254321,1.050573265,1.172413793
-88873.0527672781,-30960.805138693446,27498.5986536757,2.535804889,2.019750667,2.277777778
-190114.21770998166,696.294050026363,1851.0884203247242,3.444807906,3.003467956,3.224137931
632550.916224035,39636.76978400821,-1546.2932680190224,4.756993215,4.311972302,4.534482759
99947.85623601124,13076.836433395789,63898.76644908661,1.284138137,1.015861863,1.15
-210255.53414176765,-10573.705386215432,18563.332851368923,2.624756782,2.153020996,2.388888889
-63313.49573131709,-31773.935259830596,18946.931147271825,2.970983131,2.251239091,2.611111111
55361.814486334275,-18609.865335227783,-18114.741054122795,4.442228583,3.928141788,4.185185185
-162708.4457579385,-27985.137869967053,15460.28610180517,2.558665314,1.941334686,2.25
-127985.57156894439,-15127.138577144939,-656.6106217225338,3.653463529,3.070674402,3.362068966
