fe-1,fe-2,fe-3,fe-4,fe-5,fe-6,fe-7,fe-8,fe-9,fe-10,fe-11,CIHigh,CILow,MOS
-96471.00174229167,20285.01670098963,-25410.006765649978,-7633.307763182765,-24941.318047789693,12721.709091305514,8548.169920031905,-301.50125284176426,-210.28209548376267,42.3379356483171,-2.370388715606674,3.824198457,3.329647696,3.576923077
-190899.2439090163,610.2798563107845,1825.2229904363433,1789.7435154970794,-1099.5449269987353,938.6065054827051,-11692.763481911255,374.42029589269947,-13.665976903659514,-20.57704961012038,3.548500303795222,3.257015236,2.742984764,3.0
519840.3157679629,-13560.844450099377,-9573.809645649419,-2705.9911674568993,-2616.5488342041826,-10197.113459986149,-17831.151732467944,72.0208652153264,131.79221857425156,27.667315984923878,-32.721287296963276,4.581469014,3.989959557,4.285714286
51809.71371273872,-9921.899265424958,-35785.16322192113,-7061.455555444126,-687.2164349687777,2388.225422557342,12668.329366015152,-274.956406290707,-20.81482810824698,-35.92463621414344,14.692371859518483,4.672867535,4.18920143,4.431034483
650895.8927554617,9791.139173858126,-21798.100385055088,-6011.289906150068,-4101.712284666193,-12190.475770455201,-26349.654996957295,-117.94943480208515,134.23409769725606,7.278243132381104,-27.48583406969863,4.804087,4.368326794,4.586206897
-155985.79360999184,-27251.66344712055,15728.837560403208,5074.202109515467,-138.71971717672577,48.819936614768366,-6853.808260112955,461.3674304128021,-156.27617829033858,-1.6974391857328188,-19.25778056220698,3.653463529,3.070674402,3.362068966
-8572.136847605523,-16777.303415437593,3720.2476929080267,-11071.459571656367,-1125.2699902355555,-40598.87201190714,4146.31602763259,402.2112499414144,-224.27676462451453,-71.2558910980079,-35.79793446795566,2.147725643,1.552274357,1.85
-178537.71721144035,11070.300380615547,-15281.928159228568,-2096.792467401897,-1328.304412246628,2581.847779639407,-6092.918508220893,-531.1698491708996,-245.0479898808992,9.499050753301882,-25.109619030502547,3.394160216,2.89155407,3.142857143
-4587.588432627546,47064.65999952695,-11133.250748088736,-2744.8423203437587,37080.5017340189,-19604.606893619028,14047.28094094056,-419.82023410425313,535.5186392639281,-43.30457822101131,13.781650807196298,1.384178612,1.098580009,1.24137931
-177088.98264742014,11232.900392403395,-15229.401396700889,-2091.6888881736677,-1344.180145392155,2533.949006172218,-6278.2945520555195,463.6840858693345,-209.25129845264405,7.879651848431443,-8.589135916495986,3.324814232,2.847599561,3.086206897
50030.00805463147,-10113.997947689422,-35856.49758970918,-7070.235058568784,-668.2179192098848,2441.944983101432,12881.309331455292,-274.7289561221921,139.77415770773766,-50.99456041603524,18.223683344083856,3.599130983,2.900869017,3.25
-125345.11971585719,-14842.065660352833,-550.0972767851925,1293.4060038201753,-560.8143237253976,1119.0146444204286,-3469.9147711157266,505.6260928206558,-147.99195626245628,3.5927483151592248,-8.184548894642793,3.954853907,3.366574665,3.660714286
-49001.25318178601,-48167.389711457705,12787.790589645298,4259.833315192719,673.1571690430179,-566.3248469977602,3515.661438728189,611.4324764485037,-44.63990682797913,-46.94162183788507,9.787047704239024,3.453428328,2.925882017,3.189655172
347922.2314522346,-32285.958984764617,-16536.086150066207,-3524.266423915806,-796.0985257861486,-4945.407346563486,2571.0582169450477,-525.2452499754588,117.827687503478,73.28616821384811,-6.671407006904196,4.785550297,4.325560814,4.555555556
-177783.06979999677,11158.491260562692,-15258.61205158417,-2095.3777759845702,-1336.7929990089333,2555.110322481107,-6194.898005426832,464.26067966134735,-163.39474927398857,2.924343583934806,-9.998929132214649,2.653067263,2.154625045,2.403846154
246964.0374885817,-52400.008870657904,-3015.7410641500946,-58.34523461592549,370.88246000014396,-3879.5232772067284,7489.697329852653,-405.99540003782283,112.795013532986,85.64313381562529,-19.13435161802582,4.518530885,4.014802449,4.266666667
-196930.49038238882,7262.109974575491,4406.180802819019,-2973.7771147002736,-1557.8801195259005,-15573.846834168393,-11654.291105016378,-703.4718964253691,-172.1755026201931,-40.77919768615637,9.78261378280677,3.107115012,2.596588692,2.851851852
-120360.21443036063,10134.504422074231,-15464.959965841308,22522.003356326648,7584.076690910338,2545.4479626839616,3576.8105060880002,-394.2799169967168,16.634058792738827,22.81931713874184,-12.076920584094287,3.531309226,3.020414912,3.275862069
26676.55130162889,71718.91671086628,4229.979698131611,-4431.085218514468,-81.87415521820147,-7518.3071507820505,12531.62056401107,560.8426227680061,-2.568954665870025,151.09372176966983,-30.297581147829735,1.56564417,1.167689163,1.366666667
-109808.71505541114,44567.060068264684,-10893.211824471662,-29969.390003570115,-8989.838358063002,-2091.022071574701,6185.9381343445475,542.1687726221577,536.9082293718628,76.92982684314245,19.20358069123235,1.642556938,1.324109728,1.483333333
127680.37018159017,-74465.5778586493,9678.065296166165,3301.2615358673506,1731.4262025125229,-2244.7970753184063,14615.808687430885,-244.56715352029804,155.14329295887956,99.38114295631648,-11.832497370262008,4.257197985,3.639353739,3.948275862
-78041.96969912767,8500.943727850188,-33760.37683867948,-6354.4320480039205,-1257.3884957063015,3695.5943222294923,4991.557092448374,624.4744194080345,-16.42870410846421,5.118838381853004,-20.2857909304694,3.991799552,3.401057591,3.696428571
389387.7181766789,-36882.76969918205,2743.7034035294596,617.6026820572171,-1137.4002894425626,-8230.064661035762,-9411.703603528413,260.1661174547704,129.577800627988,50.38787811139679,11.283432665456218,4.766305092,4.305123479,4.535714286
417683.28306202835,16487.85137133099,-6916.163849700183,-40782.24172460925,36560.347419327794,21398.048467172357,-5700.180107221103,-606.5724114792301,-136.21461304533042,43.043752960121594,13.201917330028893,3.0643401,2.528252492,2.796296296
-208656.1098366185,-10399.08756506949,18626.088821366437,5632.565155430413,-814.0445660093454,-524.1586296290504,-16607.51964649725,305.51084868850086,-240.4247540706204,-7.818744415236476,-9.840421460893374,3.109396031,2.640603969,2.875
246964.02876949642,-52399.61725118448,-3015.341990118836,-58.3901860123864,370.9278399498611,-3879.716124956436,7490.172924951579,-407.1442614349693,158.70030977582414,81.57322254562533,-17.72962804999305,4.586922149,4.190855629,4.388888889
102995.09709901222,-4346.59978565393,-33710.42896957713,-6817.721536319885,-1229.5585895470633,821.3302906853264,6582.007430683425,603.739989407631,12.769232326492297,-51.51186753689784,9.85618865608185,3.658971212,3.055314503,3.357142857
-126571.562891848,21905.74177552862,1497.075184792946,-18507.148546626337,-7891.2832397243965,23158.037151553253,2067.5690766957496,-362.584305592305,-287.55221199073964,58.06556908509276,18.715083721159647,3.665622055,3.092998635,3.379310345
-190387.4595414203,665.1960614792373,1843.7495985843989,1792.1233377805283,-1105.1113494021506,923.7206345796847,-11754.647097311043,376.9484135615521,-162.77129203045627,-6.987017048664659,-9.247605935708604,3.249159055,2.784174278,3.016666667
39461.28155597659,-2386.8508007154132,-12023.367783600705,-14807.112479391071,-1732.4989812932617,-40039.97942464485,5534.497320894471,408.56927738610256,-286.2650252951729,-62.29483907601973,-18.79248877148287,3.09915415,2.442512516,2.770833333
-186353.742503439,17582.125847963027,-12842.859811632157,-6888.57599244869,-1768.0394627314358,-13880.584254547237,-5831.029140737024,365.3723178216296,804.2978436264536,-124.97501212858911,22.298462235249644,1.529546306,1.23712036,1.383333333
-208889.8106872934,-10423.582690035406,18617.653682086537,5631.350897985002,-811.4602819867001,-517.514399356963,-16578.644108299693,303.23312288248616,-126.75817804744533,-17.649713820612817,2.212773750746011,3.24043084,2.828534677,3.034482759
-56563.329332473244,26534.50973306674,29185.67639247772,14663.104679991944,2252.024316651459,31809.277535131765,9714.00374710241,747.8210618229241,308.4371313131851,-48.800216147352195,-296.73667114508555,1.400678788,1.15104535,1.275862069
-42560.93726866816,-17115.22424664176,9567.332444192381,-1471.2005487710446,-36337.38242754175,14297.313313970597,11842.38321263237,-246.01546254974025,-131.62018843967903,-41.156836121574976,59.86589608559283,2.55951845,1.976195836,2.267857143
-96939.31772145322,20225.548858060723,-25415.291051914533,-7637.8181701496405,-24937.639681804507,12734.038978059247,8601.381425464808,-303.9252005555573,-71.6518388254912,28.301501605337332,-37.52107516542297,3.809449298,3.362964496,3.586206897
-172152.59757377664,37771.62475972,-28242.299657275187,4981.912067224247,3171.1217401205513,-12579.303577308865,-147.06855135473435,472.103990304233,-259.51325965721,12.989799035513691,-10.149301967548922,2.137035504,1.690550702,1.913793103
-26583.5577948773,-36651.06543421774,-3830.56615543415,438.72540407945115,338.62511018583575,759.8184224999242,7893.891358902215,-324.4246300029016,-25.108016328482492,-41.94673968438899,11.026587426165896,4.329362543,3.770637457,4.05
-178650.8719795676,11062.867833753808,-15292.766710479196,-2099.0966993446264,-1327.0400452688718,2585.5816109635293,-6075.260097746938,-533.9472399885105,-119.90762391813203,1.0266131988378397,29.551542121206626,3.348464581,2.85843197,3.103448276
-178608.71097964683,11062.663455784363,-15284.681606687267,-2097.1358900191867,-1327.5456114847796,2583.9536932972273,-6084.3850321583295,-531.2696258745242,-233.41025979833617,9.170634928380448,-9.635572449421206,3.430356437,3.002976896,3.216666667
-169722.03455831646,-13433.490739748264,17659.610353131873,30159.948972786333,8302.28639611283,32.45919688320665,-4641.716924840075,-504.7055504009083,-264.18882995462224,36.938042531256436,-7.4283575275702525,3.12457995,2.57542005,2.85
-26576.707464700725,-36651.45092160532,-3828.945062518003,439.16115583140174,338.5175396430906,759.5435675292022,7892.070411739769,-323.57975120416245,-59.151254248265936,-37.16111905254404,42.45581960772576,4.225768921,3.636300045,3.931034483
-133621.51855550037,-15741.948813769073,-886.0939702987903,1253.631935480151,-472.51593519239486,1375.4164908713383,-2469.263725595986,-478.2506153052881,22.36010707678922,-9.53291285834719,26.42187865694213,3.574117983,3.046571672,3.310344828
-209904.49442154253,-10536.717689978565,18576.197263963655,5627.119760526613,-800.2962380505126,-481.8218730203416,-16443.371874303422,-690.3004934121908,-252.69908017849627,-9.160485259677442,-29.135327363235344,3.16710629,2.73289371,2.95
99683.43760109121,-42300.423726822446,14245.533031396226,60981.895871616274,21091.367795958162,-2400.064229556915,19193.186418993264,-181.43319893638125,86.29455635752178,102.26950373086704,-51.31003996693602,2.241733096,1.758266904,2.0
593669.3936262797,38771.48423230003,-18411.513963217683,51530.72433377852,15567.61763746794,-11453.930146870536,-18307.428344635726,13.285176311128772,67.04207559324263,15.922490975266767,9.820093965463649,2.156586714,1.73996501,1.948275862
