fe-1,fe-2,fe-3,fe-4,fe-5,fe-6,fe-7,fe-8,fe-9,fe-10,fe-11,fe-12,fe-13,fe-14,fe-15,fe-16,fe-17,CIHigh,CILow,MOS
-190387.4595414203,665.1960614792367,1843.749598584405,1792.1233377805117,-1105.1113494021447,923.7206345796823,-11754.647097311356,376.9484135561167,-162.77129203265227,-6.987017051531807,-9.247605923336968,6.75163424311474,-2.7864460867434215,8.480478817629603,-11.374730085878983,-6.354924723556207,2.637873144917954,3.249159055,2.784174278,3.016666667
39461.28155597659,-2386.85080071542,-12023.367783600746,-14807.112479390937,-1732.4989812932486,-40039.97942464476,5534.497320894619,408.56927738021,-286.2650252990351,-62.294839101579655,-18.792488746341757,-27.42869330854708,-1.711148970776048,2.4330048753023807,16.476605671697254,10.58455000110293,3.9967143981676148,3.09915415,2.442512516,2.770833333
-186353.742503439,17582.12584796306,-12842.859811632201,-6888.575992448628,-1768.0394627314256,-13880.5842545472,-5831.02914073718,365.3723178163569,804.297843637304,-124.97501217986685,22.298462205419384,38.11925015952599,-8.583506428371754,-34.19452639865752,-24.401561094855417,16.640800659343995,-28.303964835920233,1.529546306,1.23712036,1.383333333
-208889.8106872934,-10423.582690035431,18617.653682086595,5631.35089798495,-811.4602819866938,-517.5143993569628,-16578.644108300134,303.2331228781115,-126.75817804915575,-17.64971382785605,2.2127737477862506,8.285908785861682,-5.659339674778025,7.532160136383797,-5.820898764706807,-8.289000550529337,3.0742614669738364,3.24043084,2.828534677,3.034482759
-56563.329332473244,26534.5097330668,29185.676392477824,14663.104679991813,2252.0243166514447,31809.277535131685,9714.003747102664,747.8210618121421,308.4371313173466,-48.800216167374636,-296.73667074811016,8.91909584467871,-24.58641543761585,-26.356650952129836,-27.793094205791906,34.20032256500242,-25.207047702373668,1.400678788,1.15104535,1.275862069
-42560.93726866816,-17115.22424664179,9567.33244419241,-1471.200548771031,-36337.382427541495,14297.313313970564,11842.383212632683,-246.01546254618725,-131.6201884414543,-41.15683613845669,59.86589600550309,7.93322046976226,-6.131089527333988,-6.9149323248355,18.874505604150876,11.83375201914103,-3.87659031733143,2.55951845,1.976195836,2.267857143
-96939.31772145322,20225.548858060774,-25415.291051914617,-7637.818170149573,-24937.639681804336,12734.038978059223,8601.381425465033,-303.92520055116745,-71.65183882645717,28.30150161695413,-37.52107511522825,9.212141751336452,20.614131541069813,2.192119862326133,8.179323664402844,-13.100150194138434,-15.626022690854615,3.809449298,3.362964496,3.586206897
-172152.59757377664,37771.62475972006,-28242.299657275278,4981.912067224207,3171.1217401205286,-12579.303577308832,-147.06855135473828,472.1039902974279,-259.51325966071084,12.989799040844165,-10.14930195397153,-40.55607977679093,9.355560867401797,-7.003357821310165,40.190721119753235,2.8598772813365536,-32.08265373984478,2.137035504,1.690550702,1.913793103
-26583.5577948773,-36651.06543421782,-3830.5661554341646,438.72540407944734,338.6251101858335,759.8184224999202,7893.891358902425,-324.42462999822374,-25.108016328821346,-41.946739701598695,11.026587411414473,6.2577890244574625,-0.515402322518788,-12.512626016500427,3.0888619447456147,1.5278919005657046,-2.6866412086042897,4.329362543,3.770637457,4.05
-178650.8719795676,11062.867833753828,-15292.766710479249,-2099.0966993446073,-1327.0400452688648,2585.5816109635252,-6075.260097747099,-533.9472399808097,-119.90762391974971,1.0266131992609178,29.551542081672007,14.103339006552446,5.873358928907553,5.903912300300011,-14.218896623363266,4.626974252678859,6.140794454267724,3.348464581,2.85843197,3.103448276
