fe-1,fe-2,fe-3,fe-4,fe-5,fe-6,fe-7,fe-8,fe-9,fe-10,fe-11,fe-12,fe-13,fe-14,fe-15,fe-16,fe-17,fe-18,fe-19,fe-20,CIHigh,CILow,MOS
-96471.0017422917,20285.016700989683,-25410.00676565006,-7633.307763182727,-24941.318047789646,12721.709091305538,8548.169920032124,-301.50125284434347,-210.28209548792807,42.33793566663029,-2.370388708566358,5.4308596528191,-0.3644762202113042,-0.8000090380370358,3.6880728922355352,7.728801947299989,1.480130169526889,15.028038494136347,-0.9939014302418274,9.482739213300727,3.824198457,3.329647696,3.576923077
-190899.24390901666,610.2798563107847,1825.22299043635,1789.743515497072,-1099.5449269987346,938.6065054827044,-11692.763481911566,374.4202958957688,-13.665976903931604,-20.577049619055373,3.5485002932858385,5.221299630740897,-2.2508080447933745,8.796475181798938,-10.588666949980462,-9.526729546829374,10.432984690416827,4.432457216830654,-6.258055070760928,-4.42620373946476,3.257015236,2.742984764,3.0
519840.3157679631,-13560.844450099457,-9573.80964564945,-2705.9911674568925,-2616.548834204175,-10197.113459986174,-17831.15173246841,72.02086521591477,131.7922185768788,27.66731599693538,-32.72128720005258,-16.27663563130085,1.4223694311348642,10.428742880892113,-8.633628402731295,-2.102741106006356,1.8341471453026237,2.1270773078738032,-2.3154080442628655,1.6888534000277484,4.581469014,3.989959557,4.285714286
51809.71371273873,-9921.899265424983,-35785.163221921255,-7061.455555444095,-687.2164349687756,2388.2254225573456,12668.329366015487,-274.9564062929593,-20.814828108662528,-35.924636229740585,14.692371816003847,1.2317877703304585,13.320668233321017,-6.3211993526964445,-3.185742942855524,7.218843745733439,1.8191010666930787,-1.1274670818880603,1.3977065673125078,3.8490418577235936,4.672867535,4.18920143,4.431034483
650895.892755462,9791.139173858162,-21798.100385055157,-6011.289906150044,-4101.712284666214,-12190.47577045523,-26349.654996957994,-117.94943480305459,134.2340976999318,7.278243135539832,-27.48583398829378,-24.1576932695474,10.229552554066672,16.653094396353627,-12.681794591884374,4.563911397998082,4.153199427653758,4.572745390304397,-3.0627865176741924,-0.6490324591453931,4.804087,4.368326794,4.586206897
-155985.79360999193,-27251.663447120634,15728.837560403259,5074.202109515449,-138.71971717670365,48.81993661477728,-6853.808260113164,461.3674304165841,-156.2761782934526,-1.697439186470748,-19.257780505171148,8.57307630161676,-8.890034914133858,1.845490537310698,-0.7011063502242504,-10.293317391584127,-1.0176650387218313,-0.33123441417428223,-0.10173532277542441,1.3818761094275378,3.653463529,3.070674402,3.362068966
-8572.13684760553,-16777.303415437647,3720.24769290804,-11071.459571656327,-1125.269990235563,-40598.872011907224,4146.3160276327,402.21124994471,-224.27676462898356,-71.25589112894893,-35.79793436193276,-22.76980204467479,-17.92398853205048,-7.452555290696358,12.188555964490583,4.556204624875088,-2.0714573574259756,3.7023204466813784,0.18014172900075115,2.853388617942903,2.147725643,1.552274357,1.85
-178537.71721144044,11070.300380615581,-15281.928159228617,-2096.792467401867,-1328.3044122466351,2581.8477796394154,-6092.918508221053,-531.1698491752529,-245.04798988578358,9.499050757427398,-25.109618956135982,10.451269771567299,4.441364885537769,5.4686614257218435,-12.537192482895762,2.0880512397995106,0.8830053116418989,-1.0913346076474042,3.465940619226738,3.222911531584271,3.394160216,2.89155407,3.142857143
-4587.588432627548,47064.65999952709,-11133.250748088762,-2744.8423203437656,37080.50173401879,-19604.606893619068,14047.280940940935,-419.8202341076995,535.5186392746016,-43.30457823981434,13.78165076637967,-18.9466140435281,-43.864251620548224,12.738761152748717,-5.522391997546836,22.9365517114185,-7.377521971125491,-29.941878314172836,-22.869022983493867,-7.1594387201379925,1.384178612,1.098580009,1.24137931
-177088.9826474202,11232.900392403433,-15229.401396700936,-2091.6888881736595,-1344.180145392155,2533.9490061722227,-6278.294552055687,463.6840858731381,-209.25129845681445,7.87965185185327,-8.589135891057769,6.817128610147917,3.753507766853637,9.861613721898665,-11.495882714134943,-3.044135713773412,5.139000079148151,1.2109762297082787,1.6227210023503065,-0.5062864378215294,3.324814232,2.847599561,3.086206897
