fe-1,fe-2,fe-3,fe-4,fe-5,fe-6,CIHigh,CILow,MOS
-102740.13104542733,-3260.8968369164686,-17240.38838310693,-2545.41578454151,-898.1551503660982,2443.7711388594594,3.720526178,3.246140488,3.483333333
-191915.690202424,27885.889161593575,-8528.711275313617,12819.668571447075,-11036.567994416675,8036.713640643486,2.518109498,1.948557169,2.233333333
-77647.13002551912,8549.655974164769,-33757.39842326651,-6355.234525824401,-1261.7264214198135,3685.265017306314,3.923636291,3.335622968,3.62962963
356237.2765391955,-8646.435842463328,22395.15536606331,-2283.4749004124014,-55927.04339151017,12311.989193696183,2.486585659,1.977700056,2.232142857
-156359.6115113124,-27291.71332072773,15718.158086640735,5072.757504565808,-134.52922290833433,58.9796670394972,3.636244181,3.018928233,3.327586207
-155979.9395493101,-27251.677865100613,15730.910987404322,5074.575049129378,-138.75146089453617,48.355100174820045,3.462234023,3.020524597,3.24137931
-13707.49704338054,58250.551724472374,20111.22617482263,-697.5644623939778,443.365352879237,-8291.012199422728,1.467294188,1.153395467,1.310344828
-111511.39139821597,-4217.33192855945,-17600.554249793255,-2587.409710164192,-804.9756272806269,2716.950172121408,3.884859971,3.329425744,3.607142857
-5312.9772451282215,36831.2829621121,65310.31231060677,6853.463406551105,3371.6306180590586,-13688.685519196657,1.442300703,1.057699297,1.25
-213707.64668739535,-2212.9749811147644,25044.849854822456,-3553.02868810687,9634.634542500702,6831.152886313893,2.576073139,2.123926861,2.35
-161757.64749986114,21975.321307285965,-32128.942917746488,-5945.490945369575,-1604.22255681194,4071.5312182268344,3.312221095,2.887778905,3.1
-77373.06945264207,-51259.12032247941,11640.217338242408,4125.327942557301,974.057435679221,303.70657813769935,2.728559181,2.057155105,2.392857143
-101098.872139792,6926.486666837635,47846.555276967985,-32033.438752514536,-11236.313187072263,-8964.161389949672,1.424230754,1.075769246,1.25
234048.40473543823,-62878.92683894204,13983.42387355069,3807.0111722438287,604.8325400245809,-5495.357314085486,4.392735837,3.814160715,4.103448276
-209627.37297721824,-10505.760635606259,18585.645417005842,5628.075747261417,-803.258934986031,-490.0582568843933,3.060916712,2.639083288,2.85
43566.181655114466,3740.3625775692053,-14774.153173959803,35625.04043198779,12291.008255225683,-46.987972732904225,4.625796982,4.159917303,4.392857143
634664.4833016022,8022.2557909350835,-22450.535901180512,-6087.790261845148,-3929.7544717291476,-11695.964244109991,2.694792401,1.945207599,2.32
317597.8308897547,-3485.1645196996583,6551.012843513367,-37332.04498526195,37717.59782069746,22447.37314363679,2.746840825,2.218676416,2.482758621
-110981.10054968392,32011.896479447998,-28211.92348080483,11028.350826457072,6547.44993648863,-22466.145051318068,1.513780279,1.186219721,1.35
10855.216251976006,-32573.67093348375,-2311.673330919569,617.2641883121497,-58.22127817416954,-387.53264407979725,4.371789143,3.869590168,4.120689655
176344.4844683761,-1831.1631625830084,41623.89831047288,27684.468121691345,58461.086547880106,21728.6403336835,1.965763382,1.498522332,1.732142857
-53392.246184111,-18012.320848377094,11421.4502247332,-22287.368028365203,26262.63950832703,19340.51601407459,1.868626477,1.476201109,1.672413793
-190106.43981239226,695.2418077839022,1854.476688790501,1793.5134807794363,-1108.153867419286,915.4386237068398,3.448905722,2.930404623,3.189655172
-199001.39537297373,7083.478348272486,4253.352899396702,-3001.645729908362,-1536.1411062196578,-15509.460153443419,1.362669765,1.137330235,1.25
104026.95410753025,-45195.95266948061,29712.55658577306,445.4723605482652,-53158.886123580865,18008.006136537617,3.576319397,2.84034727,3.208333333
389190.7228423984,48615.37878434047,-2411.5975295226976,16896.897913121986,55914.667861034606,21263.711932756454,3.95457961,3.30467965,3.62962963
97204.74851089486,-4979.347650117315,-33942.184207793296,-6844.768339544545,-1163.177416185214,995.1747963914248,3.002162168,2.354980689,2.678571429
-51096.59293513656,-48395.26188262564,12707.192109727082,4250.245137720456,695.5568690292768,-503.469726727985,2.501572021,1.9811866,2.24137931
232965.8757405065,-62995.375019956125,13937.367352878315,3801.2928399210814,616.2979909418506,-5462.143193897909,4.400800178,3.806096374,4.103448276
-156881.11424114942,-27348.843342942288,15694.266962924537,5070.0446309713425,-129.143985359359,75.65964162083023,3.432505962,2.867494038,3.15
-182427.47432516195,17999.632582843697,-12689.932056567395,-6868.3145915496625,-1810.607756930953,-13996.505640982716,3.014959093,2.449326621,2.732142857
-163813.62765336712,21749.166463268524,-32209.156319098358,-5954.380185909525,-1581.8663141073473,4138.081483599775,3.551922047,3.103250367,3.327586207
446900.3969938463,-12433.825912072216,-30047.30609616076,-6979.597634437461,-1941.6121556189269,-5961.056783816268,4.751477668,4.284236618,4.517857143
-162126.5982593338,-27921.841200338327,15479.956809281246,5045.30490830655,-73.20762136681189,240.60131909974783,3.380332715,2.964494871,3.172413793
-26717.79814592109,-36667.71102989088,-3831.7859878523013,438.99882701361423,340.0749133588284,763.3845797237177,4.373132173,3.780713981,4.076923077
-133309.2218459346,-391.2137909853584,1612.3835811245367,26405.457462715927,7818.6737123931,922.0083414471579,3.669138913,3.145675902,3.407407407
-224695.9003351931,12602.154994221604,33152.34357549872,-9109.30789566168,-5791.288493951896,-4210.6652151290955,1.659640274,1.271394209,1.465517241
-112286.88048184248,-10143.051270092572,28099.825686459895,40923.78622585475,-22708.151623864534,13738.455208474015,1.786571514,1.313428486,1.55
-132848.52508760948,-15660.23490578686,-854.9481043551084,1257.841865910102,-480.8777153142235,1352.4826710629998,3.846189416,3.296667727,3.571428571
36943.09035456158,3017.0100441503023,-15034.83373770335,35594.79390084446,12361.328100781167,153.8709637349944,2.646890722,2.056812981,2.351851852
-210408.38766419832,-10589.186562058367,18558.332244465717,5624.459426950746,-794.6837346567584,-467.65680175567894,3.051922047,2.603250367,2.827586207
-125529.4762140246,-14861.666654886047,-558.129420375975,1292.3678462967375,-558.8546736010359,1124.6558805516245,3.772468808,3.193048433,3.482758621
-161907.1768225564,21920.515098349675,-32060.32146225386,-5929.498555178025,-1602.2108530751482,4067.51218820959,3.460340236,2.987935627,3.224137931
-154254.6450920222,25077.72318146688,20528.219157763277,10455.160721404143,808.8603531026267,21532.98062311984,1.765816215,1.400850451,1.583333333
-111800.11377080974,-4246.22756305349,-17617.129714996518,-2589.8765208457003,-801.9620125553395,2726.287268739771,3.91045444,3.503338664,3.706896552
292511.2337699377,96535.42824215426,24718.941829645148,-3529.760690758751,-74.62619586320207,-16752.65764006528,1.471686809,0.994979857,1.233333333
-226955.41816205517,13200.05831384596,27993.982409482855,15770.414877283623,-10973.793713671028,-11614.647494110513,1.945329132,1.488004202,1.716666667
127653.84283879567,-74467.57207966775,9674.14783391725,3300.6304375857726,1731.6418719080875,-2243.533419560981,4.095679394,3.504320606,3.8
-141838.94618100807,-2659.549255890767,9373.372055568654,-13444.599378970062,16246.947087980501,13151.170178825812,2.637035504,2.190550702,2.413793103
-131948.61699090272,36620.9072711653,3822.089588954222,6616.675520624377,474.7058591793619,22873.594363134307,1.74043084,1.328534677,1.534482759
-191644.6179848329,527.3264533813409,1790.4020473034736,1786.1402923810656,-1091.3588782487657,966.8832707174064,3.094947531,2.491259366,2.793103448
-199394.11838568622,8425.60306234613,8112.180355939144,-7412.285751959949,9386.859531616932,8400.138837911436,1.621677784,1.278322216,1.45
7075.798715895099,-32986.12210869018,-2460.141568730259,599.952413860043,-18.06228535025511,-273.0539800775195,4.23399043,3.535240339,3.884615385
11221.217982546113,-23418.30674647265,-19902.251126885927,-3326.53080099361,-159.77083719345097,1620.833650184545,4.549695967,4.021732605,4.285714286
507285.5071790909,-14926.957384405889,-10085.791488243289,-2765.4290243403034,-2483.2517820528574,-9808.876096507156,3.044920759,2.339694626,2.692307692
185503.721947799,66690.7337763511,55513.505378919515,3833.9116736590795,1253.4162644205069,-17511.583522157838,1.26447695,1.068856384,1.166666667
-133024.93531949093,-15677.979266957496,-864.3225552559144,1256.4352792434916,-479.00732343441075,1358.0337240588447,3.454788469,2.978544864,3.216666667
-140977.37820977555,32090.968421829766,5377.403919444284,-26187.68142688365,-8561.5911529275,-3142.063095282715,1.552327478,1.206293212,1.379310345
194960.65869782024,76837.82761683248,38291.312805877715,-67.05957369946138,1055.8447228247371,-15781.142624205111,1.543937516,1.222729151,1.383333333
-163367.94240929696,21797.332188097025,-32191.989931115007,-5952.286664873485,-1586.649146948525,4124.777660066829,3.369995498,2.880004502,3.125
305227.3157785171,30128.480711947403,8409.690202032976,51344.89811167723,-36427.10278389874,14881.995171311877,3.764962853,3.028140595,3.396551724
-102390.91582858273,-3222.1749644431857,-17231.88654548627,-2544.51656666412,-902.0519087980435,2434.2931948976957,3.909399125,3.469911219,3.689655172
35595.5024986775,11943.183511004076,-32611.768948475205,31661.354451912353,12278.410294391959,2204.9338803387327,2.405101776,1.828231558,2.116666667
-111409.41792087005,7566.273027123526,-13194.476860767529,-10196.169546693889,-1645.6606475440399,-24020.306156790084,3.388944946,2.921399882,3.155172414
-14347.637429978913,13297.012857944621,2132.1441083392674,-37660.1415322123,24478.08914988635,-20627.028754353876,3.907056989,3.437770597,3.672413793
-177014.2177442571,11238.41100679385,-15221.5781817711,-2090.224960978524,-1344.9592285211872,2531.1495112671064,3.373239619,2.937105209,3.155172414
209985.06856173152,-33395.45212893974,37321.94436706755,-29971.373670675013,39052.22744962802,21706.65302698196,3.210241176,2.419388454,2.814814815
-208652.22729858174,-10399.324023761601,18628.078846873814,5632.92700453296,-814.0482311187503,-524.5472941779985,3.228121605,2.771878395,3.0
-76506.38212192184,-51165.01145266422,11674.953404730015,4129.478498068363,964.8481689365304,277.4175530641771,3.849214939,3.150785061,3.5
-92459.22606301123,-34947.048352891994,17766.175586440244,-7561.1718590705905,-139.37994520601674,-40030.93432125895,2.728516741,2.054091954,2.391304348
-88033.8386472926,7413.186502285305,-34170.77181432896,-6402.681416194516,-1151.2144101684098,4005.810390902482,4.041123384,3.392209949,3.716666667
-181960.25102534864,-4327.707405874871,29675.370966957777,-17322.89758345624,15928.72216163463,-14362.218187427476,1.91045444,1.503338664,1.706896552
-87866.50211970836,21410.74765730407,-23566.79434772559,-21060.931847099237,15479.219672352083,15519.970187952787,3.165961789,2.619752497,2.892857143
517257.1429616267,-13840.122740010114,-9681.20546020728,-2719.0481330726147,-2589.1847523657502,-10118.118649799604,4.659037443,4.269533986,4.464285714
477412.6598567944,17033.314928323998,-5594.913974667631,54905.217950467144,16895.965544374518,-9911.098489353786,2.686788331,2.05395241,2.37037037
-77623.80415645486,8546.810450908131,-33746.92790297056,-6352.8893270751905,-1261.9460299501804,3683.5859688256446,4.24461591,3.686418572,3.965517241
-154773.6320769027,11063.610520817225,9864.415822992853,25113.80378276795,-15831.143868567886,10034.546625324941,2.303374142,1.770699932,2.037037037
10851.304938334433,-32573.861981435093,-2312.8470919898555,617.086397390844,-58.214776796173005,-387.23977422408706,4.452997027,3.975574401,4.214285714
-168440.5553359372,30823.264128235918,-30836.418217060862,9753.126734752273,3655.483619828618,4003.1542676494237,3.231543121,2.732742593,2.982142857
-191340.03181441038,559.1394542221549,1805.0459619359674,1788.1432387872087,-1094.580426649018,957.3651051229878,3.46412956,2.93587044,3.2
-192550.9234679427,23579.67407920101,40949.448372211176,6588.300698340295,487.98546442802444,-6038.490379120346,1.770033908,1.363299425,1.566666667
-54213.742957601266,53834.44607606724,18474.847840286642,-889.056647107782,872.7520085995201,-7050.514577256664,1.387269538,1.079397128,1.233333333
103837.30728488135,-4252.593833248683,-33681.605743391505,-6814.793960918062,-1238.5424890819957,796.3321981610882,4.592530589,4.157469411,4.375
114604.64662449257,58966.83185320454,52643.449263371804,3496.8320399765726,2004.5538497820803,-15343.31501513246,1.294254321,1.050573265,1.172413793
-88873.05276727813,-30960.805138693446,27498.59865367598,-18527.619896110686,26734.77261870032,18422.181059831586,2.535804889,2.019750667,2.277777778
-190114.21770998178,696.2940500263633,1851.0884203247426,1792.722430736976,-1108.0768412824884,915.9344445941977,3.444807906,3.003467956,3.224137931
632550.9162240352,39636.76978400821,-1546.2932680190422,-8841.071951271402,-59048.29020220623,7900.235408918752,4.756993215,4.311972302,4.534482759
99947.85623601127,13076.836433395796,63898.76644908726,-50461.55092866694,-16799.147829659374,-15900.8554076376,1.284138137,1.015861863,1.15
-210255.53414176765,-10573.70538621543,18563.332851369112,5625.318761932652,-796.43181067651,-471.73915802919186,2.624756782,2.153020996,2.388888889
-63313.4957313171,-31773.935259830596,18946.931147272015,-7422.1391907532325,-448.5967558658868,-40924.31740471019,2.970983131,2.251239091,2.611111111
55361.81448633428,-18609.865335227787,-18114.74105412298,-3116.6409263805563,-627.5918344024471,269.332288959625,4.442228583,3.928141788,4.185185185
-162708.44575793852,-27985.137869967057,15460.286101805328,5042.935985794056,-66.87064208775543,257.4068548975775,2.558665314,1.941334686,2.25
-127985.57156894443,-15127.138577144942,-656.6106217225406,1280.3294223992211,-532.665744353606,1198.885534421341,3.653463529,3.070674402,3.362068966
