fe-1,fe-2,fe-3,fe-4,fe-5,fe-6,fe-7,fe-8,fe-9,fe-10,fe-11,fe-12,fe-13,fe-14,fe-15,fe-16,fe-17,fe-18,fe-19,fe-20,fe-21,fe-22,fe-23,fe-24,fe-25,fe-26,CIHigh,CILow,MOS
-96471.00174229167,20285.016700989643,-25410.006765650185,-7633.307763182693,-24941.318047789384,12721.70909130563,8548.169920031902,-301.50125283900815,-210.28209548363054,42.33793568723563,-2.3703887170182485,5.430859644478294,-0.3644762191572975,-0.8000090348804504,3.688072928432415,7.728801907553755,1.4801301603987864,15.028038704886981,-0.9939014462936173,9.48273913322389,-23.996269712210566,4.901344358655705,-16.451108323407546,-7.032567812665834,-4.145897638957081,5.96933746317449,3.824198457,3.329647696,3.576923077
-190899.2439090163,610.2798563107739,1825.222990436358,1789.7435154970585,-1099.5449269987275,938.60650548271,-11692.763481911301,374.4202958891354,-13.66597690365281,-20.577049629045916,3.5485003059438864,5.221299622697645,-2.2508080381863165,8.796475147274812,-10.58866705406645,-9.526729497854959,10.43298462636205,4.432457278886577,-6.258055172005756,-4.42620370183437,1.1904634809805432,14.891150614995333,3.233719808115367,-2.862012517922299,1.9922862505763579,2.3918539437913693,3.257015236,2.742984764,3.0
519840.3157679629,-13560.84445009943,-9573.809645649497,-2705.991167456868,-2616.548834204149,-10197.113459986236,-17831.151732468006,72.02086521463872,131.79221857418892,27.667316010369884,-32.72128731677436,-16.27663560622511,1.4223694269591325,10.428742839961972,-8.633628487600529,-2.1027410951963232,1.8341471340405013,2.1270773376666043,-2.3154080817250673,1.6888533856900139,-3.6088013600355024,-1.6306887131489443,-5.139481479238995,5.134421488999572,-0.5070597899614934,1.390689344795047,4.581469014,3.989959557,4.285714286
51809.71371273872,-9921.899265424965,-35785.16322192143,-7061.455555444046,-687.2164349687689,2388.225422557353,12668.3293660152,-274.95640628808815,-20.814828108237833,-35.924636247184694,14.692371868413693,1.2317877684323457,13.320668194218756,-6.321199327887578,-3.1857429741697714,7.218843708624249,1.8191010555258258,-1.1274670976775631,1.3977065899208376,3.849041824986399,0.7257648925521164,-4.656814559825591,-1.917305443438854,-1.1916863931713229,1.9510900359180043,-2.6483694516188696,4.672867535,4.18920143,4.431034483
650895.8927554617,9791.139173858155,-21798.100385055266,-6011.289906150011,-4101.712284666162,-12190.475770455292,-26349.654996957408,-117.94943480096485,134.23409769719214,7.278243139074147,-27.485834086339892,-24.15769323233049,10.229552524037596,16.653094330994293,-12.681794716547026,4.563911374536685,4.1531994021537955,4.572745454332382,-3.0627865672258796,-0.6490324536091563,-3.728604292750573,-5.615166533328459,-8.345625396381028,5.4250345792951,1.7129634453902798,2.3993785265916032,4.804087,4.368326794,4.586206897
-155985.79360999184,-27251.663447120587,15728.837560403337,5074.202109515408,-138.7197171767348,48.8199366147776,-6853.808260112995,461.36743040841,-156.27617829026383,-1.6974391872942336,-19.257780573866587,8.573076288410043,-8.890034888037558,1.8454905300677413,-0.7011063571165836,-10.29331733866867,-1.0176650324747485,-0.3312344187994068,-0.10173532442235668,1.3818760976970235,-2.1767890061473714,6.883968067411248,2.088640912920493,0.6703744957281468,-2.5999040394313027,-0.7886036494297886,3.653463529,3.070674402,3.362068966
-8572.136847605523,-16777.30341543761,3720.2476929080553,-11071.45957165624,-1125.2699902355303,-40598.872011907486,4146.316027632619,402.2112499375836,-224.27676462440687,-71.25589116354757,-35.79793448962951,-22.769802009595725,-17.923988479435387,-7.45255526144643,12.188556084301787,4.556204601456254,-2.071457344709363,3.7023204985419755,0.18014173191254548,2.853388593739887,-10.462605681284614,-3.245035971951539,-18.030813636397255,11.160711460689473,5.97541834942868,2.619150729472342,2.147725643,1.552274357,1.85
-178537.71721144035,11070.300380615558,-15281.928159228692,-2096.7924674018523,-1328.304412246622,2581.847779639428,-6092.918508220915,-531.1698491658427,-245.04798988078247,9.499050762039056,-25.109619045705895,10.451269755466138,4.441364872500543,5.46866140425816,-12.53719260613405,2.0880512290658615,0.8830053062217659,-1.091334622931675,3.4659406752978756,3.22291150416678,3.5861481327921902,3.9399389216714162,3.8732269691354215,-3.0566509752474227,0.8017528893470653,4.232157685379974,3.394160216,2.89155407,3.142857143
-4587.588432627546,47064.659999527,-11133.250748088816,-2744.8423203437196,37080.50173401844,-19604.60689361919,14047.280940940625,-419.8202341002618,535.5186392636726,-43.304578260839186,13.781650815541006,-18.946614014338678,-43.86425149178603,12.738761102752708,-5.522392051834872,22.93655159350547,-7.37752192583345,-29.94187873333199,-22.869023353482444,-7.159438659226618,1.6607991824985624,31.740474849228583,-1.0483561805023942,-27.01453980915556,35.14981887903,-7.409813727011946,1.384178612,1.098580009,1.24137931
-177088.98264742014,11232.90039240341,-15229.401396701012,-2091.6888881736463,-1344.1801453921385,2533.949006172241,-6278.294552055547,463.6840858649227,-209.25129845254367,7.879651855678834,-8.589135921696613,6.817128599645714,3.753507755835368,9.861613683193852,-11.495882827138132,-3.044135698123903,5.139000047596921,1.2109762466618335,1.6227210286044083,-0.5062864335170182,0.9525717279917904,7.380027084962913,2.8564649557203854,-2.003752662041393,-2.6854184239364454,5.69440928935995,3.324814232,2.847599561,3.086206897
50030.00805463147,-10113.997947689428,-35856.49758970947,-7070.235058568709,-668.2179192098758,2441.9449831014545,12881.30933145534,-274.7289561195757,139.77415770767027,-50.99456046293691,18.22368335511725,-0.6449472804797083,13.212484459588271,-7.152106607575557,-4.622596365659376,3.3436557885629887,4.010889704844745,-0.9177599275712272,0.5021269834121831,4.386049267903261,3.724954245487371,-1.1864713634057462,-0.1396768310488184,-5.986586592506014,1.3726891637218308,-2.1314615922074482,3.599130983,2.900869017,3.25
-125345.1197158572,-14842.065660352848,-550.0972767851983,1293.4060038201617,-560.8143237253919,1119.0146444204372,-3469.9147711157398,505.6260928158437,-147.99195626238537,3.592748318463675,-8.184548899598205,6.667883707125998,-3.827324206803026,3.3633932377782996,-4.1826537239017085,-6.369863832451656,1.403006926764741,-0.43980538673294917,0.004608831873689891,0.987175049126407,-0.9144742522735446,6.739491459417734,1.7003570317657943,0.6570473633292027,-3.0380327785638923,0.7548355502245034,3.954853907,3.366574665,3.660714286
-49001.25318178599,-48167.389711457756,12787.790589645396,4259.833315192675,673.1571690430083,-566.3248469977673,3515.6614387282066,611.432476442683,-44.63990682795722,-46.941621881059866,9.787047710165208,6.176204633819494,-6.933410818253452,-11.012630514277307,8.031942174614441,-6.734829222937442,-3.3424083111892418,-1.153944866042807,-5.149721000462563,-0.7903692223180373,-5.794290947731551,0.6074057157103943,-1.2292181314040067,5.609900930279799,1.1992160901958189,-5.076926711139593,3.453428328,2.925882017,3.189655172
347922.2314522346,-32285.958984764646,-16536.086150066345,-3524.2664239157684,-796.0985257861372,-4945.4073465635265,2571.058216945059,-525.2452499704598,117.82768750342164,73.28616828125328,-6.671407010943469,5.796977980256269,-3.132657302348404,-1.8873834047505855,-8.871732212342675,-0.04093926960609304,-1.2227543227016473,-5.073751608440655,0.1923630791712032,2.710356494359065,2.6805308287999243,-0.0495998491043504,0.6440132758763293,1.275452537878081,0.45969473297290075,-0.32227333979994055,4.785550297,4.325560814,4.555555556
-177783.06979999677,11158.491260562703,-15258.612051584296,-2095.377775984549,-1336.7929990089174,2555.110322481129,-6194.898005426859,464.26067965693,-163.3947492739107,2.924343586624733,-9.998929138268874,11.028159121951228,3.4192172620927384,5.095445803328517,-10.767324662841833,-4.829675312990496,3.149261679172721,-2.272408072505073,1.804523154452358,-0.8940790516466192,2.3516151979890627,10.253833112108612,1.1457007420453715,-2.4532426564064647,-4.958888158507826,6.223566960474198,2.653067263,2.154625045,2.403846154
