fe-1,fe-2,fe-3,fe-4,fe-5,CIHigh,CILow,MOS
-133621.51855550034,-15741.94881376909,-886.0939702987994,1253.631935480146,-472.5159351923888,3.574117983,3.046571672,3.310344828
-209904.49442154248,-10536.717689978579,18576.197263963804,5627.11976052659,-800.2962380504948,3.16710629,2.73289371,2.95
99683.43760109121,-42300.423726822504,14245.53303139634,60981.895871616,21091.36779595791,2.241733096,1.758266904,2.0
593669.3936262797,38771.48423230005,-18411.51396321783,51530.724333778286,15567.617637467756,2.156586714,1.73996501,1.948275862
-163371.80213962417,21798.278434605607,-32194.503462540142,-5952.868097631357,-1586.605781330866,3.421011653,2.986395754,3.203703704
386217.68630594574,-37229.051606066074,2618.1994183548413,603.0517451831025,-1103.792426418371,2.692561138,1.950296004,2.321428571
-88041.57726270011,7414.188617750516,-34175.465587756415,-6403.600322374291,-1151.1998484861103,3.94604759,3.313211669,3.62962963
309437.3201853751,89263.16899558528,43007.2117321492,496.28682142553464,-156.3431935612691,1.377270849,1.056062484,1.216666667
-180571.34847091231,45568.32806151449,-21891.4981009823,-4222.671994412118,13673.694870388374,1.592996662,1.240336671,1.416666667
240152.0435078191,-53137.78629283811,-3295.7383288445126,-92.14336902732381,443.10355435459047,3.469450144,2.923406999,3.196428571
444428.5558834333,-12702.360080300825,-30147.79783465296,-6991.559326821953,-1915.4145911830494,4.119839898,3.472752695,3.796296296
52139.936796535585,-9887.385123787406,-35769.55001414471,-7059.3168983880105,-690.7202763212031,4.655644914,4.137458535,4.396551724
330019.08740889956,-2390.3210830354105,3730.501430414137,-6352.70971033492,-55747.33795461213,4.717505416,4.282494584,4.5
11216.352421594613,-23418.286076153185,-19904.383547334797,-3326.8899592737107,-159.75319865798943,4.364099225,3.778757918,4.071428571
9555.796908238915,-23600.724802687677,-19966.818868024486,-3333.9196351852324,-142.07985766100418,3.431346944,2.747224484,3.089285714
435792.43342672393,85548.54065771635,20471.538438490814,14374.15793583914,280.20583106675394,1.363997599,1.102669068,1.233333333
-102559.46708534397,-3239.4872116982015,-17240.1279116829,-2545.7015760439817,-900.2663419025085,3.857237033,3.384142278,3.620689655
216089.4820807164,-23656.94236143989,20048.952872207086,-33869.248497493536,38890.543618746415,2.986568337,2.293431663,2.64
-196314.94908131604,9595.508776277944,3161.7653853085594,17493.760749667093,4146.381794015053,3.319639376,2.7838089,3.051724138
99227.65415197524,-4755.525827243192,-33862.49421533341,-6835.916160388156,-1189.5456986259214,4.386792309,3.909503987,4.148148148
344064.3178804673,22136.996948818713,46198.86596276824,-36004.348652115914,-17609.995609035937,3.075559963,2.385978499,2.730769231
-48589.14047019031,-48122.91316287443,12805.278004868826,4261.973145525502,668.7992030794253,3.799760206,3.165757036,3.482758621
-166880.55042359012,30994.27516391464,-30775.682622413493,9759.98800576872,3638.324367451975,3.523768328,2.976231672,3.25
-184052.13990181388,19156.951573615876,-9777.272752282588,-2871.8654300375224,-16308.653475035384,3.28166657,2.785000097,3.033333333
-170157.87200199743,-15009.3528336388,24267.122355162002,3818.4732466565033,-23867.429968744305,2.790403103,2.276263564,2.533333333
-182389.01502354722,45316.29406605401,-22849.53732877497,4182.857420048214,-11739.308752690966,1.868626477,1.476201109,1.672413793
-102740.13104542728,-3260.896836916465,-17240.388383106918,-2545.415784541498,-898.1551503660862,3.720526178,3.246140488,3.483333333
-191915.69020242392,27885.88916159355,-8528.711275313615,12819.668571447011,-11036.567994416484,2.518109498,1.948557169,2.233333333
-77647.1300255191,8549.65597416476,-33757.39842326649,-6355.23452582437,-1261.7264214197978,3.923636291,3.335622968,3.62962963
356237.2765391954,-8646.435842463303,22395.155366063293,-2283.474900412375,-55927.04339150923,2.486585659,1.977700056,2.232142857
-156359.61151131234,-27291.7133207277,15718.158086640726,5072.757504565785,-134.52922290833143,3.636244181,3.018928233,3.327586207
-155979.93954931005,-27251.67786510058,15730.91098740431,5074.575049129355,-138.75146089453182,3.462234023,3.020524597,3.24137931
-13707.497043380537,58250.551724472316,20111.226174822616,-697.5644623939747,443.3653528792357,1.467294188,1.153395467,1.310344828
-111511.39139821594,-4217.331928559445,-17600.55424979324,-2587.409710164179,-804.9756272806169,3.884859971,3.329425744,3.607142857
-5312.977245128216,36831.28296211206,65310.312310606714,6853.463406551072,3371.6306180590145,1.442300703,1.057699297,1.25
-213707.64668739526,-2212.9749811147617,25044.84985482244,-3553.0286881068546,9634.634542500542,2.576073139,2.123926861,2.35
-161757.64749986108,21975.32130728594,-32128.942917746466,-5945.490945369546,-1604.2225568119165,3.312221095,2.887778905,3.1
-77373.06945264204,-51259.12032247936,11640.2173382424,4125.327942557281,974.0574356792041,2.728559181,2.057155105,2.392857143
-101098.87213979196,6926.486666837634,47846.55527696795,-32033.438752514372,-11236.313187072077,1.424230754,1.075769246,1.25
234048.40473543812,-62878.92683894197,13983.423873550682,3807.0111722438105,604.8325400245677,4.392735837,3.814160715,4.103448276
-209627.37297721813,-10505.760635606248,18585.64541700583,5628.0757472613905,-803.2589349860149,3.060916712,2.639083288,2.85
43566.18165511445,3740.3625775691967,-14774.153173959794,35625.04043198761,12291.008255225483,4.625796982,4.159917303,4.392857143
634664.483301602,8022.255790935069,-22450.53590118049,-6087.790261845117,-3929.7544717290834,2.694792401,1.945207599,2.32
317597.8308897546,-3485.1645196996574,6551.012843513363,-37332.044985261775,37717.597820696814,2.746840825,2.218676416,2.482758621
-110981.10054968388,32011.896479447958,-28211.923480804813,11028.350826457014,6547.449936488521,1.513780279,1.186219721,1.35
10855.216251976,-32573.670933483714,-2311.673330919567,617.264188312147,-58.221278174171275,4.371789143,3.869590168,4.120689655
176344.48446837606,-1831.163162583018,41623.898310472854,27684.468121691192,58461.08654787913,1.965763382,1.498522332,1.732142857
-53392.246184110976,-18012.320848377076,11421.450224733195,-22287.368028365094,26262.639508326574,1.868626477,1.476201109,1.672413793
-190106.4398123922,695.2418077839003,1854.4766887904998,1793.5134807794284,-1108.1538674192661,3.448905722,2.930404623,3.189655172
-199001.39537297364,7083.478348272477,4253.3528993967,-3001.6457299083454,-1536.1411062196307,1.362669765,1.137330235,1.25
104026.95410753023,-45195.952669480546,29712.556585773033,445.47236054827704,-53158.88612357996,3.576319397,2.84034727,3.208333333
389190.7228423982,48615.37878434042,-2411.597529522696,16896.897913121884,55914.66786103366,3.95457961,3.30467965,3.62962963
97204.74851089483,-4979.34765011731,-33942.184207793274,-6844.768339544511,-1163.1774161852015,3.002162168,2.354980689,2.678571429
-51096.592935136534,-48395.261882625586,12707.192109727072,4250.245137720435,695.5568690292644,2.501572021,1.9811866,2.24137931
232965.8757405064,-62995.37501995606,13937.367352878307,3801.292839921063,616.2979909418392,4.400800178,3.806096374,4.103448276
-156881.11424114933,-27348.843342942262,15694.266962924527,5070.04463097132,-129.14398535935615,3.432505962,2.867494038,3.15
-182427.4743251619,17999.632582843675,-12689.932056567388,-6868.314591549629,-1810.6077569309234,3.014959093,2.449326621,2.732142857
-163813.6276533671,21749.166463268502,-32209.156319098332,-5954.3801859094965,-1581.8663141073237,3.551922047,3.103250367,3.327586207
446900.3969938461,-12433.825912072203,-30047.30609616074,-6979.597634437427,-1941.6121556189003,4.751477668,4.284236618,4.517857143
-162126.59825933375,-27921.841200338295,15479.956809281235,5045.304908306527,-73.20762136680932,3.380332715,2.964494871,3.172413793
-26717.79814592108,-36667.71102989084,-3831.7859878522977,438.9988270136124,340.07491335882,4.373132173,3.780713981,4.076923077
-133309.22184593455,-391.2137909853581,1612.3835811245367,26405.457462715796,7818.673712392976,3.669138913,3.145675902,3.407407407
-224695.900335193,12602.154994221592,33152.34357549869,-9109.307895661632,-5791.288493951796,1.659640274,1.271394209,1.465517241
-112286.88048184244,-10143.051270092552,28099.825686459873,40923.78622585456,-22708.151623864138,1.786571514,1.313428486,1.55
-132848.52508760942,-15660.234905786841,-854.948104355108,1257.8418659100967,-480.8777153142159,3.846189416,3.296667727,3.571428571
36943.090354561566,3017.0100441502964,-15034.833737703337,35594.793900844285,12361.32810078097,2.646890722,2.056812981,2.351851852
-210408.38766419824,-10589.186562058354,18558.332244465702,5624.45942695072,-794.6837346567423,3.051922047,2.603250367,2.827586207
-125529.47621402454,-14861.666654886032,-558.1294203759746,1292.3678462967316,-558.8546736010278,3.772468808,3.193048433,3.482758621
-161907.17682255633,21920.515098349653,-32060.32146225384,-5929.4985551779955,-1602.210853075124,3.460340236,2.987935627,3.224137931
-154254.64509202214,25077.723181466856,20528.219157763262,10455.16072140409,808.8603531026187,1.765816215,1.400850451,1.583333333
-111800.1137708097,-4246.227563053485,-17617.129714996507,-2589.8765208456875,-801.9620125553288,3.91045444,3.503338664,3.706896552
292511.23376993765,96535.42824215416,24718.941829645126,-3529.7606907587337,-74.62619586318999,1.471686809,0.994979857,1.233333333
-226955.4181620551,13200.058313845946,27993.982409482833,15770.41487728355,-10973.793713670835,1.945329132,1.488004202,1.716666667
127653.8428387956,-74467.57207966768,9674.147833917243,3300.6304375857558,1731.6418719080539,4.095679394,3.504320606,3.8
-141838.94618100804,-2659.5492558907654,9373.372055568649,-13444.599378969999,16246.947087980228,2.637035504,2.190550702,2.413793103
-131948.61699090266,36620.90727116526,3822.0895889542153,6616.6755206243415,474.70585917935665,1.74043084,1.328534677,1.534482759
-191644.61798483282,527.3264533813391,1790.4020473034727,1786.140292381058,-1091.358878248746,3.094947531,2.491259366,2.793103448
-199394.11838568616,8425.603062346123,8112.180355939138,-7412.285751959916,9386.859531616772,1.621677784,1.278322216,1.45
7075.798715895098,-32986.12210869014,-2460.141568730258,599.95241386004,-18.062285350257177,4.23399043,3.535240339,3.884615385
11221.217982546108,-23418.30674647262,-19902.251126885913,-3326.5308009935934,-159.77083719345373,4.549695967,4.021732605,4.285714286
507285.50717909075,-14926.957384405878,-10085.791488243276,-2765.42902434029,-2483.251782052817,3.044920759,2.339694626,2.692307692
185503.7219477989,66690.73377635101,55513.50537891947,3833.911673659059,1253.4162644204966,1.26447695,1.068856384,1.166666667
-133024.93531949088,-15677.97926695748,-864.322555255913,1256.4352792434863,-479.0073234344028,3.454788469,2.978544864,3.216666667
-140977.37820977552,32090.96842182973,5377.403919444278,-26187.681426883522,-8561.591152927358,1.552327478,1.206293212,1.379310345
194960.65869782018,76837.82761683241,38291.31280587769,-67.05957369946175,1055.8447228247303,1.543937516,1.222729151,1.383333333
-163367.94240929687,21797.332188097,-32191.989931114986,-5952.286664873455,-1586.6491469485018,3.369995498,2.880004502,3.125
305227.315778517,30128.480711947377,8409.690202032969,51344.89811167699,-36427.10278389811,3.764962853,3.028140595,3.396551724
-102390.9158285827,-3222.1749644431825,-17231.886545486264,-2544.516566664107,-902.051908798032,3.909399125,3.469911219,3.689655172
35595.50249867749,11943.183511004061,-32611.76894847518,31661.354451912197,12278.410294391759,2.405101776,1.828231558,2.116666667
-111409.41792087,7566.273027123514,-13194.476860767518,-10196.169546693836,-1645.6606475440158,3.388944946,2.921399882,3.155172414
-14347.637429978906,13297.012857944603,2132.1441083392674,-37660.141532212125,24478.08914988593,3.907056989,3.437770597,3.672413793
-177014.217744257,11238.411006793838,-15221.57818177109,-2090.2249609785135,-1344.959228521166,3.373239619,2.937105209,3.155172414
209985.06856173143,-33395.4521289397,37321.94436706752,-29971.37367067488,39052.22744962736,3.210241176,2.419388454,2.814814815
-208652.22729858168,-10399.324023761592,18628.078846873803,5632.927004532934,-814.0482311187341,3.228121605,2.771878395,3.0
-76506.38212192181,-51165.01145266417,11674.953404730008,4129.478498068343,964.8481689365133,3.849214939,3.150785061,3.5
-92459.2260630112,-34947.048352891965,17766.175586440233,-7561.171859070548,-139.3799452060171,2.728516741,2.054091954,2.391304348
-88033.83864729258,7413.186502285295,-34170.77181432894,-6402.681416194486,-1151.2144101683948,4.041123384,3.392209949,3.716666667
-181960.25102534852,-4327.707405874871,29675.370966957755,-17322.897583456164,15928.72216163436,1.91045444,1.503338664,1.706896552
-87866.50211970834,21410.747657304048,-23566.794347725576,-21060.931847099142,15479.21967235182,3.165961789,2.619752497,2.892857143
517257.14296162646,-13840.122740010105,-9681.205460207268,-2719.0481330726025,-2589.1847523657084,4.659037443,4.269533986,4.464285714
477412.6598567942,17033.31492832397,-5594.913974667617,54905.217950466875,16895.96554437425,2.686788331,2.05395241,2.37037037
