fe-1,fe-2,fe-3,fe-4,fe-5,fe-6,fe-7,CIHigh,CILow,MOS
-96471.00174229167,20285.016700989636,-25410.006765650036,-7633.307763182682,-24941.318047789602,12721.709091305675,8548.169920031756,3.824198457,3.329647696,3.576923077
-190899.2439090163,610.2798563107863,1825.2229904363353,1789.7435154970567,-1099.5449269987412,938.6065054827169,-11692.763481911048,3.257015236,2.742984764,3.0
519840.3157679629,-13560.84445009943,-9573.809645649471,-2705.9911674568716,-2616.5488342041813,-10197.113459986269,-17831.151732467624,4.581469014,3.989959557,4.285714286
51809.71371273872,-9921.899265424965,-35785.1632219212,-7061.455555444036,-687.2164349687744,2388.2254225573615,12668.329366014928,4.672867535,4.18920143,4.431034483
650895.8927554617,9791.139173858144,-21798.100385055106,-6011.289906150001,-4101.712284666196,-12190.475770455338,-26349.65499695683,4.804087,4.368326794,4.586206897
-155985.79360999184,-27251.663447120576,15728.837560403235,5074.202109515404,-138.71971717672508,48.81993661477778,-6853.808260112862,3.653463529,3.070674402,3.362068966
-8572.136847605523,-16777.303415437607,3720.2476929080312,-11071.459571656242,-1125.2699902355419,-40598.87201190762,4146.316027632517,2.147725643,1.552274357,1.85
-178537.71721144035,11070.300380615558,-15281.9281592286,-2096.792467401873,-1328.3044122466326,2581.8477796394377,-6092.918508220786,3.394160216,2.89155407,3.142857143
-4587.588432627546,47064.659999527,-11133.250748088763,-2744.842320343729,37080.50173401873,-19604.60689361926,14047.280940940314,1.384178612,1.098580009,1.24137931
-177088.98264742014,11232.900392403404,-15229.401396700918,-2091.688888173644,-1344.180145392152,2533.949006172249,-6278.2945520554085,3.324814232,2.847599561,3.086206897
50030.00805463147,-10113.997947689431,-35856.49758970925,-7070.235058568703,-668.2179192098805,2441.9449831014576,12881.309331455068,3.599130983,2.900869017,3.25
-125345.11971585719,-14842.065660352848,-550.0972767851952,1293.4060038201608,-560.8143237253954,1119.0146444204418,-3469.914771115665,3.954853907,3.366574665,3.660714286
-49001.25318178599,-48167.389711457756,12787.790589645316,4259.833315192672,673.1571690430179,-566.3248469977686,3515.6614387281284,3.453428328,2.925882017,3.189655172
347922.2314522346,-32285.958984764646,-16536.08615006624,-3524.266423915766,-796.0985257861425,-4945.407346563545,2571.058216945003,4.785550297,4.325560814,4.555555556
-177783.06979999677,11158.491260562703,-15258.6120515842,-2095.3777759845466,-1336.79299900893,2555.110322481139,-6194.898005426723,2.653067263,2.154625045,2.403846154
246964.0374885817,-52400.00887065795,-3015.741064150102,-58.3452346159249,370.8824600001456,-3879.523277206777,7489.697329852521,4.518530885,4.014802449,4.266666667
-196930.49038238882,7262.109974575497,4406.180802819027,-2973.7771147002422,-1557.8801195258936,-15573.846834168573,-11654.291105016175,3.107115012,2.596588692,2.851851852
-120360.2144303606,10134.50442207424,-15464.959965841343,22522.003356326393,7584.076690910297,2545.447962683989,3576.8105060879398,3.531309226,3.020414912,3.275862069
26676.551301628886,71718.91671086635,4229.979698131626,-4431.085218514419,-81.87415521820131,-7518.3071507821405,12531.620564010846,1.56564417,1.167689163,1.366666667
-109808.71505541114,44567.060068264735,-10893.211824471675,-29969.390003569777,-8989.83835806296,-2091.0220715747246,6185.938134344438,1.642556938,1.324109728,1.483333333
127680.37018159019,-74465.57785864937,9678.06529616618,3301.2615358673143,1731.4262025125197,-2244.797075318438,14615.808687430628,4.257197985,3.639353739,3.948275862
-78041.96969912767,8500.943727850196,-33760.37683867955,-6354.432048003848,-1257.3884957062978,3695.594322229535,4991.557092448287,3.991799552,3.401057591,3.696428571
389387.71817667887,-36882.76969918208,2743.7034035294614,617.6026820572098,-1137.400289442554,-8230.064661035858,-9411.703603528247,4.766305092,4.305123479,4.535714286
417683.2830620285,16487.851371331006,-6916.163849700199,-40782.24172460879,36560.34741932762,21398.048467172608,-5700.180107221,3.0643401,2.528252492,2.796296296
-208656.1098366185,-10399.0875650695,18626.088821366473,5632.565155430349,-814.0445660093429,-524.1586296290544,-16607.51964649696,3.109396031,2.640603969,2.875
246964.02876949642,-52399.61725118453,-3015.3419901188454,-58.39018601238545,370.927839949863,-3879.716124956484,7490.172924951448,4.586922149,4.190855629,4.388888889
102995.0970990122,-4346.599785653932,-33710.4289695772,-6817.721536319807,-1229.5585895470592,821.3302906853355,6582.007430683311,3.658971212,3.055314503,3.357142857
-126571.56289184799,21905.741775528644,1497.0751847929537,-18507.148546626126,-7891.28323972436,23158.03715155353,2067.5690766957146,3.665622055,3.092998635,3.379310345
-190387.45954142022,665.1960614792381,1843.7495985844016,1792.1233377805077,-1105.111349402147,923.7206345796967,-11754.647097310837,3.249159055,2.784174278,3.016666667
39461.281555976595,-2386.850800715415,-12023.367783600734,-14807.112479390908,-1732.4989812932495,-40039.979424645324,5534.497320894372,3.09915415,2.442512516,2.770833333
-186353.74250343902,17582.125847963045,-12842.859811632186,-6888.575992448614,-1768.0394627314295,-13880.584254547399,-5831.029140736923,1.529546306,1.23712036,1.383333333
-208889.8106872934,-10423.582690035417,18617.653682086573,5631.3508979849385,-811.4602819866963,-517.5143993569669,-16578.644108299406,3.24043084,2.828534677,3.034482759
-56563.32933247326,26534.509733066774,29185.676392477784,14663.104679991779,2252.0243166514474,31809.277535132136,9714.00374710224,1.400678788,1.15104535,1.275862069
-42560.93726866816,-17115.22424664178,9567.33244419241,-1471.200548771027,-36337.382427541575,14297.313313970766,11842.383212632163,2.55951845,1.976195836,2.267857143
-96939.31772145323,20225.548858060745,-25415.29105191457,-7637.818170149554,-24937.63968180439,12734.0389780594,8601.381425464659,3.809449298,3.362964496,3.586206897
-172152.59757377667,37771.62475972002,-28242.299657275245,4981.912067224191,3171.1217401205336,-12579.303577309012,-147.0685513547326,2.137035504,1.690550702,1.913793103
-26583.5577948773,-36651.06543421778,-3830.566155434161,438.7254040794463,338.6251101858354,759.8184224999311,7893.891358902078,4.329362543,3.770637457,4.05
-178650.8719795676,11062.867833753819,-15292.76671047923,-2099.0966993446027,-1327.040045268868,2585.581610963561,-6075.260097746831,3.348464581,2.85843197,3.103448276
-178608.71097964683,11062.663455784372,-15284.6816066873,-2097.135890019163,-1327.5456114847755,2583.953693297259,-6084.385032158222,3.430356437,3.002976896,3.216666667
-169722.03455831646,-13433.490739748273,17659.610353131913,30159.948972785995,8302.286396112791,32.459196883205806,-4641.716924839992,3.12457995,2.57542005,2.85
-26576.70746470073,-36651.45092160535,-3828.9450625180134,439.1611558313971,338.51753964309023,759.5435675292084,7892.070411739631,4.225768921,3.636300045,3.931034483
-133621.51855550034,-15741.948813769088,-886.0939702987939,1253.6319354801367,-472.51593519239304,1375.4164908713544,-2469.2637255959426,3.574117983,3.046571672,3.310344828
-209904.49442154248,-10536.717689978574,18576.19726396369,5627.119760526549,-800.2962380505089,-481.8218730203452,-16443.371874303135,3.16710629,2.73289371,2.95
99683.43760109121,-42300.42372682248,14245.53303139625,60981.89587161558,21091.367795958064,-2400.064229556952,19193.18641899293,2.241733096,1.758266904,2.0
593669.3936262797,38771.48423230005,-18411.513963217723,51530.72433377795,15567.617637467867,-11453.93014687067,-18307.428344635406,2.156586714,1.73996501,1.948275862
-163371.80213962417,21798.2784346056,-32194.50346253994,-5952.868097631317,-1586.6057813308732,4125.138040600661,-871.096261052917,3.421011653,2.986395754,3.203703704
386217.68630594574,-37229.051606066074,2618.199418354825,603.0517451830982,-1103.792426418379,-8133.750324520173,-9036.468176120623,2.692561138,1.950296004,2.321428571
-88041.57726270011,7414.188617750512,-34175.465587756196,-6403.600322374249,-1151.1998484861122,4006.6307589785492,6196.011654332357,3.94604759,3.313211669,3.62962963
309437.3201853751,89263.16899558525,43007.21173214893,496.2868214255277,-156.3431935612838,-19288.127176016387,2063.133315179711,1.377270849,1.056062484,1.216666667
-180571.34847091231,45568.32806151448,-21891.498100982168,-4222.671994412084,13673.694870388497,-5131.278872553548,-839.6712968922932,1.592996662,1.240336671,1.416666667
240152.0435078191,-53137.7862928381,-3295.738328844491,-92.14336902732222,443.1035543545996,-3671.6340995818746,8301.20719000558,3.469450144,2.923406999,3.196428571
444428.5558834333,-12702.360080300821,-30147.79783465277,-6991.559326821906,-1915.4145911830572,-5885.682971936129,-1854.8103191976002,4.119839898,3.472752695,3.796296296
52139.936796535585,-9887.385123787404,-35769.550014144486,-7059.3168983879605,-690.7202763211988,2377.9619874096015,12627.966801172855,4.655644914,4.137458535,4.396551724
330019.08740889956,-2390.321083035422,3730.501430414122,-6352.709710334905,-55747.33795461263,15132.127615672509,7696.05878571209,4.717505416,4.282494584,4.5
11216.352421594613,-23418.286076153177,-19904.383547334673,-3326.8899592736866,-159.75319865798454,1621.3306183993802,10462.343616715529,4.364099225,3.778757918,4.071428571
9555.796908238915,-23600.724802687673,-19966.81886802436,-3333.9196351852092,-142.07985766099924,1671.2436655699603,10658.28589566685,3.431346944,2.747224484,3.089285714
435792.43342672393,85548.54065771632,20471.538438490687,14374.157935839046,280.205831066739,39364.373070342204,-3719.2909475075926,1.363997599,1.102669068,1.233333333
-102559.46708534397,-3239.4872116982006,-17240.127911682794,-2545.701576043965,-900.2663419025131,2439.497711488842,882.9946881068886,3.857237033,3.384142278,3.620689655
216089.4820807164,-23656.942361439887,20048.952872206955,-33869.248497493274,38890.543618746764,23529.523560840255,4136.7462435401285,2.986568337,2.293431663,2.64
-196314.94908131604,9595.508776277946,3161.765385308537,17493.760749666973,4146.3817940150775,833.4866999164866,-10676.25915849318,3.319639376,2.7838089,3.051724138
99227.65415197524,-4755.525827243191,-33862.4942153332,-6835.916160388108,-1189.5456986259214,935.8738712843497,7030.3016892722135,4.386792309,3.909503987,4.148148148
344064.3178804673,22136.996948818694,46198.86596276796,-36004.348652115674,-17609.995609036087,39153.56283517959,-8098.219923997327,3.075559963,2.385978499,2.730769231
-48589.14047019031,-48122.913162874414,12805.278004868745,4261.973145525473,668.7992030794302,-578.9998940271148,3466.4788485305503,3.799760206,3.165757036,3.482758621
-166880.55042359012,30994.275163914637,-30775.6826224133,9759.988005768651,3638.3243674520045,3951.8807625749773,-112.2610429658385,3.523768328,2.976231672,3.25
-184052.13990181388,19156.951573615865,-9777.272752282523,-2871.8654300375115,-16308.653475035528,8076.325763280205,-4610.20302384679,3.28166657,2.785000097,3.033333333
-170157.87200199743,-15009.352833638806,24267.12235516185,3818.4732466564637,-23867.42996874452,8942.576401372537,-3805.393922528405,2.790403103,2.276263564,2.533333333
-182389.01502354722,45316.294066054,-22849.53732877483,4182.857420048177,-11739.30875269107,-6948.161866914637,2120.738012133381,1.868626477,1.476201109,1.672413793
-102740.13104542728,-3260.896836916464,-17240.38838310681,-2545.4157845414807,-898.1551503660891,2443.771138859451,903.6443111187187,3.720526178,3.246140488,3.483333333
-191915.69020242392,27885.88916159354,-8528.71127531356,12819.668571446919,-11036.56799441659,8036.7136406434565,-3312.80134662688,2.518109498,1.948557169,2.233333333
-77647.1300255191,8549.65597416476,-33757.39842326627,-6355.234525824328,-1261.7264214198017,3685.2650173063016,4948.850848655253,3.923636291,3.335622968,3.62962963
356237.2765391954,-8646.435842463314,22395.15536606315,-2283.4749004123864,-55927.04339150971,12311.989193696143,-2476.9663424299383,2.486585659,1.977700056,2.232142857
-156359.61151131234,-27291.71332072769,15718.158086640626,5072.75750456575,-134.52922290833558,58.97966703949546,-6808.125064963854,3.636244181,3.018928233,3.327586207
-155979.93954931005,-27251.677865100577,15730.91098740421,5074.575049129319,-138.7514608945374,48.35510017481843,-6854.922636002719,3.462234023,3.020524597,3.24137931
-13707.497043380537,58250.551724472294,20111.226174822492,-697.5644623939719,443.36535287923425,-8291.012199422697,10305.111796286348,1.467294188,1.153395467,1.310344828
-111511.39139821594,-4217.331928559444,-17600.55424979313,-2587.409710164161,-804.975627280621,2716.9501721213987,1959.5593662445488,3.884859971,3.329425744,3.607142857
-5312.977245128216,36831.28296211205,65310.312310606314,6853.463406551021,3371.6306180590286,-13688.68551919661,25364.605778042092,1.442300703,1.057699297,1.25
