fe-1,fe-2,fe-3,fe-4,fe-5,fe-6,fe-7,fe-8,CIHigh,CILow,MOS
-169722.03455831646,-13433.490739748286,17659.610353131953,30159.948972786344,8302.286396112822,32.45919688320831,-4641.716924840103,-504.70555039929826,3.12457995,2.57542005,2.85
-26576.707464700725,-36651.45092160538,-3828.9450625180225,439.1611558314019,338.5175396430907,759.5435675292143,7892.070411739814,-323.5797512031296,4.225768921,3.636300045,3.931034483
-133621.51855550037,-15741.948813769099,-886.0939702987948,1253.6319354801515,-472.5159351923931,1375.416490871361,-2469.263725596,-478.25061530376166,3.574117983,3.046571672,3.310344828
-209904.49442154253,-10536.717689978586,18576.19726396374,5627.119760526616,-800.2962380505069,-481.82187302035106,-16443.371874303517,-690.3004934099882,3.16710629,2.73289371,2.95
99683.43760109121,-42300.42372682252,14245.533031396288,60981.8958716163,21091.367795958133,-2400.0642295569505,19193.18641899337,-181.4331989358042,2.241733096,1.758266904,2.0
593669.3936262797,38771.484232300085,-18411.513963217767,51530.72433377855,15567.617637467913,-11453.930146870727,-18307.428344635835,13.285176311082733,2.156586714,1.73996501,1.948275862
-163371.80213962417,21798.278434605625,-32194.503462540022,-5952.868097631387,-1586.60578133088,4125.138040600682,-871.0962610529352,-451.0334297576301,3.421011653,2.986395754,3.203703704
386217.68630594574,-37229.0516060661,2618.1994183548322,603.0517451831063,-1103.7924264183823,-8133.750324520218,-9036.468176120834,266.7389531199698,2.692561138,1.950296004,2.321428571
-88041.57726270011,7414.188617750521,-34175.465587756284,-6403.6003223743255,-1151.199848486119,4006.63075897857,6196.011654332502,-347.7228541633186,3.94604759,3.313211669,3.62962963
309437.32018537517,89263.16899558532,43007.21173214906,496.2868214255367,-156.34319356128435,-19288.127176016485,2063.133315179758,239.13091331240153,1.377270849,1.056062484,1.216666667
-180571.34847091234,45568.32806151452,-21891.498100982222,-4222.671994412135,13673.694870388537,-5131.27887255357,-839.6712968923135,468.727235739976,1.592996662,1.240336671,1.416666667
240152.0435078191,-53137.78629283814,-3295.7383288444967,-92.14336902732325,443.10355435459917,-3671.6340995818914,8301.20719000577,-393.6819412526386,3.469450144,2.923406999,3.196428571
444428.5558834333,-12702.360080300832,-30147.797834652843,-6991.559326821988,-1915.414591183066,-5885.682971936162,-1854.8103191976418,-635.5127643896592,4.119839898,3.472752695,3.796296296
52139.936796535585,-9887.38512378741,-35769.55001414458,-7059.316898388043,-690.7202763212075,2377.961987409616,12627.966801173154,-275.20756701928735,4.655644914,4.137458535,4.396551724
330019.0874088996,-2390.32108303543,3730.5014304141177,-6352.709710334965,-55747.3379546128,15132.127615672576,7696.058785712278,-419.2541508002419,4.717505416,4.282494584,4.5
11216.352421594613,-23418.286076153196,-19904.383547334724,-3326.889959273726,-159.7531986579872,1621.330618399391,10462.343616715772,-295.47671987109356,4.364099225,3.778757918,4.071428571
9555.796908238915,-23600.724802687688,-19966.818868024406,-3333.919635185249,-142.07985766100188,1671.2436655699712,10658.285895667097,-293.31063179551404,3.431346944,2.747224484,3.089285714
435792.43342672393,85548.5406577164,20471.538438490734,14374.157935839208,280.20583106674,39364.37307034241,-3719.2909475076754,390.634811087021,1.363997599,1.102669068,1.233333333
-102559.46708534396,-3239.487211698198,-17240.127911682837,-2545.7015760439954,-900.2663419025158,2439.497711488854,882.9946881069102,568.3023886463213,3.857237033,3.384142278,3.620689655
216089.48208071644,-23656.942361439917,20048.952872207006,-33869.24849749368,38890.543618746866,23529.523560840385,4136.746243540223,-372.5111937526919,2.986568337,2.293431663,2.64
-196314.94908131598,9595.508776277957,3161.7653853085462,17493.76074966718,4146.381794015096,833.48669991649,-10676.259158493429,-607.6863165636845,3.319639376,2.7838089,3.051724138
99227.65415197522,-4755.525827243192,-33862.49421533329,-6835.916160388188,-1189.5456986259287,935.8738712843551,7030.301689272378,609.4672945028051,4.386792309,3.909503987,4.148148148
344064.3178804672,22136.99694881871,46198.86596276806,-36004.348652116096,-17609.99560903614,39153.562835179786,-8098.219923997507,394.5488648288255,3.075559963,2.385978499,2.730769231
-48589.140470190294,-48122.91316287445,12805.278004868776,4261.973145525523,668.7992030794336,-578.999894027117,3466.478848530629,610.419437223231,3.799760206,3.165757036,3.482758621
-166880.55042359012,30994.275163914663,-30775.682622413373,9759.988005768766,3638.3243674520163,3951.880762574999,-112.26104296583999,554.1667178055887,3.523768328,2.976231672,3.25
-184052.13990181385,19156.951573615883,-9777.27275228255,-2871.8654300375433,-16308.653475035575,8076.325763280242,-4610.203023846893,-505.3823183886214,3.28166657,2.785000097,3.033333333
-170157.87200199743,-15009.352833638819,24267.122355161908,3818.4732466565133,-23867.429968744585,8942.576401372577,-3805.3939225284917,-479.7599776257394,2.790403103,2.276263564,2.533333333
-182389.01502354728,45316.29406605404,-22849.537328774888,4182.857420048231,-11739.308752691106,-6948.161866914677,2120.738012133432,-502.04358009673166,1.868626477,1.476201109,1.672413793
-102740.1310454273,-3260.8968369164663,-17240.388383106856,-2545.4157845415107,-898.1551503660933,2443.7711388594635,903.6443111187406,564.9472035070654,3.720526178,3.246140488,3.483333333
-191915.69020242395,27885.88916159356,-8528.711275313584,12819.668571447071,-11036.567994416619,8036.713640643494,-3312.8013466269554,-511.2055008703624,2.518109498,1.948557169,2.233333333
-77647.1300255191,8549.655974164765,-33757.39842326636,-6355.234525824401,-1261.7264214198071,3685.2650173063207,4948.850848655369,625.6334578693965,3.923636291,3.335622968,3.62962963
356237.2765391954,-8646.435842463325,22395.15536606321,-2283.4749004124055,-55927.04339150988,12311.989193696192,-2476.966342429989,397.7494867251508,2.486585659,1.977700056,2.232142857
