fe-1,fe-2,fe-3,fe-4,fe-5,fe-6,fe-7,fe-8,fe-9,fe-10,fe-11,fe-12,fe-13,CIHigh,CILow,MOS
-96471.00174229167,20285.01670098962,-25410.006765650025,-7633.307763182703,-24941.318047789468,12721.709091305578,8548.16992003203,-301.50125284133634,-210.28209548942502,42.33793568811781,-2.3703887115339732,5.430859637955248,-0.36447621937038444,3.824198457,3.329647696,3.576923077
-190899.2439090163,610.2798563107829,1825.222990436346,1789.7435154970638,-1099.5449269987269,938.606505482707,-11692.763481911377,374.4202958918009,-13.665976904026463,-20.577049629474732,3.548500297690766,5.2212996164344805,-2.250808039413234,3.257015236,2.742984764,3.0
519840.3157679629,-13560.844450099417,-9573.809645649439,-2705.9911674568843,-2616.548834204167,-10197.113459986214,-17831.151732468123,72.02086521514805,131.79221857778748,27.6673160109466,-32.721287240673526,-16.276635586701698,1.422369427734123,4.581469014,3.989959557,4.285714286
51809.71371273872,-9921.899265424954,-35785.16322192121,-7061.455555444079,-687.2164349687707,2388.2254225573474,12668.329366015285,-274.9564062900431,-20.814828108805003,-35.924636247932725,14.692371834243533,1.2317877669550306,13.320668201479954,4.672867535,4.18920143,4.431034483
650895.8927554617,9791.139173858133,-21798.10038505513,-6011.289906150023,-4101.712284666173,-12190.475770455276,-26349.654996957568,-117.94943480180868,134.2340977008575,7.278243139226542,-27.485834022415382,-24.157693203353844,10.22955252961326,4.804087,4.368326794,4.586206897
-155985.79360999184,-27251.663447120554,15728.83756040324,5074.202109515428,-138.7197171767027,48.8199366147775,-6853.80826011304,461.36743041169433,-156.27617829453237,-1.6974391873296029,-19.25778052907824,8.57307627812652,-8.89003489288354,3.653463529,3.070674402,3.362068966
-8572.136847605523,-16777.303415437593,3720.2476929080344,-11071.459571656294,-1125.2699902355494,-40598.872011907384,4146.316027632619,402.211249940445,-224.27676463053285,-71.2558911650295,-35.797934406373294,-22.76980198228401,-17.923988489206124,2.147725643,1.552274357,1.85
-178537.71721144035,11070.300380615548,-15281.928159228599,-2096.7924674018604,-1328.3044122466256,2581.8477796394222,-6092.91850822095,-531.169849169623,-245.0479898874742,9.499050762236742,-25.109618987306757,10.451269742930194,4.441364874921763,3.394160216,2.89155407,3.142857143
-4587.588432627546,47064.65999952695,-11133.25074808876,-2744.8423203437583,37080.50173401852,-19604.60689361914,14047.280940940691,-419.8202341032563,535.5186392782974,-43.3045782617428,13.781650783487764,-18.946613991613546,-43.86425151569615,1.384178612,1.098580009,1.24137931
-177088.98264742014,11232.900392403397,-15229.401396700916,-2091.6888881736527,-1344.1801453921457,2533.949006172232,-6278.294552055583,463.68408586822784,-209.25129845825808,7.879651855842951,-8.589135901720178,6.817128591468632,3.753507757881522,3.324814232,2.847599561,3.086206897
50030.00805463147,-10113.997947689417,-35856.497589709244,-7070.235058568735,-668.2179192098871,2441.944983101446,12881.30933145543,-274.7289561215297,139.7741577114886,-50.99456046399867,18.223683312734032,-0.6449472797060195,13.212484466790473,3.599130983,2.900869017,3.25
