fe-1,fe-2,CIHigh,CILow,MOS
-26583.5577948773,-36651.06543421774,4.329362543,3.770637457,4.05
-178650.8719795676,11062.86783375381,3.348464581,2.85843197,3.103448276
-178608.71097964683,11062.663455784363,3.430356437,3.002976896,3.216666667
-169722.03455831646,-13433.490739748268,3.12457995,2.57542005,2.85
-26576.707464700725,-36651.45092160531,4.225768921,3.636300045,3.931034483
-133621.51855550037,-15741.948813769075,3.574117983,3.046571672,3.310344828
-209904.49442154253,-10536.717689978566,3.16710629,2.73289371,2.95
99683.43760109121,-42300.423726822446,2.241733096,1.758266904,2.0
593669.3936262797,38771.48423230003,2.156586714,1.73996501,1.948275862
-163371.80213962417,21798.278434605585,3.421011653,2.986395754,3.203703704
386217.68630594574,-37229.05160606604,2.692561138,1.950296004,2.321428571
-88041.57726270011,7414.188617750512,3.94604759,3.313211669,3.62962963
309437.32018537517,89263.16899558516,1.377270849,1.056062484,1.216666667
-180571.34847091234,45568.32806151443,1.592996662,1.240336671,1.416666667
240152.0435078191,-53137.786292838035,3.469450144,2.923406999,3.196428571
444428.5558834333,-12702.360080300805,4.119839898,3.472752695,3.796296296
52139.936796535585,-9887.385123787393,4.655644914,4.137458535,4.396551724
330019.0874088996,-2390.3210830354183,4.717505416,4.282494584,4.5
11216.352421594613,-23418.286076153156,4.364099225,3.778757918,4.071428571
9555.796908238915,-23600.724802687648,3.431346944,2.747224484,3.089285714
435792.43342672393,85548.54065771624,1.363997599,1.102669068,1.233333333
-102559.46708534396,-3239.487211698193,3.857237033,3.384142278,3.620689655
216089.48208071644,-23656.942361439873,2.986568337,2.293431663,2.64
-196314.94908131598,9595.508776277937,3.319639376,2.7838089,3.051724138
99227.65415197522,-4755.52582724318,4.386792309,3.909503987,4.148148148
344064.3178804672,22136.99694881867,3.075559963,2.385978499,2.730769231
-48589.140470190294,-48122.91316287437,3.799760206,3.165757036,3.482758621
-166880.55042359012,30994.275163914608,3.523768328,2.976231672,3.25
-184052.13990181385,19156.95157361585,3.28166657,2.785000097,3.033333333
-170157.87200199743,-15009.352833638794,2.790403103,2.276263564,2.533333333
-182389.01502354728,45316.29406605396,1.868626477,1.476201109,1.672413793
-102740.1310454273,-3260.8968369164613,3.720526178,3.246140488,3.483333333
-191915.69020242395,27885.889161593517,2.518109498,1.948557169,2.233333333
-77647.1300255191,8549.65597416475,3.923636291,3.335622968,3.62962963
356237.2765391954,-8646.435842463305,2.486585659,1.977700056,2.232142857
-156359.61151131234,-27291.713320727664,3.636244181,3.018928233,3.327586207
-155979.93954931005,-27251.677865100548,3.462234023,3.020524597,3.24137931
-13707.49704338054,58250.551724472236,1.467294188,1.153395467,1.310344828
-111511.39139821591,-4217.331928559439,3.884859971,3.329425744,3.607142857
-5312.977245128216,36831.282962112,1.442300703,1.057699297,1.25
-213707.64668739523,-2212.97498111476,2.576073139,2.123926861,2.35
-161757.64749986108,21975.32130728592,3.312221095,2.887778905,3.1
-77373.06945264204,-51259.12032247928,2.728559181,2.057155105,2.392857143
-101098.87213979197,6926.486666837616,1.424230754,1.075769246,1.25
234048.40473543818,-62878.92683894188,4.392735837,3.814160715,4.103448276
-209627.37297721815,-10505.760635606237,3.060916712,2.639083288,2.85
43566.18165511445,3740.3625775691985,4.625796982,4.159917303,4.392857143
634664.4833016021,8022.255790935069,2.694792401,1.945207599,2.32
317597.83088975464,-3485.1645196996533,2.746840825,2.218676416,2.482758621
-110981.10054968385,32011.896479447925,1.513780279,1.186219721,1.35
10855.216251976,-32573.670933483678,4.371789143,3.869590168,4.120689655
176344.484468376,-1831.163162583012,1.965763382,1.498522332,1.732142857
-53392.24618411097,-18012.320848377058,1.868626477,1.476201109,1.672413793
-190106.4398123921,695.2418077839002,3.448905722,2.930404623,3.189655172
-199001.3953729736,7083.478348272469,1.362669765,1.137330235,1.25
104026.95410753023,-45195.9526694805,3.576319397,2.84034727,3.208333333
389190.72284239816,48615.37878434036,3.95457961,3.30467965,3.62962963
97204.74851089483,-4979.347650117297,3.002162168,2.354980689,2.678571429
-51096.59293513654,-48395.26188262552,2.501572021,1.9811866,2.24137931
232965.8757405064,-62995.37501995599,4.400800178,3.806096374,4.103448276
-156881.11424114933,-27348.84334294223,3.432505962,2.867494038,3.15
-182427.4743251619,17999.63258284365,3.014959093,2.449326621,2.732142857
-163813.62765336706,21749.16646326848,3.551922047,3.103250367,3.327586207
446900.3969938462,-12433.825912072187,4.751477668,4.284236618,4.517857143
