fe-1,fe-2,fe-3,fe-4,fe-5,fe-6,fe-7,fe-8,fe-9,fe-10,CIHigh,CILow,MOS
-96471.00174229167,20285.016700989647,-25410.00676565013,-7633.30776318273,-24941.318047789733,12721.709091305554,8548.16992003196,-301.50125283978036,-210.28209548612168,42.33793566562979,3.824198457,3.329647696,3.576923077
-190899.2439090163,610.279856310774,1825.2229904363546,1789.7435154970674,-1099.5449269987412,938.6065054827079,-11692.763481911355,374.4202958899753,-13.665976903814197,-20.577049618606967,3.257015236,2.742984764,3.0
519840.3157679629,-13560.844450099432,-9573.809645649479,-2705.9911674568807,-2616.5488342041967,-10197.113459986187,-17831.151732468094,72.02086521479843,131.79221857574586,27.66731599632995,4.581469014,3.989959557,4.285714286
51809.71371273872,-9921.899265424965,-35785.163221921364,-7061.455555444079,-687.2164349687786,2388.225422557342,12668.329366015254,-274.95640628870353,-20.814828108483542,-35.924636228954576,4.672867535,4.18920143,4.431034483
650895.8927554617,9791.139173858133,-21798.100385055226,-6011.289906150039,-4101.71228466621,-12190.475770455258,-26349.654996957506,-117.94943480123179,134.234097698778,7.2782431353795465,4.804087,4.368326794,4.586206897
-155985.79360999184,-27251.663447120594,15728.837560403308,5074.202109515443,-138.7197171767476,48.81993661476855,-6853.80826011304,461.3674304094448,-156.27617829210936,-1.6974391864346732,3.653463529,3.070674402,3.362068966
-8572.136847605523,-16777.30341543762,3720.2476929080503,-11071.459571656293,-1125.2699902355541,-40598.87201190731,4146.316027632638,402.2112499384849,-224.27676462705597,-71.25589112739524,2.147725643,1.552274357,1.85
-178537.71721144035,11070.300380615558,-15281.928159228664,-2096.7924674018623,-1328.3044122466297,2581.847779639417,-6092.918508220939,-531.1698491670335,-245.04798988367716,9.499050757221656,3.394160216,2.89155407,3.142857143
-4587.588432627546,47064.65999952701,-11133.250748088803,-2744.842320343737,37080.50173401896,-19604.606893619108,14047.280940940682,-419.82023410120775,535.5186392699984,-43.304578238872594,1.384178612,1.098580009,1.24137931
-177088.98264742014,11232.90039240341,-15229.401396700981,-2091.688888173657,-1344.1801453921564,2533.949006172227,-6278.294552055573,463.68408586596524,-209.25129845501579,7.8796518516819605,3.324814232,2.847599561,3.086206897
