fe-1,fe-2,fe-3,fe-4,fe-5,fe-6,fe-7,fe-8,fe-9,fe-10,fe-11,fe-12,fe-13,fe-14,CIHigh,CILow,MOS
-96471.00174229167,20285.016700989654,-25410.00676565012,-7633.307763182692,-24941.318047789733,12721.709091305444,8548.16992003192,-301.5012528424502,-210.2820954863075,42.337935683713724,-2.370388712604575,5.430859673113714,-0.3644762190099489,-0.8000090350656919,3.824198457,3.329647696,3.576923077
-190899.2439090163,610.2798563107932,1825.2229904363412,1789.7435154970597,-1099.5449269987453,938.6065054826988,-11692.763481911297,374.42029589336613,-13.665976903825285,-20.577049627400783,3.5485002993216446,5.221299650261368,-2.2508080372755903,8.796475149256649,3.257015236,2.742984764,3.0
519840.3157679629,-13560.844450099434,-9573.809645649508,-2705.991167456876,-2616.548834204196,-10197.113459986074,-17831.151732468003,72.02086521545205,131.79221857584807,27.66731600815358,-32.72128725571045,-16.27663569215322,1.4223694263836164,10.428742842311403,4.581469014,3.989959557,4.285714286
51809.71371273872,-9921.899265424967,-35785.16322192133,-7061.455555444053,-687.2164349687783,2388.2254225573147,12668.329366015194,-274.9564062911942,-20.81482810849916,-35.924636244307045,14.692371840995154,1.231787774935879,13.320668188829062,-6.321199329311624,4.672867535,4.18920143,4.431034483
650895.8927554617,9791.139173858146,-21798.100385055186,-6011.289906150011,-4101.712284666219,-12190.4757704551,-26349.65499695739,-117.94943480229841,134.23409769888232,7.27824313848984,-27.485834035046327,-24.157693359864176,10.229552519898593,16.653094334746008,4.804087,4.368326794,4.586206897
-155985.79360999184,-27251.66344712059,15728.837560403294,5074.202109515419,-138.7197171767367,48.81993661476799,-6853.808260113007,461.36743041362314,-156.27617829223192,-1.6974391871602235,-19.25778053792801,8.573076333668343,-8.89003488444054,1.84549053048352,3.653463529,3.070674402,3.362068966
-8572.136847605523,-16777.303415437615,3720.247692908045,-11071.459571656262,-1125.2699902355619,-40598.87201190686,4146.316027632604,402.21124994212806,-224.27676462723176,-71.25589115784716,-35.79793442282394,-22.769802129802923,-17.923988472183165,-7.452555263125397,2.147725643,1.552274357,1.85
-178537.71721144035,11070.300380615563,-15281.928159228657,-2096.792467401877,-1328.3044122466401,2581.8477796393913,-6092.918508220915,-531.1698491718444,-245.04798988386779,9.499050761281358,-25.10961899884644,10.45126981064107,4.441364870703511,5.468661405490257,3.394160216,2.89155407,3.142857143
-4587.588432627546,47064.659999527015,-11133.250748088805,-2744.842320343738,37080.501734018944,-19604.60689361889,14047.280940940613,-419.8202341050072,535.5186392704157,-43.304578257379326,13.781650789821693,-18.94661411436319,-43.864251474037964,12.738761105622816,1.384178612,1.098580009,1.24137931
-177088.98264742014,11232.900392403411,-15229.401396700974,-2091.6888881736477,-1344.1801453921587,2533.9490061722017,-6278.294552055544,463.6840858701626,-209.2512984551791,7.8796518550494685,-8.589135905667545,6.817128635634808,3.7535077543166575,9.861613685415676,3.324814232,2.847599561,3.086206897
50030.00805463147,-10113.997947689431,-35856.49758970938,-7070.235058568716,-668.2179192098865,2441.944983101414,12881.309331455339,-274.72895612267956,139.77415770943085,-50.99456045885419,18.223683321108577,-0.6449472838839777,13.212484454242372,-7.152106609186785,3.599130983,2.900869017,3.25
-125345.11971585719,-14842.065660352851,-550.0972767851972,1293.4060038201628,-560.8143237253992,1119.0146444204197,-3469.9147711157384,505.6260928215573,-147.99195626424915,3.5927483181756994,-8.184548884324276,6.667883742326813,-3.8273242052544503,3.3633932385360836,3.954853907,3.366574665,3.660714286
-49001.25318178601,-48167.38971145777,12787.790589645365,4259.833315192679,673.1571690430195,-566.32484699776,3515.661438728204,611.4324764495916,-44.639906828520104,-46.94162187730594,9.787047691900517,6.176204666424051,-6.9334108154481315,-11.012630516758424,3.453428328,2.925882017,3.189655172
347922.2314522346,-32285.958984764657,-16536.086150066305,-3524.266423915772,-796.0985257861499,-4945.40734656345,2571.0582169450577,-525.2452499763949,117.82768750490574,73.28616827538906,-6.671406998493502,5.79697801085987,-3.1326573010808927,-1.887383405175811,4.785550297,4.325560814,4.555555556
-177783.06979999677,11158.49126056271,-15258.61205158426,-2095.37777598455,-1336.7929990089365,2555.1103224810904,-6194.898005426856,464.26067966217647,-163.39474927596805,2.924343586391554,-9.998929119608826,11.028159180171,3.419217260709316,5.095445804476617,2.653067263,2.154625045,2.403846154
246964.0374885817,-52400.00887065797,-3015.7410641501156,-58.34523461592494,370.8824600001448,-3879.5232772067034,7489.697329852682,-405.9954000385468,112.79501353435279,85.64313388754209,-19.134351593902668,10.821908425389557,-11.277353528420031,-6.2546521490003455,4.518530885,4.014802449,4.266666667
-196930.49038238882,7262.1099745755,4406.1808028190435,-2973.777114700246,-1557.8801195259052,-15573.846834168273,-11654.29110501642,-703.4718964266244,-172.17550262227903,-40.779197720400354,9.782613770473631,-10.42167677979512,-4.2722304909002435,-15.936266277313257,3.107115012,2.596588692,2.851851852
-120360.21443036063,10134.504422074244,-15464.959965841399,22522.003356326433,7584.076690910344,2545.4479626839416,3576.8105060880152,-394.27991699741915,16.634058792940433,22.81931715790509,-12.076920568868818,-19.45236410099615,8.178206385868867,5.8496906548827585,3.531309226,3.020414912,3.275862069
26676.55130162889,71718.91671086637,4229.979698131642,-4431.085218514426,-81.87415521820027,-7518.307150781992,12531.620564011111,560.842622769009,-2.568954665900742,151.09372189655005,-30.29758110963311,4.958243717683921,-55.40921469678386,0.44910377536229107,1.56564417,1.167689163,1.366666667
-109808.71505541114,44567.06006826474,-10893.211824471719,-29969.390003569828,-8989.838358063009,-2091.0220715746796,6185.938134344567,542.1687726231274,536.9082293783675,76.9298269077446,19.203580667021775,12.8743580852084,-48.38353286922358,0.20162757802314546,1.642556938,1.324109728,1.483333333
