fe-1,fe-2,fe-3,fe-4,fe-5,fe-6,fe-7,fe-8,fe-9,fe-10,fe-11,fe-12,fe-13,fe-14,fe-15,fe-16,fe-17,fe-18,fe-19,fe-20,fe-21,fe-22,fe-23,fe-24,fe-25,fe-26,fe-27,CIHigh,CILow,MOS
-96471.00174229167,20285.016700989614,-25410.006765649985,-7633.307763182726,-24941.318047789806,12721.709091305578,8548.169920031763,-301.5012528435367,-210.2820954826588,42.337935670003404,-2.3703887131026895,5.430859665887313,-0.3644762213662826,-0.8000090409246016,3.6880729066713394,7.7288019801147545,1.4801301766081105,15.028038572892148,-0.993901436167602,9.482739270787413,-23.99627011063742,4.901344292459393,-16.451108660296875,-7.032567698843405,-4.145897740154159,5.969337621440717,5.313060669788829,3.824198457,3.329647696,3.576923077
-190899.2439090163,610.2798563107716,1825.2229904363446,1789.7435154970667,-1099.5449269987441,938.6065054827067,-11692.763481911074,374.4202958945594,-13.665976903588573,-20.57704962069941,3.548500300096718,5.2212996432194965,-2.2508080518126596,8.79647521377695,-10.588666991609518,-9.526729587518387,10.43298474041446,4.432457240185619,-6.258055108127228,-4.42620376614414,1.1904635007677402,14.891150414901924,3.2337198744548075,-2.862012471778264,1.9922862992984327,2.391854007111418,-1.6892070953334595,3.257015236,2.742984764,3.0
519840.3157679629,-13560.84445009941,-9573.809645649426,-2705.9911674568893,-2616.5488342042036,-10197.113459986198,-17831.151732467657,72.0208652156798,131.79221857356734,27.667315999145423,-32.72128726285515,-16.276635670196672,1.4223694355700853,10.428742918804174,-8.633628436675416,-2.1027411149901964,1.8341471540915546,2.1270773190855103,-2.315408058089592,1.6888534102269297,-3.608801419935415,-1.6306886912390504,-5.1394815847007695,5.134421406214901,-0.5070598023605069,1.3906893816119532,0.017945615836929267,4.581469014,3.989959557,4.285714286
51809.71371273872,-9921.89926542495,-35785.16322192117,-7061.455555444079,-687.2164349687804,2388.2254225573433,12668.329366014952,-274.9564062920689,-20.814828108139036,-35.92463623261058,14.69237184420302,1.231787773272113,13.320668274861902,-6.321199375676355,-3.1857429553794168,7.2188437765660805,1.819101075411349,-1.127467087817494,1.3977065756562113,3.8490418809118125,0.72576490460101,-4.6568144972480034,-1.9173054827780545,-1.1916863739789494,1.9510900836289649,-2.6483695217331777,0.28162960546763793,4.672867535,4.18920143,4.431034483
650895.8927554617,9791.139173858162,-21798.100385055106,-6011.289906150034,-4101.7122846662205,-12190.475770455247,-26349.654996956873,-117.94943480267607,134.2340976965593,7.27824313612065,-27.48583404104777,-24.157693327277514,10.229552585967122,16.6530944568932,-12.681794641744876,4.563911417483225,4.15319944755591,4.572745414409917,-3.0627865359624824,-0.6490324630359823,-3.728604354642228,-5.615166457882204,-8.345625567621722,5.425034491810788,1.71296348728137,2.399378590110106,-0.6832480880689424,4.804087,4.368326794,4.586206897
-155985.79360999184,-27251.663447120547,15728.83756040322,5074.202109515431,-138.71971717673713,48.81993661477742,-6853.808260112874,461.3674304150934,-156.27617828952748,-1.6974391866062215,-19.25778054213301,8.573076322105985,-8.890034941857728,1.8454905440197638,-0.7011063529802387,-10.293317435544077,-1.0176650435990595,-0.33123441592599107,-0.10173532338345963,1.3818761177690224,-2.1767890422684335,6.883967974914219,2.0886409557674397,0.6703744849347634,-2.5999041030104775,-0.788603670303248,-1.111574143317,3.653463529,3.070674402,3.362068966
-8572.136847605523,-16777.30341543759,3720.2476929080267,-11071.459571656314,-1125.2699902355625,-40598.87201190733,4146.316027632538,402.21124994341136,-224.2767646233499,-71.25589113464282,-35.79793443064055,-22.769802099088565,-17.92398858794687,-7.452555317788151,12.188556012406698,4.556204644333735,-2.071457367355511,3.7023204662230684,0.18014173007535528,2.8533886351982884,-10.462605854921453,-3.2450359283437824,-18.030814006396593,11.160711280686293,5.975418495555185,2.6191507988032625,1.5440404707581619,2.147725643,1.552274357,1.85
-178537.71721144035,11070.300380615543,-15281.928159228579,-2096.7924674018846,-1328.3044122466442,2581.847779639418,-6092.918508220794,-531.1698491735368,-245.04798987962698,9.499050758186641,-25.109619004329765,10.451269796541881,4.441364899388517,5.46866144560163,-12.537192532183958,2.0880512487189242,0.8830053158742728,-1.0913346133946413,3.4659406399208805,3.2229115509912174,3.58614819232092,3.9399388687345347,3.8732270485987335,-3.056650925968739,0.8017529089489155,4.232157797411702,0.7009818054829964,3.394160216,2.89155407,3.142857143
-4587.588432627546,47064.65999952694,-11133.250748088742,-2744.8423203437483,37080.50173401906,-19604.60689361912,14047.280940940343,-419.82023410635236,535.5186392611477,-43.30457824327391,13.78165079283169,-18.94661408880186,-43.8642517573396,12.738761199058805,-5.5223920192606935,22.936551809367533,-7.377522006477252,-29.941878472032162,-22.869023120046187,-7.15943876327925,1.6607992101548057,31.740474422697904,-1.0483562019311765,-27.014539373692326,35.149819738647196,-7.409813923148188,-28.314107809830702,1.384178612,1.098580009,1.24137931
-177088.98264742014,11232.900392403393,-15229.4013967009,-2091.688888173656,-1344.1801453921614,2533.949006172231,-6278.294552055421,463.6840858716434,-209.25129845155726,7.8796518524828985,-8.589135907543287,6.817128626438558,3.7535077785590807,9.86161375774843,-11.495882759329984,-3.0441357267734177,5.139000103775775,1.2109762360955372,1.622721012040329,-0.506286440873953,0.9525717438163285,7.380026985801943,2.8564650143181955,-2.0037526297360433,-2.685418489617406,5.694409440100134,0.07764487429631775,3.324814232,2.847599561,3.086206897
50030.00805463147,-10113.997947689411,-35856.49758970921,-7070.2350585687445,-668.2179192098853,2441.944983101444,12881.30933145509,-274.72895612355404,139.77415770701185,-50.994560442249806,18.223683325087716,-0.6449472830157822,13.212484539576474,-7.152106661645982,-4.622596338393795,3.3436558200321413,4.010889748690903,-0.9177599195525528,0.5021269782899535,4.386049331625284,3.724954307326588,-1.1864713474676603,-0.13967683389155647,-5.986586496005717,1.3726891972859658,-2.131461648637539,-3.252556662516057,3.599130983,2.900869017,3.25
-125345.1197158572,-14842.065660352828,-550.0972767851937,1293.406003820168,-560.8143237254,1119.0146444204331,-3469.9147711156725,505.6260928231699,-147.99195626168793,3.592748317006141,-8.18454888611147,6.667883733333173,-3.827324229973609,3.3633932632057735,-4.182653699229908,-6.369863892400898,1.403006942102638,-0.43980538290088805,0.0046088318271947214,0.9871750634659765,-0.914474267439965,6.73949136886288,1.700357066641289,0.6570473527439089,-3.038032852861615,0.75483557020604,0.04167371753011937,3.954853907,3.366574665,3.660714286
-49001.25318178599,-48167.38971145769,12787.790589645301,4259.8333151926945,673.1571690430225,-566.3248469977647,3515.661438728135,611.4324764515402,-44.639906827747375,-46.94162186201837,9.787047694037877,6.176204658095374,-6.933410860228278,-11.012630597533771,8.031942127239384,-6.734829286321035,-3.3424083477271282,-1.1539448559829237,-5.149720947897073,-0.7903692337988488,-5.794291043910823,0.6074057075546515,-1.229218156643891,5.609900839847234,1.19921611953464,-5.076926845530181,3.079454056002096,3.453428328,2.925882017,3.189655172
347922.2314522346,-32285.9589847646,-16536.08615006622,-3524.266423915786,-796.0985257861499,-4945.407346563507,2571.058216945009,-525.2452499780708,117.8276875028663,73.28616825152454,-6.671406999950247,5.796978003040463,-3.13265732131349,-1.8873834190194791,-8.871732160012288,-0.0409392699895928,-1.2227543360675968,-5.07375156415606,0.19236307720879817,2.7103565337343722,2.68053087328719,-0.04959984844336911,0.6440132890917556,1.2754525173246496,0.4596947442190807,-0.32227334832804144,2.7969736580161,4.785550297,4.325560814,4.555555556
-177783.06979999677,11158.491260562689,-15258.612051584183,-2095.377775984558,-1336.7929990089401,2555.110322481119,-6194.898005426736,464.2606796636586,-163.39474927314038,2.924343585438882,-9.998929121792441,11.028159165294941,3.4192172827926504,5.095445841850449,-10.76732459933069,-4.829675358443278,3.1492617136004823,-2.2724080526709294,1.8045231360323593,-0.8940790646432052,2.351615237047668,10.25383297432433,1.1457007655503724,-2.453242616857692,-4.958888279790463,6.2235671252206,1.0136159736156065,2.653067263,2.154625045,2.403846154
246964.0374885817,-52400.00887065788,-3015.7410641501006,-58.345234615925854,370.8824600001478,-3879.5232772067466,7489.697329852536,-405.995400039843,112.7950135324004,85.64313385965417,-19.134351598080933,10.821908410792815,-11.277353601255928,-6.2546521948770515,-4.959967427261787,-6.341400945789447,-3.9347672700695977,-6.6371517081362015,1.0899421299904228,5.30760511705121,2.3019513225509116,2.8890227135210087,3.1478362798936286,1.3421528886557428,-1.4261557136713134,-1.5886110907999509,3.0460032625030093,4.518530885,4.014802449,4.266666667
-196930.49038238882,7262.109974575487,4406.180802819022,-2973.7771147002572,-1557.8801195259095,-15573.84683416846,-11654.291105016195,-703.4718964288703,-172.1755026192988,-40.779197707121604,9.782613772610272,-10.421676765737658,-4.2722305184927265,-15.936266394201642,21.884035565856827,23.810170864518597,-15.307173772939812,13.546229974374127,4.1909183678694895,-15.736517893505164,9.188675673176494,-0.388323220893652,13.557446554529733,-1.980229889816304,-2.011680646360228,0.6840306204371367,10.59691149126121,3.107115012,2.596588692,2.851851852
-120360.21443036063,10134.50442207423,-15464.959965841317,22522.00335632652,7584.076690910365,2545.4479626839707,3576.810506087945,-394.2799169986796,16.6340587926526,22.81931715047468,-12.076920571505656,-19.45236407475682,8.178206438688468,5.849690697788872,6.169607999356693,-18.20098912737262,-9.840050988920888,-7.877683833656147,-5.516022019619157,9.129777179340548,18.451746745632004,-9.1510577710401,-0.5923489407799745,3.1000572125795967,7.15174055865157,-0.20777848869164992,-3.4393159351185116,3.531309226,3.020414912,3.275862069
26676.551301628886,71718.91671086625,4229.97969813162,-4431.085218514442,-81.8741552182022,-7518.307150782084,12531.620564010871,560.8426227707971,-2.5689546658568068,151.09372184734886,-30.297581116249226,4.958243710996157,-55.40921505464958,0.4491037786557449,-2.443292668017926,-17.093476657092193,-9.66851338329238,-15.235746875289625,15.943706390014404,-3.5233429602959525,-8.500211649788481,-6.063827311608342,9.182842276356974,9.832420584127952,-50.75499073822961,-36.30045602384554,-20.708393720643947,1.56564417,1.167689163,1.366666667
-109808.71505541116,44567.06006826467,-10893.211824471662,-29969.390003569948,-8989.838358063034,-2091.022071574707,6185.938134344449,542.1687726248621,536.9082293690752,76.9298268826902,19.203580671214727,12.874358067838608,-48.38353318171271,0.20162757950264434,-1.2189779685117956,13.173750360894962,0.463199793579729,35.68109986838173,32.88253599703638,-14.880440719738804,-24.701374750191967,-25.12863609846795,18.756432890644433,-23.89356868663306,3.331544752164524,-5.942936588793574,1.6742806806602708,1.642556938,1.324109728,1.483333333
