fe-1,fe-2,fe-3,fe-4,fe-5,fe-6,fe-7,fe-8,fe-9,CIHigh,CILow,MOS
-96471.00174229169,20285.016700989683,-25410.006765649963,-7633.307763182753,-24941.318047789846,12721.709091305695,8548.169920031913,-301.5012528404594,-210.2820954803401,3.824198457,3.329647696,3.576923077
-190899.2439090163,610.2798563107848,1825.2229904363437,1789.7435154970722,-1099.5449269987491,938.6065054827155,-11692.763481911272,374.42029589091015,-13.66597690343835,3.257015236,2.742984764,3.0
519840.31576796295,-13560.84445009946,-9573.809645649417,-2705.9911674568884,-2616.548834204209,-10197.113459986294,-17831.151732467963,72.02086521497986,131.7922185721202,4.581469014,3.989959557,4.285714286
51809.71371273872,-9921.899265424985,-35785.163221921124,-7061.455555444099,-687.2164349687602,2388.225422557375,12668.329366015167,-274.95640628939094,-20.814828107910795,4.672867535,4.18920143,4.431034483
650895.8927554617,9791.139173858164,-21798.100385055084,-6011.289906150056,-4101.712284666229,-12190.47577045537,-26349.65499695732,-117.9494348015245,134.2340976950852,4.804087,4.368326794,4.586206897
-155985.79360999184,-27251.663447120634,15728.837560403204,5074.202109515451,-138.71971717671573,48.81993661476904,-6853.808260112991,461.36743041059697,-156.27617828781055,3.653463529,3.070674402,3.362068966
-8572.136847605525,-16777.303415437647,3720.247692908026,-11071.459571656322,-1125.269990235554,-40598.87201190772,4146.316027632609,402.2112499394903,-224.2767646208864,2.147725643,1.552274357,1.85
-178537.71721144035,11070.300380615583,-15281.928159228564,-2096.792467401868,-1328.304412246636,2581.8477796394473,-6092.918508220899,-531.1698491683603,-245.04798987693567,3.394160216,2.89155407,3.142857143
-4587.588432627546,47064.659999527095,-11133.250748088722,-2744.842320343742,37080.50173401912,-19604.6068936193,14047.280940940582,-419.8202341022527,535.5186392552664,1.384178612,1.098580009,1.24137931
-177088.98264742014,11232.900392403431,-15229.401396700881,-2091.6888881736627,-1344.1801453921626,2533.949006172254,-6278.294552055529,463.68408586712127,-209.25129844925942,3.324814232,2.847599561,3.086206897
50030.00805463147,-10113.99794768945,-35856.49758970917,-7070.235058568762,-668.2179192098852,2441.944983101466,12881.30933145531,-274.72895612087774,139.7741577054763,3.599130983,2.900869017,3.25
-125345.11971585719,-14842.065660352879,-550.0972767851928,1293.4060038201712,-560.8143237254021,1119.014644420444,-3469.9147711157307,505.62609281824064,-147.99195626006235,3.954853907,3.366574665,3.660714286
-49001.25318178601,-48167.38971145785,12787.790589645288,4259.833315192708,673.1571690430196,-566.3248469977691,3515.661438728195,611.4324764455811,-44.63990682725682,3.453428328,2.925882017,3.189655172
347922.2314522346,-32285.95898476471,-16536.086150066203,-3524.2664239157943,-796.0985257861504,-4945.407346563555,2571.0582169450518,-525.2452499729498,117.82768750157223,4.785550297,4.325560814,4.555555556
-177783.06979999677,11158.491260562729,-15258.612051584167,-2095.3777759845652,-1336.7929990089401,2555.1103224811436,-6194.898005426841,464.2606796591311,-163.39474927134572,2.653067263,2.154625045,2.403846154
246964.0374885817,-52400.008870658065,-3015.741064150097,-58.3452346159238,370.8824600001469,-3879.5232772067834,7489.697329852663,-405.9954000358838,112.79501353116174,4.518530885,4.014802449,4.266666667
-196930.49038238882,7262.109974575511,4406.180802819018,-2973.777114700265,-1557.880119525909,-15573.846834168611,-11654.291105016393,-703.4718964220098,-172.17550261740814,3.107115012,2.596588692,2.851851852
-120360.2144303606,10134.504422074262,-15464.9599658413,22522.00335632658,7584.076690910374,2545.4479626839993,3576.810506088007,-394.2799169948329,16.634058792469684,3.531309226,3.020414912,3.275862069
26676.55130162889,71718.9167108665,4229.979698131615,-4431.085218514455,-81.87415521819896,-7518.307150782158,12531.620564011084,560.8426227653298,-2.5689546658283122,1.56564417,1.167689163,1.366666667
-109808.71505541114,44567.06006826482,-10893.211824471651,-29969.390003570028,-8989.83835806304,-2091.0220715747323,6185.938134344555,542.1687726195703,536.9082293631781,1.642556938,1.324109728,1.483333333
127680.37018159017,-74465.57785864953,9678.065296166158,3301.2615358673443,1731.4262025125317,-2244.79707531844,14615.808687430905,-244.56715351913044,155.14329295637043,4.257197985,3.639353739,3.948275862
-78041.96969912767,8500.943727850221,-33760.37683867947,-6354.432048003901,-1257.3884957063042,3695.5943222295446,4991.557092448379,624.474419405054,-16.428704108198733,3.991799552,3.401057591,3.696428571
389387.7181766789,-36882.769699182165,2743.7034035294537,617.6026820572152,-1137.4002894425685,-8230.064661035878,-9411.703603528424,260.1661174535249,129.57780062589265,4.766305092,4.305123479,4.535714286
