fe-1,fe-2,fe-3,fe-4,fe-5,fe-6,fe-7,fe-8,fe-9,fe-10,fe-11,fe-12,fe-13,fe-14,fe-15,fe-16,fe-17,fe-18,fe-19,CIHigh,CILow,MOS
-96471.00174229167,20285.016700989665,-25410.006765650098,-7633.307763182766,-24941.31804778965,12721.709091305582,8548.16992003192,-301.50125284006714,-210.28209547898717,42.3379356573438,-2.37038870799756,5.430859651468305,-0.36447622012224834,-0.800009037811852,3.688072891090989,7.728801944904925,1.480130169030727,15.02803848964284,-0.9939014299360779,3.824198457,3.329647696,3.576923077
-190899.2439090163,610.2798563107732,1825.2229904363535,1789.7435154970804,-1099.544926998741,938.60650548271,-11692.763481911274,374.4202958905109,-13.665976903350467,-20.577049614570672,3.5485002924494706,5.221299629436239,-2.250808044181481,8.796475179269917,-10.588666946842,-9.526729543907908,10.432984687052928,4.432457215337265,-6.2580550685101075,3.257015236,2.742984764,3.0
519840.3157679629,-13560.844450099445,-9573.809645649468,-2705.991167456904,-2616.5488342041876,-10197.113459986218,-17831.15173246797,72.02086521490456,131.7922185712704,27.66731599090362,-32.721287192339474,-16.27663562723292,1.4223694307478643,10.428742877893669,-8.633628400173002,-2.1027411053615066,1.834147144711059,2.1270773071777533,-2.3154080434389948,4.581469014,3.989959557,4.285714286
51809.71371273872,-9921.899265424974,-35785.16322192132,-7061.455555444126,-687.2164349687762,2388.2254225573474,12668.329366015172,-274.95640628909865,-20.8148281077764,-35.92463622190864,14.692371812540435,1.231787770022564,13.320668229699331,-6.321199350879114,-3.1857429419098433,7.218843743520655,1.8191010661074616,-1.1274670815168057,1.3977065668036335,4.672867535,4.18920143,4.431034483
650895.8927554617,9791.139173858142,-21798.100385055197,-6011.289906150073,-4101.712284666206,-12190.475770455283,-26349.65499695733,-117.94943480139705,134.23409769421966,7.278243133952353,-27.485833981814764,-24.157693263509866,10.22955255128501,16.6530943915657,-12.681794588126198,4.5639113965987335,4.153199426314748,4.572745388779775,-3.0627865165771038,4.804087,4.368326794,4.586206897
-155985.79360999184,-27251.663447120613,15728.837560403288,5074.2021095154705,-138.71971717672545,48.8199366147775,-6853.8082601129945,461.36743041010504,-156.27617828680317,-1.6974391861014926,-19.257780500631636,8.573076299474453,-8.890034911716805,1.8454905367800298,-0.7011063500169958,-10.293317388427884,-1.0176650383942254,-0.3312344140475115,-0.10173532274304908,3.653463529,3.070674402,3.362068966
-8572.136847605523,-16777.30341543763,3720.247692908046,-11071.459571656374,-1125.269990235561,-40598.872011907384,4146.316027632597,402.2112499390618,-224.27676461944063,-71.25589111341849,-35.79793435349442,-22.769802038984086,-17.923988527177254,-7.452555288553967,12.188555960876245,4.556204623478594,-2.071457356758132,3.70232044546696,0.18014172892740335,2.147725643,1.552274357,1.85
-178537.71721144035,11070.300380615568,-15281.928159228644,-2096.792467401898,-1328.3044122466251,2581.8477796394222,-6092.918508220899,-531.1698491677944,-245.04798987535563,9.499050755358063,-25.10961895021747,10.451269768955394,4.441364884330362,5.4686614241495946,-12.537192479178083,2.0880512391598818,0.8830053113578822,-1.091334607289065,3.4659406179791823,3.394160216,2.89155407,3.142857143
-4587.588432627546,47064.659999527044,-11133.250748088785,-2744.842320343772,37080.50173401883,-19604.606893619144,14047.280940940582,-419.8202341018003,535.5186392518139,-43.30457823037862,13.781650763131756,-18.946614038793992,-43.86425160862178,12.738761149086846,-5.522391995915911,22.936551704373027,-7.377521968752468,-29.94187830407733,-22.869022975292733,1.384178612,1.098580009,1.24137931
-177088.98264742014,11232.900392403419,-15229.401396700961,-2091.6888881736695,-1344.180145392154,2533.949006172232,-6278.29455205553,463.6840858666254,-209.25129844790996,7.879651850136257,-8.589135889033278,6.817128608444273,3.753507765833114,9.861613719063453,-11.495882710726823,-3.0441357128397244,5.1390000774914055,1.2109762292972162,1.6227210017708162,3.324814232,2.847599561,3.086206897
50030.00805463147,-10113.99794768944,-35856.49758970935,-7070.235058568789,-668.2179192098822,2441.944983101446,12881.309331455315,-274.7289561205854,139.77415770457526,-50.994560427059135,18.223683285814907,-0.6449472813118258,13.212484494780755,-7.15210663358935,-4.622596318849471,3.3436558047264606,4.010889728176404,-0.9177599144171691,0.5021269751048357,3.599130983,2.900869017,3.25
