FPS,NR,QP,PLR,vPLR,aPLR,MOS
25,999,31,0,0,0,3.62962963
25,999,31,1,1.18,0.93,3.586206897
25,999,31,5,4.84,4.71,1.35
25,0,35,0.1,0.14,0.05,3.224137931
25,0,35,0.5,0.68,0.47,3.25
25,0,35,0,0,0,3.1
25,0,35,1,0.86,0.79,1.913793103
25,0,35,5,4.86,3.82,1.416666667
25,999,35,0.1,0.05,0.05,3.203703704
25,999,35,0.5,0.45,0.23,3.327586207
25,999,35,0,0,0,3.125
25,999,35,1,0.54,0.98,2.982142857
25,999,35,5,4.68,4.2,1.672413793
